,Ripstone Snorter,Mista Moose,Nifty Ronald,Parallel,Operative Anna,Little Cessna,Louisiana Freedom,Bettor Be Lucky,Rum Delight Nz,Change Of Mind
10-01-2023 14:09:28.341239,"(7.5, 10.0, 9.571428571428571)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.656)","(3.5, 4.9, 4.557142857142857)","(20.0, 27.0, 22.333333333333332)","(8.0, 9.8, 9.73846153846154)","(51.0, 70.0, 57.142857142857146)","(10.0, 99999, 99990)","(41.0, 130.0, 71.33333333333333)"
10-01-2023 14:09:29.580793,"(7.5, 10.0, 9.571428571428571)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.633846153846154)","(3.6, 4.8, 4.628571428571428)","(19.0, 27.0, 22.333333333333332)","(8.0, 9.8, 9.72)","(51.0, 70.0, 57.142857142857146)","(10.0, 99999, 99990)","(41.0, 130.0, 71.33333333333333)"
10-01-2023 14:09:30.836557,"(7.5, 10.0, 9.52)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.633846153846154)","(3.6, 4.8, 4.628571428571428)","(19.0, 27.0, 24.0)","(8.0, 9.8, 9.73846153846154)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 68.0)"
10-01-2023 14:09:32.071273,"(7.5, 10.0, 9.843478260869565)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.646666666666667)","(3.6, 4.8, 4.65)","(19.0, 27.0, 24.0)","(8.0, 9.8, 9.73846153846154)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 68.0)"
10-01-2023 14:09:33.275451,"(7.5, 10.0, 9.725)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.646666666666667)","(3.6, 4.8, 4.65)","(19.0, 27.0, 24.0)","(8.0, 9.8, 9.73846153846154)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 68.0)"
10-01-2023 14:09:34.564444,"(7.5, 10.0, 9.153846153846153)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.646666666666667)","(3.6, 4.8, 4.65)","(19.0, 27.0, 24.0)","(8.0, 9.8, 9.73846153846154)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 68.0)"
10-01-2023 14:09:35.885913,"(7.5, 10.0, 9.37142857142857)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.646666666666667)","(3.6, 4.8, 4.5638297872340425)","(19.0, 27.0, 24.0)","(8.0, 9.8, 9.746666666666668)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 68.0)"
10-01-2023 14:09:37.196008,"(7.5, 10.0, 9.37142857142857)","(21.0, 44.0, 38.4)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.651764705882353)","(3.6, 5.5, 4.66)","(19.0, 27.0, 24.0)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 71.5)"
10-01-2023 14:09:38.502442,"(7.5, 10.0, 9.37142857142857)","(21.0, 44.0, 38.4)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.651764705882353)","(3.6, 5.3, 4.675)","(19.0, 27.0, 26.0)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 160.0, 78.0)"
10-01-2023 14:09:39.747569,"(7.5, 10.0, 9.37142857142857)","(21.0, 44.0, 38.4)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.651764705882353)","(3.6, 5.2, 4.675)","(19.0, 27.0, 27.666666666666664)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 150.0, 78.0)"
10-01-2023 14:09:41.034010,"(7.5, 10.0, 9.37142857142857)","(21.0, 44.0, 38.4)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.651764705882353)","(3.6, 5.2, 4.675)","(19.0, 29.0, 27.666666666666664)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 150.0, 66.5)"
10-01-2023 14:09:42.240984,"(7.5, 10.0, 9.37142857142857)","(21.0, 44.0, 38.4)","(31.0, 50.0, 45.0)","(2.2, 2.68, 2.651764705882353)","(3.6, 5.2, 4.71)","(19.0, 29.0, 27.666666666666664)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 140.0, 66.5)"
10-01-2023 14:09:43.437511,"(7.5, 10.0, 9.37142857142857)","(21.0, 44.0, 38.4)","(31.0, 50.0, 45.0)","(2.2, 2.68, 2.652857142857143)","(3.6, 5.2, 4.725)","(19.0, 29.0, 28.2)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 140.0, 107.33333333333334)"
10-01-2023 14:09:44.639747,"(7.5, 10.0, 9.536842105263158)","(21.0, 44.0, 38.4)","(31.0, 50.0, 45.0)","(2.2, 2.66, 2.6081481481481483)","(3.6, 5.1, 4.8999999999999995)","(19.0, 29.0, 28.2)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 140.0, 107.33333333333334)"
10-01-2023 14:09:45.826466,"(7.5, 10.0, 9.536842105263158)","(21.0, 44.0, 38.4)","(31.0, 50.0, 45.0)","(2.2, 2.66, 2.5963636363636367)","(3.6, 5.1, 4.916666666666667)","(19.0, 29.0, 28.2)","(8.0, 9.8, 9.68888888888889)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 140.0, 107.33333333333334)"
10-01-2023 14:09:47.148628,"(7.5, 10.0, 9.84)","(21.0, 44.0, 38.4)","(31.0, 50.0, 45.0)","(2.2, 2.66, 2.512)","(3.6, 5.0, 4.833333333333334)","(19.0, 29.0, 28.2)","(8.0, 9.8, 9.7)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 140.0, 72.66666666666667)"
10-01-2023 14:09:48.457422,"(7.5, 10.0, 9.84)","(21.0, 44.0, 41.0)","(31.0, 50.0, 45.0)","(2.2, 2.54, 2.51375)","(3.6, 4.9, 4.8)","(19.0, 29.0, 28.2)","(8.0, 9.8, 10.05)","(51.0, 70.0, 58.75)","(10.0, 99999, 99990)","(41.0, 130.0, 98.28571428571429)"
10-01-2023 14:09:49.802005,"(7.5, 10.0, 9.7)","(21.0, 44.0, 41.0)","(31.0, 50.0, 45.0)","(2.2, 2.54, 2.51375)","(3.6, 4.9, 4.766666666666667)","(19.0, 29.0, 27.833333333333336)","(8.0, 10.5, 9.75)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:51.102258,"(7.5, 10.0, 9.6)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.54, 2.4699999999999998)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.833333333333336)","(8.0, 10.5, 9.825)","(51.0, 70.0, 58.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:52.300737,"(7.5, 10.0, 9.6)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.54, 2.4810526315789474)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.833333333333336)","(8.0, 10.5, 9.825)","(51.0, 70.0, 65.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:53.498703,"(7.5, 10.0, 9.6)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.66, 2.4810526315789474)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 85.0, 65.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:54.649315,"(7.5, 10.0, 9.6)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.64, 2.55)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:55.892123,"(7.5, 10.0, 9.6)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.64, 2.472413793103448)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:57.194278,"(7.5, 10.0, 9.6)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.64, 2.472413793103448)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:58.546194,"(7.5, 10.0, 9.6)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.64, 2.472413793103448)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 120.0, 89.6)"
10-01-2023 14:09:59.831375,"(7.5, 10.5, 9.766666666666667)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.64, 2.472413793103448)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 120.0, 131.0)"
10-01-2023 14:10:01.040296,"(7.5, 10.5, 10.15625)","(21.0, 44.0, 36.0)","(31.0, 50.0, 43.333333333333336)","(2.2, 2.6, 2.5363636363636366)","(3.6, 4.9, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 160.0, 97.0)"
10-01-2023 14:10:02.210672,"(7.5, 10.5, 10.0)","(21.0, 44.0, 36.0)","(31.0, 50.0, 44.0)","(2.2, 2.6, 2.5314285714285716)","(3.6, 4.9, 4.75)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 150.0, 99.0)"
10-01-2023 14:10:03.379486,"(7.5, 10.5, 10.0)","(21.0, 44.0, 37.0)","(31.0, 48.0, 44.0)","(2.2, 2.6, 2.536)","(3.6, 4.9, 4.75)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 150.0, 99.0)"
10-01-2023 14:10:04.495116,"(7.5, 10.5, 10.225)","(21.0, 44.0, 37.0)","(31.0, 48.0, 44.0)","(2.2, 2.56, 2.55)","(3.6, 4.9, 4.725)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 150.0, 99.0)"
10-01-2023 14:10:05.811291,"(7.5, 10.5, 10.225)","(21.0, 44.0, 37.0)","(31.0, 48.0, 44.0)","(2.2, 2.56, 2.49)","(3.6, 4.8, 4.725)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 150.0, 99.0)"
10-01-2023 14:10:06.985339,"(7.5, 10.5, 10.225)","(21.0, 44.0, 37.0)","(31.0, 48.0, 44.0)","(2.2, 2.56, 2.49)","(3.6, 4.8, 4.725)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.728571428571428)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 150.0, 99.0)"
10-01-2023 14:10:08.169599,"(7.5, 10.5, 10.225)","(21.0, 44.0, 37.0)","(31.0, 48.0, 44.0)","(2.2, 2.56, 2.49)","(3.6, 4.8, 4.585714285714285)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(51.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 150.0, 86.4)"
10-01-2023 14:10:09.601685,"(7.5, 10.5, 10.225)","(20.0, 44.0, 37.0)","(31.0, 48.0, 44.0)","(2.2, 2.56, 2.49)","(3.6, 4.8, 4.5600000000000005)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 140.0, 92.0)"
10-01-2023 14:10:10.819178,"(7.5, 10.5, 10.225)","(20.0, 44.0, 37.0)","(31.0, 48.0, 55.0)","(2.2, 2.56, 2.49)","(3.6, 4.8, 4.5600000000000005)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 75.0, 59.0)","(10.0, 99999, 99990)","(41.0, 140.0, 92.0)"
10-01-2023 14:10:12.226604,"(7.5, 10.5, 10.225)","(20.0, 44.0, 37.0)","(31.0, 65.0, 55.0)","(2.2, 2.56, 2.506153846153846)","(3.6, 4.8, 4.5600000000000005)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 75.0, 62.5)","(10.0, 99999, 99990)","(41.0, 120.0, 74.4)"
10-01-2023 14:10:13.412606,"(7.5, 10.5, 10.225)","(20.0, 44.0, 37.0)","(31.0, 65.0, 55.0)","(2.2, 2.56, 2.506153846153846)","(3.6, 4.8, 4.5600000000000005)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 120.0, 74.4)"
10-01-2023 14:10:14.722465,"(7.5, 10.5, 10.133333333333333)","(20.0, 44.0, 37.0)","(31.0, 65.0, 55.0)","(2.2, 2.56, 2.506153846153846)","(3.6, 4.8, 4.663636363636363)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 120.0, 77.0)"
10-01-2023 14:10:15.867285,"(7.5, 10.5, 10.133333333333333)","(20.0, 44.0, 37.0)","(31.0, 65.0, 55.0)","(2.2, 2.56, 2.506153846153846)","(3.6, 4.8, 4.6499999999999995)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 110.0, 77.0)"
10-01-2023 14:10:17.106516,"(7.5, 10.5, 10.3625)","(20.0, 44.0, 37.0)","(31.0, 60.0, 55.0)","(2.2, 2.56, 2.506153846153846)","(3.6, 4.8, 4.5)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 110.0, 91.14285714285714)"
10-01-2023 14:10:18.611177,"(7.5, 10.5, 9.857142857142858)","(19.0, 44.0, 37.0)","(31.0, 65.0, 45.833333333333336)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.3, 4.85)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 110.0, 91.14285714285714)"
10-01-2023 14:10:19.962114,"(7.5, 10.5, 10.153846153846153)","(19.0, 44.0, 37.0)","(31.0, 65.0, 45.833333333333336)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.3, 4.85)","(19.0, 29.0, 27.0)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 110.0, 91.14285714285714)"
10-01-2023 14:10:21.146898,"(7.5, 11.5, 9.988888888888889)","(19.0, 44.0, 37.0)","(31.0, 65.0, 48.0)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.2, 5.0)","(19.0, 29.0, 28.0)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 110.0, 91.14285714285714)"
10-01-2023 14:10:22.320119,"(7.5, 11.5, 10.6)","(19.0, 44.0, 37.0)","(31.0, 60.0, 48.0)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.1, 4.949999999999999)","(19.0, 29.0, 26.6)","(8.0, 10.5, 9.66)","(41.0, 70.0, 62.5)","(10.0, 99999, 99990)","(41.0, 110.0, 91.14285714285714)"
10-01-2023 14:10:23.647574,"(7.5, 11.5, 10.6)","(19.0, 44.0, 37.0)","(31.0, 60.0, 44.6)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.1, 4.949999999999999)","(19.0, 29.0, 25.083333333333336)","(8.0, 10.5, 9.66)","(41.0, 70.0, 57.5)","(10.0, 99999, 99990)","(41.0, 110.0, 98.28571428571429)"
10-01-2023 14:10:24.835678,"(7.5, 11.5, 10.6)","(19.0, 44.0, 37.0)","(31.0, 55.0, 44.6)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.1, 4.909090909090909)","(19.0, 28.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 120.0, 98.28571428571429)"
10-01-2023 14:10:25.982087,"(7.5, 11.5, 11.135714285714286)","(19.0, 44.0, 37.0)","(31.0, 55.0, 44.6)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.0, 4.75)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 120.0, 115.66666666666667)"
10-01-2023 14:10:27.164559,"(7.5, 11.5, 11.135714285714286)","(19.0, 44.0, 37.0)","(31.0, 55.0, 44.6)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.0, 4.75)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 130.0, 115.66666666666667)"
10-01-2023 14:10:28.429037,"(7.5, 11.5, 10.9375)","(19.0, 44.0, 37.0)","(31.0, 55.0, 44.6)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.0, 4.75)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 130.0, 115.66666666666667)"
10-01-2023 14:10:29.636773,"(7.5, 11.5, 10.75)","(19.0, 44.0, 37.0)","(31.0, 55.0, 44.6)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.0, 4.8)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 130.0, 115.66666666666667)"
10-01-2023 14:10:31.105855,"(7.5, 11.5, 10.75)","(19.0, 44.0, 37.0)","(31.0, 55.0, 44.6)","(2.2, 2.56, 2.506153846153846)","(3.6, 5.0, 4.8)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 130.0, 115.66666666666667)"
10-01-2023 14:10:32.308821,"(7.5, 11.5, 10.75)","(19.0, 48.0, 42.0)","(31.0, 55.0, 48.5)","(2.2, 2.56, 2.5271875)","(3.6, 5.0, 4.8)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 130.0, 126.85714285714286)"
10-01-2023 14:10:33.496512,"(7.5, 11.5, 10.75)","(19.0, 50.0, 39.0)","(31.0, 55.0, 50.0)","(2.2, 2.56, 2.52231884057971)","(3.6, 5.0, 4.8)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 160.0, 119.71428571428571)"
10-01-2023 14:10:34.844366,"(7.5, 11.5, 10.75)","(19.0, 48.0, 39.0)","(31.0, 70.0, 50.0)","(2.2, 2.56, 2.5166666666666666)","(3.6, 5.0, 4.8)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 150.0, 119.71428571428571)"
10-01-2023 14:10:36.201046,"(7.5, 11.5, 10.75)","(19.0, 48.0, 39.0)","(31.0, 70.0, 50.0)","(2.2, 2.56, 2.5088524590163934)","(3.6, 5.0, 4.8)","(19.0, 27.0, 26.25)","(8.0, 10.5, 9.66)","(41.0, 60.0, 50.4)","(11.0, 99999, 99990)","(41.0, 150.0, 119.71428571428571)"
10-01-2023 14:10:37.445456,"(8.0, 11.5, 10.75)","(17.0, 48.0, 39.0)","(26.0, 70.0, 50.0)","(2.2, 2.56, 2.5134328358208955)","(3.8, 5.0, 4.905263157894737)","(19.0, 27.0, 26.25)","(7.5, 10.5, 9.672727272727272)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 150.0, 119.71428571428571)"
10-01-2023 14:10:38.604740,"(8.0, 11.5, 10.75)","(17.0, 48.0, 39.0)","(26.0, 70.0, 44.166666666666664)","(2.2, 2.56, 2.5032727272727273)","(3.8, 5.0, 4.800000000000001)","(19.0, 27.0, 26.0)","(7.5, 10.5, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 150.0, 112.57142857142857)"
10-01-2023 14:10:39.847999,"(8.0, 11.5, 10.583333333333334)","(17.0, 46.0, 40.666666666666664)","(26.0, 65.0, 43.333333333333336)","(2.2, 2.56, 2.5032727272727273)","(3.8, 4.9, 4.718181818181819)","(19.0, 27.0, 26.0)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:41.089348,"(8.0, 15.0, 12.6)","(17.0, 46.0, 34.57142857142857)","(26.0, 60.0, 43.333333333333336)","(2.2, 2.56, 2.5032727272727273)","(3.8, 4.9, 4.794736842105263)","(19.0, 27.0, 26.0)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:42.271608,"(8.0, 14.5, 11.928571428571429)","(17.0, 46.0, 34.57142857142857)","(26.0, 60.0, 43.333333333333336)","(2.2, 2.56, 2.4976)","(3.8, 4.9, 4.794736842105263)","(19.0, 27.0, 26.0)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:43.667241,"(8.0, 14.5, 12.7)","(17.0, 46.0, 34.57142857142857)","(26.0, 60.0, 45.0)","(2.2, 2.56, 2.4976)","(3.8, 4.9, 4.794736842105263)","(19.0, 27.0, 26.0)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:44.958282,"(8.0, 14.5, 13.0)","(17.0, 46.0, 34.57142857142857)","(26.0, 55.0, 41.111111111111114)","(2.2, 2.56, 2.485)","(3.8, 4.9, 4.829411764705883)","(19.0, 27.0, 26.0)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:46.219692,"(8.0, 14.0, 13.0)","(17.0, 46.0, 34.57142857142857)","(26.0, 50.0, 41.111111111111114)","(2.2, 2.56, 2.485)","(3.8, 4.9, 4.829411764705883)","(19.0, 27.0, 26.0)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:47.523075,"(8.0, 14.0, 12.5)","(16.0, 46.0, 34.57142857142857)","(31.0, 50.0, 41.111111111111114)","(2.2, 2.56, 2.485)","(3.8, 4.9, 4.829411764705883)","(19.0, 27.0, 26.0)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:48.942030,"(8.0, 14.0, 12.73076923076923)","(16.0, 46.0, 34.0)","(31.0, 50.0, 41.111111111111114)","(2.2, 2.56, 2.4815384615384617)","(3.8, 4.9, 4.829411764705883)","(19.0, 27.0, 26.4)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 87.63636363636363)"
10-01-2023 14:10:50.216332,"(8.0, 13.5, 12.73076923076923)","(16.0, 46.0, 34.0)","(31.0, 50.0, 41.111111111111114)","(2.2, 2.56, 2.48)","(3.8, 4.9, 4.829411764705883)","(19.0, 27.0, 26.4)","(7.5, 9.8, 9.733333333333334)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 88.72727272727272)"
10-01-2023 14:10:51.474354,"(8.0, 13.0, 12.0)","(16.0, 46.0, 34.0)","(31.0, 50.0, 42.5)","(2.2, 2.56, 2.48)","(3.8, 4.9, 4.7)","(19.0, 27.0, 26.4)","(7.5, 9.8, 9.569230769230769)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 140.0, 116.0)"
10-01-2023 14:10:52.795760,"(8.0, 13.0, 11.4)","(16.0, 46.0, 33.55555555555556)","(31.0, 46.0, 41.0)","(2.2, 2.56, 2.48)","(3.8, 4.9, 4.85)","(19.0, 27.0, 26.0)","(7.5, 10.5, 9.569230769230769)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 130.0, 116.0)"
10-01-2023 14:10:54.089917,"(8.0, 13.0, 11.76923076923077)","(16.0, 46.0, 33.55555555555556)","(31.0, 44.0, 41.0)","(2.2, 2.56, 2.48)","(3.8, 5.2, 4.942105263157895)","(19.0, 27.0, 21.5)","(7.5, 10.5, 9.569230769230769)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 130.0, 116.0)"
10-01-2023 14:10:55.461865,"(8.0, 13.0, 11.76923076923077)","(16.0, 46.0, 34.57142857142857)","(31.0, 46.0, 43.0)","(2.2, 2.56, 2.48)","(3.8, 5.2, 4.71111111111111)","(19.0, 23.0, 31.5)","(7.5, 10.5, 9.738461538461538)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 130.0, 116.0)"
10-01-2023 14:10:56.777453,"(8.0, 12.5, 11.75)","(16.0, 46.0, 34.57142857142857)","(31.0, 46.0, 41.0)","(2.2, 2.56, 2.48)","(3.8, 5.1, 4.71111111111111)","(19.0, 36.0, 27.3)","(7.5, 10.5, 9.738461538461538)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 130.0, 88.66666666666666)"
10-01-2023 14:10:58.062112,"(8.0, 12.5, 11.75)","(16.0, 46.0, 34.57142857142857)","(31.0, 46.0, 41.0)","(2.2, 2.56, 2.501818181818182)","(3.8, 5.1, 4.742857142857143)","(19.0, 30.0, 24.375)","(7.5, 10.5, 9.738461538461538)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 110.0, 82.0)"
10-01-2023 14:10:59.334282,"(8.5, 12.5, 11.5625)","(16.0, 46.0, 34.57142857142857)","(31.0, 46.0, 41.0)","(2.2, 2.52, 2.501818181818182)","(3.8, 5.1, 4.714285714285714)","(19.0, 30.0, 26.25)","(7.5, 10.5, 9.738461538461538)","(41.0, 60.0, 50.4)","(10.0, 99999, 99990)","(31.0, 100.0, 65.63636363636364)"
