,Arentee,Lucky Exchange,I Am Lethal,Ready For Anything,Mobstar,Prime Asset,Spiritualised,Pentito,Charlies Case,Resonator,Wealthy Investor,Daytona,West Of Africa,Oakfield Triumph,Data Patch
07-01-2023 16:13:41.147310,"(6.0, 7.4, 7.20952380952381)","(31.0, 160.0, 92.5)","(7.5, 9.0, 8.825867507886436)","(91.0, 180.0, 168.75)","(21.0, 48.0, 45.3)","(51.0, 70.0, 65.0)","(5.5, 6.4, 6.2176136363636365)","(71.0, 100.0, 95.0)","(51.0, 100.0, 95.83333333333333)","(3.5, 3.7, 3.6194831013916504)","(51.0, 80.0, 71.34615384615384)","(8.5, 11.5, 11.080508474576272)","(6.0, 7.4, 7.233187772925764)","(71.0, 100.0, 98.75)","(81.0, 120.0, 109.0909090909091)"
07-01-2023 16:13:42.912216,"(6.0, 7.4, 7.317073170731708)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.833939393939394)","(91.0, 180.0, 168.75)","(21.0, 48.0, 45.65217391304348)","(51.0, 70.0, 64.0)","(5.5, 6.4, 6.079439252336448)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 95.83333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.96428571428571)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.245267489711934)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:44.812207,"(6.0, 7.4, 7.317073170731708)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.833939393939394)","(91.0, 180.0, 168.75)","(21.0, 48.0, 46.0)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.074146341463415)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.245267489711934)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:46.579993,"(6.0, 7.4, 7.332000000000001)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.833939393939394)","(91.0, 180.0, 168.75)","(21.0, 48.0, 46.0)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.071641791044776)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.2513833992094865)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:48.558206,"(6.0, 7.4, 7.335849056603774)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.833939393939394)","(91.0, 180.0, 168.75)","(21.0, 48.0, 46.0)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.071641791044776)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.2513833992094865)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:50.296004,"(6.0, 7.4, 7.335849056603774)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.833939393939394)","(91.0, 180.0, 168.75)","(21.0, 48.0, 46.0)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.071641791044776)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.2513833992094865)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:52.040156,"(6.0, 7.4, 7.335849056603774)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.833939393939394)","(91.0, 180.0, 168.75)","(21.0, 48.0, 46.0)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.071641791044776)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.2513833992094865)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:53.754936,"(6.0, 7.4, 7.335849056603774)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.837869822485208)","(91.0, 180.0, 168.75)","(21.0, 48.0, 46.0)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.071544715447154)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.2513833992094865)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:55.503037,"(6.0, 7.4, 7.345161290322581)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.837869822485208)","(91.0, 180.0, 168.75)","(21.0, 48.0, 46.0)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.071544715447154)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.2513833992094865)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:57.201390,"(6.0, 7.4, 7.332000000000001)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.837869822485208)","(91.0, 180.0, 168.75)","(21.0, 48.0, 45.65217391304348)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.071544715447154)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 71.72413793103448)","(8.5, 11.5, 11.115686274509804)","(6.0, 7.4, 7.2513833992094865)","(71.0, 100.0, 98.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:13:58.881394,"(6.0, 7.4, 7.348484848484849)","(31.0, 160.0, 117.14285714285714)","(7.5, 9.0, 8.839296187683285)","(91.0, 180.0, 168.75)","(21.0, 48.0, 45.75)","(51.0, 70.0, 64.0)","(5.5, 6.2, 6.095364238410596)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6541189931350115)","(51.0, 80.0, 72.0)","(8.5, 11.5, 11.118677042801556)","(6.0, 7.4, 7.253696498054475)","(71.0, 100.0, 98.88888888888889)","(81.0, 120.0, 109.0909090909091)"
07-01-2023 16:14:00.581133,"(6.0, 7.4, 7.348484848484849)","(31.0, 160.0, 89.16666666666667)","(7.5, 9.0, 8.835802469135803)","(91.0, 180.0, 168.75)","(21.0, 48.0, 47.368421052631575)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.0897338403041825)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6516867469879517)","(51.0, 80.0, 71.96428571428571)","(8.5, 11.5, 11.110655737704919)","(6.0, 7.4, 7.249152542372881)","(71.0, 100.0, 102.72727272727272)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:02.445828,"(6.0, 7.4, 7.3533333333333335)","(31.0, 160.0, 85.0)","(7.5, 9.0, 8.833228840125393)","(91.0, 180.0, 168.75)","(21.0, 48.0, 47.333333333333336)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.0897338403041825)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6516867469879517)","(51.0, 80.0, 75.0)","(8.5, 11.5, 11.110655737704919)","(6.0, 7.4, 7.249152542372881)","(71.0, 110.0, 102.72727272727272)","(81.0, 130.0, 115.0)"
07-01-2023 16:14:04.373278,"(6.0, 7.4, 7.3533333333333335)","(31.0, 160.0, 85.0)","(7.5, 9.0, 8.83661971830986)","(91.0, 180.0, 168.75)","(21.0, 48.0, 47.294117647058826)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.0897338403041825)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6516867469879517)","(51.0, 80.0, 75.0)","(8.5, 11.5, 11.110655737704919)","(6.0, 7.4, 7.249152542372881)","(71.0, 110.0, 102.72727272727272)","(81.0, 130.0, 111.53846153846153)"
07-01-2023 16:14:06.248368,"(6.0, 7.4, 7.364285714285715)","(31.0, 160.0, 85.0)","(7.5, 9.0, 8.83661971830986)","(91.0, 180.0, 168.75)","(21.0, 48.0, 47.294117647058826)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.082591093117409)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6512165450121654)","(51.0, 80.0, 75.0)","(8.5, 11.5, 11.109053497942387)","(6.0, 7.4, 7.247863247863248)","(71.0, 110.0, 102.72727272727272)","(81.0, 130.0, 111.53846153846153)"
07-01-2023 16:14:08.423239,"(6.0, 7.4, 7.364285714285715)","(31.0, 160.0, 85.0)","(7.5, 9.0, 8.83661971830986)","(91.0, 180.0, 168.75)","(21.0, 48.0, 47.294117647058826)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.082591093117409)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6512165450121654)","(51.0, 80.0, 75.0)","(8.5, 11.5, 11.109053497942387)","(6.0, 7.4, 7.247863247863248)","(71.0, 110.0, 102.72727272727272)","(81.0, 130.0, 111.53846153846153)"
07-01-2023 16:14:10.750654,"(6.0, 7.4, 7.364285714285715)","(31.0, 160.0, 82.85714285714286)","(7.5, 9.0, 8.83661971830986)","(91.0, 180.0, 168.75)","(21.0, 48.0, 47.333333333333336)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.102027027027027)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6512165450121654)","(51.0, 80.0, 75.0)","(8.5, 11.5, 11.109053497942387)","(6.0, 7.4, 7.247863247863248)","(71.0, 110.0, 102.72727272727272)","(81.0, 130.0, 111.53846153846153)"
07-01-2023 16:14:12.441087,"(6.0, 7.4, 7.364285714285715)","(31.0, 160.0, 82.85714285714286)","(7.5, 9.0, 8.83661971830986)","(91.0, 180.0, 168.75)","(21.0, 48.0, 47.333333333333336)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.048167539267015)","(71.0, 100.0, 95.55555555555556)","(51.0, 100.0, 97.33333333333333)","(3.5, 3.7, 3.6512165450121654)","(51.0, 80.0, 75.0)","(8.5, 11.5, 11.109053497942387)","(6.0, 7.4, 7.247863247863248)","(71.0, 110.0, 102.72727272727272)","(81.0, 130.0, 111.53846153846153)"
07-01-2023 16:14:14.433258,"(6.0, 7.4, 7.333333333333334)","(31.0, 160.0, 82.85714285714286)","(7.5, 9.0, 8.836879432624114)","(91.0, 180.0, 171.42857142857142)","(21.0, 48.0, 47.64705882352941)","(51.0, 70.0, 66.25)","(5.5, 6.2, 6.08019801980198)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.5, 3.7, 3.6512345679012346)","(51.0, 80.0, 75.0)","(8.5, 11.5, 11.109958506224066)","(6.0, 7.4, 7.248484848484849)","(71.0, 110.0, 102.72727272727272)","(81.0, 130.0, 111.53846153846153)"
07-01-2023 16:14:16.263536,"(6.0, 7.4, 7.3591836734693885)","(31.0, 160.0, 80.83333333333333)","(7.5, 9.0, 8.837956204379562)","(91.0, 180.0, 171.42857142857142)","(21.0, 48.0, 46.8)","(51.0, 70.0, 60.21739130434783)","(5.5, 6.2, 6.076136363636364)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.5, 3.7, 3.6517948717948716)","(51.0, 80.0, 78.84615384615384)","(8.5, 11.5, 11.109442060085836)","(6.0, 7.4, 7.247222222222223)","(71.0, 120.0, 102.35294117647058)","(81.0, 130.0, 116.66666666666667)"
07-01-2023 16:14:17.976718,"(6.0, 7.4, 7.3475409836065575)","(31.0, 160.0, 80.83333333333333)","(7.5, 9.0, 8.837956204379562)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 46.8)","(51.0, 75.0, 60.21739130434783)","(5.5, 6.2, 6.076136363636364)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.5, 3.7, 3.65607476635514)","(51.0, 80.0, 78.84615384615384)","(8.5, 11.5, 11.109442060085836)","(6.0, 7.4, 7.247222222222223)","(71.0, 120.0, 100.5)","(81.0, 130.0, 111.53846153846153)"
07-01-2023 16:14:19.662523,"(6.0, 7.4, 7.115384615384616)","(31.0, 160.0, 112.5)","(7.5, 9.0, 8.839130434782609)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 47.69230769230769)","(51.0, 75.0, 64.8)","(5.5, 6.2, 6.163855421686747)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.5, 3.7, 3.648695652173913)","(51.0, 80.0, 72.5)","(8.5, 11.5, 11.109442060085836)","(6.0, 7.6, 7.542105263157895)","(71.0, 120.0, 103.75)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:21.720753,"(6.0, 7.2, 7.15)","(31.0, 160.0, 123.46153846153845)","(7.5, 9.0, 8.837956204379562)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 47.69230769230769)","(51.0, 75.0, 65.89285714285714)","(5.5, 6.2, 6.082051282051282)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.5, 3.65, 3.63953488372093)","(51.0, 80.0, 77.0)","(8.5, 11.5, 11.107758620689655)","(6.0, 7.8, 7.622222222222222)","(71.0, 120.0, 106.45833333333333)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:23.621463,"(6.0, 7.2, 7.109090909090909)","(31.0, 160.0, 123.46153846153845)","(7.5, 9.0, 8.833082706766918)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 47.69230769230769)","(51.0, 75.0, 65.89285714285714)","(5.5, 6.2, 6.080519480519481)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.5, 3.65, 3.6484771573604062)","(51.0, 80.0, 77.0)","(8.5, 11.5, 11.106060606060606)","(6.0, 7.8, 7.622222222222222)","(71.0, 120.0, 106.45833333333333)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:25.297795,"(6.0, 7.4, 7.0600000000000005)","(31.0, 160.0, 123.46153846153845)","(7.5, 9.0, 8.833082706766918)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 47.69230769230769)","(41.0, 75.0, 65.89285714285714)","(5.5, 6.2, 6.080519480519481)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.4, 3.65, 3.6484771573604062)","(51.0, 80.0, 77.0)","(8.5, 11.5, 11.106060606060606)","(6.0, 7.8, 7.6066666666666665)","(71.0, 120.0, 106.45833333333333)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:27.124733,"(6.0, 7.4, 7.070588235294117)","(31.0, 160.0, 123.46153846153845)","(7.5, 9.0, 8.833082706766918)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 47.69230769230769)","(41.0, 75.0, 65.89285714285714)","(5.5, 6.2, 6.080519480519481)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.4, 3.65, 3.6484771573604062)","(51.0, 80.0, 75.58823529411765)","(8.5, 11.5, 11.106060606060606)","(6.0, 7.8, 7.6066666666666665)","(71.0, 120.0, 106.45833333333333)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:28.909995,"(6.0, 7.4, 7.070588235294117)","(31.0, 160.0, 123.46153846153845)","(7.5, 9.0, 8.833082706766918)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 47.69230769230769)","(41.0, 75.0, 62.857142857142854)","(5.5, 6.2, 6.080519480519481)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.4, 3.65, 3.6484771573604062)","(51.0, 80.0, 75.3125)","(8.5, 11.5, 11.106060606060606)","(6.0, 7.8, 7.6066666666666665)","(71.0, 120.0, 99.6875)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:30.766070,"(6.0, 7.4, 7.05)","(31.0, 160.0, 110.0)","(7.5, 9.0, 8.823809523809524)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 47.69230769230769)","(41.0, 75.0, 56.111111111111114)","(5.5, 6.2, 6.060115606936416)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.4, 3.65, 3.6584070796460177)","(51.0, 80.0, 75.3125)","(8.5, 11.5, 11.107758620689655)","(6.0, 7.8, 7.4916943521594686)","(71.0, 120.0, 99.6875)","(81.0, 120.0, 110.0)"
07-01-2023 16:14:32.364057,"(6.0, 7.2, 7.05)","(31.0, 160.0, 110.0)","(7.5, 9.0, 8.82390438247012)","(91.0, 180.0, 171.42857142857142)","(21.0, 50.0, 57.5)","(41.0, 75.0, 62.5)","(5.5, 6.2, 6.046153846153846)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.4, 3.7, 3.654176904176904)","(51.0, 80.0, 75.3125)","(8.5, 11.5, 11.106521739130434)","(6.0, 7.8, 7.488888888888889)","(71.0, 120.0, 99.6875)","(81.0, 120.0, 110.9090909090909)"
07-01-2023 16:14:34.194223,"(6.0, 7.2, 7.144444444444445)","(31.0, 160.0, 110.0)","(7.5, 9.0, 8.82390438247012)","(91.0, 180.0, 171.42857142857142)","(21.0, 65.0, 54.5)","(41.0, 65.0, 62.5)","(5.5, 6.2, 6.044155844155844)","(71.0, 100.0, 96.25)","(51.0, 100.0, 97.85714285714286)","(3.4, 3.7, 3.6582774049217)","(51.0, 80.0, 75.58823529411765)","(8.5, 11.5, 11.106521739130434)","(6.0, 7.8, 7.488888888888889)","(71.0, 120.0, 100.88235294117646)","(81.0, 120.0, 110.9090909090909)"
07-01-2023 16:14:35.917783,"(6.0, 7.2, 7.16875)","(31.0, 160.0, 139.16666666666666)","(7.5, 9.0, 8.825296442687748)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 54.5)","(41.0, 65.0, 52.25)","(5.5, 6.2, 5.973584905660378)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.47826086956522)","(3.4, 3.7, 3.781081081081081)","(51.0, 80.0, 69.28571428571429)","(8.5, 11.5, 11.078125)","(6.0, 7.8, 7.488888888888889)","(71.0, 120.0, 112.5)","(81.0, 120.0, 105.71428571428571)"
07-01-2023 16:14:37.512891,"(6.0, 7.2, 7.1722222222222225)","(31.0, 160.0, 139.16666666666666)","(7.5, 9.0, 8.82734375)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 54.375)","(5.5, 6.0, 5.972277227722772)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.47826086956522)","(3.4, 3.8, 3.770121951219512)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.081395348837209)","(6.0, 7.8, 7.492)","(71.0, 120.0, 112.0)","(81.0, 120.0, 105.71428571428571)"
07-01-2023 16:14:39.115518,"(6.0, 7.2, 7.1722222222222225)","(31.0, 160.0, 139.16666666666666)","(7.5, 9.0, 8.82734375)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.945341614906832)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.47826086956522)","(3.4, 3.8, 3.7922535211267605)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.015486725663717)","(6.0, 7.8, 7.492)","(71.0, 120.0, 111.11111111111111)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:40.873500,"(6.0, 7.2, 7.17872340425532)","(31.0, 160.0, 139.16666666666666)","(7.5, 9.0, 8.82734375)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.945341614906832)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.47826086956522)","(3.4, 3.8, 3.7922535211267605)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.015486725663717)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:42.502797,"(6.0, 7.2, 7.17872340425532)","(31.0, 160.0, 139.16666666666666)","(7.5, 9.0, 8.82734375)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.928455284552846)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.33333333333333)","(3.4, 3.8, 3.7922535211267605)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.015486725663717)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:44.170782,"(6.0, 7.2, 7.182758620689655)","(31.0, 160.0, 139.16666666666666)","(7.5, 9.0, 8.824647887323945)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.928455284552846)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.33333333333333)","(3.4, 3.8, 3.7874999999999996)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.015486725663717)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:45.790705,"(6.0, 7.2, 7.182758620689655)","(31.0, 160.0, 139.16666666666666)","(7.5, 9.0, 8.824647887323945)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.928455284552846)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.33333333333333)","(3.4, 3.8, 3.7960992907801416)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.015486725663717)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:47.413313,"(6.0, 7.2, 7.182758620689655)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.824647887323945)","(91.0, 180.0, 176.66666666666666)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.923026315789474)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.33333333333333)","(3.4, 3.8, 3.7840314136125652)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.015486725663717)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:48.952247,"(6.0, 7.2, 7.182758620689655)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.820863309352518)","(91.0, 180.0, 177.14285714285714)","(21.0, 65.0, 55.45454545454545)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.923026315789474)","(71.0, 100.0, 98.75)","(51.0, 100.0, 93.33333333333333)","(3.4, 3.8, 3.778888888888889)","(51.0, 80.0, 68.0)","(8.5, 11.5, 10.836363636363636)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:50.562129,"(6.0, 7.2, 7.182758620689655)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.81278195488722)","(91.0, 180.0, 177.14285714285714)","(21.0, 65.0, 58.4375)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.923026315789474)","(71.0, 100.0, 98.75)","(51.0, 100.0, 92.91666666666667)","(3.4, 3.8, 3.7757936507936507)","(51.0, 80.0, 68.0)","(8.5, 11.5, 10.836363636363636)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:52.099304,"(6.0, 7.2, 7.182758620689655)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.81278195488722)","(91.0, 180.0, 177.14285714285714)","(21.0, 65.0, 58.4375)","(41.0, 65.0, 56.5625)","(5.5, 6.0, 5.738916256157635)","(71.0, 100.0, 98.75)","(51.0, 95.0, 92.91666666666667)","(3.4, 3.8, 3.758116883116883)","(51.0, 80.0, 68.0)","(8.5, 11.5, 10.839233038348082)","(6.0, 7.8, 7.4950495049504955)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:53.669529,"(6.0, 7.2, 7.182758620689655)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.81278195488722)","(91.0, 180.0, 177.14285714285714)","(21.0, 65.0, 58.4375)","(41.0, 65.0, 56.5625)","(5.5, 5.8, 5.738916256157635)","(71.0, 100.0, 98.75)","(51.0, 95.0, 92.91666666666667)","(3.4, 3.8, 3.758116883116883)","(51.0, 80.0, 68.0)","(8.5, 11.5, 10.839233038348082)","(6.0, 7.8, 7.4950495049504955)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:55.238218,"(6.0, 7.6, 7.370491803278688)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.81278195488722)","(91.0, 180.0, 177.14285714285714)","(21.0, 60.0, 58.18181818181818)","(41.0, 65.0, 61.785714285714285)","(5.5, 5.6, 5.545614035087719)","(71.0, 100.0, 98.75)","(51.0, 95.0, 93.18181818181819)","(3.4, 3.8, 3.758116883116883)","(51.0, 80.0, 68.0)","(8.5, 11.5, 11.060240963855422)","(6.0, 7.8, 7.514814814814815)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:56.925341,"(6.0, 7.6, 7.25)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.81278195488722)","(91.0, 180.0, 177.14285714285714)","(21.0, 60.0, 56.0)","(41.0, 65.0, 61.785714285714285)","(5.5, 5.6, 5.6097701149425285)","(71.0, 100.0, 98.75)","(51.0, 95.0, 93.18181818181819)","(3.4, 3.8, 3.758116883116883)","(51.0, 80.0, 67.88461538461539)","(8.5, 11.5, 10.83434650455927)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:14:58.431127,"(6.0, 7.6, 7.25)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.81278195488722)","(91.0, 180.0, 177.14285714285714)","(21.0, 60.0, 56.0)","(41.0, 65.0, 61.785714285714285)","(5.5, 5.7, 5.6097701149425285)","(71.0, 100.0, 98.75)","(51.0, 95.0, 93.18181818181819)","(3.4, 3.8, 3.758116883116883)","(51.0, 80.0, 67.88461538461539)","(8.5, 11.5, 10.83434650455927)","(6.0, 7.8, 7.492)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
07-01-2023 16:15:00.307852,"(6.0, 7.6, 7.4763636363636365)","(31.0, 160.0, 140.76923076923077)","(7.5, 9.0, 8.814179104477613)","(91.0, 180.0, 177.14285714285714)","(21.0, 60.0, 56.0)","(41.0, 65.0, 61.89655172413793)","(5.5, 5.7, 5.453012048192771)","(71.0, 100.0, 102.5)","(51.0, 95.0, 93.33333333333333)","(3.4, 3.8, 3.7599378881987575)","(51.0, 80.0, 67.88461538461539)","(8.5, 11.5, 10.877840909090908)","(6.0, 7.8, 7.5200000000000005)","(71.0, 120.0, 105.33333333333333)","(81.0, 120.0, 105.0)"
