,Wishing Well,Indy Korie,Chinchilla Mist,Blackpool Dill,Edi Bale,Responder,Kyanna,Whiskey Diva
06-01-2023 14:44:55.747464,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 6.8, 5.192)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:56.937663,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:58.133463,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:44:59.341437,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:00.510284,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:02.032557,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 75.0, 49.16666666666667)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:03.552947,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 70.0, 49.16666666666667)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:04.906244,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 70.0, 49.16666666666667)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:06.328948,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 70.0, 49.16666666666667)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:07.521690,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:08.776070,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:10.053583,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
