,Vanburg,Oakfield Triumph,Sneaky Paige,Compassionate,Hell I Am,Shalailed,Resonator,Arch Of Titus
14-12-2022 14:28:14.374014,"(101.0, 300.0, 220.0)","(101.0, 230.0, 220.0)","(3.2, 3.85, 3.7887640449438202)","(31.0, 40.0, 38.76190476190476)","(2.6, 3.1, 3.0688)","(3.9, 4.4, 4.3816046966731905)","(6.5, 7.8, 7.434782608695652)","(101.0, 140.0, 137.85714285714286)"
14-12-2022 14:28:15.559514,"(101.0, 280.0, 210.0)","(101.0, 220.0, 210.90909090909093)","(3.2, 3.8, 3.7371794871794872)","(31.0, 40.0, 41.67741935483871)","(2.6, 3.1, 3.066086956521739)","(3.9, 4.4, 4.3816046966731905)","(6.5, 7.8, 7.488888888888889)","(101.0, 140.0, 146.0)"
14-12-2022 14:28:16.721305,"(101.0, 280.0, 210.0)","(101.0, 210.0, 201.8181818181818)","(3.2, 3.8, 3.7371794871794872)","(31.0, 44.0, 41.67741935483871)","(2.6, 3.1, 3.0785714285714283)","(3.9, 4.4, 4.3816046966731905)","(6.5, 7.8, 7.488888888888889)","(101.0, 150.0, 146.66666666666666)"
14-12-2022 14:28:17.846128,"(101.0, 270.0, 183.33333333333334)","(101.0, 210.0, 201.8181818181818)","(3.2, 3.8, 3.750662251655629)","(31.0, 44.0, 41.67741935483871)","(2.6, 3.15, 3.0689189189189188)","(3.9, 4.4, 4.3816046966731905)","(6.5, 7.8, 7.488888888888889)","(101.0, 150.0, 146.66666666666666)"
14-12-2022 14:28:19.051902,"(101.0, 270.0, 183.33333333333334)","(101.0, 190.0, 183.63636363636363)","(3.2, 3.8, 3.7519607843137255)","(31.0, 44.0, 41.06122448979592)","(2.6, 3.15, 3.1066176470588234)","(3.9, 4.4, 4.379497098646035)","(6.5, 7.8, 7.488888888888889)","(101.0, 150.0, 146.66666666666666)"
14-12-2022 14:28:20.265022,"(101.0, 270.0, 183.33333333333334)","(101.0, 190.0, 183.63636363636363)","(3.2, 3.8, 3.7519607843137255)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.15, 3.10352422907489)","(3.9, 4.4, 4.382318271119843)","(6.5, 7.8, 7.439024390243903)","(101.0, 150.0, 146.66666666666666)"
14-12-2022 14:28:21.451139,"(101.0, 280.0, 186.66666666666666)","(101.0, 180.0, 169.0909090909091)","(3.2, 3.8, 3.7519607843137255)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.2, 3.064788732394366)","(3.9, 4.4, 4.382677165354331)","(6.5, 7.8, 7.439024390243903)","(101.0, 150.0, 146.92307692307693)"
14-12-2022 14:28:22.734823,"(101.0, 280.0, 186.66666666666666)","(101.0, 180.0, 169.0909090909091)","(3.2, 3.8, 3.7519607843137255)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.2, 3.064788732394366)","(3.9, 4.4, 4.352631578947369)","(6.5, 7.8, 7.397872340425533)","(101.0, 150.0, 146.92307692307693)"
14-12-2022 14:28:24.001494,"(101.0, 270.0, 183.33333333333334)","(101.0, 170.0, 160.9090909090909)","(3.2, 3.8, 3.72303664921466)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.2, 3.0629729729729727)","(3.9, 4.4, 4.352631578947369)","(6.5, 7.4, 7.398165137614679)","(101.0, 150.0, 142.94117647058823)"
14-12-2022 14:28:25.414623,"(101.0, 270.0, 183.33333333333334)","(101.0, 160.0, 145.71428571428572)","(3.2, 3.8, 3.73013698630137)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.2, 3.0629729729729727)","(3.9, 4.4, 4.352631578947369)","(6.5, 7.4, 7.958620689655173)","(101.0, 150.0, 146.92307692307693)"
14-12-2022 14:28:26.861114,"(101.0, 260.0, 200.0)","(101.0, 160.0, 145.71428571428572)","(3.2, 3.75, 3.73013698630137)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.2, 3.0629729729729727)","(3.9, 4.4, 4.352631578947369)","(6.5, 8.0, 7.958620689655173)","(101.0, 150.0, 142.94117647058823)"
14-12-2022 14:28:28.377770,"(101.0, 250.0, 184.0)","(101.0, 160.0, 145.71428571428572)","(3.2, 3.75, 3.7242647058823533)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.2, 3.0713197969543145)","(3.9, 4.4, 4.290272373540856)","(6.5, 8.0, 7.958620689655173)","(101.0, 150.0, 146.92307692307693)"
14-12-2022 14:28:29.789003,"(101.0, 240.0, 190.0)","(101.0, 160.0, 145.71428571428572)","(3.2, 3.75, 3.7242647058823533)","(31.0, 44.0, 41.45882352941177)","(2.6, 3.2, 3.0713197969543145)","(3.9, 4.3, 4.290272373540856)","(6.5, 8.0, 7.423762376237624)","(101.0, 150.0, 141.42857142857142)"
14-12-2022 14:28:31.218226,"(101.0, 240.0, 173.33333333333334)","(101.0, 160.0, 145.0)","(3.2, 3.75, 3.721311475409836)","(31.0, 44.0, 41.72631578947369)","(2.6, 3.2, 3.130864197530864)","(3.9, 4.4, 4.319310344827586)","(6.5, 8.0, 7.821122112211221)","(101.0, 150.0, 143.33333333333334)"
14-12-2022 14:28:32.541635,"(101.0, 240.0, 190.0)","(101.0, 170.0, 158.57142857142858)","(3.2, 3.8, 3.714606741573034)","(31.0, 44.0, 41.93333333333333)","(2.6, 3.15, 3.1271999999999998)","(3.9, 4.4, 4.321374045801527)","(6.5, 8.0, 7.827350427350427)","(101.0, 150.0, 141.42857142857142)"
14-12-2022 14:28:33.859229,"(101.0, 260.0, 188.0)","(101.0, 170.0, 160.9090909090909)","(3.2, 3.8, 3.761809045226131)","(31.0, 42.0, 41.93333333333333)","(2.6, 3.15, 3.0765432098765433)","(3.9, 4.4, 4.339766081871345)","(6.5, 8.0, 7.824884792626728)","(101.0, 150.0, 141.42857142857142)"
14-12-2022 14:28:35.264721,"(101.0, 250.0, 195.0)","(101.0, 170.0, 160.9090909090909)","(3.2, 3.8, 3.765771812080537)","(31.0, 42.0, 41.93333333333333)","(2.6, 3.1, 3.079047619047619)","(3.9, 4.4, 4.337951807228916)","(6.5, 8.0, 7.816425120772947)","(101.0, 150.0, 141.42857142857142)"
14-12-2022 14:28:36.795609,"(101.0, 260.0, 188.0)","(101.0, 170.0, 160.9090909090909)","(3.2, 3.8, 3.7628048780487804)","(31.0, 42.0, 41.93333333333333)","(2.6, 3.1, 3.0446745562130175)","(3.9, 4.4, 4.337951807228916)","(6.5, 8.0, 7.806796116504854)","(101.0, 150.0, 141.42857142857142)"
14-12-2022 14:28:38.238802,"(101.0, 250.0, 170.0)","(101.0, 170.0, 160.9090909090909)","(3.2, 3.8, 3.734468085106383)","(31.0, 42.0, 41.934065934065934)","(2.6, 3.05, 3.2616412213740458)","(3.9, 4.4, 4.291119691119691)","(6.5, 8.0, 7.37)","(101.0, 150.0, 140.76923076923077)"
14-12-2022 14:28:39.632184,"(101.0, 250.0, 190.0)","(101.0, 170.0, 158.88888888888889)","(3.2, 3.8, 3.7479591836734696)","(31.0, 44.0, 41.80769230769231)","(2.6, 3.3, 3.0919354838709676)","(3.9, 4.3, 4.363486842105264)","(6.5, 7.4, 7.770422535211267)","(101.0, 150.0, 141.42857142857142)"
14-12-2022 14:28:40.891811,"(101.0, 250.0, 190.0)","(101.0, 130.0, 124.44444444444444)","(3.2, 3.8, 3.7479591836734696)","(31.0, 42.0, 41.80769230769231)","(2.6, 3.15, 3.0636363636363635)","(3.9, 4.4, 4.336206896551724)","(6.5, 7.8, 7.66)","(101.0, 150.0, 142.0)"
14-12-2022 14:28:42.067693,"(101.0, 260.0, 216.66666666666669)","(101.0, 120.0, 117.6470588235294)","(3.2, 3.8, 3.7465968586387435)","(31.0, 44.0, 41.69230769230769)","(2.6, 3.15, 3.106818181818182)","(3.9, 4.4, 4.336206896551724)","(6.5, 7.8, 7.66)","(101.0, 150.0, 136.66666666666666)"
14-12-2022 14:28:43.258814,"(101.0, 250.0, 190.0)","(101.0, 120.0, 117.14285714285714)","(3.2, 3.8, 3.7468421052631578)","(31.0, 42.0, 39.23076923076923)","(2.6, 3.15, 3.131470588235294)","(3.9, 4.4, 4.349773755656109)","(6.5, 7.8, 7.5200000000000005)","(101.0, 150.0, 142.0)"
14-12-2022 14:28:44.442125,"(101.0, 260.0, 216.66666666666669)","(101.0, 120.0, 118.26086956521739)","(3.2, 3.8, 3.7627659574468084)","(31.0, 42.0, 39.23076923076923)","(2.6, 3.15, 3.131470588235294)","(3.9, 4.4, 4.349773755656109)","(6.5, 7.8, 7.5200000000000005)","(101.0, 150.0, 138.0)"
14-12-2022 14:28:45.698151,"(101.0, 250.0, 232.85714285714286)","(101.0, 120.0, 118.33333333333333)","(3.2, 3.8, 3.7675925925925924)","(31.0, 42.0, 39.62162162162162)","(2.6, 3.1, 3.0953237410071943)","(3.9, 4.4, 4.345049504950495)","(6.5, 7.8, 7.391666666666667)","(101.0, 150.0, 144.28571428571428)"
14-12-2022 14:28:46.884042,"(101.0, 250.0, 234.0)","(101.0, 120.0, 118.33333333333333)","(3.2, 3.8, 3.7862944162436545)","(31.0, 42.0, 38.333333333333336)","(2.6, 3.1, 3.037837837837838)","(3.9, 4.4, 4.326573426573426)","(6.5, 7.4, 7.391666666666667)","(101.0, 150.0, 147.64705882352942)"
14-12-2022 14:28:48.067349,"(101.0, 260.0, 205.0)","(101.0, 120.0, 118.33333333333333)","(3.2, 3.75, 3.744973544973545)","(31.0, 42.0, 37.111111111111114)","(2.6, 3.1, 3.0545112781954886)","(3.9, 4.4, 4.345370370370371)","(6.5, 7.4, 7.393006993006994)","(101.0, 150.0, 144.28571428571428)"
14-12-2022 14:28:49.238614,"(101.0, 250.0, 183.33333333333334)","(101.0, 110.0, 109.0)","(3.2, 3.75, 3.744946808510638)","(31.0, 42.0, 37.111111111111114)","(2.6, 3.1, 3.0545112781954886)","(3.9, 4.4, 4.345370370370371)","(6.5, 7.4, 7.393006993006994)","(101.0, 150.0, 144.28571428571428)"
14-12-2022 14:28:50.336873,"(101.0, 250.0, 225.0)","(101.0, 110.0, 109.23076923076923)","(3.2, 3.8, 3.779230769230769)","(31.0, 42.0, 38.74074074074074)","(2.6, 3.1, 3.0612179487179487)","(3.9, 4.4, 4.381578947368421)","(6.5, 7.6, 7.526315789473684)","(101.0, 150.0, 143.33333333333334)"
14-12-2022 14:28:51.383786,"(101.0, 260.0, 192.5)","(101.0, 120.0, 112.0)","(3.2, 3.75, 3.7426470588235294)","(31.0, 40.0, 39.1578947368421)","(2.6, 3.1, 3.044580152671756)","(3.9, 4.5, 4.455813953488372)","(6.5, 7.8, 7.707692307692308)","(101.0, 150.0, 142.0)"
14-12-2022 14:28:52.509606,"(101.0, 250.0, 210.0)","(101.0, 120.0, 112.0)","(3.2, 3.75, 3.7426470588235294)","(31.0, 40.0, 37.714285714285715)","(2.6, 3.1, 3.0481632653061226)","(3.9, 4.5, 4.461616161616162)","(6.5, 7.8, 7.68)","(101.0, 150.0, 143.33333333333334)"
14-12-2022 14:28:53.709055,"(101.0, 250.0, 177.27272727272728)","(101.0, 120.0, 117.33333333333333)","(3.2, 3.85, 3.7496575342465754)","(31.0, 40.0, 39.68181818181818)","(2.6, 3.05, 3.0226363636363636)","(3.9, 4.5, 4.461616161616162)","(6.5, 7.8, 7.4)","(101.0, 150.0, 148.26086956521738)"
14-12-2022 14:28:54.889187,"(101.0, 230.0, 200.0)","(101.0, 120.0, 117.33333333333333)","(3.2, 3.85, 3.7395728643216084)","(31.0, 40.0, 39.37037037037037)","(2.6, 3.05, 3.0201067615658364)","(3.9, 4.5, 4.464150943396227)","(6.5, 7.8, 7.275)","(101.0, 150.0, 162.30769230769232)"
14-12-2022 14:28:56.092306,"(101.0, 230.0, 200.0)","(101.0, 120.0, 117.33333333333333)","(3.2, 3.85, 3.7308943089430895)","(31.0, 40.0, 39.37037037037037)","(2.6, 3.05, 3.0201067615658364)","(3.9, 4.5, 4.472857142857143)","(6.5, 7.8, 7.3100000000000005)","(101.0, 190.0, 162.8125)"
14-12-2022 14:28:57.189607,"(101.0, 230.0, 200.0)","(101.0, 120.0, 117.33333333333333)","(3.2, 3.85, 3.709584664536741)","(31.0, 40.0, 39.37037037037037)","(2.6, 3.05, 3.0201067615658364)","(3.9, 4.5, 4.472857142857143)","(6.5, 7.8, 7.3)","(101.0, 180.0, 152.5)"
14-12-2022 14:28:58.274037,"(101.0, 230.0, 200.0)","(101.0, 120.0, 116.0)","(3.2, 3.8, 3.7581395348837208)","(31.0, 40.0, 39.37037037037037)","(2.6, 3.05, 3.0202127659574467)","(3.9, 4.5, 4.468852459016394)","(6.5, 7.8, 7.3)","(101.0, 180.0, 154.11764705882354)"
14-12-2022 14:28:59.445823,"(101.0, 230.0, 200.0)","(101.0, 120.0, 116.0)","(3.2, 3.85, 3.8006734006734004)","(31.0, 40.0, 39.12820512820513)","(2.6, 3.05, 3.008415841584158)","(3.9, 4.5, 4.468852459016394)","(6.5, 7.8, 7.3)","(101.0, 180.0, 154.11764705882354)"
14-12-2022 14:29:00.632327,"(101.0, 230.0, 200.0)","(101.0, 120.0, 116.0)","(3.2, 3.8, 3.773529411764706)","(31.0, 40.0, 39.12820512820513)","(2.6, 3.05, 3.012995594713656)","(3.9, 4.5, 4.468852459016394)","(6.5, 7.8, 7.339682539682539)","(101.0, 180.0, 154.11764705882354)"
14-12-2022 14:29:01.804276,"(101.0, 230.0, 200.0)","(101.0, 130.0, 123.33333333333333)","(3.2, 3.8, 3.6777070063694266)","(31.0, 40.0, 39.12820512820513)","(2.6, 3.1, 3.058455882352941)","(3.9, 4.5, 4.427586206896552)","(6.5, 7.8, 7.481283422459893)","(101.0, 180.0, 154.11764705882354)"
14-12-2022 14:29:02.981405,"(101.0, 230.0, 200.0)","(101.0, 130.0, 124.0)","(3.2, 3.8, 3.6980263157894737)","(31.0, 40.0, 39.521126760563384)","(2.6, 3.1, 3.050422297297297)","(3.9, 4.6, 4.5009900990099005)","(6.5, 7.8, 7.308791208791209)","(101.0, 180.0, 162.5)"
14-12-2022 14:29:04.116995,"(101.0, 230.0, 190.0)","(101.0, 140.0, 121.66666666666667)","(3.2, 3.7, 3.671597633136095)","(31.0, 40.0, 39.78125)","(2.6, 3.1, 3.011354961832061)","(3.9, 4.6, 4.55406976744186)","(6.5, 7.8, 7.3545454545454545)","(101.0, 170.0, 154.11764705882354)"
14-12-2022 14:29:05.288584,"(101.0, 240.0, 200.0)","(101.0, 130.0, 124.0)","(3.2, 3.7, 3.6873684210526316)","(31.0, 40.0, 39.78125)","(2.6, 3.05, 3.0455223880597013)","(3.9, 4.6, 4.556050955414013)","(6.5, 7.4, 7.342857142857143)","(101.0, 180.0, 155.55555555555554)"
14-12-2022 14:29:06.385941,"(101.0, 240.0, 193.33333333333334)","(101.0, 130.0, 125.71428571428571)","(3.2, 3.7, 3.6873684210526316)","(31.0, 40.0, 39.78125)","(2.6, 3.05, 3.047391304347826)","(3.9, 4.6, 4.5575)","(6.5, 7.4, 7.3304347826086955)","(101.0, 180.0, 155.55555555555554)"
14-12-2022 14:29:07.520704,"(101.0, 240.0, 200.0)","(101.0, 140.0, 130.83333333333334)","(3.2, 3.7, 3.68420245398773)","(31.0, 40.0, 39.77777777777778)","(2.6, 3.05, 3.046655518394649)","(3.9, 4.6, 4.5575)","(6.5, 7.4, 7.2164383561643834)","(101.0, 180.0, 155.55555555555554)"
14-12-2022 14:29:08.667940,"(101.0, 240.0, 200.0)","(101.0, 140.0, 130.83333333333334)","(3.2, 3.7, 3.68420245398773)","(31.0, 40.0, 39.77777777777778)","(2.6, 3.05, 3.046655518394649)","(3.9, 4.6, 4.5575)","(6.5, 7.4, 7.2164383561643834)","(101.0, 180.0, 164.28571428571428)"
14-12-2022 14:29:09.823843,"(101.0, 240.0, 200.0)","(101.0, 140.0, 130.83333333333334)","(3.2, 3.7, 3.6982051282051285)","(31.0, 40.0, 39.791044776119406)","(2.6, 3.1, 3.0140686922060764)","(3.9, 4.6, 4.556129032258064)","(6.5, 7.4, 7.238938053097345)","(101.0, 180.0, 155.83333333333334)"
14-12-2022 14:29:11.012412,"(101.0, 240.0, 193.33333333333334)","(101.0, 140.0, 130.83333333333334)","(3.2, 3.8, 3.7017412935323386)","(31.0, 40.0, 39.791044776119406)","(2.6, 3.05, 3.0140686922060764)","(3.9, 4.6, 4.556129032258064)","(6.5, 7.4, 7.238938053097345)","(101.0, 160.0, 155.83333333333334)"
14-12-2022 14:29:12.185863,"(101.0, 240.0, 155.71428571428572)","(101.0, 140.0, 131.66666666666666)","(3.2, 3.8, 3.6895287958115186)","(31.0, 40.0, 39.57746478873239)","(2.6, 3.05, 3.0151679306608883)","(3.9, 4.6, 4.552173913043478)","(6.5, 7.4, 7.242424242424242)","(101.0, 160.0, 156.66666666666666)"
14-12-2022 14:29:13.272209,"(101.0, 170.0, 152.0)","(101.0, 140.0, 131.25)","(3.2, 3.8, 3.701732673267327)","(31.0, 40.0, 39.97014925373134)","(2.6, 3.05, 3.0135973763874873)","(3.9, 4.6, 4.585321100917431)","(6.5, 7.4, 7.26)","(101.0, 160.0, 168.94736842105263)"
14-12-2022 14:29:14.352747,"(101.0, 170.0, 158.0)","(101.0, 140.0, 132.22222222222223)","(3.2, 3.8, 3.7256410256410257)","(31.0, 40.0, 39.97014925373134)","(2.6, 3.05, 3.0134127789046654)","(3.9, 4.6, 4.585238095238095)","(6.5, 7.4, 7.2532258064516135)","(101.0, 180.0, 168.94736842105263)"
14-12-2022 14:29:15.398303,"(101.0, 160.0, 152.5)","(101.0, 140.0, 132.22222222222223)","(3.2, 3.8, 3.73781512605042)","(31.0, 40.0, 39.97014925373134)","(2.6, 3.05, 3.0134263959390863)","(3.9, 4.6, 4.564772727272727)","(6.5, 7.4, 7.2532258064516135)","(101.0, 180.0, 164.44444444444446)"
14-12-2022 14:29:16.430222,"(101.0, 160.0, 152.5)","(101.0, 140.0, 132.22222222222223)","(3.2, 3.8, 3.739714867617108)","(31.0, 40.0, 39.97014925373134)","(2.6, 3.05, 3.0253184713375796)","(3.9, 4.6, 4.583597883597883)","(6.5, 7.4, 7.250381679389313)","(101.0, 180.0, 164.44444444444446)"
14-12-2022 14:29:17.574802,"(101.0, 160.0, 152.5)","(101.0, 140.0, 132.22222222222223)","(3.2, 3.8, 3.7160472972972975)","(31.0, 40.0, 39.97014925373134)","(2.6, 3.05, 3.017573221757322)","(3.9, 4.6, 4.578472222222222)","(6.5, 7.4, 7.250381679389313)","(101.0, 180.0, 168.33333333333334)"
14-12-2022 14:29:18.733682,"(101.0, 160.0, 152.5)","(101.0, 140.0, 132.22222222222223)","(3.2, 3.75, 3.7160472972972975)","(31.0, 40.0, 39.97014925373134)","(2.6, 3.05, 3.003612716763006)","(3.9, 4.6, 4.588356164383561)","(6.5, 7.4, 7.26235741444867)","(101.0, 180.0, 168.57142857142858)"
14-12-2022 14:29:19.844568,"(101.0, 160.0, 152.5)","(101.0, 140.0, 131.14285714285714)","(3.2, 3.7, 3.662888888888889)","(31.0, 42.0, 40.810810810810814)","(2.6, 3.05, 3.087055837563452)","(3.9, 4.6, 4.591981132075471)","(6.5, 7.4, 7.259689922480621)","(101.0, 170.0, 168.75)"
14-12-2022 14:29:20.943614,"(101.0, 160.0, 154.0)","(101.0, 140.0, 131.6216216216216)","(3.2, 3.7, 3.6634085213032583)","(31.0, 42.0, 40.625)","(2.6, 3.15, 3.070547945205479)","(3.9, 4.6, 4.591191709844559)","(6.5, 7.4, 7.259143968871595)","(101.0, 170.0, 168.75)"
14-12-2022 14:29:22.003527,"(101.0, 160.0, 154.0)","(101.0, 140.0, 131.3953488372093)","(3.2, 3.7, 3.6814465408805033)","(31.0, 42.0, 40.625)","(2.6, 3.15, 3.107361963190184)","(3.9, 4.6, 4.588372093023255)","(6.5, 7.4, 7.259607843137255)","(101.0, 170.0, 168.75)"
14-12-2022 14:29:23.091198,"(101.0, 160.0, 154.0)","(101.0, 140.0, 131.3953488372093)","(3.2, 3.7, 3.691666666666667)","(31.0, 42.0, 41.27472527472528)","(2.6, 3.15, 3.060948905109489)","(3.9, 4.6, 4.590196078431372)","(6.5, 7.4, 7.259607843137255)","(101.0, 170.0, 168.75)"
14-12-2022 14:29:24.220746,"(101.0, 160.0, 154.0)","(101.0, 140.0, 131.3953488372093)","(3.2, 3.7, 3.7113702623906706)","(31.0, 42.0, 40.42857142857143)","(2.6, 3.15, 3.0297979797979795)","(3.9, 4.6, 4.67906976744186)","(6.5, 7.4, 7.288448844884488)","(101.0, 170.0, 165.71428571428572)"
14-12-2022 14:29:25.406456,"(101.0, 160.0, 155.0)","(101.0, 140.0, 134.44444444444446)","(3.2, 3.75, 3.71021021021021)","(31.0, 42.0, 40.42857142857143)","(2.6, 3.05, 3.0326576576576576)","(3.9, 4.7, 4.672340425531915)","(6.5, 7.4, 7.286195286195286)","(101.0, 190.0, 165.71428571428572)"
14-12-2022 14:29:26.559453,"(101.0, 160.0, 155.0)","(101.0, 140.0, 134.44444444444446)","(3.2, 3.75, 3.7082018927444795)","(31.0, 42.0, 40.642857142857146)","(2.6, 3.05, 2.991056603773585)","(3.9, 4.7, 4.666929133858268)","(6.5, 7.4, 7.058064516129033)","(101.0, 190.0, 165.71428571428572)"
14-12-2022 14:29:27.736328,"(101.0, 170.0, 160.0)","(101.0, 140.0, 135.83333333333334)","(3.2, 3.75, 3.7138655462184875)","(31.0, 42.0, 40.94444444444444)","(2.6, 3.0, 3.007643312101911)","(3.9, 4.7, 4.676582278481012)","(6.5, 7.2, 7.019753086419753)","(101.0, 190.0, 176.36363636363637)"
14-12-2022 14:29:28.725574,"(101.0, 170.0, 162.5)","(101.0, 140.0, 135.83333333333334)","(3.2, 3.75, 3.7138655462184875)","(31.0, 42.0, 40.94444444444444)","(2.6, 3.05, 3.007643312101911)","(3.9, 4.7, 4.676582278481012)","(6.5, 7.2, 7.019753086419753)","(101.0, 190.0, 176.36363636363637)"
14-12-2022 14:29:29.840852,"(101.0, 170.0, 164.0)","(101.0, 140.0, 136.05263157894737)","(3.2, 3.75, 3.7195035460992907)","(31.0, 42.0, 40.857142857142854)","(2.6, 3.0, 2.9973507462686566)","(3.9, 4.7, 4.665094339622642)","(6.5, 7.4, 7.253658536585366)","(101.0, 190.0, 177.5)"
14-12-2022 14:29:30.902452,"(101.0, 170.0, 164.0)","(101.0, 140.0, 136.05263157894737)","(3.2, 3.75, 3.7195035460992907)","(31.0, 42.0, 40.857142857142854)","(2.6, 3.0, 2.9973507462686566)","(3.9, 4.7, 4.665094339622642)","(6.5, 7.4, 7.253658536585366)","(101.0, 190.0, 177.5)"
14-12-2022 14:29:32.052684,"(101.0, 170.0, 164.0)","(101.0, 140.0, 136.05263157894737)","(3.2, 3.75, 3.707469512195122)","(31.0, 42.0, 40.15384615384615)","(2.6, 3.0, 2.999684542586751)","(4.0, 4.7, 4.726701570680628)","(6.5, 7.2, 7.035514018691589)","(101.0, 190.0, 177.5)"
14-12-2022 14:29:33.231449,"(101.0, 170.0, 164.0)","(101.0, 160.0, 152.25806451612902)","(3.2, 3.75, 3.707469512195122)","(31.0, 42.0, 40.15384615384615)","(2.6, 3.0, 2.999684542586751)","(4.0, 4.8, 4.734)","(6.5, 7.2, 6.888590604026845)","(101.0, 190.0, 177.5)"
14-12-2022 14:29:34.403721,"(101.0, 170.0, 164.0)","(101.0, 150.0, 144.57142857142858)","(3.2, 3.7, 3.678544776119403)","(31.0, 42.0, 40.9375)","(2.6, 3.05, 3.0164529914529914)","(3.9, 4.8, 4.741463414634146)","(6.5, 7.0, 6.88551724137931)","(101.0, 190.0, 177.5)"
14-12-2022 14:29:35.515150,"(101.0, 170.0, 164.54545454545453)","(101.0, 150.0, 144.57142857142858)","(3.2, 3.7, 3.674798387096774)","(31.0, 42.0, 40.9375)","(2.6, 3.05, 3.0164529914529914)","(3.9, 4.8, 4.741463414634146)","(6.5, 7.0, 6.88551724137931)","(101.0, 190.0, 205.0)"
14-12-2022 14:29:36.591382,"(101.0, 240.0, 232.17391304347825)","(101.0, 150.0, 143.04347826086956)","(3.2, 3.75, 3.680960086299892)","(31.0, 44.0, 42.05128205128205)","(2.6, 3.05, 3.000084388185654)","(3.9, 4.8, 4.786206896551724)","(6.5, 7.0, 6.981443298969072)","(101.0, 210.0, 205.0)"
14-12-2022 14:29:37.642349,"(101.0, 230.0, 214.48275862068965)","(101.0, 150.0, 143.04347826086956)","(3.2, 3.75, 3.6864572605561277)","(31.0, 44.0, 42.05128205128205)","(2.6, 3.05, 3.0396825396825395)","(4.0, 4.8, 4.795522388059702)","(6.5, 7.2, 6.981443298969072)","(101.0, 210.0, 205.55555555555554)"
14-12-2022 14:29:38.733110,"(101.0, 230.0, 213.33333333333334)","(101.0, 150.0, 143.04347826086956)","(3.2, 3.75, 3.6837864077669904)","(31.0, 42.0, 41.69565217391305)","(2.6, 3.05, 3.0410714285714286)","(4.0, 4.8, 4.797142857142857)","(6.5, 7.2, 7.079069767441861)","(101.0, 210.0, 199.33333333333334)"
14-12-2022 14:29:39.836346,"(101.0, 230.0, 213.33333333333334)","(101.0, 150.0, 142.38095238095238)","(3.2, 3.75, 3.6877396569122096)","(31.0, 42.0, 41.69565217391305)","(2.6, 3.0, 2.9952941176470587)","(4.0, 4.8, 4.781967213114754)","(6.5, 7.2, 6.944262295081967)","(101.0, 210.0, 199.33333333333334)"
14-12-2022 14:29:40.922907,"(101.0, 230.0, 213.33333333333334)","(101.0, 150.0, 142.38095238095238)","(3.2, 3.75, 3.729110251450677)","(31.0, 42.0, 41.68181818181818)","(2.6, 3.0, 2.988118081180812)","(4.0, 4.8, 4.690140845070422)","(6.5, 7.2, 6.925925925925926)","(101.0, 210.0, 198.57142857142858)"
14-12-2022 14:29:41.950719,"(101.0, 230.0, 213.33333333333334)","(101.0, 150.0, 142.38095238095238)","(3.2, 3.75, 3.705763688760807)","(31.0, 42.0, 40.98550724637681)","(2.6, 3.0, 2.988118081180812)","(4.0, 4.9, 4.690140845070422)","(6.5, 7.0, 6.898550724637681)","(101.0, 210.0, 196.66666666666666)"
14-12-2022 14:29:42.997003,"(101.0, 230.0, 220.625)","(101.0, 150.0, 142.38095238095238)","(3.2, 3.75, 3.7055072463768117)","(31.0, 42.0, 40.98550724637681)","(2.6, 3.0, 2.990639534883721)","(4.0, 4.9, 4.696796338672769)","(6.5, 7.0, 6.9638554216867465)","(101.0, 210.0, 198.57142857142858)"
14-12-2022 14:29:44.051432,"(101.0, 220.0, 210.0)","(101.0, 150.0, 143.04347826086956)","(3.2, 3.75, 3.7078125)","(31.0, 42.0, 41.1025641025641)","(2.6, 3.0, 2.9930901287553646)","(4.0, 4.9, 4.742236024844721)","(6.5, 7.2, 7.138983050847457)","(101.0, 210.0, 203.84615384615384)"
14-12-2022 14:29:45.129707,"(101.0, 220.0, 208.0)","(101.0, 150.0, 143.33333333333334)","(3.2, 3.7, 3.673623853211009)","(31.0, 42.0, 41.1025641025641)","(2.6, 3.0, 2.9901941747572813)","(4.0, 4.9, 4.742236024844721)","(6.5, 7.2, 7.138983050847457)","(101.0, 210.0, 203.84615384615384)"
14-12-2022 14:29:46.244212,"(101.0, 220.0, 208.0)","(101.0, 150.0, 142.85714285714286)","(3.2, 3.7, 3.6593525179856115)","(31.0, 42.0, 41.1025641025641)","(2.6, 2.98, 2.9766292134831462)","(4.0, 4.9, 4.775294117647059)","(6.5, 7.2, 7.128)","(101.0, 210.0, 194.0)"
14-12-2022 14:29:47.343079,"(101.0, 220.0, 208.0)","(101.0, 150.0, 142.85714285714286)","(3.2, 3.75, 3.704676258992806)","(31.0, 42.0, 41.1025641025641)","(2.6, 2.98, 2.9747019867549667)","(4.0, 4.8, 4.745801526717557)","(6.5, 7.2, 7.286060606060606)","(101.0, 210.0, 194.0)"
