,Willful Bale,Rockstar Ohlmus,Zipping Bonanza,Jolene Bale,Hill Top Jonah,Ivy Isobel,Gypsy Play,Irving Bale
11-01-2023 21:05:26.498220,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:27.766869,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:29.148025,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:30.563367,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:32.571315,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.3511111111111114)"
11-01-2023 21:05:34.179112,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
11-01-2023 21:05:35.794517,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
11-01-2023 21:05:37.559120,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
11-01-2023 21:05:39.034664,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
11-01-2023 21:05:40.355743,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
11-01-2023 21:05:41.715718,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
11-01-2023 21:05:43.055616,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
11-01-2023 21:05:44.354909,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 330.0, 174.0)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.64, 2.1733333333333333)"
