,The Girls Have It,Lara Tiara,Rose Of Juliana,Krafty Boy,Chelseas Girl,Karinya Max,Kulani Courage,Preacher Quince,Limousine Cheeky
11-01-2023 19:29:36.264379,"(3.2, 6.2, 5.84)","(6.5, 9.6, 8.85)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:37.688779,"(3.2, 6.2, 5.84)","(6.5, 9.6, 8.85)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:39.106885,"(3.2, 6.2, 5.84)","(6.5, 9.6, 9.054545454545455)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:40.499014,"(3.2, 6.2, 5.84)","(6.5, 9.6, 9.054545454545455)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:41.977791,"(3.2, 6.2, 5.84)","(6.5, 9.6, 9.054545454545455)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 15.5)"
11-01-2023 19:29:43.490065,"(3.2, 6.2, 5.87)","(6.5, 9.6, 9.266666666666666)","(21.0, 34.0, 18.285714285714285)","(14.0, 22.0, 17.142857142857142)","(6.0, 9.8, 8.257142857142858)","(12.0, 18.0, 13.214285714285714)","(5.0, 6.6, 5.314285714285714)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.0, 12.333333333333334)"
11-01-2023 19:29:45.010992,"(3.2, 6.2, 5.4)","(6.5, 9.6, 9.266666666666666)","(21.0, 32.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.4)","(12.0, 17.5, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.5, 12.25)"
11-01-2023 19:29:46.510888,"(3.2, 6.2, 5.4)","(6.5, 9.6, 9.266666666666666)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.4)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:47.928837,"(3.2, 6.2, 5.4)","(6.5, 9.6, 9.266666666666666)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.200000000000001)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:49.331986,"(3.2, 6.2, 5.4)","(6.5, 9.6, 9.266666666666666)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.200000000000001)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:50.725013,"(3.2, 6.2, 5.4)","(6.5, 9.6, 9.266666666666666)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.200000000000001)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
