,Wet Socks,Mystical Zendik,Mobile Doll May,Canya Hornet,Key Bon,Judgment Fay,Explosive Stare,Mighty Rhythm
09-01-2023 15:13:48.037228,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:49.245009,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:50.444691,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:51.891886,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:53.066097,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:54.365515,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:55.522594,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:56.717970,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:57.828894,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:13:59.004162,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
09-01-2023 15:14:00.175199,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 7.45)"
09-01-2023 15:14:01.395583,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:02.595943,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:03.739337,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:04.847109,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:05.937542,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:06.975709,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:08.059762,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:09.206434,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:10.368367,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:11.526053,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:12.684803,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:13.706276,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:14.768104,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:15.828517,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:16.949125,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:18.080611,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:19.260103,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:20.448953,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:21.585958,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:22.693750,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:23.752420,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:24.810194,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:25.890591,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 10.07037037037037)"
09-01-2023 15:14:27.021178,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.74)"
09-01-2023 15:14:28.188286,"(4.0, 6.6, 5.7875)","(6.0, 9.8, 9.281818181818181)","(21.0, 60.0, 35.38461538461539)","(4.0, 5.8, 5.484999999999999)","(20.0, 60.0, 31.636363636363637)","(91.0, 610.0, 172.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.74)"
