,Dr Hayley,Pipe Cove,Highland Fame,Aquiline Nose,Lily St Regis,Harden Up Tommy,Toxic Turtle,Cha Cha Socks
30,"[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 10, 796595), 31.0, 240.0]"
31,"[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 11, 930253), 31.0, 240.0]"
32,"[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 13, 62644), 31.0, 240.0]"
33,"[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 14, 195552), 31.0, 240.0]"
34,"[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 15, 326202), 31.0, 240.0]"
35,"[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 16, 477003), 31.0, 240.0]"
36,"[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 17, 620975), 31.0, 240.0]"
37,"[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 18, 765833), 31.0, 240.0]"
38,"[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 19, 926219), 31.0, 240.0]"
39,"[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 21, 59527), 31.0, 240.0]"
