,Calico County,Viminele,Ashmolean,Irish Sally,Rose Of Raheen,Sand And Ocean,Show And Go,War And Finance,Zestar,Shades Of Louvre,Forebears,Ellows Hall
12-01-2023 14:49:05.143464,"(21.0, 36.0, 35.125)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.9499999999999997)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 127.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:06.485053,"(21.0, 36.0, 35.125)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.9499999999999997)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 127.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:07.805657,"(21.0, 34.0, 30.666666666666668)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.9499999999999997)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 127.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:09.103893,"(21.0, 34.0, 30.666666666666668)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.9499999999999997)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 127.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:10.472348,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.9499999999999997)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 127.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:11.857801,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.016666666666667)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:13.282113,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:14.745554,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:16.129191,"(21.0, 36.0, 34.25)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:17.514663,"(21.0, 36.0, 35.125)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:18.901516,"(21.0, 34.0, 32.888888888888886)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:20.300952,"(21.0, 34.0, 30.666666666666668)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:21.694345,"(21.0, 32.0, 31.741935483870968)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:23.141604,"(21.0, 32.0, 31.636363636363637)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:24.663869,"(21.0, 32.0, 31.636363636363637)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.9499999999999997)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:26.109507,"(21.0, 30.0, 29.81818181818182)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:27.503736,"(21.0, 30.0, 29.81818181818182)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:28.950686,"(21.0, 30.0, 29.81818181818182)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:30.432625,"(21.0, 30.0, 37.523809523809526)","(2.1, 2.48, 2.3107692307692305)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:31.860003,"(21.0, 38.0, 35.69230769230769)","(2.1, 2.48, 2.468785046728972)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:33.424482,"(21.0, 36.0, 34.15384615384615)","(2.1, 2.48, 2.468785046728972)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:34.901717,"(21.0, 36.0, 33.45454545454545)","(2.1, 2.48, 2.455510204081633)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:36.390578,"(21.0, 34.0, 31.636363636363637)","(2.1, 2.48, 2.455257731958763)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.016666666666667)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:37.805304,"(21.0, 32.0, 31.636363636363637)","(2.1, 2.48, 2.455257731958763)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:39.294173,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:40.624870,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:41.984455,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:43.393797,"(21.0, 36.0, 35.75)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:44.803406,"(21.0, 38.0, 36.714285714285715)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:46.264375,"(21.0, 38.0, 35.75)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:47.655377,"(21.0, 38.0, 35.75)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 3.8227272727272728)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:49.227905,"(21.0, 36.0, 31.333333333333332)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.016666666666667)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:50.578866,"(21.0, 34.0, 32.0)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:52.024302,"(21.0, 34.0, 30.8)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:53.489820,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:54.934932,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:56.296097,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:57.698953,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:49:59.176560,"(21.0, 38.0, 32.85714285714286)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:00.583534,"(21.0, 38.0, 31.333333333333332)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.016666666666667)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:02.051311,"(21.0, 36.0, 32.0)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:03.454196,"(21.0, 34.0, 32.0)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:04.872124,"(21.0, 34.0, 32.0)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:06.219601,"(21.0, 34.0, 32.0)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:07.639521,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:09.041422,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:10.496426,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:11.892623,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:13.268278,"(21.0, 32.0, 30.8)","(2.1, 2.48, 2.449620253164557)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:14.773029,"(21.0, 36.0, 33.2)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:16.124039,"(21.0, 36.0, 31.333333333333332)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:17.488632,"(21.0, 36.0, 34.628571428571426)","(2.1, 2.48, 2.448421052631579)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 3.780769230769231)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:18.849785,"(21.0, 34.0, 33.61290322580645)","(2.1, 2.48, 2.451764705882353)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.4, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:20.213152,"(21.0, 32.0, 31.636363636363637)","(2.1, 2.48, 2.451764705882353)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:21.559852,"(21.0, 32.0, 31.636363636363637)","(2.1, 2.48, 2.451764705882353)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:22.953566,"(21.0, 32.0, 31.636363636363637)","(2.1, 2.48, 2.451764705882353)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.0375)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:50:24.333598,"(21.0, 32.0, 29.81818181818182)","(2.1, 2.48, 2.451764705882353)","(5.0, 7.2, 6.892307692307693)","(3.0, 4.3, 4.016666666666667)","(10.0, 23.0, 18.5)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.0)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 125.0)","(101.0, 220.0, 166.66666666666666)"
