,Break The Clouds,Zipping Vienna,Buster Banjo,Mandragora,Eskimo Fly,Whiskey Reef,Aston Zabbar,Aston Rozee
05-01-2023 17:07:49.847447,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:51.035789,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:52.350767,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:53.674962,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:54.925846,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:56.149971,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:57.277899,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:58.406754,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:07:59.532864,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:00.581249,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:01.659676,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:02.764154,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:03.831659,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:04.902271,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:06.086496,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:07.263995,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:08.446998,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
