,Appealing Road,Awesome Moon,Odina,Jumpin Jack Brass,Jubaslilballerina,Ellies At Windsor,S S Frontier Angel,Grey Flamingo,Van Hook,La Maddalena
07-01-2023 11:21:20.117519,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.32)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:21.747816,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.32)","(19.0, 220.0, 91.33333333333333)","(16.0, 200.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:23.170375,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.418461538461538)","(19.0, 220.0, 91.33333333333333)","(16.0, 200.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.266666666666667)"
07-01-2023 11:21:24.558492,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.418461538461538)","(19.0, 220.0, 91.33333333333333)","(16.0, 200.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.088888888888889)"
07-01-2023 11:21:25.830373,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.418461538461538)","(19.0, 220.0, 91.33333333333333)","(16.0, 200.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.088888888888889)"
07-01-2023 11:21:27.095149,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.418461538461538)","(19.0, 220.0, 91.33333333333333)","(16.0, 200.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 21.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.088888888888889)"
07-01-2023 11:21:28.350080,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 91.33333333333333)","(16.0, 200.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 21.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.3428571428571425)"
07-01-2023 11:21:29.649833,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 91.33333333333333)","(16.0, 200.0, 108.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 21.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.4)"
07-01-2023 11:21:30.847680,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 60.5)","(12.0, 25.0, 22.0)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 155.33333333333334)","(16.0, 200.0, 108.25)","(31.0, 220.0, 134.0)","(12.0, 24.0, 21.0)","(3.2, 5.0, 4.9)","(5.5, 7.6, 7.4)"
07-01-2023 11:21:32.043290,"(12.0, 30.0, 24.2)","(26.0, 70.0, 60.5)","(12.0, 25.0, 22.0)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 200.0, 127.0)","(31.0, 220.0, 135.0)","(12.0, 24.0, 22.18181818181818)","(3.2, 5.0, 4.890909090909091)","(5.5, 7.6, 7.4399999999999995)"
