,Clearly Regal,Dont Forget Dad,Wonfontein,Razzama,Killzy,Nashian,Prince Of Troy,Clay Pan Boogie,Harry And The Duke
09-01-2023 14:25:33.222092,"(20.0, 28.0, 25.5)","(10.0, 21.0, 13.0)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.1192307692307693)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.615384615384617)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:34.532556,"(20.0, 28.0, 25.5)","(10.0, 21.0, 13.0)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.1192307692307693)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.615384615384617)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:35.814931,"(20.0, 28.0, 25.5)","(10.0, 21.0, 13.0)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.1192307692307693)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.615384615384617)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:37.106769,"(20.0, 28.0, 25.5)","(10.0, 21.0, 13.0)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.1192307692307693)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.84090909090909)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:38.424663,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.333333333333332)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.84090909090909)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:39.710859,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.333333333333332)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.84090909090909)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:40.964419,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.333333333333332)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.84090909090909)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:42.255394,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.333333333333332)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 20.4375)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.77777777777778)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:43.593083,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.875)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.705769230769231)","(11.0, 22.0, 20.4375)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.77777777777778)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:44.950792,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.875)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.705769230769231)","(11.0, 22.0, 20.38095238095238)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.458333333333336)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:46.442577,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.875)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.645833333333332)","(51.0, 220.0, 147.14285714285714)","(9.0, 27.0, 23.90909090909091)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:47.874765,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.875)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.110075187969925)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.645833333333332)","(51.0, 220.0, 147.14285714285714)","(9.0, 27.0, 25.38095238095238)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:49.364557,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.875)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.1194202898550727)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 17.25)","(51.0, 220.0, 147.14285714285714)","(9.0, 27.0, 25.210526315789473)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:50.872447,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.1194202898550727)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 18.857142857142858)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:52.393477,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.1194202898550727)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 18.857142857142858)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:53.821012,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 18.857142857142858)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:55.149837,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 18.857142857142858)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 178.33333333333331)"
