,Another Chino,Cartanera,Dustys Got Talent,Kerman Rock,Blue Card,Shes Our Witness,Allegiance,Truevinsky,Comealilbitcloser,Idle Star,Masaru,Belafonte Boy,Paigeys Turn
07-12-2022 18:38:24.404210,"(7.0, 7.8, 7.650980392156862)","(2.1, 2.42, 2.4004651162790696)","(31.0, 42.0, 41.776315789473685)","(26.0, 32.0, 31.375)","(21.0, 28.0, 27.890625)","(12.0, 16.0, 15.725)","(26.0, 34.0, 33.89090909090909)","(31.0, 60.0, 58.813559322033896)","(5.5, 6.2, 6.06411149825784)","(41.0, 65.0, 61.12903225806451)","(41.0, 65.0, 62.976190476190474)","(71.0, 110.0, 108.54838709677419)","(18.0, 22.0, 21.37142857142857)"
07-12-2022 18:38:25.732096,"(7.0, 7.8, 7.650980392156862)","(2.1, 2.42, 2.4004651162790696)","(31.0, 42.0, 41.776315789473685)","(26.0, 32.0, 31.375)","(21.0, 28.0, 27.890625)","(12.0, 16.0, 15.725)","(26.0, 34.0, 33.89090909090909)","(31.0, 60.0, 58.813559322033896)","(5.5, 6.2, 6.06411149825784)","(41.0, 65.0, 61.12903225806451)","(41.0, 65.0, 62.976190476190474)","(71.0, 110.0, 108.54838709677419)","(18.0, 22.0, 21.40625)"
07-12-2022 18:38:27.198736,"(7.0, 7.4, 7.356709956709957)","(2.1, 2.42, 2.4090052356020943)","(31.0, 42.0, 41.776315789473685)","(26.0, 32.0, 31.375)","(21.0, 28.0, 27.895522388059703)","(12.0, 16.0, 15.804347826086957)","(26.0, 34.0, 33.89090909090909)","(31.0, 60.0, 58.6)","(5.5, 6.2, 6.11717791411043)","(41.0, 65.0, 62.857142857142854)","(41.0, 65.0, 63.673469387755105)","(71.0, 110.0, 105.625)","(18.0, 24.0, 22.87272727272727)"
07-12-2022 18:38:28.614274,"(7.0, 7.4, 7.471471471471471)","(2.1, 2.42, 2.393157894736842)","(31.0, 42.0, 41.904761904761905)","(26.0, 34.0, 31.379310344827587)","(21.0, 28.0, 27.8)","(12.0, 16.0, 15.844827586206897)","(26.0, 36.0, 34.875)","(31.0, 60.0, 59.76190476190476)","(5.5, 6.2, 6.071818181818182)","(41.0, 65.0, 64.13043478260869)","(41.0, 65.0, 64.18604651162791)","(71.0, 110.0, 107.5)","(18.0, 22.0, 21.5)"
07-12-2022 18:38:29.989551,"(7.0, 7.6, 7.440322580645161)","(2.1, 2.4, 2.3758709677419354)","(31.0, 42.0, 41.910828025477706)","(26.0, 34.0, 31.75)","(21.0, 28.0, 27.8)","(12.0, 16.0, 15.857142857142858)","(26.0, 36.0, 34.875)","(31.0, 60.0, 63.0)","(5.5, 6.2, 6.102919708029197)","(41.0, 65.0, 64.52380952380952)","(41.0, 65.0, 64.18604651162791)","(71.0, 110.0, 107.5)","(18.0, 22.0, 21.692307692307693)"
07-12-2022 18:38:31.278773,"(7.5, 7.6, 7.440322580645161)","(2.1, 2.38, 2.3758709677419354)","(31.0, 42.0, 41.910828025477706)","(26.0, 32.0, 31.75)","(21.0, 28.0, 27.8)","(12.0, 16.0, 15.857142857142858)","(26.0, 36.0, 34.875)","(31.0, 65.0, 63.0)","(5.5, 6.2, 6.102919708029197)","(41.0, 65.0, 64.52380952380952)","(41.0, 65.0, 64.18604651162791)","(71.0, 110.0, 107.5)","(18.0, 22.0, 21.692307692307693)"
07-12-2022 18:38:32.598285,"(7.5, 7.6, 7.440322580645161)","(2.1, 2.38, 2.3758709677419354)","(31.0, 42.0, 41.910828025477706)","(26.0, 32.0, 31.75)","(21.0, 28.0, 27.64864864864865)","(12.0, 16.0, 15.904761904761905)","(26.0, 36.0, 34.666666666666664)","(31.0, 65.0, 63.888888888888886)","(5.5, 6.2, 6.095546558704454)","(41.0, 65.0, 65.83333333333333)","(41.0, 65.0, 64.22222222222223)","(71.0, 110.0, 107.5)","(18.0, 22.0, 21.666666666666668)"
07-12-2022 18:38:33.874503,"(7.0, 8.0, 7.9)","(2.1, 2.38, 2.372678571428571)","(31.0, 42.0, 41.936708860759495)","(26.0, 32.0, 31.428571428571427)","(21.0, 28.0, 27.46938775510204)","(12.0, 16.0, 15.904761904761905)","(26.0, 36.0, 34.666666666666664)","(31.0, 65.0, 63.888888888888886)","(5.5, 6.2, 6.095546558704454)","(41.0, 70.0, 65.83333333333333)","(41.0, 65.0, 64.22222222222223)","(71.0, 110.0, 107.5)","(18.0, 22.0, 21.666666666666668)"
07-12-2022 18:38:35.158031,"(7.0, 8.4, 8.286915887850467)","(2.1, 2.3, 2.299032258064516)","(31.0, 44.0, 43.111111111111114)","(26.0, 32.0, 31.866666666666667)","(21.0, 28.0, 27.545454545454547)","(12.0, 16.5, 15.95360824742268)","(26.0, 36.0, 35.15384615384615)","(31.0, 65.0, 62.924528301886795)","(5.5, 6.2, 6.066341463414634)","(41.0, 70.0, 66.53846153846153)","(41.0, 65.0, 63.203125)","(71.0, 110.0, 109.02597402597402)","(18.0, 23.0, 21.80952380952381)"
07-12-2022 18:38:36.463106,"(7.0, 8.4, 8.290361445783132)","(2.1, 2.32, 2.313333333333333)","(31.0, 44.0, 43.319148936170215)","(26.0, 32.0, 31.90909090909091)","(21.0, 28.0, 27.55)","(12.0, 16.0, 15.89864864864865)","(26.0, 36.0, 35.3125)","(31.0, 65.0, 62.666666666666664)","(5.5, 6.2, 6.048101265822785)","(41.0, 70.0, 67.27272727272728)","(41.0, 65.0, 63.359375)","(71.0, 110.0, 109.11764705882354)","(18.0, 23.0, 22.03846153846154)"
