,Rhythmic Ruler,Emjay,Steinbeck,East Of India,Potential Grizzly,Math Man Marco,Pour Me A Double
15-12-2022 12:05:56.776356,"(13.0, 16.5, 14.357142857142858)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:05:57.870829,"(13.0, 16.0, 14.75)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:05:59.094304,"(13.0, 16.0, 14.75)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:00.238070,"(13.0, 16.0, 14.75)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:01.240242,"(13.0, 16.0, 13.833333333333334)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:02.252103,"(13.0, 16.0, 13.833333333333334)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:03.192017,"(13.0, 16.0, 13.214285714285714)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.125)"
15-12-2022 12:06:04.128778,"(13.0, 16.0, 13.605263157894736)","(7.0, 9.2, 8.925714285714285)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(14.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:05.075118,"(13.0, 16.0, 13.725)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:06.025822,"(13.0, 16.0, 13.725)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:07.001450,"(13.0, 16.0, 13.725)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.66)","(9.0, 13.0, 12.964285714285714)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:07.965436,"(13.0, 15.5, 14.833333333333332)","(7.0, 9.2, 8.933333333333334)","(2.25, 2.68, 2.6750000000000003)","(9.0, 13.0, 12.964285714285714)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:08.946641,"(13.0, 15.5, 14.833333333333332)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.68, 2.6750000000000003)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:09.858367,"(13.0, 15.5, 14.833333333333332)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.68, 2.6750000000000003)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:10.880886,"(13.0, 15.5, 14.833333333333332)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.68, 2.6750000000000003)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:11.918615,"(13.0, 15.5, 14.833333333333332)","(7.0, 9.4, 8.973333333333333)","(2.25, 2.72, 2.642857142857143)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.542857142857143)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:13.266356,"(13.0, 15.0, 14.642857142857142)","(7.0, 9.2, 8.973333333333333)","(2.25, 2.68, 2.642857142857143)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.8, 4.58)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:14.405472,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.973333333333333)","(2.25, 2.72, 2.642857142857143)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:15.491146,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.973333333333333)","(2.25, 2.72, 2.642857142857143)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:16.556390,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.973333333333333)","(2.25, 2.72, 2.6942857142857144)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:17.763118,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.973333333333333)","(2.25, 2.72, 2.6954545454545458)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.9375)","(3.8, 4.9, 4.542857142857143)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:18.954562,"(13.0, 15.0, 14.642857142857142)","(7.0, 9.2, 9.066666666666666)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 17.75)","(3.8, 4.8, 4.58)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:20.094397,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.857142857142858)","(3.8, 4.9, 4.58)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:21.218840,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.857142857142858)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:22.510994,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.857142857142858)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:23.620447,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.857142857142858)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:24.706101,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 20.857142857142858)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:25.744881,"(13.0, 15.5, 15.26923076923077)","(7.0, 9.4, 8.846153846153847)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:26.784632,"(13.0, 15.5, 14.666666666666666)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:27.856717,"(13.0, 15.5, 14.666666666666666)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:28.874289,"(13.0, 15.5, 14.666666666666666)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.6)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:29.920842,"(13.0, 15.5, 14.666666666666666)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.821052631578947)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:30.990839,"(13.0, 15.5, 14.666666666666666)","(7.0, 9.4, 8.866666666666667)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.810256410256411)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:32.059299,"(13.0, 15.5, 14.666666666666666)","(7.0, 9.4, 8.846153846153847)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.810256410256411)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:33.101113,"(13.0, 15.5, 14.666666666666666)","(7.0, 9.4, 8.846153846153847)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.588888888888889)","(8.5, 12.5, 12.25)"
15-12-2022 12:06:34.128150,"(13.0, 15.5, 15.1875)","(7.0, 9.4, 8.846153846153847)","(2.25, 2.72, 2.6463636363636365)","(9.0, 13.0, 12.75)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.588888888888889)","(8.5, 12.5, 12.333333333333334)"
15-12-2022 12:06:35.100167,"(13.0, 15.5, 15.1875)","(7.0, 9.4, 9.03076923076923)","(2.25, 2.6, 2.533913043478261)","(9.0, 13.0, 12.857142857142858)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.863636363636364)","(8.5, 12.5, 12.333333333333334)"
15-12-2022 12:06:36.104404,"(13.0, 15.5, 15.1875)","(7.0, 9.4, 9.054054054054054)","(2.25, 2.6, 2.533913043478261)","(9.0, 13.0, 12.857142857142858)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.8500000000000005)","(8.5, 12.5, 12.333333333333334)"
15-12-2022 12:06:37.101403,"(13.0, 15.5, 15.1875)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.533913043478261)","(9.0, 13.0, 12.857142857142858)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.8500000000000005)","(8.5, 12.5, 12.333333333333334)"
15-12-2022 12:06:38.192756,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.533913043478261)","(9.0, 13.0, 12.857142857142858)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.8500000000000005)","(8.5, 12.5, 12.333333333333334)"
15-12-2022 12:06:39.291762,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.533913043478261)","(9.0, 13.0, 12.857142857142858)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.86923076923077)","(8.5, 12.5, 12.333333333333334)"
15-12-2022 12:06:40.303596,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.533913043478261)","(9.0, 13.0, 12.857142857142858)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.86923076923077)","(8.5, 12.5, 12.4)"
15-12-2022 12:06:41.429512,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5033898305084747)","(9.0, 13.0, 12.933333333333334)","(15.0, 23.0, 21.666666666666664)","(3.8, 4.9, 4.877777777777778)","(8.5, 12.5, 12.3125)"
15-12-2022 12:06:42.335229,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5033898305084747)","(9.0, 13.0, 12.933333333333334)","(15.0, 23.0, 21.666666666666664)","(3.8, 4.9, 4.877777777777778)","(8.5, 12.5, 12.3125)"
15-12-2022 12:06:43.297033,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.528)","(9.0, 13.0, 12.933333333333334)","(15.0, 23.0, 18.0)","(3.8, 4.9, 4.877777777777778)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:44.284181,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.933333333333334)","(15.0, 23.0, 18.0)","(3.8, 4.9, 4.855555555555556)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:45.281688,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 18.0)","(3.8, 4.9, 4.855555555555556)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:46.361755,"(13.0, 15.5, 15.0)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.82)","(8.5, 12.5, 12.2)"
15-12-2022 12:06:47.554305,"(13.0, 15.5, 15.0)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.82)","(8.5, 12.5, 12.235294117647058)"
15-12-2022 12:06:48.654037,"(13.0, 15.5, 15.0)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.82)","(8.5, 12.5, 12.3125)"
15-12-2022 12:06:49.668391,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.833333333333334)","(8.5, 12.5, 12.4)"
15-12-2022 12:06:50.800491,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.833333333333334)","(8.5, 12.5, 12.4)"
15-12-2022 12:06:51.794016,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.833333333333334)","(8.5, 12.5, 11.682926829268293)"
15-12-2022 12:06:52.931803,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.833333333333334)","(8.5, 13.0, 11.682926829268293)"
15-12-2022 12:06:54.044828,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.833333333333334)","(8.5, 13.0, 11.682926829268293)"
15-12-2022 12:06:55.050776,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.833333333333334)","(8.5, 13.0, 11.682926829268293)"
15-12-2022 12:06:56.111877,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 19.5)","(3.8, 4.9, 4.833333333333334)","(8.5, 13.0, 11.682926829268293)"
15-12-2022 12:06:57.086751,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 21.666666666666664)","(3.8, 4.9, 4.833333333333334)","(8.5, 12.5, 12.3125)"
15-12-2022 12:06:58.290197,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5568)","(9.0, 13.0, 12.923076923076923)","(15.0, 23.0, 20.2)","(3.8, 4.9, 4.833333333333334)","(8.5, 12.5, 12.3125)"
15-12-2022 12:06:59.754552,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.916666666666666)","(15.0, 23.0, 20.2)","(3.8, 4.9, 4.833333333333334)","(8.5, 12.5, 12.3125)"
15-12-2022 12:07:00.786012,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.916666666666666)","(15.0, 23.0, 20.2)","(3.8, 4.9, 4.861904761904762)","(8.5, 12.5, 12.3125)"
15-12-2022 12:07:01.927904,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.916666666666666)","(15.0, 23.0, 20.2)","(3.8, 4.9, 4.861904761904762)","(8.5, 12.5, 12.3125)"
15-12-2022 12:07:03.554681,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.034285714285714)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.916666666666666)","(15.0, 23.0, 20.2)","(3.8, 4.9, 4.861904761904762)","(8.5, 12.5, 12.3125)"
15-12-2022 12:07:04.973084,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 8.991304347826087)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.8, 4.9, 4.863636363636364)","(8.5, 12.5, 12.3125)"
15-12-2022 12:07:06.054790,"(13.0, 15.5, 15.0)","(7.0, 9.2, 8.991304347826087)","(2.25, 2.6, 2.5584615384615383)","(9.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.8, 4.9, 4.863636363636364)","(8.5, 12.5, 11.682926829268293)"
15-12-2022 12:07:07.358535,"(13.0, 15.5, 14.833333333333334)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:08.292751,"(12.0, 15.5, 15.272727272727273)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:09.389361,"(12.0, 15.5, 15.272727272727273)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:10.400671,"(12.0, 15.5, 15.272727272727273)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:11.506262,"(12.0, 15.5, 15.272727272727273)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:12.580114,"(12.0, 15.5, 15.272727272727273)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:13.678193,"(12.0, 15.5, 15.272727272727273)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:14.739644,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.044444444444444)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.0)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:15.827585,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.863636363636364)","(9.0, 13.0, 12.166666666666666)"
15-12-2022 12:07:16.864362,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.863636363636364)","(9.0, 12.5, 12.166666666666666)"
15-12-2022 12:07:17.953161,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.863636363636364)","(9.0, 12.5, 12.166666666666666)"
15-12-2022 12:07:18.990254,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.863636363636364)","(9.0, 12.5, 12.166666666666666)"
15-12-2022 12:07:20.076200,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.863636363636364)","(9.0, 12.5, 12.166666666666666)"
15-12-2022 12:07:21.067122,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.863636363636364)","(9.0, 12.5, 12.166666666666666)"
15-12-2022 12:07:22.020215,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5584615384615383)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:22.993342,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:24.152620,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:25.225550,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:26.328628,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 11.682926829268293)"
15-12-2022 12:07:27.648348,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:28.698705,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:29.651621,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:30.733184,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 13.0, 11.682926829268293)"
15-12-2022 12:07:31.687816,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:32.658009,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:33.651153,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.5568)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:34.674786,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.563076923076923)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
15-12-2022 12:07:35.746917,"(12.0, 15.5, 15.352941176470589)","(7.0, 9.4, 9.090322580645163)","(2.25, 2.6, 2.563076923076923)","(10.0, 13.0, 12.916666666666666)","(15.0, 23.0, 22.166666666666668)","(3.9, 4.9, 4.8741935483870975)","(9.0, 12.5, 12.3125)"
