,Spotlight,Aldebaran Gwen,This Quaker,My High Peak,Little Tedey,Bellmac Bambi,Regency,Majestic Achiever Nz
07-12-2022 17:44:50.700102,"(3.9, 5.8, 5.658823529411765)","(16.0, 27.0, 26.333333333333332)","(41.0, 120.0, 106.66666666666667)","(4.8, 6.0, 5.611111111111111)","(26.0, 42.0, 34.57142857142857)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.91, 1.9633333333333334)","(31.0, 99999, 99990)"
07-12-2022 17:44:51.906721,"(3.9, 5.8, 5.5875)","(16.0, 26.0, 25.714285714285715)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.566666666666667)","(26.0, 38.0, 35.54545454545455)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.99, 1.9633333333333334)","(31.0, 99999, 99990)"
07-12-2022 17:44:53.064361,"(3.9, 5.8, 5.5875)","(16.0, 26.0, 25.714285714285715)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.566666666666667)","(26.0, 38.0, 35.54545454545455)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.99, 1.9375862068965517)","(31.0, 99999, 99990)"
07-12-2022 17:44:54.260199,"(3.9, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:44:55.536552,"(3.9, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:44:56.899608,"(3.9, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:44:58.155918,"(3.9, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:44:59.279339,"(4.0, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:45:00.455245,"(4.0, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:45:01.489617,"(4.0, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:45:02.590840,"(4.0, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:45:03.621831,"(4.0, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:45:04.755529,"(4.0, 5.8, 5.580645161290323)","(16.0, 26.0, 25.714285714285715)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.9, 5.43125)","(26.0, 36.0, 34.6)","(41.0, 44.0, 43.75)","(1.65, 1.98, 1.9056521739130434)","(31.0, 99999, 99990)"
07-12-2022 17:45:05.799389,"(4.0, 5.8, 5.705882352941177)","(16.0, 26.0, 25.764705882352942)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.7, 5.625)","(26.0, 36.0, 33.0)","(41.0, 44.0, 43.833333333333336)","(1.65, 1.97, 1.9040000000000001)","(31.0, 99999, 99990)"
07-12-2022 17:45:06.868444,"(4.0, 5.8, 5.705882352941177)","(16.0, 26.0, 25.764705882352942)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.7, 5.625)","(26.0, 36.0, 33.0)","(41.0, 44.0, 43.833333333333336)","(1.65, 1.97, 1.9040000000000001)","(31.0, 99999, 99990)"
07-12-2022 17:45:07.982538,"(4.0, 5.8, 5.705882352941177)","(16.0, 26.0, 25.764705882352942)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.7, 5.625)","(26.0, 36.0, 33.0)","(41.0, 44.0, 43.833333333333336)","(1.65, 1.97, 1.9040000000000001)","(31.0, 99999, 99990)"
07-12-2022 17:45:09.089471,"(4.0, 5.8, 5.705882352941177)","(16.0, 26.0, 25.764705882352942)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.7, 5.625)","(26.0, 36.0, 33.0)","(41.0, 44.0, 43.833333333333336)","(1.65, 1.97, 1.9040000000000001)","(31.0, 99999, 99990)"
07-12-2022 17:45:10.159730,"(4.0, 5.8, 5.705882352941177)","(16.0, 26.0, 25.764705882352942)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.7, 5.625)","(26.0, 36.0, 33.0)","(41.0, 44.0, 43.833333333333336)","(1.65, 1.97, 1.9040000000000001)","(31.0, 99999, 99990)"
