,Fast Foils,Four Outlaws,Badonkidonk,Fifth Husband,Bossy Britches,West Cliff,Red Hot Chillypins,Denominator,Haleakala
04-01-2023 14:34:33.941055,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.7615384615384615)","(2.15, 2.38, 2.357142857142857)","(12.0, 22.0, 21.0)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.866666666666667)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:35.119459,"(31.0, 50.0, 103.0)","(2.9, 4.0, 3.967441860465116)","(2.15, 2.36, 2.357142857142857)","(12.0, 22.0, 17.727272727272727)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.876923076923077)","(21.0, 42.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:36.395188,"(31.0, 160.0, 104.0)","(2.9, 4.0, 3.967441860465116)","(2.15, 2.36, 2.357142857142857)","(12.0, 21.0, 17.727272727272727)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:37.634501,"(31.0, 160.0, 104.0)","(2.9, 4.0, 3.967441860465116)","(2.15, 2.36, 2.357142857142857)","(12.0, 21.0, 17.727272727272727)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:39.050001,"(31.0, 160.0, 104.0)","(2.9, 4.0, 3.967441860465116)","(2.15, 2.36, 2.357142857142857)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:40.458611,"(31.0, 160.0, 104.0)","(2.9, 4.2, 3.9545454545454546)","(2.15, 2.36, 2.357142857142857)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:41.985052,"(31.0, 160.0, 141.33333333333334)","(2.9, 4.5, 3.9722222222222223)","(2.15, 2.36, 2.3569811320754717)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:43.395194,"(31.0, 160.0, 141.33333333333334)","(2.9, 4.4, 4.194117647058824)","(2.15, 2.36, 2.3569811320754717)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:44.858153,"(31.0, 160.0, 141.33333333333334)","(2.9, 4.3, 4.253846153846154)","(2.15, 2.36, 2.3569811320754717)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:46.202423,"(31.0, 150.0, 111.75)","(2.9, 4.3, 4.253846153846154)","(2.15, 2.36, 2.3569811320754717)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 163.33333333333334)"
