,Know Grizzles,Opawa Anita,Goldstar Carlito,Centurion,Humbling,Opawa Chrissy
12-01-2023 15:18:01.961278,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:02.881078,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:03.880671,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:04.802706,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:05.717580,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:06.703325,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:07.748059,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:08.751132,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:09.789758,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:10.804786,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:11.819279,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:12.874083,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:13.935721,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:14.881056,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:15.794576,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:16.893883,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:17.913449,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:18.773530,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:19.789021,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:20.828630,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:21.751819,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:22.809702,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:23.806589,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:24.764027,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:25.871108,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:26.942415,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:28.024853,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:29.136710,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:30.227607,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:31.273983,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:32.502911,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:33.584757,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:34.660546,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:35.589546,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:36.684777,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
