,My Boy Gus,Conga Boy,Friendofthecourt,Golden Passage,Midnight Nightmare,Spheroid,Hip Four O Four,Powershot,Dealmeinbud
15-12-2022 10:49:59.335536,"(14.0, 21.0, 19.857142857142858)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.48135593220339)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 86.66666666666667)","(5.5, 6.8, 6.404545454545454)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:00.562985,"(14.0, 20.0, 19.285714285714285)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.076923076923077)","(2.9, 3.5, 3.48135593220339)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.404545454545454)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:01.711768,"(14.0, 20.0, 19.0)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.48135593220339)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.494736842105263)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:02.924951,"(14.0, 20.0, 18.75)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.454545454545455)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:04.178606,"(14.0, 20.0, 19.3)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.823529411764707)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.515)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:05.332871,"(14.0, 20.0, 19.53125)","(14.0, 23.0, 22.846153846153847)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.823529411764707)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.515)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:06.572384,"(14.0, 20.0, 19.53125)","(14.0, 23.0, 22.846153846153847)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.823529411764707)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.515)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:07.790076,"(14.0, 20.0, 19.53125)","(14.0, 23.0, 22.846153846153847)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.823529411764707)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.515)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:09.047961,"(14.0, 20.0, 19.53125)","(14.0, 23.0, 22.846153846153847)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.823529411764707)","(5.5, 7.6, 7.422222222222222)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.4135593220338984)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:10.300358,"(14.0, 20.0, 19.53125)","(14.0, 23.0, 22.846153846153847)","(11.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.823529411764707)","(5.5, 7.6, 7.422222222222222)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.385294117647059)","(5.5, 6.6, 6.45)"
15-12-2022 10:50:11.482355,"(14.0, 20.0, 19.53125)","(14.0, 23.0, 22.846153846153847)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 82.5)","(5.5, 6.8, 6.4135593220338984)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:12.683187,"(14.0, 20.0, 19.53125)","(14.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 73.57142857142857)","(5.5, 6.8, 6.48)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:13.868773,"(14.0, 20.0, 19.318181818181817)","(14.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.364705882352942)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:15.105560,"(14.0, 20.0, 19.75)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.364705882352942)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:16.342751,"(14.0, 20.0, 19.75)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.327659574468085)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:17.553280,"(14.0, 20.0, 19.75)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.327659574468085)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:18.712256,"(14.0, 20.0, 19.75)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.327659574468085)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:19.949373,"(14.0, 20.0, 19.75)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.327659574468085)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:21.177681,"(14.0, 20.0, 19.75)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.327659574468085)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:22.400442,"(14.0, 20.0, 19.779411764705884)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.85)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.266666666666667)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:23.593311,"(14.0, 20.0, 19.779411764705884)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.6, 6.2375)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:24.785561,"(14.0, 20.0, 19.705882352941178)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.6, 6.2375)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:26.038533,"(14.0, 20.0, 19.705882352941178)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.6, 6.254545454545455)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:27.310845,"(14.0, 22.0, 21.77777777777778)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.6, 6.252173913043478)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:28.474168,"(14.0, 22.0, 21.77777777777778)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.6, 6.252173913043478)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:29.623207,"(14.0, 22.0, 21.77777777777778)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.6, 6.252173913043478)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:30.739942,"(14.0, 22.0, 21.77777777777778)","(15.0, 23.0, 22.875)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4699999999999998)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.6, 6.252173913043478)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:31.895732,"(14.0, 22.0, 21.77777777777778)","(15.0, 23.0, 22.428571428571427)","(12.0, 17.0, 16.428571428571427)","(2.9, 3.5, 3.4608695652173913)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.3677419354838705)","(41.0, 95.0, 81.11111111111111)","(5.5, 6.8, 6.6)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:32.962556,"(14.0, 22.0, 21.2)","(15.0, 23.0, 22.428571428571427)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.5, 3.4651162790697674)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.359999999999999)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.523076923076923)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:34.054206,"(14.0, 22.0, 21.6)","(15.0, 23.0, 22.428571428571427)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.5, 3.4642857142857144)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.359999999999999)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.523076923076923)","(5.5, 6.6, 6.42)"
15-12-2022 10:50:35.242548,"(14.0, 22.0, 21.6)","(15.0, 23.0, 22.428571428571427)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.5, 3.4642857142857144)","(8.0, 11.0, 10.837837837837839)","(5.5, 7.6, 7.3999999999999995)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.636363636363637)","(5.5, 6.6, 6.235714285714286)"
15-12-2022 10:50:36.435943,"(14.0, 22.0, 21.666666666666668)","(15.0, 23.0, 22.428571428571427)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.5, 3.4642857142857144)","(8.0, 11.0, 10.837837837837839)","(5.5, 7.6, 7.3999999999999995)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.636363636363637)","(5.5, 6.4, 6.235714285714286)"
15-12-2022 10:50:37.634039,"(14.0, 23.0, 22.307692307692307)","(15.0, 23.0, 22.428571428571427)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.5, 3.4642857142857144)","(8.0, 11.0, 10.837837837837839)","(5.5, 7.6, 7.3999999999999995)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.636363636363637)","(5.5, 6.4, 6.235714285714286)"
15-12-2022 10:50:38.863663,"(14.0, 23.0, 22.307692307692307)","(15.0, 23.0, 22.428571428571427)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.5, 3.4482758620689653)","(8.0, 11.0, 10.837837837837839)","(5.5, 7.6, 7.3999999999999995)","(41.0, 95.0, 86.66666666666667)","(5.5, 6.8, 6.636363636363637)","(5.5, 6.4, 6.235714285714286)"
15-12-2022 10:50:40.048783,"(14.0, 23.0, 22.307692307692307)","(16.0, 23.0, 22.428571428571427)","(13.0, 17.0, 15.894736842105264)","(2.9, 3.5, 3.4375)","(8.0, 11.0, 10.837837837837839)","(5.5, 7.6, 7.3999999999999995)","(41.0, 95.0, 86.66666666666667)","(5.5, 6.8, 6.75)","(5.5, 6.4, 6.235714285714286)"
15-12-2022 10:50:41.190734,"(14.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 17.0, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.0, 10.86046511627907)","(5.5, 7.6, 7.4399999999999995)","(41.0, 95.0, 86.66666666666667)","(5.5, 7.4, 6.866666666666667)","(5.5, 6.4, 6.235714285714286)"
15-12-2022 10:50:42.327484,"(14.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.0, 10.86046511627907)","(5.5, 7.6, 7.4399999999999995)","(41.0, 95.0, 86.66666666666667)","(5.5, 7.2, 6.866666666666667)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:43.437587,"(15.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.0, 11.261363636363637)","(5.5, 7.6, 7.405405405405405)","(41.0, 95.0, 86.66666666666667)","(5.5, 7.2, 6.685714285714286)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:44.579983,"(15.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 10.863636363636363)","(5.5, 7.6, 7.405405405405405)","(41.0, 95.0, 86.66666666666667)","(5.5, 7.2, 6.703448275862069)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:45.746543,"(15.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 10.863636363636363)","(5.5, 7.6, 7.405405405405405)","(41.0, 95.0, 86.66666666666667)","(5.5, 7.2, 6.583333333333334)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:46.907538,"(15.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 10.863636363636363)","(5.5, 7.6, 7.394285714285714)","(41.0, 95.0, 86.66666666666667)","(5.5, 7.2, 6.7272727272727275)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:48.080987,"(15.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 10.863636363636363)","(5.5, 7.6, 7.394285714285714)","(41.0, 95.0, 86.66666666666667)","(5.5, 6.8, 6.748387096774193)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:49.160652,"(15.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 10.863636363636363)","(5.5, 7.6, 7.323076923076923)","(41.0, 95.0, 86.66666666666667)","(5.5, 6.8, 6.730434782608696)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:50.260257,"(15.0, 23.0, 22.846153846153847)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 11.11111111111111)","(5.5, 7.6, 7.323076923076923)","(41.0, 95.0, 86.66666666666667)","(5.5, 6.8, 6.730434782608696)","(5.5, 6.4, 6.227777777777778)"
15-12-2022 10:50:51.351645,"(15.0, 23.0, 22.866666666666667)","(16.0, 23.0, 22.428571428571427)","(13.0, 16.5, 16.055555555555557)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 11.11111111111111)","(5.5, 7.6, 7.323076923076923)","(41.0, 95.0, 86.66666666666667)","(5.5, 6.8, 6.853658536585366)","(5.5, 6.4, 6.5)"
15-12-2022 10:50:52.462849,"(15.0, 23.0, 22.866666666666667)","(16.0, 23.0, 22.153846153846153)","(13.0, 16.5, 15.833333333333334)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 10.863636363636363)","(5.5, 7.6, 7.323076923076923)","(41.0, 95.0, 86.66666666666667)","(5.5, 7.0, 6.853658536585366)","(5.5, 6.6, 6.493333333333333)"
15-12-2022 10:50:53.601767,"(15.0, 23.0, 22.866666666666667)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 15.847826086956522)","(2.9, 3.5, 3.4375)","(8.0, 11.5, 10.863636363636363)","(5.5, 7.6, 7.25)","(41.0, 95.0, 88.05555555555556)","(5.5, 7.0, 6.622222222222223)","(5.5, 6.6, 6.666666666666667)"
15-12-2022 10:50:54.751000,"(15.0, 23.0, 22.866666666666667)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 16.071428571428573)","(2.9, 3.45, 3.411842105263158)","(8.0, 11.5, 11.033333333333333)","(5.5, 7.4, 7.25)","(41.0, 95.0, 88.05555555555556)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.666666666666667)"
15-12-2022 10:50:55.877794,"(15.0, 23.0, 22.866666666666667)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 16.071428571428573)","(2.9, 3.45, 3.392452830188679)","(8.0, 11.5, 11.033333333333333)","(5.5, 7.4, 7.25)","(41.0, 95.0, 88.05555555555556)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.666666666666667)"
15-12-2022 10:50:57.067126,"(15.0, 23.0, 22.866666666666667)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 16.071428571428573)","(2.9, 3.4, 3.3897435897435897)","(8.0, 11.5, 11.033333333333333)","(5.5, 7.4, 7.25)","(41.0, 95.0, 88.05555555555556)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.666666666666667)"
15-12-2022 10:50:58.191909,"(15.0, 23.0, 22.866666666666667)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 16.071428571428573)","(2.9, 3.4, 3.3897435897435897)","(8.0, 11.5, 11.033333333333333)","(5.5, 7.4, 7.25)","(41.0, 95.0, 88.05555555555556)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.666666666666667)"
15-12-2022 10:50:59.304654,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 16.071428571428573)","(2.9, 3.4, 3.3897435897435897)","(8.0, 11.5, 11.033333333333333)","(5.5, 7.4, 7.25)","(41.0, 95.0, 88.05555555555556)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.666666666666667)"
15-12-2022 10:51:00.431765,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 16.071428571428573)","(2.9, 3.4, 3.3706666666666667)","(8.0, 11.5, 11.033333333333333)","(5.5, 7.4, 7.181818181818182)","(41.0, 95.0, 88.05555555555556)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.666666666666667)"
15-12-2022 10:51:01.550979,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(13.0, 16.5, 16.071428571428573)","(2.9, 3.4, 3.3706666666666667)","(8.0, 11.5, 11.22)","(5.5, 7.4, 7.222222222222222)","(41.0, 95.0, 88.05555555555556)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.666666666666667)"
15-12-2022 10:51:02.711491,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(12.0, 16.5, 16.071428571428573)","(2.9, 3.4, 3.3413461538461537)","(8.0, 11.5, 11.22)","(5.5, 7.4, 7.153846153846154)","(41.0, 95.0, 73.57142857142857)","(5.5, 6.8, 6.622222222222223)","(5.5, 6.8, 6.711111111111111)"
15-12-2022 10:51:03.897621,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(12.0, 16.5, 16.2)","(2.9, 3.35, 3.3378378378378377)","(8.0, 11.5, 11.22)","(5.5, 7.4, 7.153846153846154)","(41.0, 95.0, 89.56521739130434)","(5.5, 6.8, 6.542857142857143)","(5.5, 6.8, 6.733333333333333)"
15-12-2022 10:51:05.046271,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(12.0, 16.5, 16.2)","(2.9, 3.35, 3.3378378378378377)","(8.0, 11.5, 11.22)","(5.5, 7.4, 7.153846153846154)","(41.0, 95.0, 89.56521739130434)","(5.5, 6.8, 6.542857142857143)","(5.5, 6.8, 6.733333333333333)"
15-12-2022 10:51:06.169692,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(12.0, 16.5, 16.2)","(2.9, 3.35, 3.3378378378378377)","(8.0, 11.5, 11.22)","(5.5, 7.4, 7.0)","(41.0, 95.0, 89.56521739130434)","(5.5, 6.8, 6.542857142857143)","(5.5, 6.8, 6.9)"
15-12-2022 10:51:07.270100,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.3378378378378377)","(8.0, 11.5, 11.22)","(5.5, 7.4, 7.0)","(41.0, 95.0, 89.56521739130434)","(5.5, 6.8, 6.542857142857143)","(5.5, 7.0, 6.586206896551724)"
15-12-2022 10:51:08.444966,"(15.0, 23.0, 22.5)","(16.0, 23.0, 21.705882352941178)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.3339285714285714)","(8.0, 11.5, 11.31578947368421)","(5.5, 7.4, 7.0)","(41.0, 95.0, 85.0)","(5.5, 6.8, 6.542857142857143)","(5.5, 7.0, 6.504761904761905)"
15-12-2022 10:51:09.556359,"(15.0, 23.0, 22.5)","(16.0, 23.0, 22.0)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.3339285714285714)","(8.0, 11.5, 11.31578947368421)","(5.5, 7.4, 7.0)","(41.0, 95.0, 85.0)","(5.5, 6.8, 6.542857142857143)","(5.5, 7.0, 6.504761904761905)"
15-12-2022 10:51:10.628603,"(15.0, 23.0, 22.5)","(16.0, 23.0, 22.0)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.3339285714285714)","(8.0, 11.5, 11.31578947368421)","(5.5, 7.4, 7.0)","(41.0, 95.0, 85.0)","(5.5, 6.8, 6.542857142857143)","(5.5, 7.0, 6.504761904761905)"
15-12-2022 10:51:11.689633,"(15.0, 24.0, 23.8)","(16.0, 23.0, 22.0)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.3339285714285714)","(8.0, 11.5, 11.31578947368421)","(5.5, 7.4, 7.0)","(41.0, 95.0, 85.0)","(5.5, 6.8, 6.542857142857143)","(5.5, 7.0, 6.504761904761905)"
15-12-2022 10:51:12.744570,"(15.0, 24.0, 23.8)","(16.0, 23.0, 22.0)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.3339285714285714)","(8.0, 11.5, 11.31578947368421)","(5.5, 7.4, 7.0)","(41.0, 95.0, 85.0)","(5.5, 6.8, 6.542857142857143)","(5.5, 7.0, 6.504761904761905)"
15-12-2022 10:51:13.869014,"(15.0, 24.0, 23.8)","(16.0, 23.0, 22.0)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.33953488372093)","(8.0, 12.5, 12.071428571428571)","(5.5, 7.4, 7.0)","(41.0, 95.0, 80.71428571428571)","(5.5, 6.8, 6.428571428571429)","(5.5, 7.0, 6.4206896551724135)"
15-12-2022 10:51:15.004911,"(15.0, 24.0, 23.8)","(16.0, 23.0, 22.0)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.3156250000000003)","(8.0, 12.5, 12.166666666666666)","(5.5, 7.4, 6.85)","(41.0, 95.0, 80.71428571428571)","(5.5, 6.8, 6.428571428571429)","(5.5, 7.0, 6.576470588235294)"
15-12-2022 10:51:16.217961,"(15.0, 24.0, 23.88888888888889)","(16.0, 23.0, 22.36842105263158)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.330769230769231)","(8.0, 12.5, 11.642857142857142)","(5.5, 7.0, 6.822222222222222)","(41.0, 95.0, 76.25)","(5.5, 6.8, 6.428571428571429)","(5.5, 7.0, 6.528205128205128)"
15-12-2022 10:51:17.405691,"(15.0, 24.0, 23.88888888888889)","(16.0, 23.0, 22.36842105263158)","(12.0, 16.5, 16.0)","(2.9, 3.35, 3.27089552238806)","(8.0, 12.5, 11.642857142857142)","(5.5, 7.0, 6.84390243902439)","(41.0, 95.0, 73.57142857142857)","(5.5, 6.8, 6.428571428571429)","(5.5, 7.0, 6.458823529411765)"
15-12-2022 10:51:18.599205,"(15.0, 24.0, 23.88888888888889)","(16.0, 23.0, 22.36842105263158)","(12.0, 16.5, 16.0)","(2.9, 3.3, 3.2743421052631576)","(8.0, 12.5, 11.9)","(5.5, 7.0, 6.84)","(41.0, 95.0, 76.25)","(5.5, 6.8, 6.5600000000000005)","(5.5, 7.0, 6.448)"
15-12-2022 10:51:19.793687,"(15.0, 24.0, 23.9)","(16.0, 23.0, 22.428571428571427)","(12.0, 16.5, 16.125)","(2.9, 3.3, 3.2743421052631576)","(8.0, 12.5, 12.038461538461538)","(5.5, 7.0, 6.84)","(41.0, 95.0, 76.25)","(5.5, 6.8, 6.628571428571429)","(5.5, 7.0, 6.685714285714286)"
15-12-2022 10:51:20.969369,"(16.0, 24.0, 23.916666666666668)","(16.0, 23.0, 22.454545454545453)","(11.0, 17.0, 16.2)","(2.8, 3.3, 3.275)","(8.5, 12.5, 12.038461538461538)","(5.5, 7.0, 6.84)","(41.0, 95.0, 76.25)","(5.5, 6.8, 6.628571428571429)","(5.5, 6.8, 6.685714285714286)"
15-12-2022 10:51:22.170323,"(16.0, 24.0, 23.923076923076923)","(16.0, 23.0, 22.454545454545453)","(11.0, 17.0, 16.2)","(2.8, 3.3, 3.275)","(8.5, 12.5, 12.227272727272727)","(5.5, 7.0, 6.84)","(41.0, 95.0, 76.25)","(5.5, 6.8, 6.628571428571429)","(5.5, 6.8, 6.71578947368421)"
15-12-2022 10:51:23.391256,"(16.0, 24.0, 23.923076923076923)","(16.0, 23.0, 22.52)","(11.0, 17.0, 16.2)","(2.8, 3.3, 3.293396226415094)","(8.5, 12.5, 11.954545454545455)","(5.5, 7.0, 6.866666666666666)","(41.0, 95.0, 83.46153846153845)","(5.5, 6.8, 6.618181818181818)","(5.5, 6.8, 6.71578947368421)"
15-12-2022 10:51:24.527608,"(16.0, 24.0, 23.923076923076923)","(16.0, 23.0, 22.52)","(11.0, 17.0, 16.2)","(2.8, 3.3, 3.3807692307692307)","(8.5, 12.5, 11.5)","(5.5, 7.0, 6.866666666666666)","(41.0, 95.0, 83.46153846153845)","(5.5, 6.8, 6.610526315789474)","(5.5, 6.8, 6.71578947368421)"
