,Fake Magic,Taspinaro,Right Hook,Madetobebroken,Labby Rock,Tennessee Beach,Tricky Mikki,Snowbird,Destiny Force
11-01-2023 13:33:25.362267,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.0)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:26.546225,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.218181818181819)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 21.0)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:27.766317,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.218181818181819)","(10.0, 19.5, 17.192307692307693)","(14.0, 25.0, 18.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:29.031622,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.218181818181819)","(10.0, 19.5, 17.192307692307693)","(14.0, 25.0, 18.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:30.270132,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.218181818181819)","(10.0, 19.5, 17.192307692307693)","(14.0, 25.0, 18.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:31.478897,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.218181818181819)","(10.0, 19.5, 17.192307692307693)","(14.0, 25.0, 18.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:32.703732,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.218181818181819)","(10.0, 19.5, 17.192307692307693)","(14.0, 25.0, 18.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:33.819936,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.218181818181819)","(10.0, 19.5, 17.192307692307693)","(14.0, 25.0, 23.235294117647058)","(12.0, 22.0, 20.26923076923077)","(3.2, 3.55, 3.5393617021276595)","(31.0, 55.0, 47.2)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:34.981252,"(2.2, 2.92, 2.774285714285714)","(31.0, 60.0, 51.33333333333333)","(5.5, 7.8, 7.6)","(10.0, 19.5, 18.1)","(14.0, 24.0, 23.470588235294116)","(12.0, 22.0, 18.625)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:36.196747,"(2.2, 2.92, 2.802950819672131)","(31.0, 60.0, 51.33333333333333)","(5.5, 7.8, 7.6)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.470588235294116)","(12.0, 22.0, 19.42857142857143)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 140.0, 110.0)"
