,Modulating,Zambora Lola,Kingsbrae Monica,Cherry Chunker,Burn The Edge,Tranquil Lindy,Nangar Candy,Esthers Rose
12-01-2023 10:50:11.181988,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:12.294702,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:13.362390,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:14.658021,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:15.860697,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:17.117775,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:18.495413,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:19.719583,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:21.002968,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:22.177125,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:23.359763,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:24.517061,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:25.647037,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
