,Pepper Spray,Barossa,Midnight Mojo,The Black Strat,Pure Rocket,Forgotten Vows,The Green Crusader,Exxel
10-01-2023 08:06:00.694341,"(3.2, 4.4, 4.29375)","(2.5, 3.05, 2.907142857142857)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 8.85)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:06:01.692548,"(3.2, 4.4, 4.1875)","(2.5, 3.05, 2.907142857142857)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 8.85)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:06:02.763682,"(3.2, 4.4, 4.1875)","(2.5, 3.05, 2.907142857142857)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 8.85)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:06:03.824251,"(3.2, 4.4, 4.045833333333333)","(2.5, 3.05, 2.907142857142857)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 6.73)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:06:04.946581,"(3.2, 4.4, 4.045833333333333)","(2.5, 3.05, 2.907142857142857)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 6.73)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:06:06.026195,"(3.2, 4.4, 4.29375)","(2.5, 3.25, 2.992857142857143)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 6.73)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:06:07.075910,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 6.73)","(12.0, 30.0, 25.25)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:06:08.109116,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 230.0, 186.8)","(6.5, 11.5, 7.0)","(12.0, 30.0, 27.533333333333335)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 9.033333333333333)"
10-01-2023 08:06:09.108386,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 230.0, 214.60714285714286)","(6.5, 11.0, 7.0)","(12.0, 30.0, 27.533333333333335)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 9.033333333333333)"
10-01-2023 08:06:10.124723,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 230.0, 214.60714285714286)","(6.5, 11.0, 7.0)","(12.0, 30.0, 27.533333333333335)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 9.033333333333333)"
10-01-2023 08:06:11.197854,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 230.0, 214.60714285714286)","(6.5, 11.0, 7.0)","(12.0, 30.0, 22.8)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 9.033333333333333)"
10-01-2023 08:06:12.226041,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 230.0, 176.25)","(6.5, 11.0, 7.0)","(12.0, 30.0, 21.25)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 9.033333333333333)"
10-01-2023 08:06:13.270998,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 230.0, 176.25)","(6.5, 11.0, 7.0)","(12.0, 30.0, 23.61111111111111)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 8.76)"
10-01-2023 08:06:14.298201,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 220.0, 205.39285714285714)","(6.5, 11.0, 7.0)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.0, 9.825)"
10-01-2023 08:06:15.311272,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 220.0, 205.39285714285714)","(6.5, 11.0, 7.0)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 10.5, 9.825)"
10-01-2023 08:06:16.353681,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.1)","(18.0, 220.0, 205.39285714285714)","(6.5, 11.0, 7.0)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.2)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:17.404648,"(3.2, 4.4, 4.2875000000000005)","(2.5, 3.2, 3.068)","(18.0, 220.0, 205.39285714285714)","(6.5, 11.0, 7.933333333333334)","(12.0, 25.0, 15.625)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.09090909090909)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:18.441429,"(3.2, 4.4, 4.2)","(2.5, 3.15, 2.678)","(18.0, 220.0, 208.52777777777777)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:19.490221,"(3.2, 4.4, 4.12)","(2.5, 3.1, 2.83)","(18.0, 220.0, 168.5)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:20.505432,"(3.2, 4.4, 4.12)","(2.5, 3.1, 2.65)","(18.0, 220.0, 168.5)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:21.483655,"(3.2, 4.4, 4.2)","(2.5, 3.1, 2.65)","(18.0, 220.0, 205.32142857142858)","(6.5, 11.0, 8.444444444444445)","(12.0, 25.0, 23.61111111111111)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:22.535823,"(3.2, 4.4, 4.2)","(2.5, 3.1, 2.65)","(18.0, 220.0, 205.17857142857142)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 23.61111111111111)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:23.576492,"(3.2, 4.4, 4.2)","(2.5, 3.1, 2.65)","(18.0, 220.0, 194.125)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 23.61111111111111)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:24.628463,"(3.2, 4.4, 4.2)","(2.5, 3.1, 2.65)","(18.0, 220.0, 194.125)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:25.719852,"(3.2, 4.4, 4.2)","(2.5, 3.1, 2.668)","(18.0, 220.0, 205.25)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.925)"
10-01-2023 08:06:26.805061,"(3.2, 4.4, 4.2)","(2.5, 3.05, 2.658)","(18.0, 220.0, 205.25)","(6.5, 11.0, 7.333333333333333)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:27.840089,"(3.2, 4.4, 4.2)","(2.5, 3.05, 2.658)","(18.0, 220.0, 205.25)","(6.5, 11.0, 7.5)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:28.833439,"(3.2, 4.3, 4.1125)","(2.5, 3.05, 2.658)","(18.0, 220.0, 168.5)","(6.5, 11.0, 7.5)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:29.843014,"(3.2, 4.3, 4.175)","(2.5, 3.05, 2.658)","(18.0, 220.0, 168.5)","(6.5, 11.0, 8.5)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:30.907967,"(3.2, 4.4, 4.258333333333334)","(2.5, 3.05, 2.658)","(18.0, 220.0, 205.32142857142858)","(6.0, 11.0, 7.0)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:31.955568,"(3.2, 4.4, 4.258333333333334)","(2.5, 3.05, 2.658)","(18.0, 220.0, 205.32142857142858)","(6.0, 11.0, 7.0)","(12.0, 25.0, 18.75)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:33.052764,"(3.2, 4.4, 4.258333333333334)","(2.5, 3.05, 2.658)","(18.0, 220.0, 193.9375)","(6.0, 11.0, 7.0)","(12.0, 25.0, 21.25)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:34.098520,"(3.2, 4.4, 4.258333333333334)","(2.5, 3.05, 2.658)","(18.0, 230.0, 175.75)","(6.0, 11.0, 7.0)","(12.0, 30.0, 21.25)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:35.110221,"(3.2, 4.4, 4.258333333333334)","(2.5, 3.05, 2.658)","(18.0, 230.0, 202.875)","(6.0, 11.0, 7.0)","(12.0, 30.0, 21.25)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
10-01-2023 08:06:36.154627,"(3.2, 4.4, 4.258333333333334)","(2.5, 3.05, 2.658)","(18.0, 230.0, 214.53571428571428)","(6.0, 11.0, 7.0)","(12.0, 30.0, 21.25)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.027777777777779)","(6.0, 10.5, 9.875)"
