,Copy Cat,Solar Circles,Victa Makayla,Aston Chaffy,Gemtree Mercury
16-12-2022 13:58:16.441874,"(4.0, 5.2, 4.933333333333334)","(4.0, 5.8, 5.0285714285714285)","(8.5, 14.5, 11.440000000000001)","(3.4, 4.8, 4.177777777777777)","(3.6, 4.6, 4.408333333333333)"
16-12-2022 13:58:17.329186,"(4.0, 5.2, 4.977777777777778)","(4.0, 5.7, 4.7555555555555555)","(8.5, 14.5, 11.1)","(3.4, 4.8, 4.177777777777777)","(3.6, 4.6, 4.403124999999999)"
16-12-2022 13:58:18.218878,"(4.0, 5.2, 4.977777777777778)","(4.0, 5.7, 4.566666666666666)","(8.5, 14.5, 11.1)","(3.4, 4.8, 4.177777777777777)","(3.6, 4.6, 4.403124999999999)"
16-12-2022 13:58:19.139308,"(4.0, 5.2, 4.977777777777778)","(4.0, 5.7, 4.566666666666666)","(8.5, 14.5, 11.95)","(3.4, 4.8, 4.177777777777777)","(3.6, 4.6, 4.403124999999999)"
16-12-2022 13:58:20.034796,"(4.0, 5.2, 4.977777777777778)","(4.0, 5.7, 4.566666666666666)","(8.5, 14.5, 11.95)","(3.4, 4.8, 4.177777777777777)","(3.6, 4.6, 4.403124999999999)"
16-12-2022 13:58:20.956523,"(4.0, 5.2, 4.8)","(4.0, 5.7, 5.1)","(8.5, 14.5, 11.95)","(3.4, 4.8, 4.177777777777777)","(3.6, 4.6, 4.403124999999999)"
16-12-2022 13:58:22.143298,"(4.0, 5.2, 4.9714285714285715)","(4.0, 5.7, 5.3307692307692305)","(8.5, 14.5, 11.95)","(3.5, 4.8, 4.177777777777777)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:23.622127,"(4.0, 5.2, 4.9714285714285715)","(4.0, 5.7, 5.3307692307692305)","(8.5, 14.5, 11.547368421052632)","(3.5, 4.8, 4.177777777777777)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:24.790400,"(4.0, 5.2, 4.9714285714285715)","(4.0, 5.7, 5.1)","(8.5, 14.5, 10.76)","(3.5, 4.8, 4.177777777777777)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:25.768203,"(4.0, 5.2, 4.88)","(4.0, 5.7, 5.1)","(8.5, 14.5, 10.76)","(3.5, 4.8, 4.177777777777777)","(3.6, 4.6, 4.20625)"
16-12-2022 13:58:26.784615,"(4.0, 5.2, 4.964705882352941)","(4.0, 5.7, 5.1375)","(8.5, 14.5, 9.641666666666666)","(3.5, 4.8, 4.177777777777777)","(3.6, 4.6, 4.214285714285714)"
16-12-2022 13:58:27.989639,"(4.0, 5.2, 5.0)","(4.0, 5.7, 5.1375)","(8.5, 13.0, 10.833333333333334)","(3.5, 4.8, 4.166666666666666)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:29.074158,"(4.0, 5.2, 5.0)","(4.0, 5.7, 5.1375)","(8.5, 14.5, 10.833333333333334)","(3.5, 4.7, 4.166666666666666)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:30.173360,"(4.0, 5.2, 5.0)","(4.0, 5.7, 5.1)","(8.5, 14.5, 10.25)","(3.5, 4.7, 4.166666666666666)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:31.106101,"(4.0, 5.2, 4.8)","(4.0, 5.7, 5.00625)","(8.5, 14.0, 10.25)","(3.5, 4.7, 4.166666666666666)","(3.6, 4.6, 4.39375)"
16-12-2022 13:58:31.990369,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.8)","(8.5, 14.0, 10.25)","(3.5, 4.7, 4.166666666666666)","(3.6, 4.6, 4.20625)"
16-12-2022 13:58:32.956446,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.85)","(8.5, 14.0, 12.690909090909091)","(3.5, 4.7, 4.166666666666666)","(3.6, 4.6, 4.20625)"
16-12-2022 13:58:33.999342,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.85)","(8.5, 14.0, 12.690909090909091)","(3.5, 4.7, 4.166666666666666)","(3.6, 4.6, 4.20625)"
16-12-2022 13:58:34.901275,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.85)","(8.5, 14.0, 12.690909090909091)","(3.4, 4.7, 4.166666666666666)","(3.6, 4.6, 4.20625)"
16-12-2022 13:58:36.050022,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.85)","(8.5, 14.0, 12.690909090909091)","(3.4, 4.7, 4.166666666666666)","(3.6, 4.6, 3.775)"
16-12-2022 13:58:37.100457,"(4.0, 5.2, 5.0285714285714285)","(4.0, 5.7, 4.275)","(8.5, 14.0, 12.690909090909091)","(3.4, 4.7, 4.166666666666666)","(3.6, 4.6, 3.775)"
16-12-2022 13:58:38.329326,"(4.0, 5.2, 5.0285714285714285)","(4.0, 5.7, 5.1)","(8.5, 14.0, 12.275)","(3.4, 4.7, 4.166666666666666)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:39.380638,"(4.0, 5.2, 5.0285714285714285)","(4.0, 5.7, 5.1)","(8.5, 14.0, 12.85)","(3.4, 4.7, 4.25)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:40.385217,"(4.0, 5.2, 5.027586206896552)","(4.0, 5.7, 5.1)","(8.5, 13.5, 12.754545454545454)","(3.4, 4.7, 4.25)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:41.388948,"(4.0, 5.2, 4.9714285714285715)","(4.0, 5.7, 5.00625)","(8.5, 14.0, 12.85)","(3.4, 4.7, 4.25)","(3.6, 4.6, 3.85)"
16-12-2022 13:58:42.310640,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.8)","(8.5, 13.5, 12.475)","(3.4, 4.7, 4.25)","(3.6, 4.6, 4.56043956043956)"
16-12-2022 13:58:43.291062,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.95)","(8.5, 13.5, 12.475)","(3.4, 4.6, 4.199999999999999)","(3.6, 4.6, 4.56043956043956)"
16-12-2022 13:58:44.289349,"(4.0, 5.2, 5.022222222222222)","(4.0, 5.7, 4.95)","(8.5, 13.5, 12.475)","(3.4, 4.6, 4.155555555555555)","(3.6, 4.6, 4.467307692307692)"
16-12-2022 13:58:45.152763,"(4.2, 5.2, 5.022222222222222)","(3.9, 5.6, 4.683333333333334)","(8.5, 13.5, 12.475)","(3.4, 4.6, 4.155555555555555)","(3.6, 4.6, 4.467307692307692)"
16-12-2022 13:58:46.074180,"(4.2, 5.2, 4.888888888888889)","(3.9, 5.6, 4.8)","(8.5, 13.5, 12.475)","(3.4, 4.6, 4.155555555555555)","(3.6, 4.6, 3.775)"
16-12-2022 13:58:47.077816,"(4.2, 5.2, 5.0285714285714285)","(3.9, 5.6, 4.615384615384615)","(8.5, 13.5, 12.475)","(3.4, 4.6, 4.155555555555555)","(3.6, 4.6, 4.403124999999999)"
16-12-2022 13:58:47.978502,"(4.2, 5.2, 5.0285714285714285)","(4.0, 5.6, 4.615384615384615)","(8.5, 13.5, 12.475)","(3.4, 4.5, 4.18)","(3.6, 4.6, 4.403124999999999)"
16-12-2022 13:58:48.906745,"(4.2, 5.2, 5.0285714285714285)","(4.0, 5.4, 5.0)","(8.5, 13.5, 12.475)","(3.4, 4.5, 4.322222222222222)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:49.874255,"(4.2, 5.2, 4.9714285714285715)","(4.0, 5.4, 4.0285714285714285)","(8.5, 13.5, 11.55)","(3.4, 4.5, 4.322222222222222)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:50.857337,"(4.2, 5.2, 5.022222222222222)","(4.0, 5.4, 4.0285714285714285)","(9.0, 13.5, 12.33)","(3.4, 4.5, 4.322222222222222)","(3.6, 4.6, 4.225)"
16-12-2022 13:58:51.751798,"(4.2, 5.2, 4.92)","(4.0, 5.4, 4.554545454545455)","(9.0, 13.5, 11.82857142857143)","(3.4, 4.5, 4.322222222222222)","(3.6, 4.6, 4.381818181818182)"
16-12-2022 13:58:52.634426,"(4.2, 5.2, 5.0285714285714285)","(4.0, 5.4, 4.554545454545455)","(9.0, 13.5, 11.82857142857143)","(3.4, 4.5, 4.281818181818181)","(3.6, 4.6, 4.138461538461538)"
16-12-2022 13:58:53.537973,"(4.2, 5.2, 4.91578947368421)","(4.0, 5.4, 4.588095238095239)","(9.0, 13.5, 12.525)","(3.4, 4.5, 4.35)","(3.6, 4.6, 4.138461538461538)"
16-12-2022 13:58:54.463967,"(4.2, 5.2, 5.0285714285714285)","(4.0, 5.2, 4.814285714285714)","(9.0, 13.0, 11.3)","(3.5, 4.5, 4.281818181818181)","(3.6, 4.6, 4.213461538461539)"
16-12-2022 13:58:55.395824,"(4.2, 5.2, 4.91578947368421)","(4.0, 5.2, 3.9166666666666665)","(9.0, 14.0, 11.8)","(3.5, 4.5, 4.281818181818181)","(3.6, 4.9, 4.213461538461539)"
16-12-2022 13:58:56.338444,"(4.2, 5.2, 4.977777777777778)","(4.0, 5.2, 4.271875)","(9.0, 13.5, 12.525)","(3.5, 4.5, 4.281818181818181)","(3.6, 4.9, 4.032608695652174)"
16-12-2022 13:58:57.224372,"(4.2, 5.2, 5.0)","(3.8, 5.2, 4.6000000000000005)","(9.0, 13.5, 11.82857142857143)","(3.5, 4.5, 4.281818181818181)","(3.6, 4.9, 4.032608695652174)"
16-12-2022 13:58:58.131261,"(4.2, 5.2, 5.076923076923077)","(3.8, 5.2, 4.69375)","(9.0, 13.5, 12.886363636363637)","(3.5, 4.6, 4.308333333333333)","(3.6, 4.9, 4.108333333333333)"
16-12-2022 13:58:59.057691,"(4.2, 5.2, 5.0)","(3.8, 5.2, 4.564705882352941)","(9.0, 13.5, 12.886363636363637)","(3.5, 4.6, 4.308333333333333)","(3.6, 4.9, 4.108333333333333)"
16-12-2022 13:58:59.909126,"(4.2, 5.2, 4.57)","(3.8, 5.2, 4.36923076923077)","(9.0, 13.5, 13.0)","(3.5, 5.0, 4.38125)","(3.6, 4.9, 4.2214285714285715)"
16-12-2022 13:59:00.815390,"(4.2, 5.2, 5.0285714285714285)","(3.8, 5.2, 4.733333333333333)","(9.0, 13.5, 13.0)","(3.5, 5.0, 4.6625)","(3.6, 4.9, 4.4)"
16-12-2022 13:59:01.792085,"(4.2, 5.2, 4.878571428571429)","(3.8, 4.3, 4.010714285714286)","(9.0, 14.0, 13.0)","(3.5, 5.0, 4.485714285714286)","(3.6, 4.9, 4.207692307692308)"
16-12-2022 13:59:02.687356,"(4.2, 5.2, 4.977777777777778)","(3.8, 4.3, 4.052380952380952)","(9.0, 14.0, 12.88888888888889)","(3.5, 5.0, 4.485714285714286)","(3.6, 4.9, 4.207692307692308)"
16-12-2022 13:59:03.496025,"(4.2, 5.2, 4.878571428571429)","(3.8, 4.3, 3.975)","(9.0, 14.0, 13.0)","(3.5, 5.0, 4.7)","(3.6, 4.9, 4.477777777777778)"
16-12-2022 13:59:04.314035,"(4.2, 5.2, 4.977777777777778)","(3.8, 4.3, 4.052380952380952)","(9.0, 13.0, 10.719999999999999)","(3.5, 5.0, 4.485714285714286)","(3.6, 4.8, 4.496428571428571)"
16-12-2022 13:59:05.239294,"(4.2, 5.2, 4.75)","(3.8, 4.2, 4.0125)","(9.0, 13.0, 11.338461538461539)","(3.5, 5.0, 4.485714285714286)","(3.6, 4.8, 4.496428571428571)"
16-12-2022 13:59:06.114752,"(4.2, 5.2, 4.888888888888889)","(3.8, 4.2, 4.05)","(9.0, 13.0, 11.863157894736842)","(3.5, 5.0, 4.485714285714286)","(3.6, 4.8, 4.1461538461538465)"
16-12-2022 13:59:06.927125,"(4.2, 5.2, 4.7846153846153845)","(3.8, 4.2, 4.046153846153846)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.7)","(3.6, 4.8, 4.1461538461538465)"
16-12-2022 13:59:07.766158,"(4.2, 5.2, 4.9)","(3.8, 4.2, 4.046153846153846)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.46)","(3.6, 4.8, 3.96875)"
16-12-2022 13:59:08.687335,"(4.2, 5.2, 4.9)","(3.8, 4.2, 4.046153846153846)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.46)","(3.6, 4.8, 4.045454545454545)"
16-12-2022 13:59:09.577863,"(4.2, 5.1, 4.717647058823529)","(3.8, 4.2, 4.039285714285715)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.279999999999999)","(3.6, 4.7, 4.045454545454545)"
16-12-2022 13:59:10.422809,"(4.2, 5.1, 4.542857142857143)","(3.9, 4.2, 4.036363636363636)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.279999999999999)","(3.6, 4.7, 4.045454545454545)"
16-12-2022 13:59:11.321821,"(4.2, 5.1, 4.738888888888889)","(3.9, 4.2, 3.975)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.7)","(3.6, 4.7, 4.048275862068966)"
16-12-2022 13:59:12.144374,"(4.2, 5.1, 4.738888888888889)","(3.9, 4.2, 4.03421052631579)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.485714285714286)","(3.6, 4.7, 4.048275862068966)"
16-12-2022 13:59:12.993364,"(4.2, 5.1, 4.717647058823529)","(3.9, 4.2, 3.975)","(8.5, 13.0, 11.863157894736842)","(3.5, 5.0, 4.46)","(3.6, 4.7, 4.07)"
16-12-2022 13:59:13.937445,"(4.2, 5.1, 4.542857142857143)","(3.9, 4.2, 4.1078947368421055)","(8.5, 13.0, 11.036363636363637)","(3.5, 5.0, 4.076923076923077)","(3.6, 4.7, 4.185714285714286)"
16-12-2022 13:59:14.893366,"(4.2, 5.0, 4.923076923076923)","(3.9, 4.2, 4.133333333333334)","(8.5, 13.5, 11.55)","(3.5, 5.0, 4.076923076923077)","(3.6, 4.7, 4.185714285714286)"
16-12-2022 13:59:15.712436,"(4.2, 5.3, 5.233333333333333)","(3.9, 4.2, 4.139130434782609)","(8.5, 13.0, 12.733333333333334)","(3.5, 4.9, 4.188235294117647)","(3.6, 4.7, 4.213513513513513)"
16-12-2022 13:59:16.566150,"(4.2, 5.3, 5.183333333333334)","(3.9, 4.2, 4.066666666666666)","(8.5, 13.0, 11.09090909090909)","(3.5, 4.9, 4.114285714285714)","(3.6, 4.7, 4.469230769230769)"
16-12-2022 13:59:17.408569,"(4.2, 5.3, 5.25)","(3.9, 4.2, 4.152)","(8.5, 13.0, 11.90625)","(3.5, 4.8, 4.152941176470588)","(3.6, 4.6, 4.469230769230769)"
16-12-2022 13:59:18.224288,"(4.2, 5.3, 5.261111111111111)","(3.9, 4.2, 4.152)","(8.5, 13.0, 12.204545454545455)","(3.5, 4.7, 4.04)","(3.6, 4.6, 4.240384615384615)"
16-12-2022 13:59:19.141005,"(4.2, 5.3, 5.261111111111111)","(3.9, 4.2, 4.116666666666667)","(8.5, 13.0, 12.5)","(3.6, 4.7, 3.9499999999999997)","(3.6, 4.6, 4.274074074074074)"
16-12-2022 13:59:20.119493,"(4.2, 5.3, 5.246153846153846)","(3.9, 4.2, 4.144444444444445)","(8.5, 13.0, 12.5)","(3.5, 4.7, 3.9499999999999997)","(3.6, 4.6, 4.274074074074074)"
16-12-2022 13:59:20.951186,"(4.2, 5.3, 5.246153846153846)","(3.9, 4.2, 4.144444444444445)","(8.5, 13.0, 12.5)","(3.5, 4.7, 3.9499999999999997)","(3.6, 4.6, 4.274074074074074)"
16-12-2022 13:59:21.751297,"(4.2, 5.2, 5.04375)","(3.9, 4.2, 4.165217391304348)","(8.5, 13.0, 12.8125)","(3.5, 4.7, 3.9499999999999997)","(3.6, 4.6, 4.274074074074074)"
16-12-2022 13:59:22.701248,"(4.2, 5.2, 5.094736842105263)","(3.9, 4.2, 4.165217391304348)","(8.5, 13.0, 12.678571428571429)","(3.5, 4.7, 3.9124999999999996)","(3.6, 4.6, 4.084375)"
16-12-2022 13:59:23.655002,"(4.2, 5.2, 5.075)","(3.9, 4.2, 4.165217391304348)","(9.0, 13.0, 12.678571428571429)","(3.5, 4.7, 4.375)","(3.6, 4.6, 4.294444444444444)"
16-12-2022 13:59:24.460686,"(4.2, 5.3, 5.2625)","(3.9, 4.2, 4.165217391304348)","(9.0, 13.0, 12.735294117647058)","(3.5, 4.6, 4.375)","(3.6, 4.6, 4.294444444444444)"
16-12-2022 13:59:25.364508,"(4.2, 5.3, 5.245454545454545)","(3.9, 4.2, 4.155555555555556)","(9.0, 13.0, 12.735294117647058)","(3.5, 4.6, 3.958333333333333)","(3.6, 4.6, 4.294444444444444)"
16-12-2022 13:59:26.286236,"(4.2, 5.3, 5.245454545454545)","(3.9, 4.3, 4.1909090909090905)","(9.0, 13.0, 12.735294117647058)","(3.5, 4.6, 3.958333333333333)","(3.6, 4.6, 4.294444444444444)"
16-12-2022 13:59:27.167835,"(4.2, 5.3, 5.216666666666667)","(3.9, 4.9, 4.633333333333334)","(9.0, 13.0, 12.678571428571429)","(3.5, 4.6, 3.9205882352941175)","(3.6, 4.6, 4.225)"
16-12-2022 13:59:28.023818,"(4.2, 5.3, 5.216666666666667)","(3.9, 4.9, 4.5)","(9.0, 13.0, 12.416666666666666)","(3.5, 4.6, 3.9205882352941175)","(3.6, 4.6, 4.225)"
16-12-2022 13:59:28.869894,"(4.2, 5.3, 5.216666666666667)","(3.9, 4.9, 4.608333333333333)","(9.0, 13.0, 12.416666666666666)","(3.5, 4.5, 4.025)","(3.6, 4.6, 4.147058823529411)"
16-12-2022 13:59:29.754275,"(4.2, 5.3, 5.258333333333333)","(3.8, 4.9, 4.608333333333333)","(9.0, 13.0, 12.793103448275861)","(3.5, 4.5, 3.8179487179487177)","(3.5, 4.6, 4.147058823529411)"
16-12-2022 13:59:30.600603,"(4.2, 5.3, 5.228571428571429)","(3.8, 4.9, 4.694117647058824)","(9.0, 13.0, 12.823529411764707)","(3.5, 4.5, 3.8179487179487177)","(3.5, 4.6, 4.147058823529411)"
16-12-2022 13:59:31.569121,"(4.2, 5.3, 5.228571428571429)","(3.8, 4.9, 4.5360000000000005)","(9.0, 13.0, 12.631578947368421)","(3.5, 4.5, 3.81125)","(3.5, 4.6, 3.933333333333333)"
16-12-2022 13:59:32.541974,"(4.2, 5.4, 5.252941176470588)","(3.8, 4.9, 4.6173913043478265)","(9.0, 13.0, 12.631578947368421)","(3.4, 4.5, 3.81125)","(3.5, 4.6, 3.933333333333333)"
16-12-2022 13:59:33.365782,"(4.2, 5.4, 5.172727272727273)","(3.8, 4.9, 4.6173913043478265)","(9.0, 13.0, 12.631578947368421)","(3.4, 4.5, 3.81125)","(3.5, 4.6, 3.933333333333333)"
16-12-2022 13:59:34.258065,"(4.2, 5.4, 5.252941176470588)","(3.8, 4.9, 4.629166666666667)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.4, 4.329166666666667)","(3.5, 4.5, 4.0359375)"
16-12-2022 13:59:35.162757,"(4.2, 5.4, 5.105882352941177)","(3.8, 4.9, 4.557894736842106)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.4, 4.329166666666667)","(3.5, 4.5, 4.0359375)"
16-12-2022 13:59:36.077991,"(4.2, 5.4, 5.191666666666667)","(3.8, 4.9, 4.435714285714286)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.4, 4.2875000000000005)","(3.5, 4.5, 4.0359375)"
16-12-2022 13:59:36.929565,"(4.2, 5.4, 5.105882352941177)","(3.8, 4.9, 4.611111111111112)","(9.0, 13.0, 12.707317073170731)","(3.4, 4.3, 4.242857142857143)","(3.5, 4.5, 4.0359375)"
16-12-2022 13:59:37.895174,"(4.2, 5.4, 5.2)","(3.8, 4.9, 4.385714285714285)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.4, 4.335714285714286)","(3.5, 4.5, 3.9696428571428575)"
16-12-2022 13:59:38.790902,"(4.2, 5.4, 5.133333333333334)","(3.9, 4.9, 4.385714285714285)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.4, 4.335714285714286)","(3.5, 4.5, 3.9696428571428575)"
16-12-2022 13:59:39.583122,"(4.2, 5.4, 5.177777777777778)","(3.9, 4.9, 4.3315789473684205)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.5, 3.8421052631578947)","(3.5, 4.5, 4.064516129032258)"
16-12-2022 13:59:40.501173,"(4.2, 5.4, 5.172727272727273)","(3.9, 4.9, 4.3315789473684205)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.5, 3.8902439024390243)","(3.5, 4.5, 4.064516129032258)"
16-12-2022 13:59:41.464005,"(4.2, 5.4, 5.172727272727273)","(3.9, 4.9, 4.3315789473684205)","(9.0, 13.0, 12.675675675675675)","(3.4, 4.5, 4.173684210526316)","(3.5, 4.5, 4.064516129032258)"
16-12-2022 13:59:42.334035,"(4.2, 5.4, 5.172727272727273)","(3.9, 4.9, 4.508695652173913)","(9.0, 14.5, 13.363636363636363)","(3.4, 4.3, 4.173684210526316)","(3.5, 4.5, 4.064516129032258)"
16-12-2022 13:59:43.181256,"(4.2, 5.4, 5.0875)","(3.9, 4.9, 4.508695652173913)","(9.0, 14.5, 12.25)","(3.4, 4.4, 4.185714285714286)","(3.5, 4.5, 4.020967741935484)"
16-12-2022 13:59:44.153096,"(4.2, 5.4, 5.172727272727273)","(3.9, 4.9, 4.508695652173913)","(9.0, 14.5, 13.0)","(3.4, 4.2, 4.025)","(3.5, 4.5, 4.172727272727273)"
16-12-2022 13:59:45.087299,"(4.2, 5.4, 5.0875)","(3.9, 4.9, 4.508695652173913)","(9.0, 14.5, 12.25)","(3.4, 4.2, 4.15625)","(3.5, 4.5, 4.172727272727273)"
16-12-2022 13:59:45.984088,"(4.2, 5.2, 5.050000000000001)","(3.9, 4.9, 4.3315789473684205)","(9.0, 14.5, 13.0)","(3.4, 4.3, 4.2384615384615385)","(3.5, 4.5, 4.145283018867924)"
16-12-2022 13:59:46.821935,"(4.2, 5.2, 4.981818181818182)","(3.9, 4.9, 4.514285714285714)","(9.0, 14.5, 12.25)","(3.4, 4.3, 4.1)","(3.5, 4.3, 4.122641509433962)"
16-12-2022 13:59:47.653998,"(4.2, 5.2, 4.981818181818182)","(3.9, 4.9, 4.5538461538461545)","(9.0, 14.5, 13.0)","(3.4, 4.4, 4.086956521739131)","(3.5, 4.3, 4.0093220338983055)"
16-12-2022 13:59:48.558965,"(4.2, 5.2, 4.981818181818182)","(3.9, 4.9, 4.5538461538461545)","(9.0, 14.5, 12.25)","(3.4, 4.4, 4.175000000000001)","(3.5, 4.3, 4.011764705882353)"
16-12-2022 13:59:49.448812,"(4.2, 5.2, 4.96)","(3.9, 4.9, 4.525)","(9.0, 14.5, 13.0)","(3.4, 4.3, 4.185714285714285)","(3.5, 4.3, 4.063461538461539)"
16-12-2022 13:59:50.305777,"(4.2, 5.1, 4.966666666666667)","(3.9, 4.9, 4.61875)","(9.0, 14.5, 12.25)","(3.4, 4.3, 4.128571428571428)","(3.5, 4.3, 4.063461538461539)"
16-12-2022 13:59:51.110975,"(4.2, 5.1, 5.0)","(3.9, 4.9, 4.6000000000000005)","(9.0, 14.5, 12.25)","(3.3, 4.3, 4.166666666666666)","(3.6, 4.3, 4.063461538461539)"
16-12-2022 13:59:52.003925,"(4.2, 5.1, 4.966666666666667)","(3.9, 4.9, 4.586956521739131)","(9.0, 14.5, 12.25)","(3.3, 4.2, 4.083333333333334)","(3.6, 4.2, 4.129411764705883)"
16-12-2022 13:59:52.953263,"(4.2, 5.4, 5.390697674418605)","(3.9, 4.9, 4.855555555555556)","(9.0, 14.5, 12.25)","(3.3, 4.1, 3.9999999999999996)","(3.6, 4.2, 4.08)"
16-12-2022 13:59:53.904520,"(4.2, 5.5, 5.386363636363637)","(3.9, 4.9, 4.737037037037037)","(9.0, 14.5, 13.42)","(3.3, 4.1, 4.008333333333333)","(3.6, 4.2, 4.0600000000000005)"
16-12-2022 13:59:54.807491,"(4.2, 5.3, 5.204)","(3.9, 4.9, 4.737037037037037)","(9.0, 14.5, 13.59090909090909)","(3.3, 4.2, 3.963636363636364)","(3.6, 4.2, 4.040909090909091)"
16-12-2022 13:59:55.669707,"(4.2, 5.3, 5.204)","(3.9, 4.9, 4.677777777777778)","(9.0, 14.0, 13.583333333333334)","(3.3, 4.3, 4.027272727272727)","(3.6, 4.2, 4.040909090909091)"
16-12-2022 13:59:56.597754,"(4.2, 5.3, 5.127272727272727)","(3.9, 4.9, 4.816666666666667)","(9.0, 14.0, 13.285714285714285)","(3.3, 4.3, 3.925)","(3.6, 4.2, 4.025)"
16-12-2022 13:59:57.556968,"(4.2, 5.3, 5.127272727272727)","(3.9, 4.9, 4.7)","(9.0, 14.0, 13.285714285714285)","(3.3, 4.2, 4.028947368421052)","(3.6, 4.2, 4.025)"
16-12-2022 13:59:58.415528,"(4.2, 5.3, 5.127272727272727)","(3.9, 4.9, 4.733333333333333)","(9.0, 14.0, 13.285714285714285)","(3.3, 4.2, 4.019444444444445)","(3.6, 4.2, 4.025)"
16-12-2022 13:59:59.289817,"(4.2, 5.3, 5.06734693877551)","(3.9, 4.9, 4.654545454545454)","(9.0, 14.0, 13.423076923076923)","(3.3, 4.1, 3.9)","(3.6, 4.2, 4.052631578947368)"
16-12-2022 14:00:00.232037,"(4.2, 5.3, 5.04)","(3.9, 4.9, 4.670588235294117)","(9.0, 14.0, 13.083333333333334)","(3.3, 4.2, 3.73125)","(3.6, 4.2, 4.006578947368421)"
16-12-2022 14:00:01.105043,"(4.2, 5.3, 5.036363636363636)","(3.9, 4.9, 4.7620689655172415)","(9.0, 14.0, 13.4)","(3.3, 4.1, 3.8777777777777778)","(3.6, 4.2, 3.8767857142857145)"
16-12-2022 14:00:01.989567,"(4.2, 5.3, 5.022222222222222)","(3.9, 4.9, 4.6461538461538465)","(9.0, 14.0, 12.93939393939394)","(3.3, 4.1, 3.85)","(3.6, 4.1, 3.90625)"
16-12-2022 14:00:02.899131,"(4.2, 5.3, 5.022222222222222)","(3.9, 4.9, 4.664285714285715)","(9.0, 14.0, 12.75)","(3.3, 4.0, 3.785714285714286)","(3.6, 4.1, 3.8962962962962964)"
16-12-2022 14:00:03.780417,"(4.2, 5.3, 5.0638297872340425)","(3.9, 4.8, 4.745652173913044)","(9.0, 14.0, 12.1)","(3.3, 4.0, 3.8846153846153846)","(3.6, 4.1, 3.8962962962962964)"
16-12-2022 14:00:04.692294,"(4.2, 5.3, 5.08)","(3.9, 4.8, 4.672)","(9.0, 14.0, 12.125)","(3.3, 4.0, 3.9703389830508473)","(3.6, 4.1, 3.8962962962962964)"
16-12-2022 14:00:05.625782,"(4.2, 5.3, 5.102857142857143)","(3.9, 4.8, 4.6)","(9.0, 14.0, 12.125)","(3.3, 4.0, 3.9703389830508473)","(3.6, 4.1, 3.9095238095238094)"
16-12-2022 14:00:06.560705,"(4.2, 5.3, 5.07)","(3.9, 4.8, 4.61)","(9.0, 14.0, 12.222222222222221)","(3.3, 4.0, 3.975862068965517)","(3.6, 4.1, 3.917391304347826)"
16-12-2022 14:00:07.376352,"(4.2, 5.3, 5.07)","(3.9, 4.8, 4.61)","(9.0, 14.0, 13.483870967741936)","(3.3, 4.0, 3.975862068965517)","(3.6, 4.1, 3.917391304347826)"
16-12-2022 14:00:08.300120,"(4.2, 5.3, 5.128571428571428)","(3.9, 4.8, 4.6)","(9.0, 14.0, 13.483870967741936)","(3.3, 4.0, 3.975862068965517)","(3.6, 4.1, 3.908333333333333)"
16-12-2022 14:00:09.198355,"(4.2, 5.3, 5.128571428571428)","(3.9, 4.7, 4.666666666666667)","(9.0, 14.0, 13.483870967741936)","(3.3, 4.0, 3.97910447761194)","(3.6, 4.2, 3.9846153846153847)"
