,Nixon Bale,Zhenye Bale,Zipping Pip,Love A Collision,Mt View Bee,Under His Spell,Black Power
12-01-2023 15:48:57.981543,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:59.069244,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:00.199925,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:01.291796,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:02.314007,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:03.476008,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:04.647658,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:05.773114,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:06.811461,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:07.817470,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
