,So Noble,Dovis Day,Eye Pee Oh Ready,Peggie Boom,Wicked Chance,Mishani Jewel,Bit Of Fun,Marshy,Mishani Platinum,Torque Is Savvy
06-01-2023 14:01:56.263201,"(4.8, 6.2, 5.648648648648648)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7533962264150944)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:57.863877,"(4.8, 6.2, 5.648648648648648)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7533962264150944)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:59.352047,"(4.8, 6.2, 5.648648648648648)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7533962264150944)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:02:00.751410,"(4.8, 6.2, 5.8)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7229310344827586)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:02:02.122579,"(4.8, 6.2, 5.8)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.1)","(1.65, 1.76, 1.7207142857142856)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:02:03.560133,"(4.8, 6.2, 5.8)","(20.0, 38.0, 36.0)","(7.5, 17.5, 17.02777777777778)","(1.65, 1.76, 1.7207142857142856)","(6.5, 9.8, 9.184615384615384)","(15.0, 38.0, 36.875)","(101.0, 630.0, 452.0)","(101.0, 550.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 630.0, 452.0)"
06-01-2023 14:02:04.838200,"(4.8, 6.2, 5.923809523809524)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7259016393442623)","(6.5, 9.8, 9.120000000000001)","(15.0, 38.0, 36.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:02:06.178049,"(4.8, 6.0, 5.923809523809524)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7259016393442623)","(6.5, 9.8, 9.120000000000001)","(15.0, 38.0, 36.2)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:02:07.577310,"(4.8, 6.0, 5.68)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7259016393442623)","(6.5, 9.8, 9.120000000000001)","(15.0, 38.0, 36.2)","(101.0, 620.0, 375.7142857142857)","(101.0, 540.0, 392.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 440.0)"
06-01-2023 14:02:09.242189,"(4.8, 6.0, 5.911111111111111)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7259016393442623)","(6.5, 9.8, 9.120000000000001)","(15.0, 38.0, 36.2)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 85.0, 57.25)","(101.0, 600.0, 440.0)"
06-01-2023 14:02:11.167730,"(4.8, 6.0, 5.911111111111111)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.120000000000001)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 85.0, 57.25)","(101.0, 600.0, 440.0)"
06-01-2023 14:02:12.889546,"(4.8, 6.0, 5.911111111111111)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 85.0, 57.25)","(101.0, 600.0, 440.0)"
06-01-2023 14:02:14.301395,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 85.0, 57.25)","(101.0, 600.0, 440.0)"
06-01-2023 14:02:15.880852,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 85.0, 57.25)","(101.0, 600.0, 367.1428571428571)"
06-01-2023 14:02:17.597376,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 85.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:19.096643,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 85.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:20.716854,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:22.208701,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:23.554099,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:24.867203,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 392.0)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:26.287758,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.020833333333332)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 345.7142857142857)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:27.776009,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(7.5, 18.0, 17.4)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 540.0, 337.1428571428571)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:29.231178,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(8.5, 17.5, 17.4)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 520.0, 462.5)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:30.624559,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(8.5, 17.5, 17.4)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.4)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 550.0, 374.0)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:31.962006,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(8.5, 17.5, 17.4)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.8, 9.443478260869565)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 490.0, 398.0)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:33.287253,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(8.5, 17.5, 17.4)","(1.65, 1.76, 1.7273469387755103)","(6.5, 9.6, 9.443478260869565)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 530.0, 398.0)","(26.0, 80.0, 64.0)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:34.542054,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(8.5, 17.5, 16.741071428571427)","(1.65, 1.76, 1.7284375)","(6.5, 9.6, 9.34)","(15.0, 38.0, 32.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 530.0, 462.5)","(26.0, 80.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:35.787602,"(4.8, 6.0, 5.8769230769230765)","(20.0, 38.0, 35.42857142857143)","(8.5, 18.0, 16.741071428571427)","(1.65, 1.75, 1.7305882352941175)","(6.5, 9.6, 9.283870967741937)","(15.0, 38.0, 35.5)","(101.0, 610.0, 375.7142857142857)","(101.0, 550.0, 462.5)","(26.0, 85.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:37.115093,"(4.8, 5.9, 5.706666666666667)","(20.0, 36.0, 33.6)","(8.5, 18.0, 16.717741935483872)","(1.65, 1.75, 1.7317391304347827)","(6.5, 9.4, 9.3)","(15.0, 36.0, 35.5)","(101.0, 610.0, 375.7142857142857)","(101.0, 550.0, 462.5)","(26.0, 85.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:38.461252,"(4.8, 5.8, 5.776470588235294)","(20.0, 36.0, 35.2)","(8.5, 18.0, 16.717741935483872)","(1.65, 1.75, 1.7325)","(6.5, 9.4, 9.506666666666668)","(15.0, 36.0, 37.25)","(101.0, 610.0, 375.7142857142857)","(101.0, 550.0, 462.5)","(26.0, 85.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:39.868347,"(4.8, 6.0, 5.775)","(20.0, 36.0, 35.2)","(8.5, 18.0, 16.915384615384614)","(1.65, 1.74, 1.6914130434782608)","(6.5, 9.8, 9.923076923076923)","(15.0, 38.0, 36.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 550.0, 462.5)","(26.0, 85.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:41.256977,"(4.8, 6.0, 5.96)","(20.0, 36.0, 35.6)","(8.5, 18.0, 16.915384615384614)","(1.65, 1.7, 1.6952272727272726)","(6.5, 10.0, 9.923076923076923)","(15.0, 38.0, 36.666666666666664)","(101.0, 610.0, 375.7142857142857)","(101.0, 550.0, 462.5)","(26.0, 85.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:43.060345,"(4.8, 6.0, 5.96)","(20.0, 36.0, 35.69230769230769)","(8.5, 18.0, 16.915384615384614)","(1.65, 1.7, 1.6932258064516128)","(6.5, 10.0, 9.961538461538462)","(15.0, 38.0, 37.07692307692308)","(101.0, 610.0, 375.7142857142857)","(101.0, 550.0, 462.5)","(26.0, 85.0, 57.25)","(101.0, 580.0, 428.0)"
06-01-2023 14:02:44.725746,"(4.8, 6.0, 5.96)","(20.0, 36.0, 35.69230769230769)","(8.5, 18.0, 16.915384615384614)","(1.65, 1.7, 1.6952272727272726)","(6.5, 10.5, 9.961538461538462)","(15.0, 38.0, 37.07692307692308)","(101.0, 610.0, 405.0)","(101.0, 550.0, 7549.25)","(26.0, 85.0, 57.25)","(101.0, 580.0, 485.0)"
06-01-2023 14:02:46.312288,"(4.8, 6.0, 5.88)","(20.0, 36.0, 35.69230769230769)","(8.5, 18.0, 17.727272727272727)","(1.65, 1.7, 1.6952272727272726)","(6.5, 10.5, 10.4375)","(15.0, 38.0, 36.5)","(101.0, 610.0, 405.0)","(101.0, 99999, 7549.25)","(26.0, 85.0, 57.25)","(101.0, 580.0, 485.0)"
06-01-2023 14:02:47.727038,"(4.8, 6.0, 5.85)","(20.0, 36.0, 35.69230769230769)","(8.5, 17.5, 17.25)","(1.65, 1.7, 1.6952272727272726)","(6.5, 11.0, 10.777777777777779)","(15.0, 38.0, 36.5)","(101.0, 610.0, 462.5)","(101.0, 99999, 328.57142857142856)","(26.0, 85.0, 57.25)","(101.0, 580.0, 432.5)"
06-01-2023 14:02:49.086563,"(4.8, 6.0, 5.85)","(20.0, 36.0, 35.69230769230769)","(8.5, 17.5, 16.647058823529413)","(1.65, 1.7, 1.6952272727272726)","(6.5, 11.0, 10.636363636363637)","(15.0, 38.0, 36.5)","(101.0, 550.0, 404.0)","(101.0, 500.0, 368.0)","(26.0, 85.0, 57.25)","(101.0, 510.0, 380.0)"
06-01-2023 14:02:50.457840,"(4.8, 6.0, 5.85)","(20.0, 36.0, 35.69230769230769)","(8.5, 17.0, 16.647058823529413)","(1.65, 1.7, 1.6952272727272726)","(6.5, 11.0, 10.636363636363637)","(15.0, 38.0, 36.5)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 85.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:02:51.968914,"(4.8, 6.0, 5.828571428571429)","(20.0, 36.0, 35.6)","(8.5, 17.0, 16.647058823529413)","(1.65, 1.7, 1.6952272727272726)","(6.5, 11.0, 10.636363636363637)","(15.0, 38.0, 36.5)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:02:53.378135,"(4.8, 5.9, 5.778260869565218)","(20.0, 36.0, 35.6)","(8.5, 17.0, 16.647058823529413)","(1.65, 1.7, 1.689517102615694)","(6.5, 11.0, 10.714285714285714)","(15.0, 38.0, 36.5)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:02:54.659852,"(4.8, 5.9, 5.778260869565218)","(19.0, 36.0, 35.6)","(8.5, 17.0, 16.647058823529413)","(1.65, 1.69, 1.689517102615694)","(6.5, 11.0, 11.26923076923077)","(15.0, 38.0, 36.5)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:02:55.926497,"(4.8, 5.9, 5.778260869565218)","(19.0, 36.0, 37.111111111111114)","(8.5, 17.0, 16.647058823529413)","(1.65, 1.69, 1.6977499999999999)","(6.5, 11.5, 10.272727272727273)","(15.0, 38.0, 36.5)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:02:57.206753,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.111111111111114)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.7, 1.6977499999999999)","(6.5, 12.0, 10.4875)","(15.0, 38.0, 35.0)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:02:58.478854,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.111111111111114)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.7, 1.6977499999999999)","(6.5, 12.0, 10.4875)","(15.0, 38.0, 35.0)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:02:59.752150,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.111111111111114)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.7, 1.698549019607843)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 35.0)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:00.937497,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.111111111111114)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.7, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 35.0)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:02.216458,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.111111111111114)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 36.4)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:03.443800,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.111111111111114)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 37.2)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:04.994861,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.111111111111114)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 37.2)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 64.0)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:06.361342,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 37.2)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 37.2)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 80.0, 57.25)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:07.688957,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 35.391304347826086)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 36.8)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 85.0, 57.25)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:09.159439,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 35.0)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 37.0)","(101.0, 540.0, 404.0)","(101.0, 480.0, 368.0)","(26.0, 85.0, 57.25)","(101.0, 500.0, 380.0)"
06-01-2023 14:03:10.569117,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 35.0)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899789029535865)","(6.5, 12.0, 10.428571428571429)","(15.0, 38.0, 37.0)","(101.0, 540.0, 462.5)","(101.0, 480.0, 368.0)","(26.0, 85.0, 62.8)","(101.0, 500.0, 432.5)"
06-01-2023 14:03:12.062792,"(4.8, 5.9, 5.778260869565218)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899610894941635)","(6.5, 12.0, 10.690476190476192)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 480.0, 368.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:13.330551,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899604743083003)","(6.5, 12.0, 10.333333333333334)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 480.0, 368.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:14.590926,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899604743083003)","(6.5, 11.5, 10.31578947368421)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 480.0, 368.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:15.808571,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.69, 1.6899604743083003)","(6.5, 11.5, 10.333333333333334)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 480.0, 368.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:17.142144,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.71, 1.7003225806451612)","(6.5, 11.0, 10.333333333333334)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 480.0, 368.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:18.461403,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.71, 1.7003225806451612)","(6.5, 11.0, 10.333333333333334)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 480.0, 368.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:19.820068,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.71, 1.7003225806451612)","(6.5, 11.0, 10.333333333333334)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 480.0, 356.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:21.154084,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.71, 1.7003225806451612)","(6.5, 11.0, 10.333333333333334)","(15.0, 38.0, 37.0)","(101.0, 550.0, 462.5)","(101.0, 460.0, 356.0)","(26.0, 85.0, 62.8)","(101.0, 510.0, 432.5)"
06-01-2023 14:03:22.495092,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.71, 1.7003225806451612)","(6.5, 11.0, 10.333333333333334)","(15.0, 38.0, 37.0)","(101.0, 550.0, 380.0)","(101.0, 460.0, 350.0)","(26.0, 85.0, 69.33333333333333)","(101.0, 510.0, 350.0)"
06-01-2023 14:03:23.757561,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.46153846153846)","(1.65, 1.71, 1.7003225806451612)","(6.5, 11.0, 10.25)","(15.0, 38.0, 37.0)","(101.0, 440.0, 380.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
06-01-2023 14:03:25.023095,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.352941176470587)","(1.65, 1.71, 1.7016666666666667)","(6.5, 11.0, 10.25)","(15.0, 38.0, 37.0)","(101.0, 440.0, 344.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
06-01-2023 14:03:26.295450,"(4.8, 5.9, 5.713333333333334)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.352941176470587)","(1.65, 1.71, 1.7016666666666667)","(6.5, 11.0, 10.25)","(15.0, 38.0, 37.0)","(101.0, 440.0, 344.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
06-01-2023 14:03:27.637209,"(4.8, 5.8, 5.741176470588235)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.352941176470587)","(1.65, 1.71, 1.7016666666666667)","(6.5, 10.5, 10.285714285714286)","(15.0, 38.0, 37.0)","(101.0, 440.0, 235.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
06-01-2023 14:03:28.970722,"(4.8, 5.8, 5.75)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.352941176470587)","(1.65, 1.71, 1.7016666666666667)","(6.5, 10.5, 10.166666666666666)","(15.0, 38.0, 37.0)","(101.0, 270.0, 245.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
06-01-2023 14:03:30.267554,"(4.8, 5.9, 5.752631578947368)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.352941176470587)","(1.65, 1.71, 1.7016666666666667)","(6.5, 10.5, 10.166666666666666)","(15.0, 38.0, 37.0)","(101.0, 260.0, 245.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
06-01-2023 14:03:31.528556,"(4.8, 5.9, 5.752631578947368)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.352941176470587)","(1.65, 1.71, 1.7016666666666667)","(6.5, 10.5, 10.166666666666666)","(15.0, 38.0, 37.0)","(101.0, 260.0, 245.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
06-01-2023 14:03:32.805860,"(4.8, 5.9, 5.752631578947368)","(19.0, 38.0, 36.35294117647059)","(8.5, 17.0, 16.352941176470587)","(1.65, 1.71, 1.7016666666666667)","(6.5, 10.5, 10.166666666666666)","(15.0, 38.0, 37.0)","(101.0, 260.0, 245.0)","(101.0, 400.0, 350.0)","(26.0, 80.0, 69.33333333333333)","(101.0, 400.0, 350.0)"
