,Kickstarter,The Filter,Distortedatthebar,Out For Justice,Artie My Boy,Summer Retreat,Too Legit,Oneprettything
15-12-2022 10:50:30.107332,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.5)","(10.0, 19.5, 16.875)","(19.0, 34.0, 31.6)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:31.110732,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.5)","(10.0, 19.5, 16.875)","(19.0, 34.0, 31.6)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:32.135969,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.5)","(10.0, 19.5, 16.875)","(19.0, 34.0, 31.6)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:33.164379,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 34.0, 33.172413793103445)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.306976744186047)","(21.0, 65.0, 63.599999999999994)"
15-12-2022 10:50:34.200205,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 34.0, 33.172413793103445)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.306976744186047)","(21.0, 65.0, 63.599999999999994)"
15-12-2022 10:50:35.325545,"(6.5, 7.6, 7.381818181818182)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 34.0, 30.857142857142858)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.092307692307692)","(21.0, 65.0, 63.599999999999994)"
15-12-2022 10:50:36.456944,"(6.5, 7.6, 7.230769230769231)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 34.0, 28.0)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.15)","(21.0, 65.0, 58.666666666666664)"
15-12-2022 10:50:37.596956,"(6.5, 7.6, 7.230769230769231)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 32.0, 28.333333333333332)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.15)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:38.763146,"(6.5, 7.6, 7.230769230769231)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 30.0, 28.5)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.15)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:39.889688,"(6.5, 7.6, 7.230769230769231)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 32.0, 28.5)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.15)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:41.024218,"(6.5, 7.6, 7.230769230769231)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 32.0, 28.5)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.15)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:42.144479,"(6.5, 7.6, 7.230769230769231)","(3.7, 4.6, 4.449999999999999)","(10.0, 19.5, 16.875)","(19.0, 32.0, 27.5)","(2.8, 3.3, 3.1566666666666667)","(15.0, 27.0, 23.85)","(5.5, 6.4, 5.9980769230769235)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:43.253296,"(6.5, 7.6, 7.217391304347826)","(3.7, 4.5, 4.325641025641025)","(10.0, 19.5, 16.875)","(19.0, 30.0, 27.5)","(2.8, 3.25, 3.1566666666666667)","(15.0, 27.0, 23.85)","(5.5, 6.2, 6.078571428571429)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:44.341369,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.5, 4.325641025641025)","(10.0, 19.5, 16.875)","(19.0, 30.0, 27.5)","(2.8, 3.25, 3.1566666666666667)","(15.0, 27.0, 21.0)","(5.5, 6.2, 6.095918367346939)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:45.457335,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.5, 4.325641025641025)","(10.0, 19.5, 16.875)","(19.0, 30.0, 27.5)","(2.8, 3.25, 3.1529850746268657)","(15.0, 27.0, 21.0)","(5.5, 6.2, 6.095918367346939)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:46.605981,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.5, 4.325641025641025)","(10.0, 19.5, 16.875)","(19.0, 30.0, 27.5)","(2.8, 3.25, 3.1529850746268657)","(15.0, 27.0, 22.0)","(5.5, 6.2, 6.095918367346939)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:47.780941,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.5, 4.3969696969696965)","(10.0, 19.5, 16.875)","(19.0, 30.0, 28.0)","(2.8, 3.25, 3.1529850746268657)","(15.0, 27.0, 22.92857142857143)","(5.5, 6.2, 6.095918367346939)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:48.893607,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.533333333333333)","(10.0, 19.5, 18.214285714285715)","(19.0, 30.0, 28.0)","(2.8, 3.25, 3.1566666666666667)","(15.0, 27.0, 23.357142857142858)","(5.5, 6.2, 6.0875)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:49.973126,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.544444444444444)","(10.0, 19.5, 18.214285714285715)","(19.0, 30.0, 28.0)","(2.8, 3.25, 3.1566666666666667)","(15.0, 27.0, 23.357142857142858)","(5.5, 6.2, 6.0875)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:51.054424,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.544444444444444)","(10.0, 19.5, 18.214285714285715)","(19.0, 30.0, 28.0)","(2.8, 3.2, 3.122448979591837)","(15.0, 27.0, 23.357142857142858)","(5.5, 6.2, 6.0875)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:52.166840,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.544444444444444)","(10.0, 19.5, 18.214285714285715)","(19.0, 29.0, 27.4)","(2.8, 3.2, 3.122448979591837)","(15.0, 27.0, 23.357142857142858)","(5.5, 6.2, 6.0875)","(21.0, 65.0, 59.333333333333336)"
15-12-2022 10:50:53.292388,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.214285714285715)","(19.0, 29.0, 27.4)","(2.8, 3.2, 3.0416666666666665)","(15.0, 27.0, 22.2)","(5.5, 6.2, 6.119642857142857)","(21.0, 65.0, 62.875)"
15-12-2022 10:50:54.433931,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.214285714285715)","(19.0, 29.0, 27.4)","(2.8, 3.2, 3.0416666666666665)","(15.0, 27.0, 22.2)","(5.5, 6.2, 6.119642857142857)","(21.0, 65.0, 62.875)"
15-12-2022 10:50:55.526322,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.214285714285715)","(19.0, 29.0, 27.4)","(2.8, 3.2, 3.0303030303030303)","(15.0, 27.0, 22.5)","(5.5, 6.2, 6.119642857142857)","(21.0, 65.0, 57.33333333333333)"
15-12-2022 10:50:56.592808,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.0)","(19.0, 29.0, 27.4)","(2.8, 3.2, 3.0465753424657533)","(15.0, 26.0, 24.375)","(5.5, 6.2, 6.119642857142857)","(21.0, 60.0, 56.57142857142857)"
15-12-2022 10:50:57.634140,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.0)","(19.0, 29.0, 27.4)","(2.8, 3.2, 3.0465753424657533)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.119642857142857)","(21.0, 60.0, 52.0)"
15-12-2022 10:50:58.656087,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.0)","(21.0, 28.0, 26.8)","(2.7, 3.2, 3.0465753424657533)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.119642857142857)","(21.0, 60.0, 51.0)"
15-12-2022 10:50:59.723437,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.0)","(21.0, 28.0, 26.8)","(2.7, 3.2, 3.0582278481012657)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.119642857142857)","(21.0, 60.0, 51.0)"
15-12-2022 10:51:00.760288,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.666666666666668)","(21.0, 28.0, 26.8)","(2.7, 3.2, 3.0582278481012657)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.119642857142857)","(21.0, 60.0, 51.0)"
15-12-2022 10:51:01.834143,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.666666666666668)","(21.0, 28.0, 26.8)","(2.7, 3.2, 3.064516129032258)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.084615384615385)","(21.0, 60.0, 46.875)"
15-12-2022 10:51:02.897662,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.516666666666667)","(10.0, 19.5, 18.666666666666668)","(21.0, 28.0, 26.8)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 23.6)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 57.714285714285715)"
15-12-2022 10:51:03.980135,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.666666666666668)","(21.0, 28.0, 26.8)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 23.6)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:05.060279,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.666666666666668)","(21.0, 28.0, 26.8)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 23.6)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:06.103691,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.666666666666668)","(21.0, 28.0, 26.53846153846154)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 22.0)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:07.117074,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.428571428571427)","(21.0, 27.0, 26.53846153846154)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 22.0)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:08.228624,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.428571428571427)","(21.0, 27.0, 26.53846153846154)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 24.333333333333332)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:09.330235,"(6.5, 7.6, 7.111111111111111)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.428571428571427)","(21.0, 27.0, 26.53846153846154)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 24.333333333333332)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:10.459872,"(6.5, 7.6, 7.306666666666667)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.428571428571427)","(21.0, 27.0, 26.53846153846154)","(2.7, 3.2, 3.084931506849315)","(15.0, 26.0, 23.77777777777778)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:11.503927,"(6.5, 7.6, 7.306666666666667)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.666666666666668)","(21.0, 27.0, 26.53846153846154)","(2.7, 3.2, 3.083116883116883)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:12.529872,"(6.5, 7.4, 7.278787878787879)","(3.7, 4.6, 4.433333333333334)","(10.0, 19.5, 18.666666666666668)","(21.0, 27.0, 26.53846153846154)","(2.7, 3.2, 3.083116883116883)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 58.4)"
15-12-2022 10:51:13.560646,"(6.5, 7.4, 7.191304347826087)","(3.7, 4.6, 4.555882352941176)","(10.0, 19.5, 18.666666666666668)","(21.0, 40.0, 37.53846153846154)","(2.7, 3.2, 3.1157534246575342)","(15.0, 26.0, 22.25)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 52.0)"
15-12-2022 10:51:14.633675,"(6.5, 7.4, 7.191304347826087)","(3.7, 4.6, 4.564285714285714)","(10.0, 19.5, 18.666666666666668)","(21.0, 40.0, 37.53846153846154)","(2.7, 3.2, 3.1157534246575342)","(15.0, 26.0, 22.25)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 52.0)"
15-12-2022 10:51:15.749093,"(6.5, 7.4, 7.191304347826087)","(3.7, 4.6, 4.567391304347826)","(10.0, 19.5, 18.666666666666668)","(21.0, 40.0, 37.53846153846154)","(2.7, 3.2, 3.1157534246575342)","(15.0, 26.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 52.0)"
15-12-2022 10:51:16.879202,"(6.5, 7.4, 7.191304347826087)","(3.7, 4.6, 4.567391304347826)","(10.0, 19.5, 18.666666666666668)","(21.0, 40.0, 37.86666666666667)","(2.7, 3.2, 3.1157534246575342)","(15.0, 25.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 60.0, 61.666666666666664)"
15-12-2022 10:51:17.895030,"(6.5, 7.4, 7.191304347826087)","(3.7, 4.6, 4.567391304347826)","(10.0, 19.5, 18.666666666666668)","(21.0, 40.0, 37.86666666666667)","(2.7, 3.2, 3.1157534246575342)","(15.0, 25.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 65.0, 61.666666666666664)"
15-12-2022 10:51:18.942956,"(6.5, 7.4, 7.258823529411765)","(3.7, 4.6, 4.567391304347826)","(10.0, 19.5, 18.964285714285715)","(21.0, 40.0, 37.53846153846154)","(2.7, 3.2, 3.1157534246575342)","(15.0, 25.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 65.0, 61.666666666666664)"
15-12-2022 10:51:19.989281,"(6.5, 7.4, 7.258823529411765)","(3.7, 4.6, 4.567391304347826)","(10.0, 19.5, 18.964285714285715)","(19.0, 40.0, 37.53846153846154)","(2.7, 3.2, 3.1157534246575342)","(15.0, 25.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 65.0, 61.666666666666664)"
15-12-2022 10:51:21.059899,"(6.5, 7.4, 7.276923076923077)","(3.7, 4.6, 4.567391304347826)","(10.0, 19.5, 18.964285714285715)","(19.0, 40.0, 35.84615384615385)","(2.7, 3.2, 3.1157534246575342)","(15.0, 25.0, 23.0)","(5.5, 6.2, 6.10625)","(21.0, 65.0, 61.666666666666664)"
15-12-2022 10:51:22.172324,"(6.5, 7.4, 7.276923076923077)","(3.7, 4.6, 4.567391304347826)","(10.0, 19.5, 19.0)","(19.0, 38.0, 35.84615384615385)","(2.7, 3.2, 3.1157534246575342)","(15.0, 25.0, 23.0)","(5.5, 6.2, 6.0875)","(21.0, 65.0, 61.666666666666664)"
15-12-2022 10:51:23.334203,"(6.5, 7.4, 7.276923076923077)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.147058823529413)","(21.0, 38.0, 33.666666666666664)","(2.6, 3.2, 3.0691489361702127)","(16.0, 25.0, 23.0)","(5.5, 6.2, 6.147826086956522)","(26.0, 65.0, 63.75)"
15-12-2022 10:51:24.405607,"(6.5, 7.4, 7.2153846153846155)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.147058823529413)","(21.0, 38.0, 35.83333333333333)","(2.6, 3.2, 3.1148936170212767)","(16.0, 25.0, 23.0)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.75)"
15-12-2022 10:51:25.447505,"(6.5, 7.4, 7.2153846153846155)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.147058823529413)","(21.0, 38.0, 35.83333333333333)","(2.6, 3.15, 3.1148936170212767)","(16.0, 25.0, 23.0)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.75)"
15-12-2022 10:51:26.486496,"(6.5, 7.4, 7.2153846153846155)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.147058823529413)","(21.0, 38.0, 34.0)","(2.6, 3.15, 3.1148936170212767)","(16.0, 25.0, 23.0)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.888888888888886)"
15-12-2022 10:51:27.514055,"(6.5, 7.4, 7.2153846153846155)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.147058823529413)","(21.0, 40.0, 34.0)","(2.6, 3.15, 3.1148936170212767)","(16.0, 25.0, 23.0)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.888888888888886)"
15-12-2022 10:51:28.533477,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.147058823529413)","(21.0, 40.0, 34.0)","(2.6, 3.15, 3.1148936170212767)","(16.0, 25.0, 22.25)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.333333333333336)"
15-12-2022 10:51:29.522874,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.147058823529413)","(21.0, 40.0, 34.0)","(2.6, 3.15, 3.1148936170212767)","(16.0, 26.0, 22.25)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.333333333333336)"
15-12-2022 10:51:30.551187,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.214285714285715)","(21.0, 40.0, 34.0)","(2.6, 3.15, 3.1148936170212767)","(16.0, 26.0, 22.25)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.333333333333336)"
15-12-2022 10:51:31.569146,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 30.57142857142857)","(2.6, 3.15, 3.1148936170212767)","(16.0, 26.0, 22.25)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.333333333333336)"
15-12-2022 10:51:32.602757,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.555882352941176)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 30.57142857142857)","(2.6, 3.15, 3.1148936170212767)","(16.0, 26.0, 22.25)","(5.5, 6.2, 6.093333333333334)","(26.0, 65.0, 63.333333333333336)"
15-12-2022 10:51:33.666663,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.534782608695652)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.15, 3.1148936170212767)","(16.0, 26.0, 22.25)","(5.5, 6.2, 6.127272727272727)","(26.0, 65.0, 63.333333333333336)"
15-12-2022 10:51:34.777608,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.534782608695652)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.15, 3.1148936170212767)","(16.0, 26.0, 22.5)","(5.5, 6.2, 6.127272727272727)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:35.812535,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.534782608695652)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.15, 3.1148936170212767)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.127272727272727)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:36.887570,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.5285714285714285)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.1, 3.0486486486486486)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.127272727272727)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:37.917197,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.5285714285714285)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.127272727272727)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:38.951394,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.5285714285714285)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.127272727272727)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:39.958223,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.5285714285714285)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.127272727272727)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:40.986499,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.5285714285714285)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:42.021116,"(6.5, 7.4, 7.233333333333333)","(3.7, 4.6, 4.441176470588235)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 33.27272727272727)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:43.042887,"(6.5, 7.2, 7.1647058823529415)","(3.7, 4.6, 4.441176470588235)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 29.333333333333332)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.44444444444444)"
15-12-2022 10:51:44.104267,"(6.5, 7.2, 7.1647058823529415)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 32.666666666666664)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.64285714285714)"
15-12-2022 10:51:45.173689,"(6.5, 7.2, 7.1647058823529415)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 32.666666666666664)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.66666666666667)"
15-12-2022 10:51:46.259760,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 32.0)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.6875)"
15-12-2022 10:51:47.302177,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.23913043478261)","(21.0, 38.0, 32.0)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.6875)"
15-12-2022 10:51:48.334260,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 18.857142857142858)","(21.0, 38.0, 32.0)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.6875)"
15-12-2022 10:51:49.416037,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 18.857142857142858)","(21.0, 38.0, 32.0)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.6875)"
15-12-2022 10:51:50.458974,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 18.857142857142858)","(21.0, 38.0, 32.0)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.6875)"
15-12-2022 10:51:51.487068,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 18.857142857142858)","(21.0, 38.0, 32.0)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.154285714285715)","(26.0, 65.0, 64.6875)"
15-12-2022 10:51:52.552739,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.153846153846153)","(21.0, 38.0, 34.30769230769231)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.83333333333333)"
15-12-2022 10:51:53.576319,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.153846153846153)","(21.0, 38.0, 34.30769230769231)","(2.6, 3.1, 3.045714285714286)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.76190476190476)"
15-12-2022 10:51:54.606556,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.153846153846153)","(21.0, 38.0, 34.57142857142857)","(2.6, 3.1, 3.0432432432432432)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.76190476190476)"
15-12-2022 10:51:55.643612,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.25)","(21.0, 38.0, 34.57142857142857)","(2.6, 3.05, 3.023529411764706)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.76190476190476)"
15-12-2022 10:51:56.626262,"(6.5, 7.2, 7.1454545454545455)","(3.7, 4.6, 4.392307692307692)","(11.0, 19.5, 19.25)","(21.0, 38.0, 29.2)","(2.6, 3.05, 3.0153846153846153)","(16.0, 24.0, 22.5)","(5.5, 6.2, 6.136)","(26.0, 65.0, 64.76190476190476)"
