,Fat Boy Mantra,Hooked On Prissy,Levis Beach,Bow Six,Greek Malt,Monkey Paw,Loves To Talk
12-01-2023 13:50:56.605091,"(4.0, 13.0, 11.7)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.714285714285715)","(91.0, 440.0, 365.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:57.791297,"(4.0, 11.5, 11.4375)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 365.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:58.936278,"(4.0, 11.5, 11.4375)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 365.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:00.073168,"(4.0, 13.0, 11.705882352941176)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 365.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:01.177744,"(4.0, 13.0, 11.705882352941176)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:02.268454,"(4.0, 13.0, 11.705882352941176)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:03.462644,"(4.0, 13.0, 11.631578947368421)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.7)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:04.575400,"(4.0, 13.0, 11.631578947368421)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.7)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:05.708829,"(4.0, 13.0, 11.631578947368421)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.6653333333333333)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:07.100423,"(4.0, 13.0, 11.631578947368421)","(4.0, 4.6, 4.085714285714285)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 24.086956521739133)"
