,Know Malice,Homebush Allison,Rowdy Esmay,Homebush Sabre,Tane Mahuta,Rockdale Flora,Flashback Fred
30,"[datetime.datetime(2022, 11, 28, 11, 41, 47, 128016), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 47, 128016), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 47, 128016), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 47, 128016), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 47, 128016), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 47, 128016), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 47, 128016), 3.4, 6.4]"
31,"[datetime.datetime(2022, 11, 28, 11, 41, 48, 235480), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 48, 235480), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 48, 235480), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 48, 235480), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 48, 235480), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 48, 235480), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 48, 235480), 3.4, 6.4]"
32,"[datetime.datetime(2022, 11, 28, 11, 41, 49, 353278), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 49, 353278), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 49, 353278), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 49, 353278), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 49, 353278), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 49, 353278), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 49, 353278), 3.4, 6.4]"
33,"[datetime.datetime(2022, 11, 28, 11, 41, 50, 461832), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 50, 461832), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 50, 461832), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 50, 461832), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 50, 461832), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 50, 461832), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 50, 461832), 3.4, 6.4]"
34,"[datetime.datetime(2022, 11, 28, 11, 41, 51, 580714), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 51, 580714), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 51, 580714), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 51, 580714), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 51, 580714), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 51, 580714), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 51, 580714), 3.4, 6.4]"
35,"[datetime.datetime(2022, 11, 28, 11, 41, 52, 704261), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 52, 704261), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 52, 704261), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 52, 704261), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 52, 704261), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 52, 704261), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 52, 704261), 3.4, 6.4]"
36,"[datetime.datetime(2022, 11, 28, 11, 41, 53, 820913), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 53, 820913), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 53, 820913), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 53, 820913), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 53, 820913), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 53, 820913), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 53, 820913), 3.4, 6.4]"
37,"[datetime.datetime(2022, 11, 28, 11, 41, 54, 941672), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 54, 941672), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 54, 941672), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 54, 941672), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 54, 941672), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 54, 941672), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 54, 941672), 3.4, 6.4]"
38,"[datetime.datetime(2022, 11, 28, 11, 41, 56, 57340), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 56, 57340), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 56, 57340), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 56, 57340), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 56, 57340), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 56, 57340), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 56, 57340), 3.4, 6.4]"
39,"[datetime.datetime(2022, 11, 28, 11, 41, 57, 184129), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 57, 184129), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 57, 184129), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 57, 184129), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 57, 184129), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 57, 184129), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 57, 184129), 3.4, 6.4]"
40,"[datetime.datetime(2022, 11, 28, 11, 41, 58, 297552), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 58, 297552), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 58, 297552), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 58, 297552), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 58, 297552), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 58, 297552), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 58, 297552), 3.4, 6.4]"
41,"[datetime.datetime(2022, 11, 28, 11, 41, 59, 431171), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 59, 431171), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 59, 431171), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 59, 431171), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 59, 431171), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 59, 431171), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 59, 431171), 3.4, 6.4]"
42,"[datetime.datetime(2022, 11, 28, 11, 42, 0, 544467), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 42, 0, 544467), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 42, 0, 544467), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 42, 0, 544467), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 42, 0, 544467), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 42, 0, 544467), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 42, 0, 544467), 3.4, 6.4]"
43,"[datetime.datetime(2022, 11, 28, 11, 42, 1, 668100), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 42, 1, 668100), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 42, 1, 668100), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 42, 1, 668100), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 42, 1, 668100), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 42, 1, 668100), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 42, 1, 668100), 3.4, 6.4]"
