,Angelique,Bedaub,Excel Dor,Mishani Royale,Miss Joelene,Mixed Spice,Shes A Rogue,Tracys Spirit,Trifling
07-01-2023 13:09:02.151431,"(20.0, 32.0, 30.56756756756757)","(10.0, 13.5, 13.206632653061224)","(2.45, 2.82, 2.8)","(17.0, 20.0, 19.457142857142856)","(16.0, 19.5, 19.174418604651162)","(91.0, 170.0, 152.0)","(3.5, 4.0, 3.978645833333333)","(5.5, 7.2, 7.073513513513514)","(31.0, 36.0, 37.0)"
07-01-2023 13:09:03.349180,"(20.0, 30.0, 29.9)","(10.0, 13.5, 13.14723926380368)","(2.45, 2.8, 2.7989473684210524)","(17.0, 20.0, 19.22222222222222)","(16.0, 19.5, 19.174418604651162)","(91.0, 160.0, 152.0)","(3.5, 4.0, 3.937417943107221)","(5.5, 7.2, 7.115463917525774)","(31.0, 38.0, 36.833333333333336)"
07-01-2023 13:09:04.499348,"(20.0, 30.0, 29.87878787878788)","(10.0, 13.5, 13.124223602484472)","(2.45, 2.84, 2.82421875)","(17.0, 19.5, 19.333333333333332)","(16.0, 19.5, 18.82608695652174)","(91.0, 160.0, 157.64705882352942)","(3.5, 3.95, 3.9248974008207935)","(5.5, 7.2, 7.114583333333333)","(31.0, 38.0, 36.833333333333336)"
07-01-2023 13:09:05.649469,"(20.0, 32.0, 31.0)","(10.0, 13.5, 13.07986111111111)","(2.45, 2.82, 2.8165)","(17.0, 19.5, 19.41176470588235)","(16.0, 19.0, 18.82608695652174)","(91.0, 160.0, 157.64705882352942)","(3.5, 3.95, 3.924595141700405)","(5.5, 7.2, 7.098445595854923)","(31.0, 38.0, 36.92307692307692)"
07-01-2023 13:09:06.844391,"(20.0, 32.0, 30.97087378640777)","(10.0, 13.5, 13.07986111111111)","(2.45, 2.82, 2.816923076923077)","(17.0, 20.0, 19.56)","(16.0, 19.0, 18.76595744680851)","(91.0, 160.0, 157.14285714285714)","(3.5, 3.95, 3.9250992063492065)","(5.5, 7.2, 7.098445595854923)","(31.0, 38.0, 36.92307692307692)"
07-01-2023 13:09:07.952081,"(20.0, 32.0, 31.234567901234566)","(10.0, 13.5, 13.083941605839415)","(2.45, 2.82, 2.8169999999999997)","(17.0, 20.0, 19.56)","(16.0, 19.0, 18.76086956521739)","(91.0, 160.0, 156.92307692307693)","(3.5, 3.95, 3.9297087378640776)","(5.5, 7.2, 7.093478260869565)","(31.0, 38.0, 36.88607594936709)"
07-01-2023 13:09:09.090534,"(20.0, 32.0, 31.234567901234566)","(10.0, 13.5, 13.083941605839415)","(2.45, 2.84, 2.829855072463768)","(17.0, 20.0, 19.56)","(16.0, 19.0, 18.76086956521739)","(91.0, 160.0, 156.92307692307693)","(3.5, 3.95, 3.9299808429118777)","(5.5, 7.2, 7.090526315789473)","(31.0, 38.0, 36.88607594936709)"
07-01-2023 13:09:10.414313,"(20.0, 32.0, 31.470588235294116)","(10.0, 13.5, 12.957983193277311)","(2.45, 2.84, 2.8302325581395347)","(17.0, 20.0, 19.1875)","(16.0, 19.0, 18.76923076923077)","(91.0, 160.0, 156.92307692307693)","(3.5, 3.95, 3.930357142857143)","(5.5, 7.2, 6.984615384615385)","(31.0, 38.0, 36.88607594936709)"
07-01-2023 13:09:11.614073,"(20.0, 32.0, 31.146067415730336)","(10.0, 13.0, 12.952282157676349)","(2.45, 2.84, 2.832674418604651)","(17.0, 19.5, 19.21875)","(16.0, 19.0, 19.514285714285712)","(91.0, 160.0, 156.92307692307693)","(3.5, 3.95, 3.9360491071428574)","(5.5, 7.0, 6.9824)","(31.0, 38.0, 36.97674418604651)"
07-01-2023 13:09:12.842009,"(20.0, 32.0, 31.168539325842698)","(10.0, 13.0, 12.852064220183486)","(2.45, 2.84, 2.836)","(17.0, 19.5, 19.21875)","(16.0, 20.0, 19.5)","(91.0, 160.0, 153.33333333333334)","(3.5, 3.95, 3.932626262626263)","(5.5, 7.0, 6.9824)","(31.0, 38.0, 36.97674418604651)"
07-01-2023 13:09:14.074130,"(20.0, 32.0, 31.15909090909091)","(10.0, 13.0, 12.852064220183486)","(2.45, 2.84, 2.8475675675675673)","(17.0, 19.5, 19.21875)","(16.0, 20.0, 19.5)","(91.0, 160.0, 156.0)","(3.5, 3.95, 3.9422222222222225)","(5.5, 7.0, 6.967713004484305)","(31.0, 38.0, 36.97674418604651)"
07-01-2023 13:09:15.252765,"(20.0, 32.0, 31.12087912087912)","(10.0, 13.0, 12.852064220183486)","(2.45, 2.86, 2.847142857142857)","(17.0, 19.5, 19.765151515151516)","(16.0, 20.0, 19.4390243902439)","(91.0, 160.0, 156.0)","(3.5, 3.95, 3.9611197511664074)","(5.5, 7.0, 6.962162162162162)","(31.0, 38.0, 37.21951219512195)"
07-01-2023 13:09:16.417235,"(20.0, 34.0, 32.76923076923077)","(10.0, 13.0, 12.850348027842227)","(2.45, 2.86, 2.833913043478261)","(17.0, 20.0, 19.78472222222222)","(16.0, 20.0, 19.441176470588236)","(91.0, 160.0, 156.0)","(3.5, 4.0, 3.96177370030581)","(5.5, 7.0, 6.950226244343892)","(31.0, 38.0, 37.027027027027025)"
07-01-2023 13:09:17.599051,"(20.0, 34.0, 32.4367816091954)","(10.0, 13.0, 12.847156398104266)","(2.45, 2.84, 2.833913043478261)","(17.0, 20.0, 19.78472222222222)","(16.0, 19.5, 19.41304347826087)","(91.0, 160.0, 150.0)","(3.5, 4.0, 3.96177370030581)","(5.5, 7.0, 6.929182879377432)","(31.0, 38.0, 36.76543209876543)"
07-01-2023 13:09:18.809229,"(20.0, 32.0, 31.796610169491526)","(10.0, 13.5, 13.126811594202898)","(2.45, 2.84, 2.8376978417266185)","(17.0, 20.0, 19.78472222222222)","(16.0, 19.5, 19.35185185185185)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9594548551959114)","(5.5, 7.0, 6.926315789473684)","(31.0, 38.0, 36.32258064516129)"
07-01-2023 13:09:20.036727,"(20.0, 32.0, 31.70967741935484)","(10.0, 13.5, 13.131188118811881)","(2.45, 2.84, 2.835)","(17.0, 20.0, 19.945652173913043)","(16.0, 19.5, 19.35185185185185)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9382530120481927)","(5.5, 7.0, 6.926315789473684)","(31.0, 38.0, 36.32258064516129)"
07-01-2023 13:09:21.201531,"(20.0, 32.0, 31.796610169491526)","(10.0, 13.5, 13.131188118811881)","(2.45, 2.84, 2.835)","(17.0, 20.0, 20.692307692307693)","(16.0, 19.5, 19.35185185185185)","(91.0, 160.0, 154.44444444444446)","(3.5, 3.95, 3.9399038461538463)","(5.5, 7.0, 6.783976261127596)","(31.0, 38.0, 36.32258064516129)"
07-01-2023 13:09:22.446327,"(20.0, 34.0, 33.351351351351354)","(10.0, 13.5, 13.134517766497462)","(2.45, 2.84, 2.835)","(17.0, 21.0, 20.771428571428572)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 154.44444444444446)","(3.5, 3.95, 3.945604395604396)","(5.5, 6.8, 6.7430656934306565)","(31.0, 38.0, 36.23728813559322)"
07-01-2023 13:09:23.583532,"(20.0, 34.0, 33.25)","(10.0, 13.5, 13.25294117647059)","(2.45, 2.84, 2.838994974874372)","(17.0, 21.0, 20.67)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 154.44444444444446)","(3.5, 3.95, 3.9430362116991646)","(5.5, 6.8, 6.763461538461538)","(31.0, 38.0, 36.23728813559322)"
07-01-2023 13:09:24.696570,"(20.0, 34.0, 33.16279069767442)","(10.0, 13.5, 13.271739130434783)","(2.45, 2.84, 2.838994974874372)","(17.0, 21.0, 20.67)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 154.44444444444446)","(3.5, 3.95, 3.9554151624548735)","(5.5, 6.8, 6.740883977900552)","(31.0, 38.0, 36.23728813559322)"
07-01-2023 13:09:25.860407,"(20.0, 34.0, 33.301587301587304)","(10.0, 13.5, 13.271739130434783)","(2.45, 2.84, 2.8309032258064515)","(17.0, 21.0, 20.67)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9554151624548735)","(5.5, 6.8, 6.740883977900552)","(31.0, 38.0, 36.23728813559322)"
07-01-2023 13:09:26.961884,"(20.0, 34.0, 33.301587301587304)","(10.0, 13.5, 13.271739130434783)","(2.45, 2.84, 2.8316955017301035)","(17.0, 21.0, 20.67)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9655172413793105)","(5.5, 6.8, 6.740883977900552)","(31.0, 38.0, 34.54545454545455)"
07-01-2023 13:09:28.097246,"(20.0, 34.0, 33.301587301587304)","(10.0, 13.5, 13.271739130434783)","(2.45, 2.84, 2.8352201257861633)","(17.0, 21.0, 20.767605633802816)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9510810810810812)","(5.5, 6.8, 6.738251366120219)","(31.0, 36.0, 34.48)"
07-01-2023 13:09:29.278854,"(20.0, 34.0, 33.301587301587304)","(10.0, 13.5, 13.271739130434783)","(2.45, 2.84, 2.8352201257861633)","(17.0, 21.0, 20.767605633802816)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.951156069364162)","(5.5, 6.8, 6.719163763066202)","(31.0, 36.0, 34.48)"
07-01-2023 13:09:30.487715,"(20.0, 34.0, 33.301587301587304)","(10.0, 13.5, 13.264598540145986)","(2.45, 2.84, 2.834662379421222)","(17.0, 21.0, 20.767605633802816)","(16.0, 19.5, 18.86111111111111)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9515037593984963)","(5.5, 6.8, 6.709727626459144)","(31.0, 36.0, 34.54545454545455)"
07-01-2023 13:09:31.625957,"(20.0, 34.0, 33.301587301587304)","(10.0, 13.5, 13.267527675276753)","(2.45, 2.84, 2.834662379421222)","(17.0, 21.0, 20.755555555555556)","(16.0, 19.0, 18.825)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9503846153846154)","(5.5, 6.8, 6.725773195876289)","(31.0, 36.0, 34.54545454545455)"
07-01-2023 13:09:32.775541,"(20.0, 34.0, 33.16981132075472)","(10.0, 13.5, 13.235294117647058)","(2.45, 2.86, 2.842389937106918)","(17.0, 21.0, 20.767605633802816)","(16.0, 19.0, 19.26923076923077)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9585144927536233)","(5.5, 6.8, 6.735114503816794)","(31.0, 36.0, 34.54545454545455)"
07-01-2023 13:09:33.889280,"(20.0, 34.0, 33.16981132075472)","(10.0, 13.5, 13.264925373134329)","(2.45, 2.86, 2.8458785942492013)","(17.0, 21.0, 21.816666666666666)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9671875)","(5.5, 6.8, 6.722374429223744)","(31.0, 36.0, 34.4)"
07-01-2023 13:09:35.046202,"(20.0, 34.0, 33.21568627450981)","(10.0, 13.5, 13.266917293233083)","(2.45, 2.86, 2.8522857142857143)","(17.0, 22.0, 21.772357723577237)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9702040816326534)","(5.5, 6.8, 6.721266968325792)","(31.0, 36.0, 34.4)"
07-01-2023 13:09:36.167781,"(20.0, 34.0, 33.319148936170215)","(10.0, 13.5, 13.369791666666666)","(2.45, 2.84, 2.8309090909090906)","(17.0, 22.0, 21.772357723577237)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.977894736842105)","(5.5, 6.8, 6.685714285714285)","(31.0, 36.0, 34.4)"
07-01-2023 13:09:37.238802,"(20.0, 34.0, 33.319148936170215)","(10.0, 13.5, 13.307317073170731)","(2.45, 2.86, 2.846403162055336)","(17.0, 22.0, 21.52857142857143)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9782758620689656)","(5.5, 6.8, 6.565441176470588)","(31.0, 36.0, 34.4)"
07-01-2023 13:09:38.316706,"(20.0, 34.0, 33.24)","(10.0, 13.5, 13.285)","(2.45, 2.86, 2.850086455331412)","(17.0, 22.0, 21.52857142857143)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 154.44444444444446)","(3.5, 4.0, 3.9782758620689656)","(5.5, 6.6, 6.565441176470588)","(31.0, 36.0, 34.4)"
07-01-2023 13:09:39.418517,"(20.0, 34.0, 33.24)","(10.0, 13.5, 13.254285714285714)","(2.45, 2.86, 2.849309791332263)","(17.0, 22.0, 21.582278481012658)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 158.26086956521738)","(3.5, 4.0, 3.990625)","(5.5, 6.6, 6.54)","(31.0, 36.0, 34.4)"
07-01-2023 13:09:40.525703,"(20.0, 34.0, 33.24)","(10.0, 13.5, 13.254285714285714)","(2.45, 2.86, 2.84)","(17.0, 22.0, 21.582278481012658)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 158.26086956521738)","(3.5, 4.0, 4.00902394106814)","(5.5, 6.6, 6.54)","(31.0, 36.0, 34.4)"
07-01-2023 13:09:41.638603,"(20.0, 34.0, 33.24)","(10.0, 13.5, 13.227848101265822)","(2.45, 2.84, 2.82)","(17.0, 22.0, 21.582278481012658)","(16.0, 19.5, 19.316326530612244)","(91.0, 160.0, 158.26086956521738)","(3.5, 4.1, 4.008974358974359)","(5.5, 6.6, 6.54)","(31.0, 36.0, 34.13953488372093)"
07-01-2023 13:09:42.804484,"(20.0, 34.0, 33.24)","(10.0, 13.5, 13.227848101265822)","(2.45, 2.84, 2.7691814946619218)","(17.0, 22.0, 21.613333333333333)","(16.0, 19.5, 19.318181818181817)","(91.0, 160.0, 155.55555555555554)","(3.5, 4.1, 4.012807017543859)","(5.5, 6.6, 6.570434782608696)","(31.0, 36.0, 34.3448275862069)"
07-01-2023 13:09:44.004238,"(20.0, 34.0, 33.24)","(10.0, 13.5, 13.233766233766234)","(2.45, 2.74, 2.7291246684350137)","(17.0, 22.0, 21.5974025974026)","(16.0, 19.5, 19.6)","(91.0, 160.0, 157.64705882352942)","(3.5, 4.1, 4.01859649122807)","(5.5, 6.6, 6.618384401114207)","(31.0, 36.0, 34.7027027027027)"
07-01-2023 13:09:45.327573,"(20.0, 34.0, 33.45454545454545)","(10.0, 13.5, 13.388655462184873)","(2.45, 2.78, 2.756701030927835)","(17.0, 22.0, 21.5974025974026)","(16.0, 20.0, 19.6)","(91.0, 160.0, 157.64705882352942)","(3.5, 4.1, 4.026232114467408)","(5.5, 6.8, 6.635353535353535)","(31.0, 36.0, 34.75)"
07-01-2023 13:09:46.600805,"(20.0, 34.0, 33.45454545454545)","(10.0, 13.5, 13.389583333333333)","(2.45, 2.76, 2.7485714285714287)","(17.0, 22.0, 21.5974025974026)","(16.0, 20.0, 19.6)","(91.0, 160.0, 157.64705882352942)","(3.5, 4.1, 4.032514450867052)","(5.5, 6.8, 6.640975609756097)","(31.0, 36.0, 34.75)"
07-01-2023 13:09:47.780919,"(20.0, 34.0, 33.45454545454545)","(10.0, 13.5, 13.401287553648068)","(2.45, 2.76, 2.7546666666666666)","(17.0, 22.0, 22.15)","(16.0, 20.0, 19.6)","(91.0, 160.0, 157.64705882352942)","(3.5, 4.1, 4.032846715328467)","(5.5, 6.8, 6.640975609756097)","(31.0, 36.0, 34.75)"
07-01-2023 13:09:48.944211,"(20.0, 34.0, 33.529411764705884)","(10.0, 13.5, 13.413306451612904)","(2.45, 2.76, 2.738289962825279)","(17.0, 23.0, 22.095238095238095)","(16.0, 20.0, 19.6)","(91.0, 160.0, 157.64705882352942)","(3.5, 4.1, 4.032846715328467)","(5.5, 6.8, 6.667716535433071)","(31.0, 36.0, 34.75)"
07-01-2023 13:09:50.094275,"(20.0, 34.0, 33.4)","(11.0, 13.5, 13.413306451612904)","(2.5, 2.74, 2.742363636363636)","(17.0, 23.0, 21.696969696969695)","(16.0, 20.0, 19.6)","(101.0, 160.0, 155.0)","(3.6, 4.1, 4.0338129496402875)","(5.5, 6.8, 6.609245742092457)","(26.0, 36.0, 34.75)"
07-01-2023 13:09:51.227990,"(20.0, 34.0, 33.333333333333336)","(11.0, 13.5, 13.432489451476794)","(2.5, 2.76, 2.74283185840708)","(17.0, 22.0, 21.613333333333333)","(16.0, 20.0, 19.6)","(101.0, 160.0, 155.0)","(3.6, 4.1, 4.039301310043668)","(5.5, 6.8, 6.6157407407407405)","(26.0, 36.0, 34.75)"
07-01-2023 13:09:52.375965,"(20.0, 34.0, 33.333333333333336)","(11.0, 13.5, 13.442796610169491)","(2.5, 2.76, 2.7532818532818535)","(17.0, 22.0, 21.613333333333333)","(16.0, 20.0, 19.6)","(101.0, 160.0, 155.0)","(3.6, 4.1, 4.036772486772486)","(5.5, 6.8, 6.6157407407407405)","(26.0, 36.0, 34.75)"
07-01-2023 13:09:53.509191,"(20.0, 34.0, 33.333333333333336)","(11.0, 13.5, 13.442796610169491)","(2.5, 2.78, 2.7532818532818535)","(17.0, 22.0, 21.613333333333333)","(16.0, 20.0, 19.6)","(101.0, 160.0, 155.0)","(3.6, 4.1, 4.036772486772486)","(5.5, 6.8, 6.6157407407407405)","(26.0, 36.0, 34.75)"
07-01-2023 13:09:54.596298,"(20.0, 34.0, 33.333333333333336)","(11.0, 13.5, 13.442796610169491)","(2.5, 2.78, 2.7569934640522877)","(17.0, 22.0, 21.613333333333333)","(16.0, 20.0, 19.6)","(101.0, 160.0, 156.66666666666666)","(3.6, 4.1, 4.03735255570118)","(5.5, 6.8, 6.60095238095238)","(26.0, 36.0, 34.75)"
07-01-2023 13:09:55.730671,"(20.0, 36.0, 34.875)","(11.0, 13.5, 13.433609958506224)","(2.5, 2.76, 2.7570048309178743)","(17.0, 22.0, 21.613333333333333)","(16.0, 20.0, 19.6)","(101.0, 160.0, 162.72727272727272)","(3.6, 4.1, 4.03735255570118)","(5.5, 6.8, 6.60095238095238)","(26.0, 36.0, 34.75)"
07-01-2023 13:09:56.862539,"(20.0, 36.0, 34.529411764705884)","(11.0, 13.5, 13.433609958506224)","(2.5, 2.78, 2.7611976047904188)","(17.0, 22.0, 20.489583333333332)","(16.0, 20.0, 19.813333333333333)","(101.0, 170.0, 162.72727272727272)","(3.6, 4.1, 4.03735255570118)","(5.5, 6.8, 6.60095238095238)","(26.0, 36.0, 34.75)"
07-01-2023 13:09:57.975488,"(20.0, 36.0, 33.2)","(11.0, 13.5, 13.408203125)","(2.5, 2.78, 2.761438848920863)","(17.0, 21.0, 19.959183673469386)","(16.0, 20.0, 19.666666666666668)","(101.0, 200.0, 185.0)","(3.6, 4.1, 4.031615120274914)","(5.5, 6.8, 6.60095238095238)","(26.0, 36.0, 33.16417910447761)"
07-01-2023 13:09:59.109830,"(20.0, 36.0, 34.88461538461539)","(11.0, 13.5, 13.408203125)","(2.5, 2.8, 2.7849999999999997)","(17.0, 20.0, 19.975)","(16.0, 20.0, 19.666666666666668)","(101.0, 200.0, 177.5)","(3.6, 4.1, 4.033017077798862)","(5.5, 6.8, 6.60095238095238)","(26.0, 34.0, 32.680851063829785)"
07-01-2023 13:10:00.234970,"(20.0, 36.0, 34.88461538461539)","(11.0, 13.5, 13.402489626556017)","(2.5, 2.8, 2.7875714285714284)","(17.0, 20.0, 19.975)","(16.0, 20.0, 19.666666666666668)","(101.0, 190.0, 177.5)","(3.6, 4.1, 4.03078431372549)","(5.5, 6.8, 6.597424892703862)","(26.0, 34.0, 32.48780487804878)"
07-01-2023 13:10:01.327263,"(20.0, 36.0, 35.64102564102564)","(11.0, 13.5, 13.402489626556017)","(2.5, 2.8, 2.78637037037037)","(17.0, 20.0, 19.975)","(16.0, 20.0, 19.666666666666668)","(101.0, 190.0, 177.5)","(3.6, 4.1, 4.03078431372549)","(5.5, 6.6, 6.597424892703862)","(26.0, 34.0, 32.48780487804878)"
07-01-2023 13:10:02.492398,"(20.0, 38.0, 37.170731707317074)","(11.0, 13.5, 13.41063829787234)","(2.5, 2.8, 2.786910569105691)","(17.0, 20.0, 19.975)","(16.0, 20.0, 19.813333333333333)","(101.0, 190.0, 181.66666666666669)","(3.6, 4.1, 4.011521739130434)","(5.5, 6.8, 6.646728971962617)","(26.0, 34.0, 32.69230769230769)"
07-01-2023 13:10:03.655882,"(20.0, 38.0, 37.11578947368421)","(11.0, 13.5, 13.362244897959183)","(2.5, 2.8, 2.7866942148760327)","(17.0, 20.0, 19.975)","(16.0, 20.0, 19.666666666666668)","(101.0, 190.0, 183.33333333333334)","(3.6, 4.1, 4.00906862745098)","(5.5, 6.8, 6.678966789667896)","(26.0, 34.0, 32.391304347826086)"
07-01-2023 13:10:04.789944,"(20.0, 38.0, 37.111111111111114)","(11.0, 13.5, 13.362244897959183)","(2.5, 2.8, 2.7966467065868263)","(17.0, 20.0, 19.975)","(16.0, 20.0, 19.794871794871796)","(101.0, 190.0, 183.33333333333334)","(3.6, 4.1, 4.00906862745098)","(5.5, 6.8, 6.734306569343065)","(26.0, 34.0, 32.34615384615385)"
07-01-2023 13:10:05.939371,"(20.0, 38.0, 37.111111111111114)","(11.0, 13.5, 13.312130177514792)","(2.5, 2.8, 2.7966467065868263)","(17.0, 20.0, 20.08823529411765)","(16.0, 20.0, 19.794871794871796)","(101.0, 190.0, 183.33333333333334)","(3.6, 4.1, 4.007600950118765)","(5.5, 6.8, 6.706976744186046)","(26.0, 34.0, 32.5625)"
07-01-2023 13:10:07.067488,"(20.0, 38.0, 37.111111111111114)","(11.0, 13.5, 13.30930930930931)","(2.5, 2.82, 2.8014689265536723)","(17.0, 21.0, 20.0)","(16.0, 20.0, 19.75609756097561)","(101.0, 190.0, 183.33333333333334)","(3.6, 4.1, 4.0041322314049586)","(5.5, 6.8, 6.705365853658536)","(26.0, 34.0, 32.745098039215684)"
07-01-2023 13:10:08.206330,"(21.0, 38.0, 37.38461538461539)","(11.0, 13.5, 13.306358381502891)","(2.5, 2.8, 2.796518771331058)","(17.0, 20.0, 19.756756756756758)","(16.0, 20.0, 19.75609756097561)","(101.0, 190.0, 182.85714285714286)","(3.6, 4.1, 4.021244635193133)","(5.5, 6.8, 6.708)","(26.0, 34.0, 32.745098039215684)"
07-01-2023 13:10:09.293850,"(21.0, 38.0, 37.38461538461539)","(11.0, 13.5, 13.31547619047619)","(2.5, 2.8, 2.797029702970297)","(17.0, 20.0, 19.706521739130434)","(16.0, 20.0, 19.75609756097561)","(101.0, 190.0, 182.85714285714286)","(3.6, 4.1, 4.02)","(5.5, 6.8, 6.7096446700507615)","(26.0, 34.0, 32.73076923076923)"
07-01-2023 13:10:10.412813,"(21.0, 38.0, 37.38461538461539)","(11.0, 13.5, 13.318318318318319)","(2.5, 2.8, 2.797029702970297)","(17.0, 20.0, 19.706521739130434)","(16.0, 20.0, 19.75609756097561)","(101.0, 190.0, 182.85714285714286)","(3.6, 4.1, 4.02)","(5.5, 6.8, 6.6917073170731705)","(26.0, 34.0, 32.745098039215684)"
07-01-2023 13:10:11.545856,"(21.0, 38.0, 37.38461538461539)","(11.0, 13.5, 13.318318318318319)","(2.45, 2.8, 2.797429718875502)","(17.0, 20.0, 19.822222222222223)","(16.0, 20.0, 19.75609756097561)","(101.0, 190.0, 182.85714285714286)","(3.6, 4.1, 4.019111111111111)","(5.5, 6.8, 6.689)","(31.0, 34.0, 32.745098039215684)"
07-01-2023 13:10:12.648499,"(21.0, 38.0, 37.578947368421055)","(11.0, 13.5, 13.318318318318319)","(2.45, 2.82, 2.806066066066066)","(17.0, 20.0, 19.822222222222223)","(16.0, 20.0, 19.75609756097561)","(101.0, 190.0, 182.85714285714286)","(3.6, 4.1, 4.019111111111111)","(5.5, 6.8, 6.689)","(31.0, 34.0, 32.57142857142857)"
07-01-2023 13:10:13.740041,"(21.0, 40.0, 39.0)","(11.0, 13.5, 13.327743902439025)","(2.45, 2.82, 2.806066066066066)","(17.0, 20.0, 19.983333333333334)","(16.0, 20.0, 19.75609756097561)","(101.0, 190.0, 176.92307692307693)","(3.6, 4.1, 4.020425531914894)","(5.5, 6.8, 6.694186046511628)","(31.0, 34.0, 31.818181818181817)"
07-01-2023 13:10:14.786503,"(21.0, 36.0, 35.70909090909091)","(11.0, 13.5, 13.322033898305085)","(2.45, 2.84, 2.8051540616246498)","(17.0, 21.0, 19.831858407079647)","(16.0, 20.0, 19.655172413793103)","(101.0, 180.0, 176.92307692307693)","(3.6, 4.1, 4.020425531914894)","(5.5, 6.8, 6.694186046511628)","(31.0, 34.0, 31.818181818181817)"
07-01-2023 13:10:15.828793,"(21.0, 38.0, 37.11864406779661)","(11.0, 13.5, 13.318339100346021)","(2.45, 2.84, 2.8260150375939848)","(17.0, 21.0, 19.5625)","(16.0, 19.5, 19.371794871794872)","(101.0, 180.0, 171.57894736842104)","(3.6, 4.1, 4.017191977077363)","(5.5, 6.8, 6.6984615384615385)","(31.0, 32.0, 31.68831168831169)"
07-01-2023 13:10:16.882736,"(21.0, 38.0, 36.92063492063492)","(11.0, 13.5, 13.32857142857143)","(2.45, 2.86, 2.8477973568281936)","(17.0, 20.0, 19.807692307692307)","(16.0, 19.5, 19.40277777777778)","(101.0, 180.0, 171.57894736842104)","(3.6, 4.1, 4.016620498614959)","(5.5, 6.8, 6.670676691729323)","(31.0, 32.0, 31.805555555555557)"
07-01-2023 13:10:18.001379,"(21.0, 38.0, 37.285714285714285)","(11.0, 13.5, 13.319444444444445)","(2.45, 2.86, 2.8494039735099337)","(17.0, 21.0, 19.095744680851062)","(16.0, 19.5, 19.39189189189189)","(101.0, 180.0, 176.92307692307693)","(3.6, 4.1, 4.062606232294617)","(5.5, 6.8, 6.658461538461538)","(31.0, 32.0, 31.805555555555557)"
07-01-2023 13:10:19.104597,"(21.0, 38.0, 37.285714285714285)","(11.0, 13.5, 13.319444444444445)","(2.45, 2.84, 2.8388118811881187)","(17.0, 19.0, 18.525)","(16.0, 19.5, 19.705882352941178)","(101.0, 180.0, 177.5)","(3.6, 4.1, 4.042826552462526)","(5.5, 6.8, 6.621935483870967)","(31.0, 32.0, 31.68831168831169)"
07-01-2023 13:10:20.268897,"(21.0, 38.0, 37.50877192982456)","(11.0, 13.5, 13.328070175438597)","(2.45, 2.84, 2.8452513966480444)","(17.0, 19.0, 18.525)","(16.0, 21.0, 19.69090909090909)","(101.0, 180.0, 178.26086956521738)","(3.6, 4.1, 4.0366594360086765)","(5.5, 6.8, 6.661818181818181)","(31.0, 32.0, 32.12244897959184)"
07-01-2023 13:10:21.417736,"(21.0, 38.0, 37.111111111111114)","(11.0, 13.5, 13.328070175438597)","(2.5, 2.86, 2.8451366120218577)","(17.0, 19.0, 18.455882352941178)","(16.0, 21.0, 19.65671641791045)","(101.0, 180.0, 172.72727272727272)","(3.6, 4.1, 4.043430656934307)","(5.5, 6.8, 6.662962962962963)","(31.0, 34.0, 32.113207547169814)"
07-01-2023 13:10:22.584728,"(21.0, 38.0, 36.75409836065574)","(11.0, 13.5, 13.3646408839779)","(2.5, 2.86, 2.84258064516129)","(17.0, 18.5, 18.416666666666668)","(16.0, 21.0, 19.645833333333332)","(101.0, 180.0, 172.72727272727272)","(3.6, 4.1, 4.042018348623853)","(5.5, 6.8, 6.658285714285714)","(31.0, 34.0, 32.11538461538461)"
07-01-2023 13:10:23.714599,"(21.0, 38.0, 36.275862068965516)","(11.0, 14.0, 13.650485436893204)","(2.5, 2.86, 2.8425498007968124)","(17.0, 18.5, 18.217391304347824)","(16.0, 21.0, 19.818181818181817)","(101.0, 180.0, 177.89473684210526)","(3.6, 4.1, 4.039965095986038)","(5.5, 6.8, 6.673684210526315)","(31.0, 34.0, 32.11538461538461)"
