,Bear Bonus,Billy Nailer,Shaquille,Authority,Stylish Rico,Alpha Ruler,Hendy,Bert And Kenny
14-12-2022 12:37:57.365883,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 338.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 186.33333333333334)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:58.468615,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 338.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 263.8)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:37:59.519635,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 338.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 263.8)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:00.583721,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 263.8)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:01.626613,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 263.8)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:02.651260,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 263.8)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:03.675706,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 263.8)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:04.699723,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 380.0, 263.8)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:05.778750,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 370.0, 247.33333333333334)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:06.829477,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:08.030433,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:09.161539,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:10.349617,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 17.5)"
14-12-2022 12:38:11.700704,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 18.25)"
14-12-2022 12:38:12.858576,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 18.25)"
14-12-2022 12:38:13.986516,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 18.25)"
14-12-2022 12:38:15.306110,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 18.25)"
14-12-2022 12:38:16.447407,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 18.25)"
14-12-2022 12:38:17.517393,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.583333333333334)"
14-12-2022 12:38:18.606432,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.583333333333334)"
14-12-2022 12:38:19.668783,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.583333333333334)"
14-12-2022 12:38:20.740977,"(3.4, 5.0, 4.6952380952380945)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:21.860386,"(3.4, 5.0, 4.529411764705882)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:22.932943,"(3.4, 4.9, 4.54)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:24.067154,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:25.176327,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:26.210913,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:27.214126,"(3.4, 4.9, 4.54)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 261.47368421052636)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:28.256902,"(3.4, 4.9, 4.54)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:29.291941,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:30.312319,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:31.396909,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:32.489925,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:33.544482,"(3.4, 4.9, 4.54)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:34.598826,"(3.4, 4.9, 4.54)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:35.652084,"(3.4, 4.9, 4.54)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:36.687164,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 14.0, 8.894117647058824)","(51.0, 360.0, 94.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:37.807593,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 11.22)","(51.0, 360.0, 219.23076923076923)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:38.924614,"(3.4, 4.9, 4.707142857142857)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 229.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:40.097450,"(3.4, 4.9, 4.54)","(5.5, 9.2, 6.6)","(4.0, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 229.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:41.215694,"(3.4, 4.9, 4.58)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 229.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:42.343164,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 229.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:43.411699,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 229.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:44.564841,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 229.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:45.754437,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 229.28571428571428)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:46.846518,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 360.0, 236.53846153846155)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:47.966469,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:49.039427,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:50.178813,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:51.632052,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 8.0, 7.325)","(61.0, 530.0, 338.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:52.851010,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 8.0, 6.241666666666667)","(61.0, 530.0, 338.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:54.259994,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 338.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:55.608993,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:56.877294,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:58.234381,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:38:59.500526,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:39:00.848512,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:39:02.178546,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:39:03.351458,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:39:04.466257,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 6.6)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:39:05.553438,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 7.153846153846153)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 14.166666666666666)"
14-12-2022 12:39:06.855310,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:08.108877,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:09.225925,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 245.0)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:10.361732,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 272.94117647058823)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:11.547025,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 340.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:12.639080,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:13.808310,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:14.961890,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:16.088242,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:17.201587,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:18.266678,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:19.420139,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 338.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:20.511812,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 338.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:21.633091,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:22.699851,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:23.845101,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:24.935304,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:26.002661,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:27.054625,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:28.230731,"(3.4, 5.0, 4.526315789473684)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:29.466521,"(3.4, 5.0, 4.6869565217391305)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:30.616475,"(3.4, 4.9, 4.7875)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 280.5882352941176)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:31.854207,"(3.4, 4.9, 4.7875)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 221.11111111111111)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:33.198523,"(3.4, 4.9, 4.6)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 246.36363636363637)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:34.426400,"(3.4, 4.9, 4.6)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 246.36363636363637)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
14-12-2022 12:39:35.867580,"(3.4, 4.9, 4.6)","(5.5, 9.2, 8.657142857142857)","(4.2, 7.8, 6.241666666666667)","(61.0, 530.0, 350.0)","(7.5, 13.5, 9.9375)","(51.0, 350.0, 246.36363636363637)","(3.0, 4.4, 3.67)","(11.0, 25.0, 16.875)"
