,Vodka En Ice,Getaloadathisbro,Motu Amethyst Nz,All Star Magician,Purple Shades,Aqua Cruiser,Artistic Saint,Motu Cullen Nz
07-12-2022 17:59:37.517649,"(3.0, 4.0, 3.9615384615384617)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 32.714285714285715)","(13.0, 18.0, 17.25)","(10.0, 14.5, 13.5)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:38.838410,"(3.0, 4.0, 3.94375)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 29.0)","(13.0, 18.0, 17.25)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:40.160263,"(3.0, 4.0, 3.94375)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 24.833333333333332)","(13.0, 18.0, 16.875)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:41.740899,"(3.0, 4.0, 3.94375)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 24.833333333333332)","(13.0, 18.0, 16.875)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:43.165779,"(3.0, 4.0, 3.94375)","(6.0, 8.0, 7.16)","(6.0, 99999, 99990)","(16.0, 34.0, 24.0)","(13.0, 18.0, 17.3125)","(10.0, 14.5, 13.0)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:44.631673,"(3.0, 4.0, 3.94375)","(6.0, 8.0, 8.3)","(6.0, 99999, 99990)","(16.0, 34.0, 26.0)","(13.0, 18.0, 17.333333333333332)","(10.0, 14.5, 13.833333333333332)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:46.180351,"(3.0, 4.0, 3.94375)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 30.0, 23.166666666666668)","(13.0, 18.0, 17.333333333333332)","(10.0, 14.5, 13.1875)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:47.600018,"(3.0, 4.0, 3.8875)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 29.0, 23.166666666666668)","(13.0, 18.0, 16.875)","(10.0, 14.5, 13.1875)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:49.227702,"(3.0, 4.0, 3.8875)","(6.0, 8.8, 8.3)","(6.0, 99999, 99990)","(16.0, 29.0, 23.75)","(13.0, 18.0, 16.875)","(10.0, 14.5, 11.5)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:50.855651,"(3.0, 4.0, 3.8875)","(6.0, 8.8, 7.699999999999999)","(6.0, 99999, 99990)","(16.0, 29.0, 23.75)","(13.0, 18.0, 16.875)","(10.0, 14.5, 12.1)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:52.302599,"(3.0, 4.0, 3.8875)","(6.0, 8.6, 7.699999999999999)","(6.0, 99999, 99990)","(16.0, 29.0, 23.75)","(13.0, 18.0, 16.875)","(10.0, 14.5, 12.1)","(7.5, 10.5, 10.29)","(4.2, 99999, 99990)"
07-12-2022 17:59:53.691096,"(3.0, 4.0, 3.8875)","(6.0, 8.6, 7.6)","(6.0, 99999, 99990)","(16.0, 29.0, 23.75)","(13.0, 18.0, 17.38888888888889)","(10.0, 14.5, 12.1)","(7.5, 10.5, 10.2)","(4.2, 99999, 99990)"
07-12-2022 17:59:54.982439,"(3.0, 4.0, 3.8875)","(6.0, 8.6, 7.8307692307692305)","(6.0, 99999, 99990)","(17.0, 29.0, 23.75)","(13.0, 18.0, 17.3125)","(10.0, 14.5, 12.1)","(7.5, 10.5, 10.2)","(3.9, 99999, 99990)"
07-12-2022 17:59:56.426458,"(3.1, 4.0, 3.8875)","(6.0, 8.6, 7.8307692307692305)","(6.0, 99999, 99990)","(17.0, 29.0, 23.75)","(13.0, 18.0, 17.615384615384617)","(10.0, 14.5, 12.5)","(7.5, 10.5, 10.2)","(3.9, 99999, 99990)"
07-12-2022 17:59:57.928565,"(3.1, 4.0, 3.8875)","(6.0, 8.6, 7.8307692307692305)","(6.0, 99999, 99990)","(17.0, 29.0, 23.75)","(13.0, 18.0, 17.357142857142858)","(10.0, 14.5, 12.4)","(7.5, 10.5, 10.2)","(3.9, 99999, 99990)"
07-12-2022 17:59:59.503711,"(3.1, 4.0, 3.8875)","(6.0, 8.6, 7.8307692307692305)","(6.0, 99999, 99990)","(17.0, 29.0, 23.75)","(13.0, 18.0, 17.333333333333332)","(10.0, 14.5, 12.4)","(7.5, 10.5, 10.29)","(3.9, 99999, 99990)"
07-12-2022 18:00:00.954380,"(3.1, 4.0, 3.65)","(6.0, 8.6, 7.1)","(6.0, 99999, 99990)","(17.0, 29.0, 23.75)","(13.0, 18.0, 17.333333333333332)","(10.0, 14.5, 12.4)","(7.5, 10.5, 10.29)","(3.9, 99999, 99990)"
07-12-2022 18:00:02.568542,"(3.1, 4.0, 3.65)","(6.0, 8.6, 7.1)","(6.0, 99999, 99990)","(17.0, 29.0, 24.8)","(13.0, 18.0, 17.333333333333332)","(10.0, 14.5, 12.5)","(7.5, 10.5, 9.866666666666667)","(3.9, 99999, 99990)"
07-12-2022 18:00:04.344791,"(3.1, 3.95, 3.79)","(6.0, 8.4, 7.672727272727273)","(6.0, 99999, 99990)","(17.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.818181818181818)","(10.0, 14.0, 11.777777777777779)","(7.5, 10.5, 10.183333333333334)","(3.9, 99999, 99990)"
07-12-2022 18:00:05.938369,"(3.1, 3.95, 3.79)","(6.0, 8.4, 7.672727272727273)","(6.0, 99999, 99990)","(17.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.818181818181818)","(10.0, 14.0, 12.115384615384615)","(7.5, 10.5, 10.183333333333334)","(3.9, 99999, 99990)"
07-12-2022 18:00:07.590079,"(3.1, 3.95, 3.79)","(6.0, 8.4, 7.672727272727273)","(6.0, 99999, 99990)","(17.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.5, 12.6)","(7.5, 10.5, 10.183333333333334)","(3.8, 99999, 99990)"
07-12-2022 18:00:09.220592,"(3.2, 3.95, 3.79)","(6.0, 8.4, 7.672727272727273)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.5, 12.333333333333334)","(7.5, 10.5, 10.183333333333334)","(3.8, 99999, 99990)"
07-12-2022 18:00:10.778503,"(3.2, 3.95, 3.6423076923076922)","(6.0, 8.4, 8.036363636363637)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 16.058823529411764)","(10.0, 13.5, 11.928571428571429)","(7.5, 10.5, 10.12)","(3.8, 99999, 99990)"
07-12-2022 18:00:12.248397,"(3.2, 3.95, 3.5887096774193545)","(6.0, 8.4, 8.036363636363637)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 16.058823529411764)","(10.0, 13.0, 11.928571428571429)","(7.5, 10.5, 10.12)","(3.8, 99999, 99990)"
07-12-2022 18:00:13.763876,"(3.2, 3.9, 3.8166666666666664)","(6.0, 8.6, 8.2)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.423076923076923)","(7.5, 8.6, 9.333333333333334)","(3.8, 99999, 99990)"
07-12-2022 18:00:15.329458,"(3.2, 3.85, 3.7)","(6.0, 8.8, 8.661538461538463)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.423076923076923)","(7.5, 10.0, 8.981818181818182)","(3.8, 99999, 99990)"
07-12-2022 18:00:16.843795,"(3.2, 3.9, 3.7249999999999996)","(6.0, 8.8, 8.661538461538463)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.25)","(7.5, 10.0, 8.981818181818182)","(3.8, 99999, 99990)"
07-12-2022 18:00:18.346018,"(3.2, 3.9, 3.7249999999999996)","(6.0, 8.8, 8.266666666666667)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.25)","(7.5, 10.0, 8.981818181818182)","(3.8, 99999, 99990)"
07-12-2022 18:00:19.930447,"(3.2, 3.9, 3.6625)","(6.0, 8.8, 8.600000000000001)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.25)","(7.5, 10.0, 9.2)","(3.8, 99999, 99990)"
07-12-2022 18:00:21.455961,"(3.2, 3.85, 3.6625)","(6.0, 8.8, 8.450000000000001)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.25)","(7.5, 10.0, 9.2)","(3.8, 99999, 99990)"
07-12-2022 18:00:23.002986,"(3.2, 3.85, 3.8125)","(6.0, 8.8, 8.625)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 11.928571428571429)","(7.5, 10.0, 8.981818181818182)","(3.8, 99999, 99990)"
07-12-2022 18:00:24.487494,"(3.2, 3.9, 3.8125)","(6.0, 8.8, 8.625)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.25)","(7.5, 10.0, 8.981818181818182)","(3.8, 99999, 99990)"
07-12-2022 18:00:26.103164,"(3.2, 3.9, 3.6156249999999996)","(6.0, 8.8, 8.625)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 12.25)","(7.5, 10.0, 8.981818181818182)","(3.8, 99999, 99990)"
07-12-2022 18:00:27.898484,"(3.2, 3.9, 3.5999999999999996)","(6.0, 8.8, 8.625)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 11.8)","(7.5, 10.0, 8.755555555555556)","(3.8, 99999, 99990)"
07-12-2022 18:00:29.512307,"(3.2, 3.85, 3.5999999999999996)","(6.0, 8.8, 8.683333333333334)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 13.0, 14.0)","(7.5, 10.0, 8.755555555555556)","(3.8, 99999, 99990)"
07-12-2022 18:00:31.001859,"(3.2, 3.85, 3.5999999999999996)","(6.0, 8.8, 8.666666666666668)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 15.5, 14.9375)","(7.5, 10.0, 8.755555555555556)","(3.8, 99999, 99990)"
07-12-2022 18:00:32.441924,"(3.2, 3.85, 3.613157894736842)","(6.0, 8.2, 8.128571428571428)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 15.5, 15.0)","(7.5, 10.0, 9.2)","(3.8, 99999, 99990)"
07-12-2022 18:00:33.994101,"(3.2, 3.8, 3.661111111111111)","(6.0, 8.2, 8.138461538461538)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 15.5, 13.526315789473685)","(7.5, 9.6, 8.742857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:35.525499,"(3.2, 3.8, 3.613157894736842)","(6.0, 8.2, 7.6)","(6.5, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 17.0, 13.333333333333332)","(7.5, 9.6, 8.742857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:37.135088,"(3.2, 3.85, 3.613157894736842)","(6.0, 8.2, 7.449999999999999)","(6.0, 99999, 99990)","(18.0, 28.0, 23.714285714285715)","(13.0, 18.0, 15.0)","(10.0, 17.0, 13.333333333333332)","(7.5, 9.6, 8.742857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:38.760215,"(3.1, 3.85, 3.6625)","(6.0, 8.2, 7.959999999999999)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 13.21875)","(7.5, 9.6, 8.742857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:40.396464,"(3.1, 3.85, 3.704838709677419)","(6.0, 8.2, 7.959999999999999)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 13.21875)","(7.5, 9.6, 8.742857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:42.022780,"(3.1, 3.85, 3.704838709677419)","(6.0, 8.2, 7.959999999999999)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 13.21875)","(7.5, 9.6, 8.742857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:43.675234,"(3.1, 3.85, 3.704838709677419)","(6.0, 8.2, 7.949999999999999)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 13.071428571428571)","(7.5, 9.6, 9.225)","(3.9, 99999, 99990)"
07-12-2022 18:00:45.262304,"(3.1, 3.85, 3.7111111111111112)","(6.0, 8.8, 8.571428571428573)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 18.0, 16.0)","(10.0, 17.0, 14.8)","(7.5, 9.6, 9.266666666666667)","(3.9, 99999, 99990)"
07-12-2022 18:00:46.938662,"(3.1, 3.85, 3.6416666666666666)","(6.0, 8.8, 8.431578947368422)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 18.0, 16.285714285714285)","(10.0, 16.0, 14.722222222222221)","(7.5, 9.4, 9.463636363636363)","(3.9, 99999, 99990)"
07-12-2022 18:00:48.389705,"(3.1, 3.85, 3.689285714285714)","(6.0, 8.8, 8.085714285714285)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 18.0, 16.285714285714285)","(10.0, 15.5, 14.722222222222221)","(7.5, 10.5, 9.3)","(3.9, 99999, 99990)"
07-12-2022 18:00:49.866970,"(3.1, 3.8, 3.6888888888888887)","(6.0, 8.8, 8.4)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 17.5, 15.25)","(10.0, 16.5, 15.5625)","(7.5, 10.0, 9.142857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:51.329378,"(3.1, 3.8, 3.6888888888888887)","(6.0, 8.8, 8.085714285714285)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 17.5, 15.25)","(10.0, 16.0, 15.625)","(7.5, 10.0, 9.5)","(3.9, 99999, 99990)"
07-12-2022 18:00:52.930209,"(3.1, 3.85, 3.830769230769231)","(6.0, 8.8, 8.085714285714285)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 17.5, 16.071428571428573)","(10.0, 16.0, 16.15)","(7.5, 10.0, 9.142857142857144)","(3.9, 99999, 99990)"
07-12-2022 18:00:54.345061,"(3.1, 3.85, 3.8285714285714287)","(6.0, 8.8, 8.085714285714285)","(6.0, 99999, 99990)","(18.0, 28.0, 25.0)","(13.0, 17.5, 15.75)","(10.0, 17.5, 16.5)","(7.5, 10.0, 9.533333333333333)","(3.9, 99999, 99990)"
07-12-2022 18:00:55.746549,"(3.1, 3.85, 3.8142857142857145)","(6.0, 8.8, 8.085714285714285)","(6.0, 99999, 99990)","(18.0, 28.0, 26.333333333333332)","(13.0, 17.0, 15.75)","(10.0, 17.0, 14.909090909090908)","(7.5, 10.0, 9.533333333333333)","(3.8, 99999, 99990)"
07-12-2022 18:00:57.223021,"(3.1, 3.85, 3.8083333333333336)","(6.0, 8.8, 8.466666666666667)","(6.5, 99999, 99990)","(17.0, 28.0, 25.6)","(13.0, 17.0, 14.5)","(10.0, 16.0, 16.9375)","(7.5, 10.0, 9.675)","(3.8, 99999, 99990)"
07-12-2022 18:00:58.609914,"(3.1, 3.85, 3.8083333333333336)","(6.0, 8.8, 8.466666666666667)","(6.5, 99999, 99990)","(17.0, 28.0, 25.6)","(13.0, 17.0, 14.5)","(10.0, 17.5, 16.9375)","(7.5, 9.8, 9.383333333333335)","(3.8, 99999, 99990)"
07-12-2022 18:01:00.047859,"(3.1, 3.85, 3.7875)","(6.0, 8.8, 8.466666666666667)","(6.5, 99999, 99990)","(17.0, 28.0, 25.6)","(13.0, 17.0, 14.5)","(10.0, 17.5, 16.9375)","(7.5, 9.8, 9.2)","(3.8, 99999, 99990)"
07-12-2022 18:01:01.481625,"(3.1, 3.85, 3.7875)","(6.0, 8.8, 8.466666666666667)","(6.5, 99999, 99990)","(17.0, 28.0, 25.6)","(13.0, 17.0, 14.75)","(10.0, 17.5, 16.9375)","(7.5, 9.6, 9.0)","(3.8, 99999, 99990)"
07-12-2022 18:01:02.847314,"(3.1, 3.85, 3.7875)","(6.0, 8.8, 8.55)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 17.0, 15.7)","(10.0, 17.5, 16.11111111111111)","(7.5, 9.6, 9.244444444444445)","(3.8, 99999, 99990)"
07-12-2022 18:01:04.108758,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.55)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 16.5, 15.7)","(10.0, 17.0, 16.75)","(7.5, 9.6, 9.222222222222221)","(3.7, 99999, 99990)"
07-12-2022 18:01:05.392798,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.55)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 14.571428571428571)","(10.0, 18.0, 16.375)","(7.5, 9.4, 9.261538461538462)","(3.7, 99999, 99990)"
07-12-2022 18:01:06.642518,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.55)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 14.571428571428571)","(10.0, 17.5, 14.5)","(7.5, 10.0, 9.4)","(3.7, 99999, 99990)"
07-12-2022 18:01:08.030292,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 16.09090909090909)","(10.0, 17.0, 15.625)","(7.5, 9.8, 9.5)","(3.7, 99999, 99990)"
07-12-2022 18:01:09.472165,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 16.09090909090909)","(10.0, 16.5, 15.625)","(7.5, 9.8, 9.5)","(3.7, 99999, 99990)"
07-12-2022 18:01:10.905270,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 16.5, 15.4)","(7.5, 9.8, 9.5)","(3.7, 99999, 99990)"
07-12-2022 18:01:12.259994,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 15.0)","(7.5, 9.8, 9.5)","(3.7, 99999, 99990)"
07-12-2022 18:01:13.645608,"(3.1, 3.85, 3.7666666666666666)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 15.625)","(7.5, 9.8, 9.5)","(3.7, 99999, 99990)"
07-12-2022 18:01:15.052680,"(3.1, 3.85, 3.775)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 16.5, 16.375)","(7.5, 9.8, 9.657142857142857)","(3.7, 99999, 99990)"
07-12-2022 18:01:16.440673,"(3.1, 3.85, 3.8200000000000003)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 17.5, 15.625)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:17.884551,"(3.1, 3.85, 3.8200000000000003)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 16.5, 15.625)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:19.296191,"(3.1, 3.85, 3.8200000000000003)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 16.5, 15.625)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:20.594300,"(3.1, 3.85, 3.8200000000000003)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 16.5, 15.625)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:21.929792,"(3.1, 3.85, 3.8200000000000003)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 16.5, 15.625)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:23.180173,"(3.1, 3.85, 3.8200000000000003)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 16.5, 16.416666666666668)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:24.603977,"(3.1, 3.85, 3.8200000000000003)","(6.0, 8.8, 8.663636363636364)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 16.416666666666668)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:25.937447,"(3.1, 3.85, 3.81875)","(6.0, 9.4, 9.15)","(6.5, 99999, 99990)","(17.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(10.0, 17.0, 15.25)","(7.5, 10.0, 9.563636363636364)","(3.7, 99999, 99990)"
07-12-2022 18:01:27.314718,"(3.1, 3.85, 3.830769230769231)","(6.5, 9.2, 8.899999999999999)","(6.5, 99999, 99990)","(18.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(11.0, 17.0, 15.25)","(7.5, 10.0, 9.563636363636364)","(3.6, 99999, 99990)"
07-12-2022 18:01:28.666674,"(3.1, 3.85, 3.830769230769231)","(6.5, 9.2, 9.16)","(6.5, 99999, 99990)","(18.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(11.0, 17.0, 12.25)","(7.5, 10.0, 8.577777777777778)","(3.6, 99999, 99990)"
07-12-2022 18:01:30.003998,"(3.1, 3.85, 3.830769230769231)","(6.5, 9.4, 9.16)","(6.5, 99999, 99990)","(18.0, 28.0, 26.0)","(13.0, 18.0, 15.375)","(11.0, 13.5, 12.25)","(7.5, 10.0, 8.8)","(3.6, 99999, 99990)"
07-12-2022 18:01:31.484288,"(3.1, 3.85, 3.8291666666666666)","(6.5, 9.4, 8.914285714285715)","(6.5, 99999, 99990)","(18.0, 28.0, 26.0)","(13.0, 18.0, 15.9)","(11.0, 13.0, 11.727272727272727)","(7.5, 9.6, 9.17142857142857)","(3.6, 99999, 99990)"
07-12-2022 18:01:32.984513,"(3.1, 3.85, 3.8291666666666666)","(6.5, 9.6, 8.914285714285715)","(6.5, 99999, 99990)","(18.0, 28.0, 26.0)","(13.0, 18.0, 15.9)","(10.0, 13.5, 11.727272727272727)","(7.5, 9.4, 9.17142857142857)","(3.6, 99999, 99990)"
07-12-2022 18:01:34.306412,"(3.1, 3.85, 3.8291666666666666)","(6.5, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 28.0, 22.75)","(13.0, 18.0, 16.0)","(10.0, 13.5, 12.107142857142858)","(7.5, 9.4, 9.036363636363637)","(3.6, 99999, 99990)"
07-12-2022 18:01:35.766988,"(3.1, 3.85, 3.816666666666667)","(6.5, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 28.0, 22.75)","(13.0, 18.0, 15.083333333333334)","(10.0, 13.5, 12.107142857142858)","(7.5, 9.4, 9.022222222222222)","(3.6, 99999, 99990)"
07-12-2022 18:01:37.292886,"(3.1, 4.0, 3.9918918918918918)","(6.5, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 13.5, 11.833333333333334)","(7.5, 9.2, 8.56)","(3.6, 99999, 99990)"
07-12-2022 18:01:38.840300,"(3.1, 4.1, 4.089743589743589)","(6.5, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(7.5, 9.2, 9.0)","(3.6, 99999, 99990)"
07-12-2022 18:01:40.458579,"(3.1, 4.1, 4.089743589743589)","(7.0, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(8.0, 9.6, 9.0)","(3.6, 99999, 99990)"
07-12-2022 18:01:42.002464,"(3.1, 4.1, 4.089743589743589)","(7.0, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(8.0, 9.6, 9.0)","(3.6, 99999, 99990)"
07-12-2022 18:01:43.476810,"(3.1, 4.1, 4.089743589743589)","(7.0, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(8.0, 9.6, 8.9)","(3.6, 99999, 99990)"
07-12-2022 18:01:44.868200,"(3.1, 4.1, 4.089743589743589)","(7.0, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(8.0, 9.4, 8.9)","(3.6, 99999, 99990)"
07-12-2022 18:01:46.478835,"(3.1, 4.1, 4.057142857142857)","(7.0, 9.6, 8.937931034482759)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(8.0, 9.4, 8.866666666666667)","(3.6, 99999, 99990)"
07-12-2022 18:01:48.073272,"(3.1, 4.1, 4.086363636363636)","(7.0, 9.6, 9.066666666666666)","(6.5, 99999, 99990)","(18.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(8.0, 9.4, 8.542857142857143)","(3.6, 99999, 99990)"
07-12-2022 18:01:49.608885,"(3.2, 4.1, 4.083333333333333)","(7.0, 9.6, 8.832)","(6.5, 99999, 99990)","(17.0, 27.0, 22.0)","(13.0, 17.5, 15.0)","(10.0, 12.5, 11.833333333333334)","(7.5, 9.4, 8.971428571428572)","(3.6, 99999, 99990)"
