,Skyla Blue,Rock On Hunter,Tilly Banner,Abby Road,Natisas Sparkle,Zambora Blaster
09-01-2023 17:07:19.774221,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:20.803913,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:21.869926,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:22.923246,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:24.008140,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:25.015859,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:26.029987,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:27.037803,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:28.023457,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:29.010110,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:29.977772,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:30.973745,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:31.881038,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:32.805638,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:33.703473,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:34.694172,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:35.686694,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:36.811727,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:37.860548,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:38.853438,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:39.824479,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:40.785735,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:41.784944,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:42.740533,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:43.747572,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:44.743683,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:45.701318,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:46.572655,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:47.545435,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:48.554941,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:49.623309,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:50.678443,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:07:51.677517,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 12.399999999999999)"
09-01-2023 17:07:52.662193,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 14.5, 12.84)"
09-01-2023 17:07:53.620558,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 14.0, 12.84)"
09-01-2023 17:07:54.529646,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 14.0, 12.84)"
09-01-2023 17:07:55.508091,"(3.1, 4.7, 3.98)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 14.0, 12.84)"
