,Laroza Bale,Blackpool Ryan,Coach Fagan,No Tax,Crymelon Comet,Spring Tune,Bahrose,Parlo Bale
07-01-2023 18:42:57.277307,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:58.330664,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 64.22222222222223)"
07-01-2023 18:42:59.484428,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 100.9090909090909)"
07-01-2023 18:43:09.064293,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 116.66666666666667)"
07-01-2023 18:43:10.172131,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 24.475)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 116.66666666666667)"
07-01-2023 18:43:11.245983,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 24.475)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 116.66666666666667)"
07-01-2023 18:43:12.328027,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 116.66666666666667)"
07-01-2023 18:43:13.527357,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 60.66666666666667)"
07-01-2023 18:43:14.576135,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 60.66666666666667)"
07-01-2023 18:43:15.630223,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 60.66666666666667)"
07-01-2023 18:43:16.733191,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 16.6)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 75.0)"
07-01-2023 18:43:17.791990,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 16.6)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 75.0)"
07-01-2023 18:43:18.920995,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 16.6)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 75.0)"
07-01-2023 18:43:19.987892,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 75.0)"
07-01-2023 18:43:21.076821,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 75.0)"
07-01-2023 18:43:22.113611,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 75.0)"
07-01-2023 18:43:23.198047,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 75.0)"
07-01-2023 18:43:24.320821,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 196.78571428571428)"
07-01-2023 18:43:25.457600,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 196.78571428571428)"
07-01-2023 18:43:26.602833,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 159.5)"
07-01-2023 18:43:27.700234,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 103.57142857142857)"
07-01-2023 18:43:28.707054,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 103.57142857142857)"
07-01-2023 18:43:29.714646,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 103.57142857142857)"
07-01-2023 18:43:30.754067,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 145.55555555555554)"
07-01-2023 18:43:31.898499,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 145.55555555555554)"
07-01-2023 18:43:32.939667,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 145.55555555555554)"
07-01-2023 18:43:33.969445,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 145.55555555555554)"
07-01-2023 18:43:35.062211,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 145.55555555555554)"
07-01-2023 18:43:36.305787,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 145.55555555555554)"
