,Chicks Love Me,Emerley Bruce,Butterfly Angel,Redevelop,Plant Road,Emerley Poida,Faux Allie,Shes Driven
11-01-2023 13:11:14.382307,"(10.0, 16.0, 15.2)","(1.8, 2.2, 2.1975000000000002)","(3.9, 4.3, 4.217777777777777)","(19.0, 29.0, 28.636363636363637)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:15.417084,"(10.0, 16.0, 15.2)","(1.8, 2.2, 2.1950000000000003)","(3.9, 4.3, 4.220430107526881)","(19.0, 30.0, 28.42105263157895)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:16.441573,"(10.0, 16.0, 15.2)","(1.8, 2.22, 2.1926315789473687)","(3.9, 4.3, 4.220430107526881)","(19.0, 30.0, 28.42105263157895)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 57.0)"
11-01-2023 13:11:17.456305,"(10.0, 16.0, 15.2)","(1.8, 2.22, 2.1986301369863015)","(3.9, 4.3, 4.220430107526881)","(19.0, 28.0, 27.6)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 57.857142857142854)"
11-01-2023 13:11:18.472559,"(10.0, 16.0, 15.2)","(1.8, 2.22, 2.1986301369863015)","(3.9, 4.3, 4.21685393258427)","(19.0, 30.0, 28.35)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 63.75)"
11-01-2023 13:11:19.507283,"(10.0, 16.0, 15.2)","(1.85, 2.22, 2.2030508474576274)","(3.8, 4.3, 4.21685393258427)","(19.0, 30.0, 28.58823529411765)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 63.75)"
11-01-2023 13:11:20.516792,"(10.0, 16.0, 15.2)","(1.85, 2.22, 2.2030508474576274)","(3.8, 4.3, 4.21685393258427)","(19.0, 30.0, 29.11764705882353)","(31.0, 70.0, 69.23076923076923)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 66.5625)"
11-01-2023 13:11:21.597395,"(10.0, 16.0, 15.153846153846153)","(1.85, 2.22, 2.1978947368421053)","(3.8, 4.3, 4.21685393258427)","(19.0, 30.0, 28.565217391304348)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.003448275862069)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 63.75)"
11-01-2023 13:11:22.932608,"(10.0, 16.0, 15.142857142857142)","(1.85, 2.22, 2.1978947368421053)","(3.8, 4.3, 4.21685393258427)","(19.0, 30.0, 28.565217391304348)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.003448275862069)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 62.5)"
11-01-2023 13:11:23.976675,"(10.0, 16.0, 15.444444444444445)","(1.85, 2.22, 2.1978947368421053)","(3.8, 4.3, 4.21685393258427)","(19.0, 30.0, 28.565217391304348)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.00909090909091)","(51.0, 110.0, 99.71428571428571)","(41.0, 75.0, 69.11764705882354)"
11-01-2023 13:11:25.048143,"(10.0, 16.5, 15.634615384615385)","(1.85, 2.22, 2.1978947368421053)","(3.8, 4.3, 4.21685393258427)","(19.0, 29.0, 28.846153846153847)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.015789473684211)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 71.25)"
11-01-2023 13:11:26.105996,"(10.0, 16.5, 15.589285714285714)","(1.85, 2.22, 2.1976)","(3.8, 4.3, 4.1547368421052635)","(19.0, 29.0, 28.35)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0600000000000005)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 69.44444444444444)"
11-01-2023 13:11:27.289351,"(10.0, 16.5, 15.555555555555555)","(1.85, 2.22, 2.2171428571428575)","(3.8, 4.2, 4.06)","(19.0, 30.0, 28.8)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0600000000000005)","(51.0, 110.0, 99.44444444444444)","(41.0, 75.0, 72.0)"
11-01-2023 13:11:28.322840,"(10.0, 16.5, 15.882352941176471)","(1.85, 2.24, 2.224)","(3.8, 4.1, 4.06)","(19.0, 29.0, 28.8)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0600000000000005)","(51.0, 110.0, 95.78947368421052)","(41.0, 75.0, 72.0)"
11-01-2023 13:11:29.475596,"(10.0, 16.5, 15.882352941176471)","(1.85, 2.24, 2.2233333333333336)","(3.8, 4.1, 4.063888888888888)","(19.0, 29.0, 28.8)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0600000000000005)","(51.0, 110.0, 95.78947368421052)","(41.0, 75.0, 70.45454545454545)"
11-01-2023 13:11:30.571700,"(10.0, 16.5, 15.882352941176471)","(1.85, 2.24, 2.2233333333333336)","(3.8, 4.1, 4.0359375)","(19.0, 29.0, 28.8)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0600000000000005)","(51.0, 110.0, 95.75)","(41.0, 75.0, 72.0)"
11-01-2023 13:11:31.606292,"(10.0, 16.5, 15.882352941176471)","(1.85, 2.24, 2.2233333333333336)","(3.8, 4.1, 4.0359375)","(19.0, 29.0, 28.68)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0600000000000005)","(51.0, 110.0, 95.75)","(41.0, 75.0, 72.0)"
11-01-2023 13:11:32.613199,"(10.0, 16.5, 15.882352941176471)","(1.85, 2.24, 2.2233333333333336)","(3.8, 4.1, 4.033870967741936)","(19.0, 30.0, 28.68)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0600000000000005)","(51.0, 110.0, 97.14285714285714)","(41.0, 75.0, 70.45454545454545)"
11-01-2023 13:11:33.657965,"(10.0, 16.5, 16.133333333333333)","(1.85, 2.24, 2.235294117647059)","(3.8, 4.1, 4.0359375)","(19.0, 30.0, 28.68)","(31.0, 75.0, 73.63636363636364)","(5.0, 6.0, 5.961111111111111)","(51.0, 110.0, 95.78947368421052)","(41.0, 75.0, 71.66666666666667)"
11-01-2023 13:11:34.768003,"(11.0, 16.0, 15.772727272727273)","(1.85, 2.26, 2.2435616438356165)","(3.8, 4.1, 4.006521739130434)","(19.0, 30.0, 28.565217391304348)","(31.0, 75.0, 73.63636363636364)","(5.0, 6.0, 5.948717948717949)","(51.0, 110.0, 95.75)","(41.0, 75.0, 68.57142857142857)"
11-01-2023 13:11:35.784419,"(11.0, 16.0, 15.833333333333334)","(1.85, 2.26, 2.245185185185185)","(3.8, 4.1, 4.013461538461538)","(19.0, 29.0, 28.714285714285715)","(31.0, 75.0, 74.16666666666667)","(5.0, 6.0, 5.948717948717949)","(51.0, 110.0, 95.75)","(41.0, 75.0, 67.05882352941177)"
11-01-2023 13:11:36.808023,"(11.0, 16.0, 15.842105263157894)","(1.85, 2.28, 2.2679245283018865)","(3.8, 4.1, 4.0125)","(19.0, 29.0, 28.714285714285715)","(31.0, 75.0, 74.0)","(5.0, 6.0, 5.8769230769230765)","(51.0, 110.0, 95.75)","(41.0, 75.0, 63.75)"
11-01-2023 13:11:37.885872,"(11.0, 16.0, 15.74074074074074)","(1.85, 2.28, 2.26625)","(3.8, 4.1, 4.0055555555555555)","(19.0, 29.0, 28.714285714285715)","(31.0, 75.0, 74.0)","(5.0, 6.0, 5.88076923076923)","(51.0, 110.0, 95.78947368421052)","(41.0, 75.0, 66.0)"
11-01-2023 13:11:38.892594,"(11.0, 16.0, 15.74074074074074)","(1.85, 2.28, 2.278461538461538)","(3.8, 4.1, 4.007272727272727)","(19.0, 29.0, 28.714285714285715)","(31.0, 75.0, 74.0)","(5.0, 6.0, 5.99795918367347)","(51.0, 110.0, 95.75)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:39.929803,"(11.0, 16.0, 15.657142857142857)","(1.85, 2.28, 2.2788888888888885)","(3.8, 4.0, 3.995402298850575)","(19.0, 29.0, 28.714285714285715)","(31.0, 75.0, 74.0)","(5.0, 6.2, 6.016326530612245)","(51.0, 110.0, 95.75)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:41.109659,"(11.0, 16.0, 15.612903225806452)","(1.85, 2.28, 2.2727272727272725)","(3.8, 4.1, 4.039)","(19.0, 29.0, 28.714285714285715)","(31.0, 75.0, 74.0)","(5.0, 6.2, 6.016326530612245)","(51.0, 110.0, 95.75)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:42.483032,"(11.0, 16.0, 15.481481481481481)","(1.85, 2.28, 2.2646153846153845)","(3.8, 4.1, 4.02972972972973)","(19.0, 30.0, 27.857142857142858)","(31.0, 75.0, 74.0)","(5.0, 6.2, 6.007692307692308)","(51.0, 110.0, 107.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:43.711278,"(11.0, 16.0, 15.541666666666666)","(1.85, 2.26, 2.252)","(3.8, 4.1, 4.02972972972973)","(19.0, 30.0, 27.857142857142858)","(31.0, 75.0, 74.0)","(5.0, 6.2, 6.007692307692308)","(51.0, 120.0, 107.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:44.801650,"(11.0, 16.0, 15.541666666666666)","(1.85, 2.22, 2.2150000000000003)","(3.7, 4.2, 4.106382978723404)","(19.0, 30.0, 27.857142857142858)","(31.0, 75.0, 73.84615384615384)","(5.0, 6.2, 6.0)","(51.0, 120.0, 98.57142857142857)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:45.897605,"(11.0, 16.0, 15.75)","(1.85, 2.24, 2.232608695652174)","(3.7, 4.2, 4.076190476190476)","(19.0, 30.0, 27.6)","(31.0, 75.0, 69.64285714285714)","(5.0, 6.2, 6.007692307692308)","(51.0, 120.0, 98.57142857142857)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:47.032713,"(11.0, 16.0, 15.45)","(1.85, 2.28, 2.25)","(3.7, 4.2, 4.049122807017544)","(19.0, 30.0, 27.857142857142858)","(31.0, 75.0, 70.3125)","(5.0, 6.2, 5.984615384615385)","(51.0, 120.0, 102.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:48.049559,"(11.0, 16.0, 15.375)","(1.85, 2.26, 2.2528205128205125)","(3.6, 4.2, 4.056140350877193)","(19.0, 30.0, 28.0)","(31.0, 70.0, 61.13636363636363)","(5.0, 6.2, 5.986842105263158)","(51.0, 110.0, 102.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:49.301123,"(11.0, 16.0, 15.45)","(1.85, 2.26, 2.2535135135135134)","(3.6, 4.2, 4.056140350877193)","(19.0, 30.0, 28.0)","(31.0, 70.0, 61.13636363636363)","(5.0, 6.2, 5.986842105263158)","(51.0, 110.0, 102.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:50.716761,"(11.0, 16.0, 15.45)","(1.85, 2.26, 2.2533333333333334)","(3.6, 4.2, 4.056140350877193)","(19.0, 30.0, 28.0)","(31.0, 70.0, 61.13636363636363)","(5.0, 6.2, 5.989189189189189)","(51.0, 110.0, 102.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:51.994358,"(11.0, 16.0, 15.45)","(1.85, 2.26, 2.2545454545454544)","(3.6, 4.2, 4.067796610169491)","(19.0, 30.0, 27.6)","(31.0, 65.0, 62.5)","(5.0, 6.2, 5.963636363636364)","(51.0, 110.0, 102.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:53.205492,"(11.0, 16.0, 15.3)","(1.85, 2.3, 2.2835294117647056)","(3.6, 4.1, 4.094117647058823)","(19.0, 30.0, 27.6)","(31.0, 65.0, 62.5)","(5.0, 6.0, 5.963636363636364)","(51.0, 110.0, 102.5)","(41.0, 75.0, 66.42857142857143)"
11-01-2023 13:11:54.270919,"(11.0, 16.0, 15.3)","(1.85, 2.3, 2.279574468085106)","(3.6, 4.1, 4.094117647058823)","(19.0, 30.0, 27.6)","(31.0, 65.0, 63.75)","(5.0, 6.0, 5.916666666666667)","(51.0, 110.0, 97.08333333333333)","(41.0, 75.0, 58.333333333333336)"
11-01-2023 13:11:55.372721,"(11.0, 15.5, 15.125)","(1.85, 2.32, 2.3004878048780486)","(3.6, 4.2, 4.119047619047619)","(19.0, 26.0, 25.5)","(31.0, 65.0, 64.625)","(5.0, 6.0, 5.916666666666667)","(51.0, 120.0, 97.08333333333333)","(41.0, 75.0, 58.333333333333336)"
11-01-2023 13:11:56.459801,"(11.0, 15.5, 15.203703703703704)","(1.85, 2.32, 2.292830188679245)","(3.6, 4.2, 4.078260869565217)","(19.0, 25.0, 24.7)","(31.0, 70.0, 58.75)","(5.0, 6.2, 6.010000000000001)","(51.0, 120.0, 97.08333333333333)","(41.0, 75.0, 67.85714285714286)"
11-01-2023 13:11:57.520274,"(11.0, 15.5, 14.970588235294118)","(1.85, 2.28, 2.266388888888889)","(3.6, 4.1, 4.076923076923077)","(19.0, 25.0, 24.77777777777778)","(31.0, 65.0, 62.5)","(5.0, 6.2, 6.010526315789474)","(51.0, 120.0, 97.08333333333333)","(41.0, 70.0, 67.85714285714286)"
11-01-2023 13:11:58.643556,"(11.0, 15.0, 14.833333333333334)","(1.85, 2.28, 2.268405797101449)","(3.6, 4.1, 4.0718749999999995)","(19.0, 25.0, 24.77777777777778)","(31.0, 65.0, 62.5)","(5.0, 6.2, 6.0211538461538465)","(51.0, 120.0, 98.125)","(41.0, 70.0, 68.5)"
11-01-2023 13:11:59.782490,"(11.0, 15.0, 14.8125)","(1.85, 2.28, 2.268405797101449)","(3.6, 4.1, 4.074193548387097)","(19.0, 25.0, 24.77777777777778)","(31.0, 65.0, 62.5)","(5.0, 6.2, 6.030909090909091)","(51.0, 120.0, 98.125)","(41.0, 70.0, 68.0)"
11-01-2023 13:12:00.869515,"(11.0, 15.0, 14.85)","(1.85, 2.3, 2.2674999999999996)","(3.6, 4.1, 4.078947368421052)","(19.0, 25.0, 24.77777777777778)","(31.0, 65.0, 62.5)","(5.0, 6.2, 6.030909090909091)","(51.0, 120.0, 98.125)","(41.0, 70.0, 66.25)"
11-01-2023 13:12:01.981609,"(11.0, 15.0, 14.533333333333333)","(1.85, 2.3, 2.2643835616438355)","(3.6, 4.1, 4.069230769230769)","(19.0, 26.0, 25.4)","(31.0, 65.0, 64.6590909090909)","(5.0, 6.2, 5.9731707317073175)","(51.0, 120.0, 98.125)","(41.0, 70.0, 66.25)"
11-01-2023 13:12:03.092209,"(11.0, 15.0, 14.673913043478262)","(1.85, 2.28, 2.2605714285714287)","(3.6, 4.1, 4.069230769230769)","(19.0, 26.0, 25.571428571428573)","(31.0, 65.0, 64.6590909090909)","(5.0, 6.2, 5.978571428571429)","(51.0, 130.0, 99.375)","(41.0, 70.0, 67.85714285714286)"
11-01-2023 13:12:04.241360,"(11.0, 15.5, 14.785714285714286)","(1.85, 2.3, 2.27030303030303)","(3.6, 4.2, 4.054716981132075)","(19.0, 25.0, 24.181818181818183)","(31.0, 70.0, 67.6923076923077)","(5.0, 5.9, 5.7375)","(51.0, 130.0, 106.66666666666667)","(41.0, 70.0, 66.25)"
11-01-2023 13:12:05.326299,"(11.0, 16.0, 15.206896551724139)","(1.85, 2.3, 2.2715942028985507)","(3.6, 4.2, 4.056862745098039)","(19.0, 25.0, 24.1)","(31.0, 70.0, 68.0)","(5.0, 5.8, 5.718181818181818)","(51.0, 130.0, 106.66666666666667)","(41.0, 70.0, 66.25)"
11-01-2023 13:12:06.396439,"(11.0, 16.0, 15.205882352941176)","(1.85, 2.3, 2.271176470588235)","(3.6, 4.2, 4.056862745098039)","(19.0, 25.0, 24.09090909090909)","(31.0, 70.0, 68.33333333333334)","(5.0, 5.8, 5.7595238095238095)","(51.0, 130.0, 103.75)","(41.0, 70.0, 67.27272727272727)"
11-01-2023 13:12:07.423262,"(11.0, 16.0, 15.289473684210526)","(1.85, 2.24, 2.2253968253968255)","(3.6, 4.2, 4.125510204081633)","(19.0, 25.0, 24.09090909090909)","(31.0, 70.0, 68.33333333333334)","(5.0, 5.8, 5.7595238095238095)","(51.0, 130.0, 103.75)","(41.0, 70.0, 67.0)"
11-01-2023 13:12:08.425063,"(11.0, 16.0, 15.28)","(1.85, 2.28, 2.2671604938271606)","(3.6, 4.2, 4.059183673469388)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 68.28571428571428)","(5.0, 5.9, 5.718181818181818)","(51.0, 130.0, 103.75)","(41.0, 70.0, 67.0)"
11-01-2023 13:12:09.479831,"(11.0, 16.0, 15.28)","(1.85, 2.3, 2.27030303030303)","(3.6, 4.2, 4.076785714285714)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 68.28571428571428)","(5.0, 5.8, 5.726666666666667)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 67.0)"
11-01-2023 13:12:10.585708,"(11.0, 16.0, 15.241379310344827)","(1.85, 2.3, 2.27030303030303)","(3.6, 4.2, 4.076785714285714)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 64.54545454545455)","(5.0, 5.8, 5.7)","(51.0, 120.0, 97.27272727272727)","(41.0, 70.0, 68.33333333333333)"
11-01-2023 13:12:11.759353,"(11.0, 16.0, 15.212121212121213)","(1.85, 2.3, 2.27030303030303)","(3.6, 4.2, 4.081904761904762)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.715151515151515)","(51.0, 120.0, 97.27272727272727)","(41.0, 70.0, 68.33333333333333)"
11-01-2023 13:12:12.848721,"(11.0, 16.0, 15.212121212121213)","(1.85, 2.3, 2.271730769230769)","(3.6, 4.2, 4.113888888888889)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.7407407407407405)","(51.0, 120.0, 97.5)","(41.0, 70.0, 63.0)"
11-01-2023 13:12:13.958120,"(11.0, 16.0, 15.212121212121213)","(1.85, 2.26, 2.256164383561644)","(3.6, 4.2, 4.1253012048192765)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.751282051282051)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:15.048575,"(11.0, 16.0, 15.212121212121213)","(1.85, 2.26, 2.255483870967742)","(3.6, 4.2, 4.175)","(19.0, 25.0, 24.25)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.9, 5.751282051282051)","(51.0, 120.0, 97.27272727272727)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:16.158616,"(11.0, 16.0, 15.133333333333333)","(1.85, 2.26, 2.253913043478261)","(3.6, 4.3, 4.246808510638298)","(19.0, 25.0, 24.25)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.9, 5.743478260869566)","(51.0, 120.0, 97.27272727272727)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:17.228073,"(11.0, 15.5, 15.4)","(1.85, 2.26, 2.2588235294117647)","(3.6, 4.3, 4.247826086956522)","(19.0, 25.0, 24.11111111111111)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.6909090909090905)","(51.0, 120.0, 97.5)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:18.225418,"(11.0, 16.0, 15.114285714285714)","(1.85, 2.26, 2.258965517241379)","(3.6, 4.3, 4.254716981132075)","(19.0, 25.0, 24.11111111111111)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.6909090909090905)","(51.0, 120.0, 97.5)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:19.232301,"(11.0, 16.0, 15.114285714285714)","(1.85, 2.26, 2.258965517241379)","(3.6, 4.3, 4.254716981132075)","(19.0, 25.0, 24.11111111111111)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.707142857142857)","(51.0, 120.0, 96.66666666666667)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:20.277218,"(11.0, 16.0, 15.114285714285714)","(1.85, 2.26, 2.2592982456140347)","(3.6, 4.3, 4.254716981132075)","(19.0, 25.0, 24.11111111111111)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.707142857142857)","(51.0, 120.0, 96.66666666666667)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:21.214499,"(11.0, 16.0, 15.114285714285714)","(1.85, 2.26, 2.2592982456140347)","(3.6, 4.3, 4.254716981132075)","(19.0, 25.0, 24.11111111111111)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.707142857142857)","(51.0, 120.0, 96.66666666666667)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:22.276583,"(11.0, 16.0, 15.205128205128204)","(1.85, 2.22, 2.214606741573034)","(3.6, 4.3, 4.263636363636364)","(19.0, 25.0, 24.11111111111111)","(31.0, 70.0, 64.28571428571428)","(5.0, 5.8, 5.731578947368421)","(51.0, 120.0, 96.66666666666667)","(41.0, 70.0, 60.714285714285715)"
11-01-2023 13:12:23.309747,"(11.0, 16.0, 15.25)","(1.85, 2.24, 2.228888888888889)","(3.6, 4.3, 4.287179487179487)","(19.0, 25.0, 24.11111111111111)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.8, 5.733333333333333)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 60.0)"
11-01-2023 13:12:24.307862,"(11.0, 16.0, 15.285714285714286)","(1.85, 2.24, 2.22)","(3.6, 4.3, 4.287179487179487)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 59.09090909090909)","(5.0, 5.9, 5.74)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 60.0)"
11-01-2023 13:12:25.370742,"(11.0, 16.0, 15.285714285714286)","(1.85, 2.24, 2.2157894736842105)","(3.6, 4.3, 4.280952380952381)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.9, 5.74)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 60.0)"
11-01-2023 13:12:26.432016,"(11.0, 16.0, 15.285714285714286)","(1.85, 2.24, 2.2157894736842105)","(3.6, 4.3, 4.280952380952381)","(19.0, 25.0, 24.142857142857142)","(31.0, 70.0, 64.21686746987952)","(5.0, 5.9, 5.74)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 60.0)"
11-01-2023 13:12:27.516921,"(11.0, 16.0, 15.233333333333333)","(1.85, 2.24, 2.2157894736842105)","(3.6, 4.3, 4.289795918367346)","(19.0, 25.0, 24.142857142857142)","(31.0, 60.0, 58.55072463768116)","(5.0, 5.9, 5.75)","(51.0, 120.0, 97.5)","(41.0, 70.0, 60.0)"
11-01-2023 13:12:28.564826,"(11.0, 16.0, 15.233333333333333)","(1.85, 2.24, 2.2162162162162162)","(3.6, 4.3, 4.289795918367346)","(19.0, 25.0, 24.142857142857142)","(31.0, 60.0, 58.55072463768116)","(5.0, 5.9, 5.75)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 62.0)"
11-01-2023 13:12:29.610694,"(11.0, 16.0, 15.206896551724139)","(1.85, 2.24, 2.218)","(3.6, 4.3, 4.289795918367346)","(19.0, 25.0, 24.11111111111111)","(31.0, 60.0, 58.55072463768116)","(5.0, 5.9, 5.75)","(51.0, 120.0, 96.78571428571429)","(41.0, 70.0, 63.4)"
11-01-2023 13:12:30.605184,"(11.0, 16.0, 15.67142857142857)","(1.85, 2.24, 2.2162162162162162)","(3.6, 4.3, 4.291379310344827)","(19.0, 25.0, 24.11111111111111)","(31.0, 60.0, 58.6764705882353)","(5.0, 6.0, 5.920512820512821)","(51.0, 120.0, 111.07142857142857)","(41.0, 70.0, 64.54545454545455)"
11-01-2023 13:12:31.673556,"(11.0, 16.0, 15.756756756756756)","(1.85, 2.26, 2.256590909090909)","(3.6, 4.4, 4.342857142857143)","(19.0, 25.0, 24.125)","(31.0, 60.0, 59.21875)","(5.0, 5.7, 5.688888888888888)","(51.0, 120.0, 108.23529411764706)","(41.0, 70.0, 64.54545454545455)"
11-01-2023 13:12:32.728149,"(11.0, 16.0, 15.756756756756756)","(1.85, 2.24, 2.216)","(3.6, 4.4, 4.342105263157895)","(19.0, 25.0, 24.083333333333332)","(31.0, 60.0, 59.21875)","(5.0, 5.8, 5.688888888888888)","(51.0, 120.0, 108.23529411764706)","(41.0, 70.0, 64.54545454545455)"
11-01-2023 13:12:33.829495,"(11.0, 16.0, 15.756756756756756)","(1.85, 2.24, 2.218823529411765)","(3.6, 4.4, 4.340540540540541)","(19.0, 25.0, 24.083333333333332)","(31.0, 60.0, 59.21875)","(5.0, 5.8, 5.709090909090909)","(51.0, 120.0, 108.23529411764706)","(41.0, 70.0, 64.54545454545455)"
11-01-2023 13:12:34.934521,"(11.0, 16.0, 15.756756756756756)","(1.85, 2.24, 2.214883720930233)","(3.6, 4.4, 4.340540540540541)","(19.0, 25.0, 24.083333333333332)","(31.0, 60.0, 58.6764705882353)","(5.0, 5.9, 9998.5)","(51.0, 120.0, 9998.5)","(41.0, 70.0, 9998.5)"
11-01-2023 13:12:36.030357,"(11.0, 99998, 9998.5)","(1.85, 99998, 9998.5)","(3.6, 99998, 9998.5)","(19.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 13:12:37.054473,"(11.0, 99998, 9998.5)","(1.85, 99998, 9998.5)","(3.6, 99998, 9998.5)","(19.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.0, 99998, 9998.5)","(51.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 13:12:38.053051,"(11.0, 99998, 9998.5)","(1.85, 99998, 9998.5)","(3.6, 99998, 9998.5)","(19.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(4.8, 99998, 9998.5)","(51.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 13:12:39.059881,"(11.0, 99998, 9998.5)","(1.85, 99998, 9998.5)","(3.6, 99998, 9998.5)","(19.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(4.8, 99998, 9998.5)","(51.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 13:12:40.102167,"(11.0, 99998, 9998.5)","(1.85, 99998, 9998.5)","(3.6, 99998, 9998.5)","(19.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(4.8, 99998, 9998.5)","(51.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 13:12:41.148198,"(11.0, 99998, 9998.5)","(1.85, 99998, 9998.5)","(3.6, 99998, 9998.5)","(19.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(4.8, 99998, 9998.5)","(51.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 13:12:42.220099,"(11.0, 99998, 9998.5)","(1.85, 99998, 9998.5)","(3.6, 99998, 9998.5)","(19.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(4.8, 99998, 9998.5)","(51.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
