,Flyin Disco,Telkem Jay,Miss Willoughby,Bonnie Pauline,No Noney,Morissette,Spinner Of Yarns,Alexandra Thegreat,Your Grace
11-01-2023 16:25:53.687468,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 150.0, 66.0)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 48.0, 28.0)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:25:55.014309,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 150.0, 66.0)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 48.0, 28.0)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:25:56.257553,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 150.0, 66.0)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 48.0, 28.0)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:25:57.547992,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 150.0, 66.0)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 48.0, 28.0)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:25:58.778915,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 150.0, 66.0)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 48.0, 28.0)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:00.050265,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 150.0, 66.0)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 48.0, 28.0)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:01.318900,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 150.0, 75.33333333333334)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 48.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:02.778538,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 150.0, 75.33333333333334)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:04.328411,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 150.0, 75.33333333333334)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:06.879184,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 150.0, 75.33333333333334)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:08.288785,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 150.0, 129.0)","(6.0, 10.0, 8.666666666666666)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:09.521616,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 220.0, 129.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:10.769253,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 220.0, 129.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:11.990043,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 220.0, 129.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:13.212739,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 220.0, 129.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:14.427462,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 220.0, 129.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:15.663041,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 220.0, 129.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:16.902091,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 220.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:18.121856,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:19.286570,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:20.464554,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:21.700740,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:22.906777,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:24.145269,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:25.395625,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:26.661162,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:27.985333,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:29.370700,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:30.683208,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:32.176449,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:33.667324,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 127.0)","(41.0, 210.0, 95.33333333333334)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 79.33333333333334)","(19.0, 29.0, 19.333333333333332)"
11-01-2023 16:26:34.992145,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 210.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 190.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:36.149878,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:37.339757,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:38.579624,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:39.808940,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:41.031083,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.3981818181818184)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:42.279499,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:43.634339,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:44.980891,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:46.287783,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:47.604689,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 60.0)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:48.888823,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 170.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:50.199585,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:51.456392,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:52.699524,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:53.961436,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:55.204630,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:56.463878,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:57.733774,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:26:59.013843,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:00.338567,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:01.634143,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:02.957985,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:04.205414,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:05.478557,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:06.748375,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:07.982535,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:09.186424,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:10.559690,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:11.937407,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:13.254891,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:14.527062,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:15.820959,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:17.081973,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:18.302105,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:19.565053,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:20.756881,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:21.996523,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:23.176180,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:24.369132,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:25.564149,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:26.941409,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:28.357300,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
11-01-2023 16:27:29.715233,"(4.8, 6.4, 5.12)","(1.7, 2.54, 2.384)","(7.0, 12.0, 8.666666666666666)","(91.0, 210.0, 171.42857142857142)","(41.0, 160.0, 68.5)","(6.0, 10.0, 8.1)","(26.0, 70.0, 39.333333333333336)","(15.0, 50.0, 28.333333333333332)","(19.0, 29.0, 26.363636363636363)"
