,Jimmy The Bear,El Crimp Adore,Real Mickoy,Little Amelia,Behind Greywalls,Shes The One,Magic Bee,Donald Lane
10-01-2023 18:52:43.151098,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:44.437844,"(4.4, 7.2, 6.967857142857143)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:45.654305,"(4.4, 7.2, 6.967857142857143)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:46.911257,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:48.101161,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:49.309372,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:50.531025,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:51.818081,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:53.170600,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:54.447638,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
