,List Of Secrets,General Payton,Devon Lass,Magic Lies,Top Faith,Furious Angel,Jax
05-01-2023 15:59:24.692491,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 3.002)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:25.629528,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 3.002)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:26.572131,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 3.002)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:27.645984,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 3.002)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:28.614581,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 3.002)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:29.665723,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 3.002)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:30.711099,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 3.002)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:31.768843,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:32.836699,"(5.5, 9.8, 7.522222222222222)","(6.5, 16.0, 10.338461538461537)","(101.0, 230.0, 199.0909090909091)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:33.900552,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 170.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:34.952423,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 170.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:36.012565,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 170.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:37.070181,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 170.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:38.094623,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 170.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:39.106188,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:40.069626,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:41.040370,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:42.152248,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:43.157987,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:44.127879,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:45.168333,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:46.248933,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:47.387540,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.344444444444445)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:48.451071,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.344444444444445)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:49.379485,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.344444444444445)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:50.435891,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.344444444444445)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:51.517711,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:52.631055,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.166666666666666)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:53.781918,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.166666666666666)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:54.783332,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.166666666666666)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:55.826847,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.166666666666666)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:56.969772,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.166666666666666)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:58.108611,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.166666666666666)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 15:59:59.143504,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 8.166666666666666)","(101.0, 230.0, 180.0)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 16:00:00.158746,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 9.42)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 16:00:01.307120,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 9.42)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 16:00:02.450477,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.633333333333333)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 16:00:03.529772,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.633333333333333)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 9.316666666666666)"
05-01-2023 16:00:04.627060,"(5.5, 9.8, 7.522222222222222)","(6.5, 17.5, 10.633333333333333)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 15.0, 11.977777777777778)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 7.95)"
05-01-2023 16:00:05.680917,"(5.5, 9.6, 7.65)","(6.5, 17.5, 14.725)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:06.825153,"(5.5, 9.6, 7.65)","(6.5, 17.5, 7.811111111111111)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:07.969817,"(5.5, 9.6, 7.65)","(6.5, 17.5, 7.811111111111111)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:08.934703,"(5.5, 9.6, 7.65)","(6.5, 17.5, 7.811111111111111)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:09.991258,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.271428571428572)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:11.081654,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.271428571428572)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:12.244484,"(5.5, 9.6, 7.65)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:13.339206,"(5.5, 9.6, 7.65)","(6.5, 17.5, 10.915384615384614)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:14.297767,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:15.445677,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:16.588304,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:17.736474,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:18.671478,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:19.759724,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:20.888586,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:22.045616,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:23.091297,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:24.064347,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:25.244603,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:26.367914,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:27.446905,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:28.671333,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:30.098822,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:31.392271,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:32.658621,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:33.851302,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:34.918406,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:36.040549,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:37.142461,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:38.241751,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:39.266143,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:40.295775,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:41.462066,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:42.694080,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:43.800352,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:44.944481,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:46.008129,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:47.155325,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:48.283268,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:49.568903,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:50.884239,"(5.5, 9.6, 7.65)","(6.5, 17.5, 9.26)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:52.135541,"(5.5, 9.6, 7.65)","(6.5, 17.5, 9.26)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:53.458335,"(5.5, 9.6, 7.65)","(6.5, 17.5, 9.26)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:54.660455,"(5.5, 9.6, 7.65)","(6.5, 17.5, 9.26)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:55.814687,"(5.5, 9.6, 7.65)","(6.5, 17.5, 9.26)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:57.196498,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:58.444707,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:00:59.837552,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:01.049831,"(5.5, 9.6, 7.65)","(6.5, 17.5, 11.038461538461538)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:02.168059,"(5.5, 9.6, 7.65)","(6.5, 17.5, 9.42)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:03.364974,"(5.5, 9.6, 7.65)","(6.5, 17.5, 13.576190476190476)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:04.542461,"(5.5, 9.6, 7.65)","(6.5, 17.5, 13.576190476190476)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:05.711956,"(5.5, 9.6, 7.65)","(6.5, 17.5, 13.576190476190476)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:06.866877,"(5.5, 9.6, 7.65)","(6.5, 17.5, 13.576190476190476)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:08.089124,"(5.5, 9.6, 7.65)","(6.5, 17.5, 13.576190476190476)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
05-01-2023 16:01:09.319445,"(5.5, 9.6, 7.65)","(6.5, 17.5, 13.576190476190476)","(101.0, 230.0, 188.57142857142858)","(3.0, 4.8, 4.71)","(7.5, 14.5, 12.7)","(2.9, 3.2, 2.9929411764705884)","(5.5, 10.0, 8.4625)"
