,Walk A Fine Line,Dyladdie,Excuses Excuses,West Virginia Pam,Jalebi Baby,Boca Birdie,My Juba,Fashion Icon,Miss Lauren,Magnificent Rocket
06-01-2023 11:07:30.983588,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:32.319280,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:33.735072,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:35.065298,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:36.436032,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:37.714072,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:39.033570,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:40.326597,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:41.678322,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:42.998180,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:44.382300,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:45.755400,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:47.057320,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:48.359420,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:49.780924,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:51.189352,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:52.552472,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
06-01-2023 11:07:53.870073,"(6.0, 230.0, 174.25)","(7.0, 230.0, 174.6)","(21.0, 230.0, 175.125)","(21.0, 230.0, 175.125)","(2.5, 90.0, 45.58)","(26.0, 230.0, 175.125)","(4.4, 230.0, 173.825)","(26.0, 230.0, 175.125)","(6.0, 230.0, 174.25)","(31.0, 230.0, 175.125)"
