,Spring Monica,Bow Down,Roxy Rover,Undoing,Snowy Jinx,Shakira Blaze
06-01-2023 10:41:55.999708,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:57.030720,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:57.986013,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:58.892009,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:59.844167,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:00.843184,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:01.815247,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:02.735695,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:03.646605,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:04.589135,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:05.532077,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:06.485800,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:07.448038,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:08.415791,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:09.414464,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:10.411689,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:11.422104,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:12.298467,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:13.230343,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:14.253684,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:15.174529,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:16.106542,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:17.054846,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.166666666666667)","(6.0, 11.5, 6.318181818181818)"
