,Surveillance,Chiclett,Henchard,Chuck A Luck,Tuscan Holiday,Soviet Spy,Rhythm Star,Long Knife Brother,Missalfie
07-12-2022 17:59:17.874174,"(3.6, 4.7, 4.660869565217391)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 205.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:19.283200,"(3.6, 4.7, 4.660869565217391)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 240.0, 178.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:20.630546,"(3.7, 4.7, 4.660869565217391)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.875)","(71.0, 230.0, 165.0)","(8.0, 12.5, 11.5)"
07-12-2022 17:59:22.048563,"(3.7, 4.8, 4.75)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 230.0, 165.0)","(8.0, 12.5, 11.5)"
07-12-2022 17:59:23.615534,"(3.7, 4.8, 4.75)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 230.0, 165.0)","(8.0, 12.5, 11.5)"
07-12-2022 17:59:25.043997,"(3.7, 4.8, 4.75)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 230.0, 165.0)","(8.0, 12.5, 11.5)"
07-12-2022 17:59:26.391208,"(3.7, 4.8, 4.75)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 230.0, 165.0)","(8.0, 12.5, 11.5)"
07-12-2022 17:59:27.766534,"(3.7, 4.8, 4.75)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 15.0)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 230.0, 180.0)","(8.0, 12.5, 11.5)"
07-12-2022 17:59:28.971904,"(3.7, 4.7, 4.550000000000001)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 15.0)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 220.0, 180.0)","(8.0, 12.5, 11.5)"
07-12-2022 17:59:30.389483,"(3.7, 4.7, 4.550000000000001)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 16.0, 14.9)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 210.0, 145.0)","(8.0, 12.5, 11.095238095238095)"
07-12-2022 17:59:31.628156,"(3.7, 4.7, 4.550000000000001)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 15.5, 14.9)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 190.0, 136.0)","(8.0, 13.0, 11.095238095238095)"
07-12-2022 17:59:32.903970,"(3.7, 4.7, 4.550000000000001)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 15.5, 14.9)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 190.0, 140.0)","(8.0, 13.0, 11.095238095238095)"
07-12-2022 17:59:34.276020,"(3.7, 4.7, 4.550000000000001)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 15.5, 14.9)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 180.0, 135.0)","(8.0, 13.0, 11.095238095238095)"
07-12-2022 17:59:35.713204,"(3.7, 4.7, 4.550000000000001)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 15.5, 14.9)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 170.0, 130.0)","(8.0, 13.0, 11.095238095238095)"
07-12-2022 17:59:37.111840,"(3.7, 4.7, 4.550000000000001)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(18.0, 24.0, 21.6)","(11.0, 15.5, 14.9)","(10.0, 11.5, 10.818181818181818)","(10.0, 13.0, 11.875)","(71.0, 160.0, 130.0)","(8.0, 13.0, 11.095238095238095)"
