,Imperial Master,Perfect Design,Shrinking,Weblec Breeze,Miss Graphite,Scott Hue,Follow You,Diamond Carat
07-01-2023 09:09:49.007105,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:50.067110,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:51.108436,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:52.103248,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:53.156024,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:54.162049,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:55.213942,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:56.265265,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:57.309241,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:58.349476,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
