,Mr Oklahoma City,Legionary,Gist,Hit One Out,Country Brave,Im Crenshaw,Spirit Of Spoatie,Canonize
15-12-2022 13:45:01.133449,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.08)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 7.0, 5.866666666666666)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:02.489607,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 72.2)","(8.0, 12.0, 10.4)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 7.0, 5.866666666666666)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:03.855676,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.976470588235294)","(18.0, 95.0, 72.2)","(8.0, 12.0, 8.411111111111111)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 7.0, 5.866666666666666)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:05.153541,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.976470588235294)","(18.0, 95.0, 72.2)","(8.0, 10.0, 9.200000000000001)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 7.0, 5.866666666666666)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:06.568911,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.976470588235294)","(18.0, 95.0, 72.2)","(8.0, 9.8, 10.85)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 6.8, 5.966666666666667)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:08.006927,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.976470588235294)","(18.0, 95.0, 72.2)","(8.0, 12.0, 10.533333333333333)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.8, 5.788888888888889)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:09.281388,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.976470588235294)","(18.0, 95.0, 72.2)","(8.0, 12.0, 10.2)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.4, 5.4)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:10.541836,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.976470588235294)","(18.0, 95.0, 72.2)","(8.0, 11.5, 10.2)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.4, 5.800000000000001)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:11.744734,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.976470588235294)","(18.0, 95.0, 72.2)","(8.0, 11.5, 10.2)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.4, 5.800000000000001)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:12.978523,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 72.2)","(8.0, 11.5, 10.2)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.4, 5.800000000000001)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:14.212347,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 72.2)","(8.0, 11.5, 10.625)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.0)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:15.440401,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 72.2)","(8.0, 11.5, 10.625)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.0)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:16.713801,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 72.2)","(8.0, 11.5, 10.625)","(6.5, 8.8, 7.45)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.0)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:17.933593,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.733333333333333)","(18.0, 95.0, 59.375)","(8.0, 11.5, 10.4)","(6.5, 8.8, 8.28)","(4.2, 4.4, 4.2)","(5.0, 6.4, 5.483333333333333)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:19.118535,"(12.0, 25.0, 18.0)","(4.2, 6.2, 5.733333333333333)","(18.0, 95.0, 59.375)","(8.0, 11.5, 10.4)","(6.5, 8.6, 7.933333333333334)","(4.2, 4.4, 4.2)","(5.0, 6.4, 5.75)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:20.184441,"(12.0, 25.0, 18.0)","(4.2, 6.2, 5.84)","(18.0, 95.0, 59.375)","(8.0, 11.5, 10.4)","(6.5, 8.4, 7.933333333333334)","(4.2, 4.4, 4.2)","(5.0, 6.2, 5.75)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:21.400127,"(12.0, 25.0, 18.0)","(4.2, 6.2, 5.742857142857143)","(18.0, 95.0, 66.5)","(8.0, 11.5, 10.4)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.75)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:22.640705,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.742857142857143)","(18.0, 95.0, 66.5)","(8.0, 11.5, 10.4)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.75)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:23.848411,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.742857142857143)","(18.0, 95.0, 66.5)","(8.0, 11.5, 10.4)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.39)","(9.0, 11.0, 9.533333333333333)"
