,Set Us Free,Inordinate,Rebel Racer,Dixie Built,Hollerween,Turin,Black Banjo,Manhattan Sting,Fabiola,Hesontherun,Delightful Hustler,Anything But
10-01-2023 14:49:54.111867,"(14.0, 20.0, 19.3)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 8.4, 8.22)","(3.9, 4.5, 4.4161016949152545)","(31.0, 46.0, 44.25)","(101.0, 160.0, 153.33333333333334)","(10.0, 12.0, 11.35)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.5)","(101.0, 210.0, 191.42857142857144)"
10-01-2023 14:49:55.583438,"(14.0, 20.0, 19.5)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 8.4, 8.22)","(3.9, 4.5, 4.4161016949152545)","(31.0, 46.0, 44.25)","(101.0, 160.0, 153.33333333333334)","(10.0, 12.0, 11.35)","(14.0, 21.0, 19.333333333333332)","(21.0, 28.0, 26.5)","(101.0, 200.0, 191.42857142857144)"
10-01-2023 14:49:57.188226,"(14.0, 20.0, 19.5)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.136363636363637)","(9.0, 13.0, 12.175)","(5.0, 8.4, 8.95)","(3.9, 4.5, 4.269421487603306)","(31.0, 46.0, 44.18181818181818)","(101.0, 160.0, 150.9090909090909)","(10.0, 12.0, 11.055555555555555)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.5)","(101.0, 200.0, 191.42857142857144)"
10-01-2023 14:49:58.627645,"(14.0, 20.0, 19.5)","(3.7, 4.7, 4.505)","(8.5, 11.5, 11.136363636363637)","(9.0, 13.0, 12.34375)","(5.0, 10.0, 9.269565217391303)","(3.9, 4.3, 4.269421487603306)","(31.0, 46.0, 44.25)","(101.0, 160.0, 153.33333333333334)","(10.0, 11.5, 11.384615384615385)","(14.0, 21.0, 19.333333333333332)","(21.0, 28.0, 26.5)","(101.0, 200.0, 191.42857142857144)"
10-01-2023 14:50:00.087457,"(14.0, 20.0, 19.5)","(3.7, 4.7, 4.505)","(8.5, 11.5, 10.9)","(9.0, 13.0, 12.34375)","(5.0, 10.0, 9.269565217391303)","(3.9, 4.3, 4.269421487603306)","(31.0, 46.0, 44.25)","(101.0, 160.0, 153.33333333333334)","(10.0, 11.5, 11.384615384615385)","(14.0, 21.0, 19.333333333333332)","(21.0, 28.0, 26.153846153846153)","(101.0, 200.0, 180.0)"
10-01-2023 14:50:01.580416,"(14.0, 20.0, 19.5)","(3.7, 4.7, 4.485714285714286)","(8.5, 11.5, 10.9)","(9.0, 13.0, 11.821428571428571)","(5.0, 10.0, 9.4)","(3.9, 4.3, 4.337634408602151)","(31.0, 46.0, 44.25)","(101.0, 160.0, 153.33333333333334)","(10.0, 11.5, 11.384615384615385)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.153846153846153)","(101.0, 200.0, 180.0)"
10-01-2023 14:50:02.954336,"(14.0, 20.0, 20.285714285714285)","(3.7, 4.7, 4.473333333333334)","(8.5, 11.5, 10.9)","(9.0, 13.0, 11.821428571428571)","(5.0, 10.0, 9.700000000000001)","(3.9, 4.4, 4.337634408602151)","(31.0, 46.0, 44.25)","(101.0, 160.0, 153.33333333333334)","(10.0, 11.5, 11.15)","(14.0, 21.0, 19.5)","(21.0, 28.0, 26.153846153846153)","(101.0, 200.0, 180.0)"
10-01-2023 14:50:04.373639,"(14.0, 22.0, 20.285714285714285)","(3.7, 4.7, 4.473333333333334)","(8.5, 11.5, 10.9)","(9.0, 13.0, 11.821428571428571)","(5.0, 9.8, 9.2)","(3.9, 4.4, 4.337634408602151)","(31.0, 46.0, 44.25)","(101.0, 160.0, 144.66666666666666)","(10.0, 11.5, 11.107142857142858)","(14.0, 20.0, 19.5)","(21.0, 28.0, 26.153846153846153)","(101.0, 200.0, 180.0)"
10-01-2023 14:50:05.808163,"(14.0, 21.0, 19.928571428571427)","(3.7, 4.7, 4.454545454545455)","(8.5, 11.5, 10.833333333333334)","(9.0, 13.0, 11.666666666666666)","(5.0, 9.6, 9.028571428571428)","(3.9, 4.4, 4.342574257425743)","(31.0, 46.0, 42.18181818181818)","(101.0, 150.0, 144.66666666666666)","(10.0, 11.5, 11.214285714285714)","(14.0, 20.0, 19.5)","(21.0, 28.0, 26.0)","(101.0, 200.0, 180.0)"
10-01-2023 14:50:07.193005,"(14.0, 21.0, 19.928571428571427)","(3.7, 4.6, 4.454545454545455)","(8.5, 11.5, 10.833333333333334)","(9.0, 13.0, 11.666666666666666)","(5.0, 9.6, 9.028571428571428)","(3.9, 4.4, 4.342574257425743)","(31.0, 46.0, 42.18181818181818)","(101.0, 150.0, 144.66666666666666)","(10.0, 11.5, 11.4375)","(14.0, 20.0, 19.5)","(21.0, 28.0, 26.0)","(101.0, 200.0, 183.63636363636363)"
10-01-2023 14:50:08.539432,"(14.0, 21.0, 19.928571428571427)","(3.7, 4.6, 4.472222222222222)","(8.5, 11.5, 10.833333333333334)","(9.0, 13.0, 11.628571428571428)","(5.0, 9.6, 9.391666666666666)","(3.9, 4.4, 4.28)","(31.0, 46.0, 50.666666666666664)","(101.0, 150.0, 151.42857142857142)","(10.0, 12.0, 12.25)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.65)","(101.0, 200.0, 183.63636363636363)"
10-01-2023 14:50:09.862674,"(14.0, 21.0, 19.571428571428573)","(3.7, 4.5, 4.444444444444445)","(8.5, 11.5, 10.833333333333334)","(9.0, 13.0, 11.944444444444445)","(5.0, 9.6, 9.255172413793103)","(3.9, 4.3, 4.28)","(31.0, 55.0, 51.45454545454545)","(101.0, 160.0, 151.42857142857142)","(10.0, 13.0, 12.083333333333334)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.636363636363637)","(101.0, 200.0, 183.63636363636363)"
10-01-2023 14:50:11.260232,"(14.0, 21.0, 19.470588235294116)","(3.7, 4.5, 4.444444444444445)","(8.5, 11.5, 10.833333333333334)","(9.0, 12.5, 11.833333333333334)","(5.0, 9.6, 9.255172413793103)","(3.9, 4.3, 4.342574257425743)","(31.0, 55.0, 52.25)","(101.0, 160.0, 151.42857142857142)","(10.0, 12.5, 11.7)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.636363636363637)","(101.0, 200.0, 157.14285714285714)"
10-01-2023 14:50:12.650648,"(14.0, 21.0, 19.470588235294116)","(3.7, 4.5, 4.444444444444445)","(8.5, 11.5, 10.833333333333334)","(9.0, 12.5, 11.532258064516128)","(5.0, 9.6, 9.04)","(3.9, 4.4, 4.306451612903226)","(31.0, 55.0, 51.61538461538461)","(101.0, 160.0, 151.42857142857142)","(10.0, 12.5, 11.8)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.636363636363637)","(101.0, 200.0, 157.14285714285714)"
10-01-2023 14:50:13.989927,"(14.0, 21.0, 19.470588235294116)","(3.7, 4.5, 4.444444444444445)","(8.5, 11.5, 10.833333333333334)","(9.0, 12.5, 11.532258064516128)","(5.0, 9.6, 9.04)","(3.9, 4.4, 4.339583333333334)","(31.0, 55.0, 51.61538461538461)","(101.0, 160.0, 151.42857142857142)","(10.0, 12.0, 11.416666666666666)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.636363636363637)","(101.0, 200.0, 157.14285714285714)"
10-01-2023 14:50:15.669233,"(14.0, 21.0, 19.470588235294116)","(3.7, 4.5, 4.444444444444445)","(8.5, 11.5, 10.833333333333334)","(9.0, 12.5, 11.532258064516128)","(5.0, 9.6, 9.04)","(3.9, 4.4, 4.347272727272728)","(31.0, 55.0, 49.5)","(101.0, 160.0, 151.42857142857142)","(10.0, 12.0, 11.416666666666666)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.636363636363637)","(101.0, 200.0, 157.14285714285714)"
10-01-2023 14:50:17.102877,"(14.0, 21.0, 19.4)","(3.7, 4.5, 4.444444444444445)","(8.5, 11.5, 10.794117647058824)","(9.0, 12.5, 11.195652173913043)","(5.0, 9.6, 9.04)","(3.9, 4.4, 4.347272727272728)","(31.0, 55.0, 49.5)","(101.0, 160.0, 151.42857142857142)","(10.0, 12.0, 11.5)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.636363636363637)","(101.0, 200.0, 166.66666666666666)"
10-01-2023 14:50:18.543523,"(14.0, 21.0, 19.4)","(3.7, 4.5, 4.444444444444445)","(8.5, 11.5, 10.794117647058824)","(9.0, 12.5, 11.428571428571429)","(5.0, 9.6, 9.04)","(3.9, 4.4, 4.347272727272728)","(31.0, 55.0, 49.5)","(101.0, 160.0, 140.0)","(10.0, 12.0, 13.136363636363637)","(14.0, 20.0, 19.5)","(21.0, 28.0, 26.666666666666668)","(101.0, 200.0, 166.66666666666666)"
10-01-2023 14:50:20.240090,"(14.0, 21.0, 19.4)","(3.7, 4.5, 4.45)","(8.5, 11.5, 10.794117647058824)","(9.0, 12.0, 11.25)","(5.0, 9.6, 9.04)","(3.9, 4.4, 4.347272727272728)","(31.0, 55.0, 49.5)","(101.0, 160.0, 140.0)","(10.0, 13.5, 12.543478260869565)","(14.0, 20.0, 19.5)","(21.0, 28.0, 26.153846153846153)","(101.0, 200.0, 166.66666666666666)"
10-01-2023 14:50:21.799856,"(14.0, 21.0, 19.4)","(3.7, 4.5, 4.4375)","(8.5, 11.5, 10.928571428571429)","(9.0, 11.5, 11.378048780487806)","(5.0, 9.6, 9.116129032258064)","(3.9, 4.4, 4.384827586206897)","(31.0, 55.0, 51.4)","(101.0, 160.0, 157.0)","(10.0, 13.5, 13.166666666666666)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.764705882352942)","(101.0, 200.0, 216.66666666666669)"
10-01-2023 14:50:23.363602,"(14.0, 21.0, 19.875)","(3.7, 4.5, 4.4375)","(8.5, 11.5, 10.928571428571429)","(9.0, 11.5, 11.205882352941176)","(5.0, 9.6, 9.116129032258064)","(3.9, 4.4, 4.384827586206897)","(31.0, 55.0, 51.4)","(101.0, 160.0, 157.0)","(10.0, 13.5, 13.166666666666666)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.764705882352942)","(101.0, 230.0, 216.66666666666669)"
10-01-2023 14:50:24.721597,"(14.0, 21.0, 19.875)","(3.7, 4.5, 4.341176470588235)","(8.5, 11.5, 10.86)","(9.0, 11.5, 11.1875)","(5.0, 9.6, 9.116129032258064)","(3.9, 4.4, 4.384827586206897)","(31.0, 55.0, 51.4)","(101.0, 160.0, 157.0)","(10.0, 13.5, 13.166666666666666)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.764705882352942)","(101.0, 230.0, 216.66666666666669)"
10-01-2023 14:50:26.060811,"(14.0, 21.0, 19.875)","(3.7, 4.5, 4.230882352941176)","(8.5, 11.5, 10.86)","(9.0, 11.5, 11.1875)","(5.0, 9.6, 9.116129032258064)","(3.9, 4.4, 4.384827586206897)","(31.0, 55.0, 51.4)","(101.0, 160.0, 150.0)","(10.0, 13.5, 13.075757575757576)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.333333333333332)","(101.0, 230.0, 216.66666666666669)"
10-01-2023 14:50:27.442441,"(14.0, 21.0, 19.875)","(3.7, 4.3, 4.358620689655173)","(8.5, 11.5, 10.95)","(9.0, 11.5, 11.1875)","(5.0, 9.6, 9.116129032258064)","(3.9, 4.4, 4.406034482758621)","(31.0, 55.0, 51.4)","(101.0, 160.0, 152.0)","(10.0, 13.5, 13.075757575757576)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.333333333333332)","(101.0, 230.0, 216.66666666666669)"
10-01-2023 14:50:28.888015,"(14.0, 21.0, 20.0)","(3.7, 4.4, 4.353846153846154)","(8.5, 11.5, 10.95)","(9.0, 11.5, 11.1875)","(5.0, 9.6, 9.116129032258064)","(3.9, 4.5, 4.406034482758621)","(31.0, 55.0, 51.4)","(101.0, 160.0, 152.0)","(10.0, 13.5, 13.075757575757576)","(14.0, 20.0, 19.5)","(21.0, 28.0, 27.333333333333332)","(101.0, 230.0, 216.66666666666669)"
