,Mary Austin Nz,Plains In Heaven,Emer,Direct Command Nz,Carramar Solomona,Machane Said,Puzzle Piece
07-12-2022 18:38:27.058214,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:28.096133,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:29.006320,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:29.968551,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:30.925744,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:31.831023,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:32.802288,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:33.743400,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.4, 3.65, 3.3824324324324326)","(5.0, 7.2, 6.92)"
07-12-2022 18:38:34.724227,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.4, 3.65, 3.3824324324324326)","(5.0, 7.2, 6.92)"
07-12-2022 18:38:35.634916,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.4, 3.65, 3.3824324324324326)","(5.0, 7.2, 6.92)"
07-12-2022 18:38:36.566626,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.4, 3.65, 3.3824324324324326)","(5.0, 7.2, 6.92)"
07-12-2022 18:38:37.503317,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.4, 3.65, 3.3824324324324326)","(5.0, 7.2, 6.92)"
07-12-2022 18:38:38.429110,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.4, 3.65, 3.3824324324324326)","(5.0, 7.2, 6.92)"
07-12-2022 18:38:39.385862,"(41.0, 99999, 99990)","(21.0, 38.0, 32.285714285714285)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.6344827586206896)","(3.4, 3.5, 3.36875)","(5.0, 7.2, 6.92)"
07-12-2022 18:38:40.433114,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.352631578947369)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.366071428571429)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:41.436157,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.37741935483871)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:42.495050,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:43.506766,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:44.473833,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:45.426941,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:46.358751,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:47.414868,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:48.365482,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:49.371739,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:50.322263,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:51.288854,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:52.229852,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.3640625)","(5.0, 7.8, 7.657142857142857)"
