,Atomic Cabang,Coach Beard,Phoenix Flight,Branson Bale,Buck Hunter,Blue Tequila,Nash Bale
08-01-2023 17:50:00.975431,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:02.005132,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 29.583333333333336)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:03.025802,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 79.86666666666667)","(15.0, 40.0, 29.583333333333336)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:04.043703,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:05.178453,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:06.247813,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:07.336932,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:08.376524,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:09.431889,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:10.487951,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:11.631942,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:12.680036,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:13.737473,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:14.704927,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:15.639554,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 38.125)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:16.726332,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:17.703506,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:18.708789,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:19.770163,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:20.881710,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:21.922345,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:22.916103,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:50:23.870550,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 33.72727272727273)","(5.0, 10.5, 5.863636363636364)"
