,Euro Beat Nz,Oursouthernstar,Mister Haywood,Voodoo Lou,London Legs,Eagle Commander,Dark Terror
11-01-2023 18:22:56.137562,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:57.354662,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:58.481919,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:59.505268,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:23:00.493857,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:23:01.559903,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:23:02.656575,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:23:03.682821,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:23:04.829813,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:23:05.960848,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
