,Nicko Ed,Gucci Green,Saint Madix,Tiger Zoe,Eskimo Roger,Chloes Comet,Rebels Spark,Just Enough
05-01-2023 16:30:09.544966,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:10.710184,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:11.923177,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:13.125610,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:14.296944,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:15.443664,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:16.597905,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:17.744779,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:18.868975,"(4.4, 7.0, 5.884615384615385)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:20.011472,"(4.4, 7.0, 5.884615384615385)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:21.150381,"(4.4, 7.0, 5.884615384615385)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:22.322531,"(4.4, 7.0, 5.884615384615385)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:23.490257,"(4.4, 7.0, 5.884615384615385)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:24.641297,"(4.4, 7.0, 5.884615384615385)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:25.708445,"(4.4, 7.0, 5.884615384615385)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
