,Teragrams Star,Sonic Blue,Clown Of Class,Midnight Holly,Jax The Hunter,Just Looking,Karaoke Queen,Joni Rudderless
07-12-2022 18:41:19.033833,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:20.195372,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:21.365178,"(3.0, 4.4, 4.161764705882353)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:22.525839,"(3.0, 4.4, 4.08125)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.489230769230769)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:23.677146,"(3.0, 4.4, 4.08125)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 3.0, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:24.837174,"(3.0, 4.4, 4.08125)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:25.946041,"(3.0, 4.4, 4.08125)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:27.065772,"(3.0, 4.7, 4.092105263157895)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:28.110039,"(3.0, 4.6, 3.6)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.76)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:29.304473,"(3.0, 4.6, 3.48)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.5015384615384613)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:30.444400,"(3.0, 4.6, 4.072727272727272)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.98, 2.591111111111111)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:31.582639,"(3.0, 4.6, 3.48)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.76)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:32.641759,"(3.0, 4.6, 3.48)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.76)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:33.747893,"(3.0, 4.6, 3.416666666666667)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 3.0, 2.5015384615384613)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:34.919573,"(3.0, 4.5, 3.416666666666667)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 3.0, 2.591111111111111)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:36.039794,"(3.0, 4.5, 3.541666666666667)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:37.180450,"(3.0, 4.5, 4.043478260869565)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:38.610326,"(3.0, 4.5, 3.6666666666666665)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:39.739673,"(3.0, 4.5, 3.6666666666666665)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:40.863983,"(3.0, 4.5, 3.6666666666666665)","(17.0, 44.0, 24.26923076923077)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:42.004905,"(3.0, 4.5, 3.6666666666666665)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.98, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:43.219545,"(3.0, 4.5, 3.6666666666666665)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:44.360095,"(3.0, 4.5, 4.108695652173913)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:45.471639,"(3.0, 4.5, 4.108695652173913)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:46.627532,"(3.0, 4.5, 4.108695652173913)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.58)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:47.804915,"(3.0, 4.5, 4.108695652173913)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.98, 2.58)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:48.999805,"(3.0, 4.5, 4.108695652173913)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.98, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:50.227820,"(3.0, 4.5, 4.108695652173913)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:51.365361,"(3.0, 4.5, 4.108695652173913)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:52.503913,"(3.0, 4.5, 4.095238095238095)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:53.747034,"(3.0, 4.5, 4.095238095238095)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:54.968675,"(3.0, 4.5, 4.095238095238095)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:56.294927,"(3.0, 4.5, 4.095238095238095)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:57.636261,"(3.0, 4.5, 4.095238095238095)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.6399999999999997)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:58.866858,"(3.0, 4.5, 3.6666666666666665)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.6399999999999997)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:00.325808,"(3.0, 4.5, 3.840909090909091)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:01.466403,"(3.0, 4.5, 3.416666666666667)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.7094736842105265)","(41.0, 250.0, 61.0)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:02.607565,"(3.0, 4.5, 3.4000000000000004)","(17.0, 44.0, 19.7)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.93)","(8.0, 17.5, 16.016666666666666)","(2.15, 2.96, 2.5866666666666664)","(41.0, 250.0, 209.23076923076923)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:04.068382,"(3.0, 4.4, 3.6)","(17.0, 42.0, 25.333333333333336)","(6.0, 9.8, 9.344444444444445)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.566666666666666)","(2.15, 2.96, 2.684307692307692)","(41.0, 240.0, 209.23076923076923)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:05.399242,"(3.0, 4.4, 3.7)","(17.0, 42.0, 25.333333333333336)","(6.0, 9.8, 9.613636363636365)","(7.5, 13.5, 12.93)","(8.0, 17.5, 14.26)","(2.15, 2.96, 2.4228571428571426)","(41.0, 240.0, 209.23076923076923)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:06.579128,"(3.0, 4.4, 4.142857142857143)","(17.0, 42.0, 25.333333333333336)","(6.0, 9.8, 9.613636363636365)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.242857142857142)","(2.15, 2.92, 2.4228571428571426)","(41.0, 240.0, 209.23076923076923)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:07.841131,"(3.0, 4.4, 4.11875)","(17.0, 42.0, 25.333333333333336)","(6.0, 9.8, 9.613636363636365)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.881818181818182)","(41.0, 240.0, 209.23076923076923)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:09.149360,"(3.0, 4.4, 4.045454545454546)","(17.0, 42.0, 34.57142857142857)","(6.0, 9.8, 9.558823529411764)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.9066666666666667)","(41.0, 240.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:10.316308,"(3.0, 4.4, 4.07)","(17.0, 42.0, 37.666666666666664)","(6.0, 9.8, 8.92)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.9066666666666667)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:11.492454,"(3.0, 4.4, 4.1937500000000005)","(17.0, 38.0, 32.5)","(6.0, 11.0, 8.45)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.9066666666666667)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:12.771300,"(3.0, 4.4, 4.1937500000000005)","(17.0, 38.0, 32.5)","(6.0, 11.0, 9.842857142857143)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.895)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:14.052814,"(3.0, 4.4, 4.354166666666667)","(17.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.9068571428571426)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:15.373237,"(3.0, 4.4, 4.354166666666667)","(17.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:16.645291,"(3.0, 4.4, 4.354166666666667)","(17.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.82)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:17.957650,"(3.0, 4.4, 4.354166666666667)","(17.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.848)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:19.247620,"(3.0, 4.5, 4.066666666666666)","(17.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.5, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.15, 2.92, 2.86)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:20.543970,"(3.0, 4.5, 3.9923076923076923)","(16.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.1, 2.92, 2.86)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:22.105146,"(3.0, 4.5, 4.014285714285714)","(16.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.1, 2.92, 2.86)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:23.567129,"(3.0, 4.5, 4.007894736842106)","(16.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 14.42)","(2.1, 2.92, 2.8933333333333335)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:24.911767,"(3.0, 4.5, 4.007894736842106)","(16.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 14.42)","(2.1, 2.92, 2.8933333333333335)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:26.243900,"(3.0, 4.5, 4.007894736842106)","(16.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 14.42)","(2.1, 2.92, 2.874285714285714)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:27.645407,"(3.0, 4.5, 4.007894736842106)","(16.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 15.78888888888889)","(2.1, 2.92, 2.9)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:29.001751,"(3.0, 4.5, 4.126)","(16.0, 38.0, 32.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 14.42)","(2.1, 2.92, 2.8933333333333335)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:30.362489,"(3.0, 4.5, 4.075)","(16.0, 36.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 14.42)","(2.1, 2.92, 2.8933333333333335)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:31.697775,"(3.0, 4.5, 4.075)","(16.0, 36.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 14.42)","(2.1, 2.92, 2.8933333333333335)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:33.039315,"(3.0, 4.5, 4.075)","(16.0, 36.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 12.93)","(8.0, 17.5, 14.42)","(2.1, 2.92, 2.8933333333333335)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:34.355140,"(3.0, 4.5, 4.075)","(16.0, 36.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.5, 11.125)","(8.0, 17.5, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:35.681682,"(3.0, 4.5, 4.257142857142857)","(16.0, 34.0, 29.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 11.125)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:37.049211,"(3.0, 4.5, 4.263888888888889)","(16.0, 34.0, 29.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 11.125)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:38.282608,"(3.0, 4.5, 4.263888888888889)","(16.0, 34.0, 29.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 290.0, 234.61538461538464)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:39.563513,"(3.0, 4.5, 4.263888888888889)","(16.0, 34.0, 29.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 270.0, 234.61538461538464)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:40.828545,"(3.0, 4.5, 4.263888888888889)","(16.0, 34.0, 29.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 270.0, 234.61538461538464)","(101.0, 730.0, 405.0)"
07-12-2022 18:42:42.155408,"(3.0, 4.5, 4.263888888888889)","(16.0, 34.0, 29.5)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 270.0, 234.61538461538464)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:43.590865,"(3.0, 4.5, 4.263888888888889)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 270.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:44.954717,"(3.0, 4.5, 4.263888888888889)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:46.317983,"(3.0, 4.5, 4.263888888888889)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 12.028571428571428)","(2.1, 2.92, 2.76)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:47.654343,"(3.0, 4.5, 4.263888888888889)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 13.09)","(2.1, 2.92, 2.8666666666666667)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:49.039344,"(3.0, 4.4, 4.033333333333333)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.5, 13.475)","(2.1, 2.92, 2.76)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:50.349697,"(3.0, 4.2, 4.066666666666666)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.0, 12.95)","(2.1, 2.92, 2.76)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:51.596506,"(3.0, 4.2, 4.04)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.0, 13.475)","(2.1, 2.92, 2.8666666666666667)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:52.900172,"(3.0, 4.3, 4.1)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.0, 13.475)","(2.1, 2.92, 2.8666666666666667)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:54.206891,"(3.0, 4.2, 3.92)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.0, 13.325)","(2.1, 2.92, 2.9042105263157896)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:55.587335,"(3.0, 4.2, 3.875)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.5, 11.9)","(2.1, 2.92, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:56.905012,"(3.0, 4.3, 3.882142857142857)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.0, 12.575)","(2.1, 2.94, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:58.149522,"(3.0, 4.3, 3.882142857142857)","(16.0, 40.0, 28.0)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 13.5, 12.575)","(2.1, 2.94, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:42:59.405907,"(3.0, 4.3, 3.9)","(16.0, 36.0, 26.8)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 13.5, 12.575)","(2.1, 2.94, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:43:00.828726,"(3.0, 4.3, 3.9)","(16.0, 34.0, 26.8)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 13.5, 11.533333333333333)","(2.1, 2.94, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:43:02.291995,"(3.0, 4.3, 3.9)","(16.0, 34.0, 26.8)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 15.0, 11.366666666666667)","(2.1, 2.94, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:43:03.753758,"(3.0, 4.3, 3.9)","(16.0, 34.0, 26.8)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.5, 11.366666666666667)","(2.1, 2.94, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:43:05.186996,"(3.0, 4.3, 3.9)","(16.0, 34.0, 26.8)","(6.0, 10.5, 9.842857142857143)","(7.0, 13.0, 10.0)","(8.0, 14.5, 11.366666666666667)","(2.1, 2.94, 2.908)","(41.0, 290.0, 251.53846153846152)","(101.0, 730.0, 621.6666666666666)"
