,Kooringa Magic,Dragon Smoke,Our Mate Ewan,Bit Of Mischief,Ripple Lane,Annika Mac,Rosdue Kodiak
34,"[datetime.datetime(2022, 11, 28, 11, 59, 3, 522354), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 3, 522354), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 3, 522354), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 3, 522354), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 3, 522354), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 3, 522354), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 3, 522354), 9.0, 22.0]"
35,"[datetime.datetime(2022, 11, 28, 11, 59, 4, 634813), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 4, 634813), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 4, 634813), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 4, 634813), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 4, 634813), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 4, 634813), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 4, 634813), 9.0, 22.0]"
36,"[datetime.datetime(2022, 11, 28, 11, 59, 5, 750775), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 5, 750775), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 5, 750775), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 5, 750775), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 5, 750775), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 5, 750775), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 5, 750775), 9.0, 22.0]"
37,"[datetime.datetime(2022, 11, 28, 11, 59, 6, 889306), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 6, 889306), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 6, 889306), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 6, 889306), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 6, 889306), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 6, 889306), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 6, 889306), 9.0, 22.0]"
38,"[datetime.datetime(2022, 11, 28, 11, 59, 8, 8603), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 8, 8603), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 8, 8603), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 8, 8603), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 8, 8603), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 8, 8603), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 8, 8603), 9.0, 22.0]"
39,"[datetime.datetime(2022, 11, 28, 11, 59, 9, 125896), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 9, 125896), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 9, 125896), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 9, 125896), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 9, 125896), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 9, 125896), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 9, 125896), 9.0, 22.0]"
40,"[datetime.datetime(2022, 11, 28, 11, 59, 10, 234937), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 10, 234937), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 10, 234937), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 10, 234937), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 10, 234937), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 10, 234937), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 10, 234937), 9.0, 22.0]"
41,"[datetime.datetime(2022, 11, 28, 11, 59, 11, 348861), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 11, 348861), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 11, 348861), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 11, 348861), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 11, 348861), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 11, 348861), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 11, 348861), 9.0, 22.0]"
42,"[datetime.datetime(2022, 11, 28, 11, 59, 12, 467933), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 12, 467933), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 12, 467933), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 12, 467933), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 12, 467933), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 12, 467933), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 12, 467933), 9.0, 22.0]"
43,"[datetime.datetime(2022, 11, 28, 11, 59, 13, 586540), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 13, 586540), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 13, 586540), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 13, 586540), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 13, 586540), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 13, 586540), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 13, 586540), 9.0, 22.0]"
