,Joint Forces,Mango Tango Wine,Mr Tangles,Sea Stitch,Falvelon Delight,Mrs Gloop,Paparazzi Rocket,Stars And Shadows,Talk Crazy,Cosmic Starlet,Miss Starlette
07-01-2023 13:34:42.269512,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.2, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:43.705334,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.45)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.590909090909092)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:45.186355,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 5.966666666666667)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:46.735546,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.2, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:48.253024,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:49.681096,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:51.057864,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:52.422950,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 4.9941176470588236)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 50.0)"
07-01-2023 13:34:53.926183,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 4.9941176470588236)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:34:55.419600,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 4.9941176470588236)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
