,Me And You,Sunburst,Just Like Mick,Symi Fortuna,Sorority
08-01-2023 19:09:32.861905,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:33.775089,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:34.636234,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:35.586203,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:36.476004,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:37.387693,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:38.362294,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:39.269393,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:40.163519,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.924)","(3.8, 4.5, 3.8600000000000003)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:41.049243,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.924)","(3.8, 4.5, 3.8600000000000003)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
