,All Lit Up,My Brockie,Flying Tiny Tim,Yeah Duggi,Genuine Risk,Adele Amour,Elite Choice,Astral Star
30,"[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 51, 242481), 16.0, 42.0]"
31,"[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 52, 432818), 16.0, 38.0]"
32,"[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 53, 562849), 16.0, 38.0]"
33,"[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 54, 708279), 16.0, 38.0]"
34,"[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 55, 867514), 16.0, 38.0]"
35,"[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 57, 19270), 16.0, 38.0]"
36,"[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 58, 151708), 16.0, 38.0]"
37,"[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 59, 300470), 16.0, 38.0]"
38,"[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 24, 0, 438749), 16.0, 38.0]"
39,"[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 24, 1, 567366), 16.0, 38.0]"
