,Princess Damiro,Powered Up,Farmor Frisky,Skylark Bully,Shian Kelly
10-01-2023 14:27:07.403067,"(2.6, 3.9, 3.68125)","(1.9, 1.9, 1.8320388349514565)","(4.2, 8.4, 6.857142857142858)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:08.377073,"(2.6, 3.9, 3.68125)","(1.9, 1.9, 1.8320388349514565)","(4.2, 8.4, 7.5)","(101.0, 730.0, 588.6666666666667)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:09.449242,"(2.6, 3.9, 3.68125)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 7.533333333333333)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:10.549896,"(2.6, 3.9, 3.68125)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 7.533333333333333)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:11.678484,"(2.6, 3.9, 3.68125)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 7.533333333333333)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:12.742506,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 7.085714285714285)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:13.734608,"(2.6, 3.8, 3.6088235294117643)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.8, 7.142857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:14.763979,"(2.6, 3.8, 3.6088235294117643)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.8, 8.177777777777777)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:15.744735,"(2.6, 3.8, 3.6088235294117643)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.8, 7.854545454545455)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:16.719716,"(2.6, 3.8, 3.6088235294117643)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.8, 7.933333333333334)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:17.717571,"(2.6, 3.8, 3.6088235294117643)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.8, 8.0)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:18.688827,"(2.6, 3.8, 3.6088235294117643)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.8, 8.0)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:19.554655,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.8, 8.0)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:20.596390,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.831029411764706)","(4.2, 9.0, 8.48)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:21.550034,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.831029411764706)","(4.2, 9.0, 8.48)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:22.527853,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.831029411764706)","(4.2, 9.0, 8.48)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:23.562654,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.345454545454546)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:24.597815,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.345454545454546)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:25.515700,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.345454545454546)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:26.540790,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.345454545454546)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:27.521165,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.345454545454546)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:28.403835,"(2.6, 3.8, 3.2583333333333333)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.45)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:29.289810,"(2.6, 3.8, 3.2583333333333333)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.67)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:30.280810,"(2.6, 3.8, 3.2583333333333333)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:31.266723,"(2.6, 3.8, 3.2583333333333333)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
