,Jayville Mac,Typhoon Missile,Orford Bale,Alvarez Bale,Groomsman,Son Of Brock,Was A Soldier,Chasing Boyd
04-01-2023 13:12:34.235681,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:35.364438,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:36.397767,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:37.435928,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:38.506515,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:39.690411,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:40.749785,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:41.804943,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:42.833847,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:43.937196,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
