,Bourne Nancy,Remember Lee,Air Grace,Dolly Quokka,Glengyre Fury
10-01-2023 11:59:43.635009,"(10.0, 15.5, 15.294117647058824)","(2.05, 2.34, 2.333417721518987)","(5.0, 6.6, 6.3718309859154925)","(2.7, 3.15, 3.1013888888888888)","(26.0, 40.0, 39.28)"
10-01-2023 11:59:44.611150,"(10.0, 15.5, 15.294117647058824)","(2.05, 2.36, 2.3536612021857923)","(5.0, 6.4, 6.3768115942028984)","(2.7, 3.15, 3.143913043478261)","(26.0, 40.0, 39.25)"
10-01-2023 11:59:45.510444,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.36, 2.3536263736263736)","(5.0, 6.4, 6.341333333333334)","(2.7, 3.15, 3.1243421052631577)","(26.0, 40.0, 39.4375)"
10-01-2023 11:59:46.398406,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.36, 2.3472)","(5.0, 6.4, 6.341333333333334)","(2.7, 3.15, 3.1243421052631577)","(26.0, 40.0, 39.4375)"
10-01-2023 11:59:47.252188,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.36, 2.348)","(5.0, 6.4, 6.341333333333334)","(2.7, 3.15, 3.1243421052631577)","(26.0, 40.0, 39.4375)"
10-01-2023 11:59:48.088608,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.3382978723404255)","(5.0, 6.4, 6.328395061728395)","(2.7, 3.15, 3.1259259259259258)","(26.0, 40.0, 39.4)"
10-01-2023 11:59:48.954621,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.3384172661870504)","(5.0, 6.4, 6.337078651685394)","(2.7, 3.15, 3.1193181818181817)","(26.0, 38.0, 37.785714285714285)"
10-01-2023 11:59:49.836269,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.3383582089552237)","(5.0, 6.4, 6.301369863013699)","(2.7, 3.15, 3.119767441860465)","(26.0, 38.0, 37.785714285714285)"
10-01-2023 11:59:50.725915,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.334078947368421)","(5.0, 6.4, 6.323287671232877)","(2.7, 3.2, 3.14)","(26.0, 38.0, 37.58620689655172)"
10-01-2023 11:59:51.633140,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.3341721854304636)","(5.0, 6.4, 6.323287671232877)","(2.7, 3.2, 3.14)","(26.0, 38.0, 37.58620689655172)"
10-01-2023 11:59:52.538872,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.3348538011695905)","(5.0, 6.4, 6.323287671232877)","(2.7, 3.2, 3.14)","(26.0, 38.0, 37.58620689655172)"
10-01-2023 11:59:53.365747,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.334941176470588)","(5.0, 6.4, 6.351428571428571)","(2.7, 3.2, 3.13265306122449)","(26.0, 38.0, 37.58620689655172)"
10-01-2023 11:59:54.267837,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.34, 2.3341666666666665)","(5.0, 6.4, 6.351428571428571)","(2.7, 3.2, 3.1437500000000003)","(26.0, 38.0, 37.58620689655172)"
10-01-2023 11:59:55.246271,"(10.0, 15.5, 15.075)","(2.05, 2.38, 2.370958904109589)","(5.0, 6.4, 6.304347826086957)","(2.7, 3.15, 3.1176056338028166)","(26.0, 38.0, 37.58620689655172)"
10-01-2023 11:59:56.105636,"(10.0, 15.5, 15.075)","(2.05, 2.38, 2.3538666666666663)","(5.0, 6.4, 6.304347826086957)","(2.7, 3.15, 3.1176056338028166)","(26.0, 38.0, 37.57142857142857)"
10-01-2023 11:59:57.004093,"(10.0, 15.5, 14.925531914893616)","(2.05, 2.38, 2.353774834437086)","(5.0, 6.4, 6.36)","(2.7, 3.15, 3.1148854961832058)","(26.0, 38.0, 37.57142857142857)"
10-01-2023 11:59:57.868153,"(10.0, 15.5, 14.925531914893616)","(2.05, 2.38, 2.353959731543624)","(5.0, 6.6, 6.432478632478633)","(2.7, 3.15, 3.1148854961832058)","(26.0, 38.0, 37.83783783783784)"
10-01-2023 11:59:58.708533,"(10.0, 15.0, 14.788461538461538)","(2.05, 2.34, 2.3375)","(5.0, 6.4, 6.341666666666667)","(2.7, 3.15, 3.118707482993197)","(26.0, 38.0, 37.83783783783784)"
10-01-2023 11:59:59.627625,"(10.0, 15.0, 14.78)","(2.05, 2.36, 2.342285714285714)","(5.0, 6.4, 6.341666666666667)","(2.7, 3.15, 3.1089285714285717)","(26.0, 38.0, 37.87234042553192)"
10-01-2023 12:00:00.544022,"(10.0, 15.0, 14.741379310344827)","(2.05, 2.34, 2.3398214285714283)","(5.0, 6.4, 6.347826086956522)","(2.7, 3.15, 3.107843137254902)","(26.0, 38.0, 37.869565217391305)"
10-01-2023 12:00:01.417574,"(10.0, 15.0, 14.722222222222221)","(2.05, 2.34, 2.339807692307692)","(5.0, 6.4, 6.341463414634147)","(2.7, 3.15, 3.117910447761194)","(26.0, 38.0, 36.666666666666664)"
10-01-2023 12:00:02.240341,"(10.0, 15.0, 14.711538461538462)","(2.05, 2.34, 2.331698113207547)","(5.0, 6.4, 6.341463414634147)","(2.7, 3.15, 3.1244897959183673)","(26.0, 38.0, 36.666666666666664)"
10-01-2023 12:00:03.098166,"(10.0, 15.0, 14.703703703703704)","(2.05, 2.32, 2.310454545454545)","(5.0, 6.6, 6.430088495575221)","(2.7, 3.15, 3.1324324324324326)","(26.0, 38.0, 36.666666666666664)"
10-01-2023 12:00:03.939667,"(10.0, 15.0, 14.703703703703704)","(2.05, 2.32, 2.304444444444444)","(5.0, 6.6, 6.463157894736843)","(2.7, 3.15, 3.1324324324324326)","(26.0, 38.0, 36.666666666666664)"
10-01-2023 12:00:04.818744,"(10.0, 15.0, 14.703703703703704)","(2.05, 2.32, 2.308732394366197)","(5.0, 6.6, 6.494339622641509)","(2.7, 3.15, 3.1324324324324326)","(26.0, 38.0, 36.666666666666664)"
10-01-2023 12:00:05.698859,"(10.0, 15.0, 14.714285714285714)","(2.05, 2.32, 2.316610169491525)","(5.0, 6.6, 6.44695652173913)","(2.7, 3.15, 3.126923076923077)","(26.0, 38.0, 37.714285714285715)"
10-01-2023 12:00:06.612690,"(10.0, 15.0, 14.361702127659575)","(2.05, 2.32, 2.316875)","(5.0, 6.6, 6.402666666666667)","(2.7, 3.15, 3.1533333333333333)","(26.0, 38.0, 37.714285714285715)"
10-01-2023 12:00:07.466238,"(10.0, 14.5, 14.211538461538462)","(2.05, 2.32, 2.3167741935483868)","(5.0, 6.4, 6.394520547945206)","(2.7, 3.2, 3.1533333333333333)","(26.0, 38.0, 37.05882352941177)"
10-01-2023 12:00:08.383412,"(10.0, 14.5, 14.173913043478262)","(2.05, 2.32, 2.3167741935483868)","(5.0, 6.4, 6.391803278688525)","(2.7, 3.2, 3.152808988764045)","(26.0, 40.0, 38.8)"
10-01-2023 12:00:09.296875,"(10.0, 14.5, 14.173913043478262)","(2.05, 2.34, 2.317627118644068)","(5.0, 6.4, 6.391803278688525)","(2.7, 3.2, 3.1454545454545455)","(26.0, 40.0, 38.8)"
10-01-2023 12:00:10.155710,"(10.0, 14.5, 14.173913043478262)","(2.05, 2.34, 2.322608695652174)","(5.0, 6.6, 6.437037037037037)","(2.7, 3.2, 3.1454545454545455)","(26.0, 40.0, 37.2)"
10-01-2023 12:00:11.081479,"(10.0, 14.0, 13.7)","(2.05, 2.42, 2.4096969696969697)","(5.0, 6.4, 6.370992366412214)","(2.7, 3.1, 3.0868055555555554)","(26.0, 40.0, 37.714285714285715)"
10-01-2023 12:00:11.942545,"(10.0, 14.0, 13.65)","(2.05, 2.42, 2.4140425531914893)","(5.0, 6.4, 6.33986013986014)","(2.7, 3.1, 3.0859259259259257)","(26.0, 38.0, 37.714285714285715)"
10-01-2023 12:00:12.766422,"(10.0, 14.0, 13.65)","(2.05, 2.42, 2.413913043478261)","(5.0, 6.4, 6.33986013986014)","(2.7, 3.1, 3.0859259259259257)","(26.0, 38.0, 37.714285714285715)"
10-01-2023 12:00:13.672414,"(10.0, 14.5, 13.61111111111111)","(2.05, 2.44, 2.421132075471698)","(5.0, 6.4, 6.339007092198582)","(2.7, 3.1, 3.089495798319328)","(26.0, 38.0, 37.69230769230769)"
10-01-2023 12:00:14.615548,"(10.0, 14.0, 13.863636363636363)","(2.05, 2.42, 2.4130232558139535)","(5.0, 6.4, 6.352222222222222)","(2.7, 3.1, 3.1252)","(26.0, 38.0, 37.69230769230769)"
10-01-2023 12:00:15.498966,"(10.0, 14.0, 13.727272727272727)","(2.05, 2.42, 2.4130232558139535)","(5.0, 6.4, 6.350574712643678)","(2.7, 3.15, 3.1484496124031005)","(26.0, 38.0, 37.69230769230769)"
10-01-2023 12:00:16.339010,"(10.0, 14.0, 13.296296296296296)","(2.05, 2.44, 2.4257142857142857)","(5.0, 6.4, 6.350574712643678)","(2.7, 3.1, 3.0992248062015504)","(26.0, 38.0, 37.69230769230769)"
10-01-2023 12:00:17.199361,"(10.0, 14.0, 13.296296296296296)","(2.05, 2.44, 2.4257142857142857)","(5.0, 6.4, 6.347560975609756)","(2.7, 3.1, 3.0990740740740743)","(26.0, 38.0, 37.69230769230769)"
10-01-2023 12:00:18.045325,"(10.0, 14.0, 13.05)","(2.05, 2.44, 2.4257142857142857)","(5.0, 6.4, 6.347560975609756)","(2.7, 3.1, 3.0990740740740743)","(26.0, 38.0, 37.69230769230769)"
10-01-2023 12:00:18.915693,"(10.0, 14.0, 13.05)","(2.05, 2.44, 2.4257142857142857)","(5.0, 6.4, 6.347560975609756)","(2.7, 3.1, 3.0886861313868614)","(26.0, 38.0, 37.81818181818182)"
10-01-2023 12:00:19.747250,"(10.0, 14.0, 13.05)","(2.05, 2.44, 2.4257142857142857)","(5.0, 6.4, 6.345911949685535)","(2.7, 3.15, 3.1273722627737226)","(26.0, 38.0, 37.81818181818182)"
10-01-2023 12:00:20.632441,"(10.0, 14.0, 13.05)","(2.05, 2.42, 2.405)","(5.0, 6.4, 6.345911949685535)","(2.7, 3.15, 3.1273722627737226)","(26.0, 38.0, 35.55555555555556)"
10-01-2023 12:00:21.508411,"(10.0, 14.0, 13.05)","(2.05, 2.42, 2.4028571428571426)","(5.0, 6.4, 6.345911949685535)","(2.7, 3.15, 3.119)","(26.0, 38.0, 37.81818181818182)"
10-01-2023 12:00:22.386510,"(10.0, 14.0, 13.05)","(2.05, 2.42, 2.4023529411764706)","(5.0, 6.4, 6.369343065693431)","(2.7, 3.15, 3.119)","(26.0, 36.0, 35.878787878787875)"
10-01-2023 12:00:23.348226,"(10.0, 14.0, 13.173913043478262)","(2.05, 2.42, 2.4023529411764706)","(5.0, 6.4, 6.369343065693431)","(2.7, 3.15, 3.1143678160919537)","(26.0, 36.0, 35.878787878787875)"
10-01-2023 12:00:24.243817,"(10.0, 14.0, 13.173913043478262)","(2.05, 2.42, 2.3953846153846152)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.15, 3.1143678160919537)","(26.0, 36.0, 34.41509433962264)"
10-01-2023 12:00:25.125165,"(10.0, 14.0, 13.173913043478262)","(2.05, 2.44, 2.421578947368421)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.15, 3.1143678160919537)","(26.0, 36.0, 34.41509433962264)"
10-01-2023 12:00:26.006163,"(10.0, 14.0, 13.173913043478262)","(2.05, 2.44, 2.421578947368421)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.15, 3.1147727272727272)","(26.0, 36.0, 34.41509433962264)"
10-01-2023 12:00:26.828756,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.44, 2.421578947368421)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.15, 3.1147727272727272)","(26.0, 36.0, 34.41509433962264)"
10-01-2023 12:00:27.673719,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.44, 2.421578947368421)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.15, 3.1147727272727272)","(26.0, 36.0, 34.46153846153846)"
10-01-2023 12:00:28.641069,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.46, 2.4463333333333335)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.1, 3.0683098591549296)","(26.0, 36.0, 33.743589743589745)"
10-01-2023 12:00:29.588841,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.46, 2.4463333333333335)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.1, 3.0683098591549296)","(26.0, 34.0, 33.73684210526316)"
10-01-2023 12:00:30.523420,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.46, 2.4463333333333335)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.1, 3.0683098591549296)","(26.0, 34.0, 33.73684210526316)"
10-01-2023 12:00:31.383512,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.46, 2.438867924528302)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.1, 3.0683098591549296)","(26.0, 34.0, 33.73684210526316)"
10-01-2023 12:00:32.211085,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.46, 2.428888888888889)","(5.0, 6.4, 6.368888888888889)","(2.7, 3.1, 3.0683098591549296)","(26.0, 34.0, 33.833333333333336)"
10-01-2023 12:00:33.131945,"(10.0, 14.0, 13.321428571428571)","(2.1, 2.46, 2.428888888888889)","(5.0, 6.4, 6.315686274509805)","(2.7, 3.1, 3.074431818181818)","(26.0, 34.0, 33.833333333333336)"
10-01-2023 12:00:34.070031,"(10.0, 14.0, 13.321428571428571)","(2.1, 2.46, 2.428888888888889)","(5.0, 6.4, 6.311320754716982)","(2.7, 3.1, 3.0735294117647056)","(26.0, 34.0, 33.833333333333336)"
10-01-2023 12:00:34.946439,"(10.0, 14.0, 13.321428571428571)","(2.1, 2.46, 2.428888888888889)","(5.0, 6.4, 6.311320754716982)","(2.7, 3.1, 3.0735294117647056)","(26.0, 34.0, 33.833333333333336)"
10-01-2023 12:00:35.845783,"(10.0, 14.0, 13.321428571428571)","(2.1, 2.46, 2.4295999999999998)","(5.0, 6.4, 6.313846153846154)","(2.7, 3.1, 3.05)","(26.0, 34.0, 33.82857142857143)"
10-01-2023 12:00:36.726657,"(10.0, 14.0, 13.321428571428571)","(2.1, 2.46, 2.4452631578947366)","(5.0, 6.4, 6.322314049586777)","(2.7, 3.05, 3.0349999999999997)","(26.0, 34.0, 33.82857142857143)"
10-01-2023 12:00:37.593089,"(10.0, 14.0, 13.045454545454545)","(2.1, 2.56, 2.5485714285714285)","(5.0, 6.2, 6.152941176470589)","(2.7, 3.05, 2.994285714285714)","(26.0, 34.0, 35.76470588235294)"
10-01-2023 12:00:38.567926,"(10.0, 14.0, 13.017241379310345)","(2.1, 2.58, 2.5568)","(5.0, 6.0, 5.958333333333334)","(2.7, 3.05, 2.9901449275362317)","(26.0, 36.0, 35.77142857142857)"
10-01-2023 12:00:39.584005,"(10.0, 14.0, 13.173913043478262)","(2.1, 2.58, 2.5748148148148147)","(5.0, 6.0, 5.9523809523809526)","(2.7, 3.05, 2.998421052631579)","(26.0, 36.0, 41.0)"
10-01-2023 12:00:40.499218,"(10.0, 14.0, 12.8125)","(2.1, 2.58, 2.5796919127086007)","(5.0, 6.0, 5.998993288590604)","(2.7, 3.05, 2.998421052631579)","(26.0, 44.0, 9705.85294117647)"
10-01-2023 12:00:41.358637,"(10.0, 99998, 9998.5)","(2.1, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.7, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:42.263930,"(10.0, 99998, 9998.5)","(2.1, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.7, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:43.184382,"(10.0, 99998, 9998.5)","(2.1, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.7, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:44.079972,"(10.0, 99998, 9998.5)","(2.1, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.7, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:44.993276,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:45.889650,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:46.775838,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:47.767862,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:48.713082,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:49.534549,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:50.439920,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:51.298393,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:52.155425,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
10-01-2023 12:00:52.999586,"(10.0, 99998, 9998.5)","(2.15, 99998, 9998.5)","(5.0, 99998, 9998.5)","(2.6, 99998, 9998.5)","(26.0, 99998, 9998.5)"
