,The Art Of Flying,Elite Icon,Kalashani Lad,Kaliuwaa Falls,Joltin Joe,In Due Time,Rockcliff,Jezoulenko
11-01-2023 18:18:15.558850,"(3.8, 4.4, 4.323109243697479)","(3.6, 4.2, 4.155276381909548)","(7.0, 9.6, 9.415384615384616)","(9.0, 12.5, 12.130252100840336)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083908045977012)","(31.0, 60.0, 63.39285714285714)","(7.0, 10.0, 9.912605042016807)"
11-01-2023 18:18:16.713122,"(3.8, 4.4, 4.323404255319149)","(3.6, 4.1, 4.093072289156626)","(7.0, 9.6, 9.415384615384616)","(9.0, 12.5, 12.130252100840336)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.089010989010989)","(31.0, 65.0, 60.41666666666667)","(7.0, 10.0, 9.912605042016807)"
11-01-2023 18:18:17.929493,"(3.8, 4.4, 4.325345622119816)","(3.6, 4.1, 4.092994923857868)","(7.0, 9.6, 9.415384615384616)","(9.0, 12.5, 12.37410071942446)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.089010989010989)","(31.0, 65.0, 60.41666666666667)","(7.0, 10.0, 9.912605042016807)"
11-01-2023 18:18:19.134429,"(3.8, 4.4, 4.325)","(3.6, 4.1, 4.092425905598243)","(7.0, 9.6, 9.415384615384616)","(9.0, 13.0, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.087757313109426)","(31.0, 65.0, 60.41666666666667)","(7.0, 10.0, 9.912605042016807)"
11-01-2023 18:18:20.268500,"(3.8, 4.4, 4.33235294117647)","(3.6, 4.1, 4.092425905598243)","(7.0, 9.6, 9.415384615384616)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.0846325167037865)","(31.0, 65.0, 60.41666666666667)","(7.0, 10.0, 9.912605042016807)"
11-01-2023 18:18:21.430050,"(3.8, 4.4, 4.339473684210526)","(3.6, 4.1, 4.09198606271777)","(7.0, 9.6, 9.415384615384616)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082406356413167)","(31.0, 65.0, 60.41666666666667)","(7.0, 10.0, 9.912605042016807)"
11-01-2023 18:18:22.748991,"(3.8, 4.4, 4.33235294117647)","(3.6, 4.2, 4.141808415398389)","(7.0, 9.6, 9.368181818181819)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.069356872635561)","(31.0, 65.0, 60.41666666666667)","(7.0, 10.0, 9.912605042016807)"
11-01-2023 18:18:23.866385,"(3.8, 4.5, 4.417358490566038)","(3.6, 4.1, 4.0918793503480275)","(7.0, 9.4, 9.321311475409836)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.074727932285369)","(31.0, 65.0, 60.41666666666667)","(7.0, 10.0, 9.91875)"
11-01-2023 18:18:24.986636,"(3.8, 4.4, 4.374522292993631)","(3.6, 4.2, 4.141292639138241)","(7.0, 9.6, 9.442622950819672)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 60.714285714285715)","(7.0, 10.0, 9.91875)"
11-01-2023 18:18:26.184436,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.2, 4.139539007092199)","(7.0, 9.6, 9.442622950819672)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 60.714285714285715)","(7.0, 10.0, 9.91875)"
11-01-2023 18:18:27.526925,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.087834821428571)","(7.0, 9.6, 9.442622950819672)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 60.714285714285715)","(7.0, 10.0, 9.91875)"
11-01-2023 18:18:28.762900,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.087834821428571)","(7.0, 9.6, 9.442622950819672)","(9.0, 12.5, 12.38888888888889)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 60.714285714285715)","(7.0, 10.0, 9.91875)"
11-01-2023 18:18:30.014608,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.082362459546926)","(7.0, 9.6, 9.437288135593219)","(9.0, 12.5, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 60.714285714285715)","(7.0, 10.0, 9.951724137931034)"
11-01-2023 18:18:31.349905,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.084361549497848)","(7.0, 9.6, 9.437288135593219)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.951724137931034)"
11-01-2023 18:18:32.605824,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.084361549497848)","(7.0, 9.6, 9.31764705882353)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.95483870967742)"
11-01-2023 18:18:33.850221,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.084361549497848)","(7.0, 9.4, 9.31764705882353)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.082730923694779)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.95483870967742)"
11-01-2023 18:18:35.080133,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.084361549497848)","(7.0, 9.4, 9.31764705882353)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.95483870967742)"
11-01-2023 18:18:36.226764,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.083779761904761)","(7.0, 9.4, 9.31764705882353)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:37.401972,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.083658170914543)","(7.0, 9.4, 9.31764705882353)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:38.558326,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.083658170914543)","(7.0, 9.4, 9.540740740740741)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:39.754331,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.083658170914543)","(7.0, 9.6, 9.540740740740741)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:41.101389,"(3.8, 4.4, 4.382300884955752)","(3.6, 4.1, 4.083658170914543)","(7.0, 9.6, 9.540740740740741)","(9.0, 13.0, 12.360294117647058)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:42.449190,"(3.8, 4.4, 4.3685950413223145)","(3.6, 4.1, 4.083658170914543)","(7.0, 9.6, 9.526666666666667)","(9.0, 13.0, 12.382978723404255)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 61.36363636363636)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:43.690831,"(3.8, 4.4, 4.3685950413223145)","(3.6, 4.1, 4.083658170914543)","(7.0, 9.6, 9.516326530612245)","(9.0, 13.0, 12.254901960784313)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.083064516129032)","(31.0, 65.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:44.821390,"(3.8, 4.4, 4.3685950413223145)","(3.6, 4.1, 4.083658170914543)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.209302325581396)","(12.0, 19.0, 18.772727272727273)","(5.5, 6.2, 6.085676741130092)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:45.928108,"(3.8, 4.4, 4.3685950413223145)","(3.6, 4.1, 4.0613186813186815)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.772727272727273)","(5.5, 6.2, 6.085676741130092)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:47.127646,"(3.8, 4.4, 4.386619718309859)","(3.6, 4.1, 4.0613186813186815)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.772727272727273)","(5.5, 6.2, 6.085676741130092)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:48.089340,"(3.8, 4.4, 4.386619718309859)","(3.6, 4.1, 4.0613186813186815)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.772727272727273)","(5.5, 6.2, 6.085676741130092)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:49.067416,"(3.8, 4.4, 4.386619718309859)","(3.6, 4.1, 4.0611049723756905)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.090429958391123)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:50.121532,"(3.8, 4.4, 4.386619718309859)","(3.6, 4.1, 4.0611049723756905)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.0922237380627555)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:51.618652,"(3.8, 4.4, 4.386619718309859)","(3.6, 4.1, 4.064078794901506)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.0922237380627555)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:53.044340,"(3.8, 4.4, 4.44178674351585)","(3.6, 4.1, 4.064078794901506)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.0922237380627555)","(31.0, 60.0, 57.14285714285714)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:54.235231,"(3.8, 4.5, 4.44178674351585)","(3.6, 4.1, 4.064078794901506)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.090429958391123)","(31.0, 60.0, 57.674418604651166)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:55.477026,"(3.8, 4.5, 4.440571428571428)","(3.6, 4.1, 4.064078794901506)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.7)","(5.5, 6.2, 6.09732770745429)","(31.0, 60.0, 57.674418604651166)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:56.584730,"(3.8, 4.5, 4.4584)","(3.6, 4.1, 4.064078794901506)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.65)","(5.5, 6.2, 6.1035928143712574)","(31.0, 60.0, 57.674418604651166)","(7.0, 10.0, 9.94108527131783)"
11-01-2023 18:18:57.733888,"(3.8, 4.5, 4.4584)","(3.6, 4.1, 4.064078794901506)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.65)","(5.5, 6.2, 6.105433186490456)","(31.0, 60.0, 57.674418604651166)","(7.0, 10.0, 9.24375)"
11-01-2023 18:18:58.825833,"(3.8, 4.5, 4.4676)","(3.6, 4.1, 4.065676959619952)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.65)","(5.5, 6.2, 6.105433186490456)","(31.0, 60.0, 57.674418604651166)","(7.0, 9.4, 9.229059829059828)"
11-01-2023 18:18:59.901990,"(3.8, 4.5, 4.484688995215311)","(3.6, 4.1, 4.065676959619952)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.65)","(5.5, 6.2, 6.105433186490456)","(31.0, 60.0, 57.674418604651166)","(7.0, 9.4, 9.229059829059828)"
11-01-2023 18:19:01.051846,"(3.8, 4.5, 4.484688995215311)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.65)","(5.5, 6.2, 6.105433186490456)","(31.0, 60.0, 57.674418604651166)","(7.0, 9.4, 9.223008849557521)"
11-01-2023 18:19:02.111472,"(3.8, 4.5, 4.484688995215311)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.65)","(5.5, 6.2, 6.1035928143712574)","(31.0, 60.0, 57.674418604651166)","(7.0, 9.4, 9.201951219512194)"
11-01-2023 18:19:03.297812,"(3.8, 4.6, 4.508706467661692)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.804347826086957)","(5.5, 6.2, 6.1035928143712574)","(31.0, 60.0, 57.674418604651166)","(7.0, 9.4, 9.12972972972973)"
11-01-2023 18:19:04.574046,"(3.8, 4.6, 4.508706467661692)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.461538461538462)","(9.0, 12.5, 12.162162162162161)","(12.0, 19.0, 18.804347826086957)","(5.5, 6.2, 6.1035928143712574)","(31.0, 60.0, 58.46153846153846)","(7.0, 9.4, 9.216666666666667)"
11-01-2023 18:19:05.845119,"(3.8, 4.6, 4.508706467661692)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.5, 12.01984126984127)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.0, 5.958627858627859)","(31.0, 60.0, 59.375)","(7.0, 9.4, 9.216666666666667)"
11-01-2023 18:19:07.214728,"(3.8, 4.6, 4.508706467661692)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.5, 12.01984126984127)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 5.958627858627859)","(31.0, 60.0, 59.375)","(7.0, 9.4, 9.216666666666667)"
11-01-2023 18:19:08.448929,"(3.8, 4.6, 4.508706467661692)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.5, 12.0)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.030456852791878)","(31.0, 60.0, 62.82608695652174)","(7.0, 9.4, 9.216666666666667)"
11-01-2023 18:19:09.540386,"(3.8, 4.6, 4.465567765567766)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.89240506329114)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.036274509803921)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:10.649922,"(3.8, 4.6, 4.465567765567766)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.89240506329114)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.036274509803921)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:11.665863,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.06547192353644)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.89240506329114)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.04392523364486)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:12.735697,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.065264423076923)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.04392523364486)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:13.799274,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.065264423076923)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.04392523364486)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:14.899533,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.065264423076923)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.04392523364486)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:15.938463,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.065264423076923)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.051555555555556)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:17.047945,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.0704196519959055)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.049887640449438)","(31.0, 65.0, 62.82608695652174)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:18.091659,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.0704196519959055)","(7.0, 9.6, 9.459627329192546)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.049887640449438)","(31.0, 65.0, 63.214285714285715)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:19.267550,"(3.8, 4.6, 4.464325323475046)","(3.6, 4.1, 4.0704196519959055)","(7.0, 9.6, 9.47159090909091)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.049887640449438)","(31.0, 65.0, 63.214285714285715)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:20.364129,"(3.8, 4.6, 4.456920077972709)","(3.6, 4.1, 4.0704196519959055)","(7.0, 9.6, 9.47159090909091)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.049887640449438)","(31.0, 65.0, 63.214285714285715)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:21.468516,"(3.8, 4.6, 4.456920077972709)","(3.6, 4.1, 4.0704196519959055)","(7.0, 9.6, 9.47159090909091)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.049887640449438)","(31.0, 65.0, 63.214285714285715)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:22.591589,"(3.8, 4.6, 4.456920077972709)","(3.6, 4.1, 4.0704196519959055)","(7.0, 9.6, 9.47159090909091)","(9.0, 12.0, 11.885135135135135)","(12.0, 19.5, 19.013513513513512)","(5.5, 6.2, 6.049887640449438)","(31.0, 65.0, 63.214285714285715)","(7.0, 9.4, 9.222710622710622)"
11-01-2023 18:19:23.738311,"(3.8, 4.6, 4.456920077972709)","(3.6, 4.1, 4.0704196519959055)","(7.0, 9.6, 9.478260869565217)","(9.0, 12.0, 12.022727272727273)","(12.0, 19.5, 19.189655172413794)","(5.5, 6.2, 6.055097613882864)","(31.0, 65.0, 63.0)","(7.0, 9.4, 8.7536)"
11-01-2023 18:19:24.901317,"(3.8, 4.6, 4.526890756302521)","(3.6, 4.1, 4.067332123411978)","(7.0, 9.6, 9.494054054054054)","(9.0, 12.5, 12.022727272727273)","(12.0, 19.5, 19.132653061224488)","(5.5, 6.2, 6.055097613882864)","(31.0, 65.0, 63.23529411764706)","(7.0, 8.8, 8.812017167381974)"
11-01-2023 18:19:25.954960,"(3.8, 4.6, 4.526890756302521)","(3.6, 4.1, 4.067332123411978)","(7.0, 9.6, 9.489690721649485)","(9.0, 12.5, 12.022727272727273)","(12.0, 19.5, 19.132653061224488)","(5.5, 6.2, 6.056652360515021)","(31.0, 65.0, 63.23529411764706)","(7.0, 9.0, 8.812017167381974)"
11-01-2023 18:19:27.222687,"(3.8, 4.6, 4.526890756302521)","(3.6, 4.1, 4.067332123411978)","(7.0, 9.6, 9.489690721649485)","(9.0, 12.5, 12.022727272727273)","(12.0, 19.5, 19.132653061224488)","(5.5, 6.2, 6.056652360515021)","(31.0, 65.0, 63.23529411764706)","(7.0, 9.0, 8.812017167381974)"
11-01-2023 18:19:28.287376,"(3.9, 4.6, 4.526890756302521)","(3.6, 4.1, 4.067332123411978)","(7.5, 9.6, 9.489690721649485)","(10.0, 12.5, 12.023622047244094)","(13.0, 19.5, 19.132653061224488)","(5.5, 6.2, 6.071538461538462)","(31.0, 65.0, 60.925925925925924)","(7.5, 9.0, 8.832824427480917)"
11-01-2023 18:19:29.382726,"(3.9, 4.6, 4.465176908752328)","(3.6, 4.1, 4.065484180249281)","(7.5, 9.6, 9.483060109289617)","(10.0, 12.5, 12.023622047244094)","(13.0, 19.5, 19.132653061224488)","(5.5, 6.0, 5.981168831168831)","(31.0, 65.0, 61.333333333333336)","(7.5, 9.4, 9.242071197411002)"
11-01-2023 18:19:31.024145,"(3.9, 4.6, 4.465176908752328)","(3.6, 4.1, 4.065484180249281)","(7.5, 9.6, 9.48735632183908)","(10.0, 12.0, 11.875)","(13.0, 19.5, 19.20689655172414)","(5.5, 6.0, 5.966206896551724)","(31.0, 65.0, 61.333333333333336)","(7.5, 9.4, 9.246594982078852)"
11-01-2023 18:19:32.385850,"(3.9, 4.6, 4.465176908752328)","(3.6, 4.1, 4.065484180249281)","(7.5, 9.6, 9.483060109289617)","(10.0, 12.0, 11.851851851851851)","(13.0, 20.0, 19.566666666666666)","(5.5, 6.0, 6.036674816625917)","(31.0, 65.0, 61.333333333333336)","(7.5, 9.4, 9.286170212765958)"
11-01-2023 18:19:33.576112,"(3.9, 4.5, 4.464192139737992)","(3.6, 4.1, 4.065484180249281)","(7.5, 9.6, 9.483060109289617)","(10.0, 12.0, 11.851851851851851)","(13.0, 20.0, 19.566666666666666)","(5.5, 6.2, 6.0390625)","(31.0, 65.0, 61.333333333333336)","(7.5, 9.4, 9.286170212765958)"
11-01-2023 18:19:34.864911,"(3.9, 4.5, 4.464192139737992)","(3.6, 4.1, 4.065484180249281)","(7.5, 9.6, 9.483060109289617)","(10.0, 12.0, 11.851851851851851)","(13.0, 20.0, 19.477272727272727)","(5.5, 6.2, 6.0390625)","(31.0, 65.0, 61.333333333333336)","(7.5, 9.4, 9.284374999999999)"
11-01-2023 18:19:36.060505,"(3.9, 4.5, 4.464192139737992)","(3.6, 4.1, 4.062603116406966)","(7.5, 9.6, 9.483060109289617)","(10.0, 12.0, 11.851851851851851)","(13.0, 19.5, 19.477272727272727)","(5.5, 6.2, 6.0455)","(31.0, 65.0, 61.333333333333336)","(7.5, 9.4, 9.288442211055276)"
11-01-2023 18:19:37.315150,"(3.9, 4.5, 4.464192139737992)","(3.6, 4.1, 4.062430939226519)","(7.5, 9.6, 9.483060109289617)","(10.0, 12.0, 11.851851851851851)","(13.0, 19.5, 19.351063829787233)","(5.5, 6.2, 6.0455)","(31.0, 65.0, 61.333333333333336)","(7.5, 9.4, 9.288442211055276)"
11-01-2023 18:19:38.429114,"(3.9, 4.5, 4.464192139737992)","(3.6, 4.1, 4.062430939226519)","(7.5, 9.6, 9.483060109289617)","(10.0, 12.0, 11.820224719101123)","(13.0, 19.5, 19.351063829787233)","(5.5, 6.2, 6.0455)","(31.0, 65.0, 63.51851851851852)","(7.5, 9.4, 9.288442211055276)"
11-01-2023 18:19:39.557462,"(3.9, 4.5, 4.496710526315789)","(3.6, 4.1, 4.0606177606177605)","(7.5, 9.6, 9.316556291390729)","(10.0, 12.5, 11.820224719101123)","(13.0, 19.5, 19.08823529411765)","(5.5, 6.2, 5.979285714285715)","(31.0, 65.0, 63.51851851851852)","(7.5, 9.4, 9.29238845144357)"
11-01-2023 18:19:40.694393,"(3.9, 4.6, 4.456756756756757)","(3.6, 4.1, 4.0606177606177605)","(7.5, 9.6, 9.298591549295773)","(10.0, 12.5, 11.820224719101123)","(13.0, 19.5, 18.394736842105264)","(5.5, 6.2, 5.979285714285715)","(31.0, 65.0, 63.51851851851852)","(7.5, 9.4, 9.29238845144357)"
11-01-2023 18:19:41.843005,"(3.9, 4.6, 4.456756756756757)","(3.6, 4.1, 4.062081784386617)","(7.5, 9.6, 9.298591549295773)","(10.0, 12.5, 11.820224719101123)","(13.0, 18.5, 18.166666666666668)","(5.5, 6.2, 6.00107296137339)","(31.0, 65.0, 63.51851851851852)","(7.5, 9.4, 9.29238845144357)"
11-01-2023 18:19:42.938013,"(3.9, 4.6, 4.456756756756757)","(3.6, 4.1, 4.0609489051094885)","(7.5, 9.6, 9.298591549295773)","(10.0, 12.5, 11.820224719101123)","(13.0, 18.5, 17.78723404255319)","(5.5, 6.2, 6.02542372881356)","(31.0, 65.0, 63.51851851851852)","(7.5, 9.4, 9.29238845144357)"
11-01-2023 18:19:44.025611,"(3.9, 4.6, 4.456756756756757)","(3.6, 4.1, 4.0609489051094885)","(7.5, 9.6, 9.298591549295773)","(10.0, 12.5, 11.841317365269461)","(13.0, 18.0, 17.842105263157894)","(5.5, 6.2, 6.032972972972973)","(31.0, 65.0, 62.1875)","(7.5, 9.4, 9.29238845144357)"
11-01-2023 18:19:45.089183,"(3.9, 4.6, 4.456756756756757)","(3.6, 4.1, 4.059469696969697)","(7.5, 9.6, 9.298591549295773)","(10.0, 12.5, 12.098540145985401)","(13.0, 18.0, 18.029411764705884)","(5.5, 6.2, 6.02542372881356)","(31.0, 65.0, 62.1875)","(7.5, 9.4, 9.29238845144357)"
11-01-2023 18:19:46.377240,"(3.9, 4.6, 4.456756756756757)","(3.6, 4.1, 4.059469696969697)","(7.5, 9.6, 9.298591549295773)","(10.0, 12.5, 12.098540145985401)","(13.0, 18.5, 17.6625)","(5.5, 6.2, 5.979285714285715)","(31.0, 65.0, 62.1875)","(7.5, 9.4, 9.29487870619946)"
11-01-2023 18:19:47.784059,"(3.9, 4.6, 4.456756756756757)","(3.6, 4.1, 4.059469696969697)","(7.5, 9.6, 9.298591549295773)","(10.0, 12.5, 12.23076923076923)","(13.0, 18.0, 17.60810810810811)","(5.5, 6.2, 6.005605381165919)","(31.0, 65.0, 60.714285714285715)","(7.5, 9.4, 9.307317073170731)"
