,True Treat,Stir The Pot,Tudor Fisk,Major Ando,Black Book,Slingshot Cooper,Copperhead,Mrs Chop
11-01-2023 14:32:50.375033,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:51.408574,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:52.404469,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:53.443885,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:54.644218,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.7936842105263158)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:55.741376,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.7936842105263158)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:56.802396,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.7936842105263158)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:57.918279,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.7936842105263158)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:58.974392,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.7936842105263158)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:33:00.048117,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.7936842105263158)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
