,Opawa Hugo,Zipping Chassis,Opawa Duchess,Diamond Leaha,Silky Adobe,Goldstar Walker,Nighthawk Jet,Lets Party
10-01-2023 09:59:45.980379,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:47.030143,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:48.122479,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:49.157102,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:50.271381,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:51.381186,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:52.480921,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:53.567744,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:54.605106,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:55.643199,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:56.707641,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:57.721758,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:58.734225,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:59.741476,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:00.788449,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:01.848836,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:02.920010,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:04.036366,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:05.086016,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:06.155428,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:07.234457,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:08.282516,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:09.335666,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:10.395156,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:11.410924,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:12.460600,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:13.474518,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:14.512919,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:15.503312,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:16.500356,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 10:00:17.487745,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
