,American Russ,Ebony King,Hanibal Hero,Mahjing,Dirty Grin,Gringotts,Shakattak,Tapin Three,Terrestar
11-01-2023 15:37:05.370239,"(71.0, 190.0, 130.0)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.125)","(4.4, 4.9, 4.826193548387097)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
11-01-2023 15:37:06.610071,"(71.0, 190.0, 130.0)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.125)","(4.4, 4.9, 4.826193548387097)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
11-01-2023 15:37:07.797151,"(71.0, 190.0, 130.0)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.125)","(4.4, 4.9, 4.744186046511628)","(4.6, 5.9, 5.837931034482759)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
11-01-2023 15:37:09.039943,"(71.0, 190.0, 130.0)","(15.0, 19.5, 19.0)","(21.0, 34.0, 34.4)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.285714285714286)","(4.4, 4.8, 4.6930000000000005)","(4.6, 5.9, 5.85)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.461538461538462)"
11-01-2023 15:37:10.232524,"(71.0, 190.0, 130.0)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 14.0, 13.222222222222221)","(4.4, 4.7, 4.6930000000000005)","(4.6, 5.9, 5.85)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:11.495914,"(71.0, 190.0, 138.57142857142858)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 14.0, 13.125)","(4.4, 4.7, 4.6937500000000005)","(4.6, 5.9, 5.85)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:12.749656,"(71.0, 190.0, 150.0)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.6937500000000005)","(4.6, 5.9, 5.85)","(2.45, 2.98, 2.954945054945055)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:13.937963,"(71.0, 190.0, 150.0)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.6937500000000005)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.954945054945055)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:15.160528,"(71.0, 190.0, 150.0)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.711111111111111)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.954140127388535)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:16.454836,"(71.0, 190.0, 150.0)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.8, 4.719205298013245)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.954140127388535)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:17.705212,"(71.0, 190.0, 150.0)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.8, 4.673873873873874)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9514018691588784)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:18.989908,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 220.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.673873873873874)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9514018691588784)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:20.205442,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.673873873873874)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9514018691588784)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:21.445030,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.673873873873874)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9514018691588784)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:22.706921,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.673873873873874)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9398816568047335)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:23.853994,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.673873873873874)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9398816568047335)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:24.982876,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.665656565656565)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9398816568047335)","(8.5, 9.6, 9.461538461538462)"
