,Anemos,Chihuly,Gronkowski,Lallegro,Rebillyous,Tolpuddle,Box Of Crackers,Lily Luella,Might Just Happen,Penelope Jane,Temple Of Gold,Penny Bazaar,Livstar
16-12-2022 12:37:03.998102,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 46.0, 45.25)","(61.0, 140.0, 124.0)","(8.5, 12.0, 11.883333333333333)","(2.0, 2.2, 2.1690909090909094)","(7.0, 10.5, 9.838235294117647)","(41.0, 65.0, 65.26315789473685)","(12.0, 18.5, 17.5)","(8.5, 11.5, 10.75974025974026)","(19.0, 28.0, 25.375)","(61.0, 90.0, 85.83333333333333)","(81.0, 150.0, 142.5)"
16-12-2022 12:37:05.813909,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 46.0, 45.666666666666664)","(61.0, 140.0, 104.44444444444444)","(8.5, 12.0, 11.95)","(2.0, 2.2, 2.1690909090909094)","(7.0, 10.5, 9.744)","(41.0, 70.0, 64.28571428571429)","(12.0, 18.5, 17.794117647058822)","(8.5, 11.5, 10.578125)","(19.0, 26.0, 25.166666666666668)","(61.0, 90.0, 85.83333333333333)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:07.581794,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 46.0, 45.666666666666664)","(61.0, 140.0, 110.0)","(8.5, 12.0, 11.95)","(2.0, 2.2, 2.1690909090909094)","(7.0, 10.5, 9.744)","(41.0, 70.0, 64.28571428571429)","(12.0, 18.5, 18.227272727272727)","(8.5, 11.0, 10.578125)","(19.0, 26.0, 25.166666666666668)","(61.0, 90.0, 85.83333333333333)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:09.599475,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 46.0, 45.666666666666664)","(61.0, 140.0, 110.0)","(8.5, 12.0, 11.95)","(2.0, 2.2, 2.1690909090909094)","(7.0, 10.5, 9.744)","(41.0, 70.0, 64.28571428571429)","(12.0, 18.5, 18.227272727272727)","(8.5, 11.0, 10.557377049180328)","(19.0, 26.0, 25.166666666666668)","(61.0, 90.0, 85.83333333333333)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:11.469721,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 46.0, 45.666666666666664)","(61.0, 140.0, 110.0)","(8.5, 12.0, 11.95)","(2.0, 2.2, 2.1748148148148148)","(7.0, 10.5, 9.790322580645162)","(41.0, 70.0, 64.28571428571429)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.557377049180328)","(19.0, 26.0, 25.166666666666668)","(61.0, 90.0, 85.83333333333333)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:13.206079,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 46.0, 47.333333333333336)","(61.0, 140.0, 110.0)","(8.5, 12.0, 11.95)","(2.0, 2.2, 2.1748148148148148)","(7.0, 10.5, 9.790322580645162)","(41.0, 70.0, 64.28571428571429)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.557377049180328)","(19.0, 26.0, 25.166666666666668)","(61.0, 90.0, 85.38461538461539)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:14.871125,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 48.0, 47.333333333333336)","(61.0, 140.0, 110.0)","(8.5, 12.0, 11.95)","(2.0, 2.2, 2.1733333333333333)","(7.0, 10.5, 9.871428571428572)","(41.0, 70.0, 64.28571428571429)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.557377049180328)","(19.0, 26.0, 25.166666666666668)","(61.0, 90.0, 84.375)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:16.527128,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 48.0, 47.333333333333336)","(61.0, 140.0, 126.66666666666667)","(8.5, 12.0, 11.95)","(2.0, 2.18, 2.1733333333333333)","(7.0, 10.0, 9.778125000000001)","(41.0, 70.0, 64.28571428571429)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 25.23076923076923)","(61.0, 85.0, 84.375)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:18.103984,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 48.0, 47.333333333333336)","(61.0, 140.0, 126.66666666666667)","(8.5, 12.0, 11.967391304347826)","(2.0, 2.18, 2.1733333333333333)","(7.0, 10.5, 9.778125000000001)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 25.23076923076923)","(61.0, 85.0, 84.375)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:19.747835,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 48.0, 47.6)","(61.0, 140.0, 126.66666666666667)","(8.5, 12.0, 11.964285714285714)","(2.0, 2.18, 2.1733333333333333)","(7.0, 10.5, 9.866666666666667)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 24.8)","(61.0, 85.0, 84.28571428571429)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:21.359881,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 48.0, 47.6)","(61.0, 140.0, 126.66666666666667)","(8.5, 12.0, 11.964285714285714)","(2.0, 2.18, 2.171111111111111)","(7.0, 10.0, 9.799999999999999)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 24.8)","(61.0, 85.0, 84.28571428571429)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:23.001814,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 48.0, 47.6)","(61.0, 140.0, 128.0)","(8.5, 12.0, 11.964285714285714)","(2.0, 2.18, 2.171111111111111)","(7.0, 10.5, 9.890322580645162)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.884615384615383)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 24.8)","(61.0, 85.0, 84.0)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:24.661469,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.440677966101696)","(31.0, 48.0, 48.5)","(61.0, 140.0, 129.16666666666666)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 9.959999999999999)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 24.8)","(61.0, 85.0, 84.0)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:26.341755,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(61.0, 150.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 9.959999999999999)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 24.8)","(61.0, 85.0, 80.38461538461539)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:27.905405,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 9.959999999999999)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 24.8)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 133.33333333333334)"
16-12-2022 12:37:29.507899,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 47.27272727272727)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 9.959999999999999)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 11.0, 10.515151515151516)","(19.0, 26.0, 24.8)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 135.3846153846154)"
16-12-2022 12:37:31.066511,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.27272727272727)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 9.959999999999999)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 11.0, 10.372549019607844)","(19.0, 26.0, 24.8)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 135.3846153846154)"
16-12-2022 12:37:32.607890,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.27272727272727)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 9.955555555555556)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 11.0, 10.14516129032258)","(19.0, 26.0, 25.142857142857142)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 135.3846153846154)"
16-12-2022 12:37:34.119173,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.27272727272727)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.0275)","(41.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.15)","(19.0, 26.0, 25.142857142857142)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 137.14285714285714)"
16-12-2022 12:37:35.638836,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.27272727272727)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.060465116279069)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.15)","(19.0, 26.0, 25.142857142857142)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 137.14285714285714)"
16-12-2022 12:37:37.219521,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.27272727272727)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.060465116279069)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.12439024390244)","(19.0, 26.0, 25.142857142857142)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 137.14285714285714)"
16-12-2022 12:37:38.841545,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.27272727272727)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.060465116279069)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.157777777777778)","(19.0, 26.0, 25.142857142857142)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 137.14285714285714)"
16-12-2022 12:37:40.415169,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.060465116279069)","(51.0, 70.0, 60.76923076923077)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.133333333333333)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 128.0)"
16-12-2022 12:37:41.874338,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.060465116279069)","(51.0, 70.0, 60.76923076923077)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 128.0)"
16-12-2022 12:37:43.339964,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.060465116279069)","(51.0, 70.0, 60.76923076923077)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 128.0)"
16-12-2022 12:37:44.859493,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 60.76923076923077)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 106.66666666666667)"
16-12-2022 12:37:46.367499,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(61.0, 140.0, 131.11111111111111)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 60.76923076923077)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 106.66666666666667)"
16-12-2022 12:37:47.879004,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 60.76923076923077)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 76.76470588235294)","(81.0, 160.0, 142.5)"
16-12-2022 12:37:49.456411,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 60.76923076923077)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 76.76470588235294)","(81.0, 150.0, 142.5)"
16-12-2022 12:37:51.296309,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 47.42857142857143)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 81.81818181818181)","(81.0, 160.0, 136.0)"
16-12-2022 12:37:52.962734,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 48.0, 48.5)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 82.14285714285714)","(81.0, 160.0, 120.0)"
16-12-2022 12:37:54.623828,"(101.0, 210.0, 201.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 25.076923076923077)","(61.0, 85.0, 78.33333333333333)","(81.0, 160.0, 120.0)"
16-12-2022 12:37:56.361663,"(101.0, 210.0, 176.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 26.0, 27.5)","(61.0, 85.0, 78.33333333333333)","(81.0, 160.0, 120.0)"
16-12-2022 12:37:58.068748,"(101.0, 210.0, 176.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.114285714285714)","(19.0, 28.0, 27.5)","(61.0, 85.0, 78.33333333333333)","(81.0, 160.0, 120.0)"
16-12-2022 12:37:59.991056,"(101.0, 210.0, 176.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.102941176470589)","(19.0, 27.0, 25.285714285714285)","(61.0, 85.0, 78.33333333333333)","(81.0, 160.0, 120.0)"
16-12-2022 12:38:01.716569,"(101.0, 210.0, 176.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.102941176470589)","(19.0, 27.0, 24.77777777777778)","(61.0, 85.0, 78.33333333333333)","(81.0, 160.0, 120.0)"
16-12-2022 12:38:03.573947,"(101.0, 210.0, 176.66666666666666)","(10.0, 11.0, 10.835820895522389)","(31.0, 50.0, 48.5)","(71.0, 140.0, 120.0)","(8.5, 12.0, 11.975609756097562)","(2.0, 2.18, 2.1683333333333334)","(7.0, 10.5, 10.05)","(51.0, 70.0, 63.513513513513516)","(12.0, 18.5, 17.954545454545453)","(8.5, 10.5, 10.102941176470589)","(19.0, 27.0, 24.523809523809526)","(61.0, 85.0, 78.33333333333333)","(81.0, 160.0, 120.0)"
16-12-2022 12:38:05.668106,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.879032258064516)","(31.0, 50.0, 49.42857142857143)","(71.0, 140.0, 132.85714285714286)","(8.5, 12.0, 12.666666666666666)","(2.0, 2.18, 2.178)","(7.0, 10.5, 10.002631578947367)","(51.0, 70.0, 65.86206896551724)","(12.0, 18.5, 18.779661016949152)","(8.5, 10.5, 9.883125000000001)","(19.0, 25.0, 23.071428571428573)","(61.0, 85.0, 80.3125)","(81.0, 160.0, 137.14285714285714)"
16-12-2022 12:38:07.600991,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.879032258064516)","(31.0, 50.0, 49.42857142857143)","(71.0, 150.0, 136.36363636363637)","(8.5, 13.0, 12.666666666666666)","(2.0, 2.18, 2.196)","(7.0, 10.5, 10.05)","(51.0, 70.0, 65.86206896551724)","(12.0, 19.0, 18.779661016949152)","(8.5, 10.5, 9.863225806451613)","(19.0, 25.0, 22.454545454545453)","(61.0, 85.0, 80.3125)","(81.0, 160.0, 137.14285714285714)"
16-12-2022 12:38:09.216699,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.879032258064516)","(31.0, 50.0, 49.42857142857143)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.65)","(2.0, 2.2, 2.192)","(7.0, 10.5, 10.002631578947367)","(51.0, 70.0, 66.66666666666667)","(12.0, 19.0, 18.766666666666666)","(8.0, 10.5, 9.863225806451613)","(19.0, 23.0, 22.454545454545453)","(61.0, 80.0, 79.16666666666667)","(81.0, 160.0, 140.0)"
16-12-2022 12:38:11.035429,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.879032258064516)","(31.0, 50.0, 49.42857142857143)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.65)","(2.0, 2.2, 2.192)","(7.0, 10.5, 10.0275)","(51.0, 70.0, 66.66666666666667)","(12.0, 19.0, 18.766666666666666)","(8.0, 10.5, 9.863225806451613)","(19.0, 23.0, 22.454545454545453)","(61.0, 80.0, 79.16666666666667)","(81.0, 160.0, 140.0)"
16-12-2022 12:38:12.824729,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.879032258064516)","(31.0, 50.0, 49.42857142857143)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.65)","(2.0, 2.2, 2.192)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.66666666666667)","(12.0, 19.0, 18.78125)","(8.0, 10.5, 9.863225806451613)","(19.0, 23.0, 22.454545454545453)","(61.0, 80.0, 79.16666666666667)","(81.0, 160.0, 146.66666666666666)"
16-12-2022 12:38:14.802200,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.879032258064516)","(31.0, 50.0, 49.42857142857143)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.842696629213483)","(2.0, 2.2, 2.192)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.66666666666667)","(12.0, 19.0, 18.78125)","(8.0, 10.5, 9.863225806451613)","(19.0, 23.0, 22.454545454545453)","(61.0, 80.0, 79.16666666666667)","(81.0, 160.0, 146.66666666666666)"
16-12-2022 12:38:16.663128,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.879032258064516)","(31.0, 50.0, 49.53846153846154)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.61111111111111)","(2.0, 2.2, 2.192)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.66666666666667)","(12.0, 19.0, 18.78125)","(8.0, 10.5, 9.863225806451613)","(19.0, 23.0, 22.454545454545453)","(61.0, 80.0, 79.16666666666667)","(81.0, 160.0, 146.66666666666666)"
16-12-2022 12:38:18.331686,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.892857142857142)","(31.0, 50.0, 49.53846153846154)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.61111111111111)","(1.95, 2.2, 2.192)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.66666666666667)","(13.0, 19.0, 18.78125)","(8.5, 10.5, 9.863225806451613)","(19.0, 23.0, 22.454545454545453)","(61.0, 80.0, 79.16666666666667)","(81.0, 160.0, 147.69230769230768)"
16-12-2022 12:38:19.929713,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.892857142857142)","(31.0, 50.0, 49.833333333333336)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.61111111111111)","(1.95, 2.2, 2.168421052631579)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.0)","(13.0, 19.0, 18.78125)","(8.5, 10.5, 9.863225806451613)","(19.0, 23.0, 21.88888888888889)","(61.0, 80.0, 79.0909090909091)","(81.0, 160.0, 136.0)"
16-12-2022 12:38:21.460825,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.892857142857142)","(31.0, 50.0, 49.833333333333336)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.61111111111111)","(1.95, 2.2, 2.165)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.0)","(13.0, 19.0, 18.78125)","(8.5, 10.5, 9.863225806451613)","(19.0, 23.0, 21.88888888888889)","(61.0, 80.0, 79.0909090909091)","(81.0, 160.0, 136.0)"
16-12-2022 12:38:22.951845,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.827380952380953)","(31.0, 50.0, 49.833333333333336)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.794117647058824)","(1.95, 2.2, 2.165)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.0)","(13.0, 19.0, 18.78125)","(8.5, 10.5, 9.863225806451613)","(19.0, 23.0, 21.88888888888889)","(61.0, 80.0, 79.0909090909091)","(81.0, 160.0, 136.0)"
16-12-2022 12:38:24.422367,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.827380952380953)","(31.0, 50.0, 49.851851851851855)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.794117647058824)","(1.95, 2.2, 2.165)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.0)","(13.0, 19.0, 18.78125)","(8.5, 10.5, 9.863225806451613)","(19.0, 23.0, 21.88888888888889)","(61.0, 80.0, 79.0909090909091)","(81.0, 160.0, 136.0)"
16-12-2022 12:38:25.945466,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.827380952380953)","(31.0, 50.0, 49.851851851851855)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.794117647058824)","(1.95, 2.2, 2.16421052631579)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.0)","(13.0, 19.0, 18.78125)","(8.5, 10.5, 9.863225806451613)","(19.0, 23.0, 21.88888888888889)","(61.0, 80.0, 79.0)","(81.0, 160.0, 136.0)"
16-12-2022 12:38:27.500222,"(101.0, 210.0, 195.71428571428572)","(10.0, 11.0, 10.827380952380953)","(31.0, 50.0, 49.851851851851855)","(71.0, 150.0, 138.46153846153845)","(8.5, 13.0, 12.794117647058824)","(1.95, 2.2, 2.153636363636364)","(7.0, 10.5, 9.831818181818182)","(51.0, 70.0, 66.0)","(13.0, 19.0, 18.61111111111111)","(8.5, 10.5, 9.863225806451613)","(19.0, 23.0, 21.88888888888889)","(61.0, 80.0, 79.0)","(81.0, 160.0, 136.0)"
