,Mystical Charm,Magic Nitro,Bahamas Miss,Feel Your Way,Montana One,Atomic Pete,Financially Stable,Just Call Me Harry,Batman Jujon
11-01-2023 21:07:19.634213,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:21.169548,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:22.391305,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:23.599933,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:24.922562,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:25.978122,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:27.326597,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:28.607588,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:29.702374,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:30.814096,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
