,Sunset Bling,Bernardo Eight,Time To Reign,Buddy Beauty,Ladies Day,Leading Diva,Press Agent,Beep Bop
07-12-2022 19:31:23.157867,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.377142857142857)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 9.9)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:24.383559,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.377142857142857)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.379999999999999)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:25.537916,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.377142857142857)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.379999999999999)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:26.823033,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.377142857142857)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.379999999999999)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:27.903859,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.377142857142857)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.379999999999999)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:28.957017,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.377142857142857)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.379999999999999)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:30.098040,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.377142857142857)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.379999999999999)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:31.458696,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.377142857142857)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.05)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:32.630390,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.96, 2.3685714285714283)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.05)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:33.619854,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.9, 2.3685714285714283)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.05)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:34.696629,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.9, 2.3685714285714283)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 9.857142857142858)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:36.183044,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 2.9, 2.3685714285714283)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 9.857142857142858)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:37.404367,"(17.0, 60.0, 25.0)","(6.0, 11.0, 9.285714285714285)","(2.3, 2.9, 2.4536)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 7.064705882352941)","(6.5, 12.0, 10.75)","(16.0, 46.0, 21.0)","(4.6, 6.8, 5.680487804878048)"
07-12-2022 19:31:38.566457,"(17.0, 60.0, 25.0)","(6.0, 11.0, 9.285714285714285)","(2.3, 2.9, 2.4536)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 7.064705882352941)","(6.5, 12.0, 10.8)","(16.0, 46.0, 21.0)","(4.6, 6.8, 5.41875)"
07-12-2022 19:31:39.669852,"(17.0, 60.0, 25.0)","(6.0, 11.0, 9.285714285714285)","(2.3, 2.9, 2.4536)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 7.064705882352941)","(6.5, 12.0, 10.8)","(16.0, 46.0, 21.0)","(4.6, 6.8, 5.681578947368421)"
07-12-2022 19:31:40.715637,"(17.0, 60.0, 25.0)","(6.0, 11.0, 9.285714285714285)","(2.3, 2.9, 2.4536)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 7.064705882352941)","(6.5, 12.0, 10.8)","(16.0, 46.0, 21.0)","(4.6, 6.8, 5.681578947368421)"
07-12-2022 19:31:41.799547,"(17.0, 60.0, 25.0)","(6.0, 11.0, 9.285714285714285)","(2.3, 2.9, 2.4536)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 7.064705882352941)","(6.5, 12.0, 9.942857142857143)","(16.0, 46.0, 21.0)","(4.6, 6.8, 5.681578947368421)"
