,Noble Present,Sudden Flare,Treat Me Special,Nannys Mission,Red Lil Shipment,Princess Mia Rose,Blue Bonnie,Great Devotion,Our Golden Colleen,License To Carry
05-01-2023 13:56:43.186628,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:44.441466,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:45.780805,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 50.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:47.081458,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 50.666666666666664)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:48.342325,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 50.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:49.638772,"(15.0, 17.5, 16.5)","(31.0, 60.0, 58.57142857142857)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 50.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:50.981006,"(15.0, 17.5, 16.5)","(31.0, 60.0, 58.666666666666664)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 50.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:52.360074,"(15.0, 17.5, 16.5)","(31.0, 60.0, 54.0)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 43.5)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 25.5)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:53.680428,"(15.0, 17.5, 16.5)","(31.0, 60.0, 57.0)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 43.5)","(31.0, 42.0, 33.0)","(13.0, 60.0, 30.333333333333336)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:54.962147,"(15.0, 17.5, 16.5)","(31.0, 60.0, 57.0)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 43.5)","(31.0, 42.0, 33.0)","(13.0, 60.0, 30.333333333333336)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:56.248263,"(15.0, 17.5, 16.5)","(31.0, 60.0, 57.0)","(2.4, 4.2, 4.0600000000000005)","(31.0, 55.0, 47.333333333333336)","(31.0, 42.0, 33.0)","(13.0, 60.0, 30.333333333333336)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:57.616017,"(15.0, 17.5, 16.5)","(31.0, 60.0, 54.0)","(2.4, 4.2, 4.075)","(31.0, 55.0, 47.333333333333336)","(31.0, 42.0, 33.0)","(13.0, 60.0, 30.333333333333336)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.25625)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:58.879915,"(15.0, 17.5, 16.5)","(31.0, 60.0, 54.666666666666664)","(2.4, 4.2, 4.075)","(31.0, 55.0, 47.333333333333336)","(31.0, 42.0, 33.0)","(13.0, 60.0, 30.333333333333336)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.25625)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:00.128007,"(15.0, 17.5, 16.5)","(31.0, 60.0, 54.666666666666664)","(2.4, 4.2, 4.075)","(31.0, 55.0, 47.333333333333336)","(31.0, 42.0, 33.0)","(13.0, 60.0, 30.333333333333336)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.25625)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:01.283144,"(15.0, 17.5, 16.5)","(31.0, 60.0, 54.666666666666664)","(2.4, 4.2, 4.075)","(31.0, 55.0, 49.25)","(31.0, 42.0, 33.0)","(13.0, 60.0, 30.333333333333336)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.25625)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
