,Elettrica,Banana Queen,Zelady Luck,Silk Tie,Sweet Mercy,Empress El,Arranmore,Flying Tyrol,Carolina Fire
04-01-2023 14:13:42.057971,"(2.8, 3.3, 3.26375)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:43.638063,"(2.8, 3.3, 3.2650390625)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.129032258064516)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:44.931539,"(2.8, 3.3, 3.2650390625)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.129032258064516)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:46.068435,"(2.8, 3.3, 3.2650390625)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.129032258064516)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:47.242418,"(2.8, 3.3, 3.2701666666666664)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.129032258064516)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:48.695211,"(2.8, 3.3, 3.2679525222551926)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.129032258064516)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:50.274719,"(2.8, 3.3, 3.2679525222551926)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.129032258064516)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:52.193078,"(2.8, 3.3, 3.2693910256410255)","(4.0, 5.0, 4.871428571428572)","(13.0, 18.5, 17.651515151515152)","(16.0, 22.0, 21.64)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.235294117647058)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:53.632555,"(2.8, 3.3, 3.2693910256410255)","(4.0, 5.0, 4.871428571428572)","(13.0, 18.5, 17.651515151515152)","(16.0, 22.0, 21.64)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.235294117647058)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:55.004703,"(2.8, 3.3, 3.270934256055363)","(4.0, 5.0, 4.8977272727272725)","(13.0, 18.5, 17.651515151515152)","(16.0, 22.0, 21.64)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.235294117647058)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:56.461121,"(2.8, 3.3, 3.2727450980392154)","(4.0, 5.0, 4.8977272727272725)","(13.0, 18.5, 17.651515151515152)","(16.0, 22.0, 21.64)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.235294117647058)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
