,Reggies Brother,Speed Badke,Calder,Muttons Mates,Desleys Girl,White Snake,Moment Of Glory,Aces Up
07-01-2023 19:17:32.995908,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 16.5, 11.8)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:34.316746,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 19.0, 12.833333333333334)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:35.717628,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 18.5, 12.833333333333334)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:37.418075,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 18.5, 12.833333333333334)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:38.836908,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 18.5, 12.833333333333334)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:40.234497,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 18.5, 12.833333333333334)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:41.811299,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 18.5, 12.833333333333334)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:43.242018,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.292)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 31.0)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.0)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:44.526848,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.4366666666666665)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 32.77777777777778)","(5.5, 10.5, 10.275)","(6.0, 18.0, 14.0)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:45.865918,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.54)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 32.77777777777778)","(5.5, 10.5, 10.275)","(6.0, 18.0, 14.0)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:47.208913,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.54)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 32.77777777777778)","(5.5, 10.5, 10.275)","(6.0, 18.0, 14.0)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:48.565780,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 2.9915384615384615)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.0, 16.72)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:49.921590,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 17.511111111111113)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
